sequence,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeB0hBfqBll?BCqB,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeBFgB0hBqp?B3qB,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeB3gB1mBqp?BUqB,v115@5gB8HeB8IeD8CeG8BeG8Jem7IvhFqhBTeBxfBlkB3l?B0pB,v115@5gB8HeB8IeD8CeG8BeG8JeR7IvhFqhBTeBmgBlkBcq?B/pB,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeBUgB1mBqp?B3qB,v115@5gB8HeB8IeD8CeG8BeG8Jex6IvhFXcBTeBifB1mBup?BcqB,v115@5gB8HeB8IeD8CeG8BeG8Jey/IvhFGcBTeBlkBRmB3l?B0pB,v115@5gB8HeB8IeD8CeG8BeG8Je06IvhFShBTeB/kBeqBRr?BlqB,v115@5gB8HeB8IeD8CeG8BeG8JeK/IvhFxbBTeBulB1mB8p?BfqB,v115@5gB8HeB8IeD8CeG8BeG8JeT+IvhFxfBXhB2kB0hBCq?BFqB
TILJSZO,X,X,O,X,X,X,X,O,O,X,X
TILJSOZ,X,X,O,X,X,O,O,O,O,X,X
TILJZSO,X,X,X,X,X,O,X,X,X,X,X
TILJZOS,X,X,O,X,X,O,X,X,X,X,X
TILJOSZ,X,X,O,X,X,O,O,O,O,X,X
TILJOZS,X,X,O,X,X,O,X,X,X,X,X
TILSJZO,X,X,O,O,X,X,X,O,X,X,X
TILSJOZ,X,X,O,O,X,O,O,O,X,X,X
TILSZJO,X,X,O,O,X,X,X,O,X,X,X
TILSZOJ,X,X,O,O,X,X,O,O,X,X,X
TILSOJZ,X,X,O,O,X,O,O,O,X,X,X
TILSOZJ,X,X,O,O,X,X,O,O,X,X,X
TILZJSO,X,X,X,X,X,O,X,X,X,O,X
TILZJOS,X,X,O,X,X,O,X,X,X,O,X
TILZSJO,X,X,X,X,X,O,X,X,X,X,X
TILZSOJ,X,X,X,X,X,O,O,X,X,X,X
TILZOJS,X,X,O,X,X,O,X,X,X,O,X
TILZOSJ,X,X,X,X,X,O,O,X,X,X,X
TILOJSZ,X,X,O,X,X,O,O,O,O,X,X
TILOJZS,X,X,O,X,X,O,X,X,X,X,X
TILOSJZ,X,X,O,O,X,O,O,O,X,X,X
TILOSZJ,X,X,O,O,X,X,O,O,X,X,X
TILOZJS,X,X,O,X,X,O,X,X,X,O,X
TILOZSJ,X,X,X,X,X,O,O,X,X,X,X
TIJLSZO,X,X,O,X,X,X,X,O,O,X,X
TIJLSOZ,X,X,O,X,X,O,X,O,O,X,X
TIJLZSO,X,X,X,X,X,O,X,X,X,X,X
TIJLZOS,X,X,O,X,X,O,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,O,X,O,O,X,X
TIJLOZS,X,X,O,X,X,O,X,X,X,X,X
TIJSLZO,X,X,O,X,X,X,X,O,O,X,X
TIJSLOZ,X,X,O,X,X,X,X,O,O,X,X
TIJSZLO,X,X,X,X,X,X,X,O,O,X,X
TIJSZOL,X,X,X,X,X,X,X,O,O,X,X
TIJSOLZ,X,X,O,X,X,O,X,O,O,X,X
TIJSOZL,X,X,X,X,X,X,X,O,O,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X,O,X
TIJZLOS,X,X,X,X,X,X,X,X,X,O,X
TIJZSLO,X,X,X,X,X,X,X,O,X,X,X
TIJZSOL,X,X,X,X,X,X,X,O,X,X,X
TIJZOLS,X,X,O,X,X,O,X,X,X,O,X
TIJZOSL,X,X,X,X,X,X,X,O,X,X,X
TIJOLSZ,X,X,O,X,X,O,X,O,O,X,X
TIJOLZS,X,X,O,X,X,O,X,X,X,X,X
TIJOSLZ,X,X,O,X,X,O,X,O,O,X,X
TIJOSZL,X,X,X,X,X,X,X,O,O,X,X
TIJOZLS,X,X,O,X,X,O,X,X,X,O,X
TIJOZSL,X,X,X,X,X,X,X,O,X,X,X
TISLJZO,X,X,O,O,X,X,X,O,X,X,X
TISLJOZ,X,X,O,O,X,O,O,O,X,X,X
TISLZJO,X,X,O,O,X,X,X,O,X,X,X
TISLZOJ,X,X,O,O,X,X,O,O,X,X,X
TISLOJZ,X,X,O,O,X,O,O,O,X,X,X
TISLOZJ,X,X,O,O,X,X,O,O,X,X,X
TISJLZO,X,X,O,O,X,X,X,O,X,X,X
TISJLOZ,X,X,O,O,X,X,X,O,X,X,X
