sequence,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFmdBUgBFhBXiB6r?BzqB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFeiBzdBUgBFhBXm?BSwB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbBmdBXiBllBTr?BCrB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFXcBmdBUgBFiB6r?BzqB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFmdBUgBFhBXiBCr?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFmdBxhBllB3mB6q?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbByhBzdBllB3m?BWwB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFXcBmdBUgBFiBCr?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbBmdB3gBFiB6r?BzqB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbBmdB3gBlmBzq?BCsB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFXcBmdBFiBxlB6q?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFmcBzdBUgBFhBCr?B3rB
TILJSZO,X,X,X,O,O,X,X,O,O,X,O,X
TILJSOZ,X,X,X,O,X,X,X,O,O,X,X,X
TILJZSO,X,O,X,O,O,X,X,O,O,X,O,X
TILJZOS,X,O,X,O,X,X,X,O,O,X,O,X
TILJOSZ,X,X,X,O,X,X,X,O,X,X,O,X
TILJOZS,X,O,X,X,X,X,X,O,O,X,O,X
TILSJZO,X,X,X,O,O,X,X,O,O,X,O,O
TILSJOZ,X,X,X,O,X,X,X,O,O,X,X,O
TILSZJO,X,X,X,O,O,X,X,O,O,X,O,O
TILSZOJ,X,X,X,O,O,X,X,O,O,X,X,O
TILSOJZ,X,X,X,O,X,X,X,O,O,X,X,O
TILSOZJ,X,X,X,X,X,X,X,X,O,X,X,O
TILZJSO,X,O,X,O,O,X,X,O,O,X,O,O
TILZJOS,X,O,X,O,X,X,X,O,O,X,O,O
TILZSJO,X,O,X,O,O,X,X,O,O,X,O,O
TILZSOJ,X,X,X,O,O,X,X,O,O,X,X,O
TILZOJS,X,O,X,O,X,X,X,O,O,X,O,O
TILZOSJ,X,X,X,O,O,X,X,O,X,X,O,O
TILOJSZ,X,X,X,O,X,X,X,O,X,X,O,X
TILOJZS,X,O,X,X,X,X,X,O,O,X,O,X
TILOSJZ,X,X,X,O,X,X,X,O,X,X,O,O
TILOSZJ,X,X,X,X,X,X,X,O,X,X,O,O
TILOZJS,X,O,X,X,X,X,X,O,O,X,O,O
TILOZSJ,X,X,X,X,X,X,X,O,X,X,O,O
TIJLSZO,X,X,X,O,O,X,X,O,O,X,O,X
TIJLSOZ,X,X,X,O,X,X,X,O,O,X,X,X
TIJLZSO,X,O,X,O,O,X,X,O,O,X,O,X
TIJLZOS,X,O,X,O,X,X,X,O,O,X,O,X
TIJLOSZ,X,X,X,O,X,X,X,O,X,X,O,X
TIJLOZS,X,O,X,X,X,X,X,O,O,X,O,X
TIJSLZO,X,X,X,O,O,O,X,O,O,X,O,X
TIJSLOZ,X,X,X,O,X,O,X,O,X,X,X,X
TIJSZLO,O,X,O,O,O,O,X,O,O,X,O,X
TIJSZOL,O,X,O,O,O,O,X,O,O,X,O,X
TIJSOLZ,X,X,O,X,X,O,X,X,X,X,O,X
TIJSOZL,X,X,O,O,X,O,X,O,O,X,O,X
TIJZLSO,X,O,O,O,O,X,X,O,O,X,O,X
TIJZLOS,X,O,X,O,X,X,X,O,O,X,O,X
TIJZSLO,O,X,O,O,O,O,X,O,O,X,O,X
TIJZSOL,O,O,O,O,O,O,X,O,O,X,O,X
TIJZOLS,X,O,X,O,X,X,X,X,O,X,O,X
TIJZOSL,O,O,O,O,X,X,X,O,O,X,O,X
TIJOLSZ,X,X,X,O,X,X,X,O,X,X,O,X
TIJOLZS,X,O,X,O,X,X,X,O,O,X,O,X
TIJOSLZ,X,X,X,O,X,X,X,X,O,X,O,X
TIJOSZL,O,X,X,O,X,X,X,O,O,X,O,X
TIJOZLS,X,O,X,O,X,X,X,X,O,X,O,X
TIJOZSL,O,O,X,O,X,X,X,O,O,X,O,X
