sequence,v115@HhD8BeB8BeG8CeH8AeA8JeT6IvhFxbB8hBfjB6jBmg?BFtB,v115@HhD8BeB8BeG8CeH8AeA8Je2/IvhFRbBzcBfjB6jBUh?BFtB,v115@HhD8BeB8BeG8CeH8AeA8JeT6IvhF2gBRcBSjB3hBUj?BFtB,v115@HhD8BeB8BeG8CeH8AeA8JeT6IvhFibBGeBRhBUjB3h?BFtB
ILTJZOS,X,X,X,O
ILTJOSZ,X,X,X,X
ILTJOZS,X,X,X,O
ILTSJZO,X,X,X,X
ILTSJOZ,X,X,X,X
ILTSZJO,X,X,X,O
ILTSZOJ,X,X,X,O
ILTSOJZ,X,X,X,X
ILTSOZJ,X,X,X,O
ILTZJSO,X,X,X,O
ILTZJOS,X,X,X,O
ILTZSJO,X,X,X,O
ILTZSOJ,X,X,X,O
ILTZOJS,X,X,X,O
ILTZOSJ,X,X,X,O
ILTOJSZ,X,X,X,X
ILTOJZS,X,X,X,O
ILTOSJZ,X,X,X,X
ILTOSZJ,X,X,X,O
ILTOZJS,X,X,X,O
ILTOZSJ,X,X,X,O
ILJTSZO,X,X,X,X
ILJTSOZ,X,X,X,X
ILJTZSO,X,X,X,O
ILJTZOS,X,X,X,O
ILJTOSZ,X,X,X,X
ILJTOZS,X,X,X,O
ILJSTZO,X,X,X,X
ILJSTOZ,X,X,O,X
ILJSZTO,X,X,X,X
ILJSZOT,X,X,O,X
ILJSOTZ,X,X,O,X
ILJSOZT,X,X,O,X
ILJZTSO,X,X,X,X
ILJZTOS,X,X,X,O
ILJZSTO,X,X,X,X
ILJZSOT,X,X,X,O
ILJZOTS,X,X,X,O
ILJZOST,X,X,X,O
ILJOTSZ,X,X,X,X
ILJOTZS,X,X,X,O
ILJOSTZ,X,X,O,X
ILJOSZT,X,X,O,X
ILJOZTS,X,X,X,O
ILJOZST,X,X,X,O
ILSTJZO,X,X,X,X
ILSTJOZ,X,X,O,X
ILSTZJO,X,X,X,O
ILSTZOJ,X,X,X,O
ILSTOJZ,X,X,O,X
ILSTOZJ,X,X,X,O
ILSJTZO,X,X,X,X
ILSJTOZ,X,X,O,X
ILSJZTO,X,X,X,X
ILSJZOT,X,X,O,X
ILSJOTZ,X,X,O,X
ILSJOZT,X,X,O,X
ILSZTJO,X,X,X,X
ILSZTOJ,X,X,X,X
ILSZJTO,X,X,X,X
ILSZJOT,X,X,O,O
ILSZOTJ,X,X,X,X
ILSZOJT,X,X,O,O
ILSOTJZ,X,X,O,X
ILSOTZJ,X,X,X,O
ILSOJTZ,X,X,O,X
ILSOJZT,X,X,O,X
ILSOZTJ,X,X,X,X
ILSOZJT,X,X,O,O
ILZTJSO,X,X,X,O
ILZTJOS,X,X,X,O
ILZTSJO,X,X,X,O
ILZTSOJ,X,X,X,O
ILZTOJS,X,X,X,O
ILZTOSJ,X,X,X,O
ILZJTSO,X,X,X,X
ILZJTOS,X,X,X,O
ILZJSTO,X,X,X,X
ILZJSOT,X,X,X,O
ILZJOTS,X,X,X,O
ILZJOST,X,X,X,O
ILZSTJO,X,X,X,X
ILZSTOJ,X,X,X,X
ILZSJTO,X,X,X,X
ILZSJOT,X,X,X,O
ILZSOTJ,X,X,X,X
ILZSOJT,X,X,X,O
ILZOTJS,X,X,X,O
ILZOTSJ,X,X,X,O
ILZOJTS,X,X,X,O
ILZOJST,X,X,X,O
ILZOSTJ,X,X,X,X
ILZOSJT,X,X,X,O
ILOTJSZ,X,X,X,X
ILOTJZS,X,X,X,O
ILOTSJZ,X,X,X,X
ILOTSZJ,X,X,X,O
ILOTZJS,X,X,X,O
ILOTZSJ,X,X,X,O
ILOJTSZ,X,X,X,X
ILOJTZS,X,X,X,O
ILOJSTZ,X,X,O,X
ILOJSZT,X,X,O,X
ILOJZTS,X,X,X,O
ILOJZST,X,X,X,O
ILOSTJZ,X,X,O,X
ILOSTZJ,X,X,X,O
ILOSJTZ,X,X,O,X
ILOSJZT,X,X,O,X
ILOSZTJ,X,X,X,X
ILOSZJT,X,X,O,O
ILOZTJS,X,X,X,O
ILOZTSJ,X,X,X,O
ILOZJTS,X,X,X,O
ILOZJST,X,X,X,O
ILOZSTJ,X,X,X,X
ILOZSJT,X,X,X,O
IJTLSZO,X,O,O,X
IJTLSOZ,X,O,O,X
IJTLZSO,X,O,X,O
IJTLZOS,X,O,X,O
IJTLOSZ,X,O,O,X
IJTLOZS,X,X,X,O
IJTSLZO,O,O,O,X
IJTSLOZ,O,O,O,X
IJTSZLO,O,O,O,X
IJTSZOL,O,O,O,X
IJTSOLZ,O,O,O,X
IJTSOZL,O,O,O,X
IJTZLSO,O,O,X,O
IJTZLOS,O,O,X,O
IJTZSLO,O,O,X,O
IJTZSOL,O,O,X,O
IJTZOLS,O,O,X,O
IJTZOSL,O,O,X,O
IJTOLSZ,X,O,O,X
IJTOLZS,X,X,X,O
IJTOSLZ,O,O,O,X
IJTOSZL,O,O,O,X
IJTOZLS,O,O,X,O
IJTOZSL,O,O,X,O
IJLTSZO,X,O,X,X
IJLTSOZ,X,O,X,X
IJLTZSO,X,O,X,O
IJLTZOS,X,O,X,O
IJLTOSZ,X,O,X,X
IJLTOZS,X,X,X,O
IJLSTZO,X,O,X,X
IJLSTOZ,X,O,O,X
IJLSZTO,X,O,X,X
IJLSZOT,X,O,O,X
IJLSOTZ,X,O,O,X
IJLSOZT,X,O,O,X
IJLZTSO,X,O,X,X
IJLZTOS,X,O,X,O
IJLZSTO,X,O,X,X
IJLZSOT,X,O,X,O
IJLZOTS,X,O,X,O
IJLZOST,X,O,X,O
IJLOTSZ,X,O,X,X
IJLOTZS,X,X,X,O
IJLOSTZ,X,O,O,X
IJLOSZT,X,O,O,X
IJLOZTS,X,X,X,O
IJLOZST,X,X,X,O
IJSTLZO,X,O,O,X
IJSTLOZ,X,O,O,X
IJSTZLO,X,O,O,X
IJSTZOL,X,O,O,X
IJSTOLZ,X,O,O,X
IJSTOZL,X,O,O,X
IJSLTZO,X,O,O,X
IJSLTOZ,X,O,O,X
IJSLZTO,O,O,X,X
IJSLZOT,O,O,O,X
IJSLOTZ,X,O,O,X
IJSLOZT,O,O,O,X
IJSZTLO,O,O,O,X
IJSZTOL,O,O,O,X
IJSZLTO,O,O,X,X
IJSZLOT,O,O,O,X
IJSZOTL,O,O,O,X
IJSZOLT,O,O,O,X
IJSOTLZ,X,O,O,X
IJSOTZL,X,O,O,X
IJSOLTZ,X,O,O,X
IJSOLZT,O,O,O,X
IJSOZTL,O,O,O,X
IJSOZLT,O,O,O,X
IJZTLSO,O,O,X,X
IJZTLOS,O,O,X,O
IJZTSLO,O,O,X,X
IJZTSOL,O,O,X,X
IJZTOLS,O,O,X,O
IJZTOSL,O,O,X,X
IJZLTSO,O,O,X,X
IJZLTOS,O,O,X,O
IJZLSTO,O,O,X,X
IJZLSOT,O,O,X,O
IJZLOTS,O,O,X,O
IJZLOST,O,O,X,O
IJZSTLO,O,O,X,X
IJZSTOL,O,O,X,X
IJZSLTO,O,O,X,X
IJZSLOT,O,O,X,O
IJZSOTL,O,O,X,X
IJZSOLT,O,O,X,O
IJZOTLS,O,O,X,O
IJZOTSL,O,O,X,X
IJZOLTS,O,O,X,O
IJZOLST,O,O,X,O
IJZOSTL,O,O,X,X
IJZOSLT,O,O,X,O
IJOTLSZ,X,O,O,X
IJOTLZS,X,X,X,O
IJOTSLZ,O,O,O,X
IJOTSZL,O,O,O,X
IJOTZLS,O,O,X,O
IJOTZSL,O,O,X,O
IJOLTSZ,X,O,X,X
IJOLTZS,X,X,X,O
IJOLSTZ,X,O,O,X
IJOLSZT,X,O,O,X
IJOLZTS,X,X,X,O
IJOLZST,X,X,X,O
IJOSTLZ,X,O,O,X
IJOSTZL,X,O,O,X
IJOSLTZ,X,O,O,X
IJOSLZT,O,O,O,X
IJOSZTL,O,O,O,X
IJOSZLT,O,O,O,X
IJOZTLS,O,O,X,O
IJOZTSL,O,O,X,X
IJOZLTS,O,O,X,O
IJOZLST,O,O,X,O
IJOZSTL,O,O,X,X
IJOZSLT,O,O,X,O
ISTLJZO,X,X,O,X
ISTLJOZ,X,X,O,X
ISTLZJO,X,X,O,O
ISTLZOJ,X,X,O,O
ISTLOJZ,X,X,O,X
ISTLOZJ,X,X,O,O
ISTJLZO,X,X,O,X
ISTJLOZ,X,X,O,X
ISTJZLO,X,X,O,X
ISTJZOL,X,X,O,X
ISTJOLZ,X,X,O,X
ISTJOZL,X,X,O,X
ISTZLJO,X,X,O,O
ISTZLOJ,X,X,O,O
ISTZJLO,X,X,O,O
ISTZJOL,X,X,O,O
ISTZOLJ,X,X,O,O
ISTZOJL,X,X,O,O
ISTOLJZ,X,X,O,X
ISTOLZJ,X,X,O,O
ISTOJLZ,X,X,O,X
ISTOJZL,X,X,O,X
ISTOZLJ,X,X,O,O
ISTOZJL,X,X,O,O
ISLTJZO,X,X,O,X
ISLTJOZ,X,X,O,X
ISLTZJO,X,X,O,O
ISLTZOJ,X,X,O,O
ISLTOJZ,X,X,O,X
ISLTOZJ,X,X,O,O
ISLJTZO,X,O,O,X
ISLJTOZ,X,O,O,X
ISLJZTO,O,O,X,X
ISLJZOT,O,O,O,X
ISLJOTZ,X,O,O,X
ISLJOZT,O,O,O,X
ISLZTJO,O,O,X,X
ISLZTOJ,O,O,X,X
ISLZJTO,O,O,X,X
ISLZJOT,O,O,O,O
ISLZOTJ,O,O,X,X
ISLZOJT,O,O,O,O
ISLOTJZ,X,X,O,X
ISLOTZJ,X,X,O,O
ISLOJTZ,X,O,O,X
ISLOJZT,O,O,O,X
ISLOZTJ,O,X,X,X
ISLOZJT,O,X,O,O
ISJTLZO,X,O,O,X
ISJTLOZ,X,O,O,X
ISJTZLO,X,O,O,X
ISJTZOL,X,O,O,X
ISJTOLZ,X,O,O,X
ISJTOZL,X,X,O,X
ISJLTZO,X,O,O,X
ISJLTOZ,X,O,O,X
ISJLZTO,O,O,X,X
ISJLZOT,O,O,O,X
ISJLOTZ,X,O,O,X
ISJLOZT,O,O,O,X
ISJZTLO,O,O,O,X
ISJZTOL,O,O,O,X
ISJZLTO,O,O,X,X
ISJZLOT,O,O,O,X
ISJZOTL,O,O,O,X
ISJZOLT,O,O,O,X
ISJOTLZ,X,O,O,X
ISJOTZL,X,X,O,X
ISJOLTZ,X,O,O,X
ISJOLZT,O,O,O,X
ISJOZTL,O,O,O,X
ISJOZLT,O,O,O,X
ISZTLJO,O,O,O,X
ISZTLOJ,O,O,O,X
ISZTJLO,O,O,O,X
ISZTJOL,O,O,O,X
ISZTOLJ,O,O,O,X
ISZTOJL,X,O,O,X
ISZLTJO,O,O,X,X
ISZLTOJ,O,O,X,X
ISZLJTO,O,O,X,X
ISZLJOT,O,O,O,O
ISZLOTJ,O,O,X,X
ISZLOJT,O,O,O,O
ISZJTLO,O,O,O,X
ISZJTOL,O,O,O,X
ISZJLTO,O,O,X,X
ISZJLOT,O,O,O,O
ISZJOTL,O,O,O,X
ISZJOLT,O,O,O,O
ISZOTLJ,O,O,O,X
ISZOTJL,X,O,O,X
ISZOLTJ,O,O,X,X
ISZOLJT,O,O,O,O
ISZOJTL,O,O,O,X
ISZOJLT,O,O,O,O
ISOTLJZ,X,X,O,X
ISOTLZJ,X,X,O,O
ISOTJLZ,X,X,O,X
ISOTJZL,X,X,O,X
ISOTZLJ,X,X,O,O
ISOTZJL,X,X,O,O
ISOLTJZ,X,X,O,X
ISOLTZJ,X,X,O,O
ISOLJTZ,X,O,O,X
ISOLJZT,O,O,O,X
ISOLZTJ,O,X,X,X
ISOLZJT,O,X,O,O
ISOJTLZ,X,O,O,X
ISOJTZL,X,X,O,X
ISOJLTZ,X,O,O,X
ISOJLZT,O,O,O,X
ISOJZTL,O,X,O,X
ISOJZLT,O,O,O,X
ISOZTLJ,O,X,O,X
ISOZTJL,X,X,O,X
ISOZLTJ,O,X,X,X
ISOZLJT,O,X,O,O
ISOZJTL,O,X,O,X
ISOZJLT,O,X,O,O
IZTLJSO,O,O,X,O
IZTLJOS,O,O,X,O
IZTLSJO,O,O,X,O
IZTLSOJ,O,O,X,O
IZTLOJS,X,O,X,O
IZTLOSJ,O,O,X,O
IZTJLSO,O,O,X,O
IZTJLOS,O,O,X,O
IZTJSLO,O,O,X,O
IZTJSOL,O,O,X,O
IZTJOLS,O,O,X,O
IZTJOSL,O,O,X,O
IZTSLJO,O,O,X,O
IZTSLOJ,O,O,X,O
IZTSJLO,O,O,X,O
IZTSJOL,O,O,X,O
IZTSOLJ,O,O,X,O
IZTSOJL,O,O,X,O
IZTOLJS,X,O,X,O
IZTOLSJ,O,O,X,O
IZTOJLS,O,O,X,O
IZTOJSL,O,O,X,O
IZTOSLJ,O,O,X,O
IZTOSJL,O,O,X,O
IZLTJSO,O,O,X,O
IZLTJOS,O,O,X,O
IZLTSJO,O,O,X,O
IZLTSOJ,O,O,X,O
IZLTOJS,X,O,X,O
IZLTOSJ,O,O,X,O
IZLJTSO,O,O,X,X
IZLJTOS,O,O,X,O
IZLJSTO,O,O,X,X
IZLJSOT,O,O,X,O
IZLJOTS,O,O,X,O
IZLJOST,O,O,X,O
IZLSTJO,O,O,X,X
IZLSTOJ,O,O,X,X
IZLSJTO,O,O,X,X
IZLSJOT,O,O,X,O
IZLSOTJ,O,O,X,X
IZLSOJT,O,O,X,O
IZLOTJS,X,O,X,O
IZLOTSJ,O,O,X,O
IZLOJTS,X,O,X,O
IZLOJST,X,O,X,O
IZLOSTJ,O,O,X,X
IZLOSJT,O,O,X,O
IZJTLSO,O,O,X,X
IZJTLOS,O,O,X,O
IZJTSLO,O,O,X,X
IZJTSOL,O,O,X,X
IZJTOLS,O,O,X,O
IZJTOSL,O,O,X,X
IZJLTSO,O,O,X,X
IZJLTOS,O,O,X,O
IZJLSTO,O,O,X,X
IZJLSOT,O,O,X,O
IZJLOTS,O,O,X,O
IZJLOST,O,O,X,O
IZJSTLO,O,O,X,X
IZJSTOL,O,O,X,X
IZJSLTO,O,O,X,X
IZJSLOT,O,O,X,O
IZJSOTL,O,O,X,X
IZJSOLT,O,O,X,O
IZJOTLS,O,O,X,O
IZJOTSL,O,O,X,X
IZJOLTS,O,O,X,O
IZJOLST,O,O,X,O
IZJOSTL,O,O,X,X
IZJOSLT,O,O,X,O
IZSTLJO,O,O,X,X
IZSTLOJ,O,O,X,X
IZSTJLO,O,O,X,X
IZSTJOL,O,O,X,X
IZSTOLJ,O,O,X,X
IZSTOJL,O,O,X,X
IZSLTJO,O,O,X,X
IZSLTOJ,O,O,X,X
IZSLJTO,O,O,X,X
IZSLJOT,O,O,X,O
IZSLOTJ,O,O,X,X
IZSLOJT,O,O,X,O
IZSJTLO,O,O,X,X
IZSJTOL,O,O,X,X
IZSJLTO,O,O,X,X
IZSJLOT,O,O,X,O
IZSJOTL,O,O,X,X
IZSJOLT,O,O,X,O
IZSOTLJ,O,O,X,X
IZSOTJL,O,O,X,X
IZSOLTJ,O,O,X,X
IZSOLJT,O,O,X,O
IZSOJTL,O,O,X,X
IZSOJLT,O,O,X,O
IZOTLJS,X,O,X,O
IZOTLSJ,O,O,X,O
IZOTJLS,O,O,X,O
IZOTJSL,O,O,X,O
IZOTSLJ,O,O,X,O
IZOTSJL,O,O,X,O
IZOLTJS,X,O,X,O
IZOLTSJ,O,O,X,O
IZOLJTS,X,O,X,O
IZOLJST,X,O,X,O
IZOLSTJ,O,O,X,X
IZOLSJT,O,O,X,O
IZOJTLS,O,O,X,O
IZOJTSL,O,O,X,X
IZOJLTS,O,O,X,O
IZOJLST,O,O,X,O
IZOJSTL,O,O,X,X
IZOJSLT,O,O,X,O
IZOSTLJ,O,O,X,X
IZOSTJL,O,O,X,X
IZOSLTJ,O,O,X,X
IZOSLJT,O,O,X,O
IZOSJTL,O,O,X,X
IZOSJLT,O,O,X,O
IOTLJSZ,X,X,O,X
IOTLJZS,X,X,X,O
IOTLSJZ,X,X,O,X
IOTLSZJ,X,X,O,O
IOTLZJS,X,X,X,O
IOTLZSJ,X,X,X,O
IOTJLSZ,X,O,O,X
IOTJLZS,X,X,X,O
IOTJSLZ,O,O,O,X
IOTJSZL,O,O,O,X
IOTJZLS,O,X,X,O
IOTJZSL,O,O,X,O
IOTSLJZ,O,O,O,X
IOTSLZJ,O,X,O,O
IOTSJLZ,O,O,O,X
IOTSJZL,O,O,O,X
IOTSZLJ,O,X,O,O
IOTSZJL,O,X,O,O
IOTZLJS,X,X,X,O
IOTZLSJ,O,X,X,O
IOTZJLS,O,X,X,O
IOTZJSL,O,X,X,O
IOTZSLJ,O,X,X,O
IOTZSJL,O,X,X,O
IOLTJSZ,X,X,X,X
IOLTJZS,X,X,X,O
IOLTSJZ,X,X,X,X
IOLTSZJ,X,X,X,O
IOLTZJS,X,X,X,O
IOLTZSJ,X,X,X,O
IOLJTSZ,X,X,X,X
IOLJTZS,X,X,X,O
IOLJSTZ,X,X,O,X
IOLJSZT,X,X,O,X
IOLJZTS,X,X,X,O
IOLJZST,X,X,X,O
IOLSTJZ,X,X,O,X
IOLSTZJ,X,X,X,O
IOLSJTZ,X,X,O,X
IOLSJZT,X,X,O,X
IOLSZTJ,X,X,X,X
IOLSZJT,X,X,O,O
IOLZTJS,X,X,X,O
IOLZTSJ,X,X,X,O
IOLZJTS,X,X,X,O
IOLZJST,X,X,X,O
IOLZSTJ,X,X,X,X
IOLZSJT,X,X,X,O
IOJTLSZ,X,O,O,X
IOJTLZS,X,X,X,O
IOJTSLZ,O,O,O,X
IOJTSZL,O,O,O,X
IOJTZLS,O,X,X,O
IOJTZSL,O,O,X,O
IOJLTSZ,X,O,X,X
IOJLTZS,X,X,X,O
IOJLSTZ,X,O,O,X
IOJLSZT,X,O,O,X
IOJLZTS,X,X,X,O
IOJLZST,X,X,X,O
IOJSTLZ,X,O,O,X
IOJSTZL,X,O,O,X
IOJSLTZ,X,O,O,X
IOJSLZT,O,O,O,X
IOJSZTL,O,X,O,X
IOJSZLT,O,O,O,X
IOJZTLS,O,X,X,O
IOJZTSL,O,O,X,X
IOJZLTS,O,X,X,O
IOJZLST,O,X,X,O
IOJZSTL,O,X,X,X
IOJZSLT,O,O,X,O
IOSTLJZ,X,X,O,X
IOSTLZJ,X,X,O,O
IOSTJLZ,X,X,O,X
IOSTJZL,X,X,O,X
IOSTZLJ,X,X,O,O
IOSTZJL,X,X,O,O
IOSLTJZ,X,X,O,X
IOSLTZJ,X,X,O,O
IOSLJTZ,X,O,O,X
IOSLJZT,O,O,O,X
IOSLZTJ,O,X,X,X
IOSLZJT,O,X,O,O
IOSJTLZ,X,O,O,X
IOSJTZL,X,X,O,X
IOSJLTZ,X,O,O,X
IOSJLZT,O,O,O,X
IOSJZTL,O,X,O,X
IOSJZLT,O,O,O,X
IOSZTLJ,O,X,O,X
IOSZTJL,X,X,O,X
IOSZLTJ,O,X,X,X
IOSZLJT,O,X,O,O
IOSZJTL,O,X,O,X
IOSZJLT,O,X,O,O
IOZTLJS,X,X,X,O
IOZTLSJ,O,X,X,O
IOZTJLS,O,X,X,O
IOZTJSL,O,X,X,O
IOZTSLJ,O,X,X,O
IOZTSJL,O,X,X,O
IOZLTJS,X,X,X,O
IOZLTSJ,O,X,X,O
IOZLJTS,X,X,X,O
IOZLJST,X,X,X,O
IOZLSTJ,O,X,X,X
IOZLSJT,O,X,X,O
IOZJTLS,O,X,X,O
IOZJTSL,O,X,X,X
IOZJLTS,O,X,X,O
IOZJLST,O,X,X,O
IOZJSTL,O,X,X,X
IOZJSLT,O,X,X,O
IOZSTLJ,O,X,X,X
IOZSTJL,O,X,X,X
IOZSLTJ,O,X,X,X
IOZSLJT,O,X,X,O
IOZSJTL,O,X,X,X
IOZSJLT,O,X,X,O
LTIJSZO,X,X,O,X
LTIJSOZ,X,X,O,X
LTIJZSO,X,X,X,O
LTIJZOS,X,X,X,O
LTIJOSZ,X,X,O,X
LTIJOZS,X,X,X,O
LTISJZO,X,X,O,X
LTISJOZ,X,X,O,X
LTISZJO,X,X,O,O
LTISZOJ,X,X,O,O
LTISOJZ,X,X,O,X
LTISOZJ,X,X,O,O
LTIZJSO,X,X,X,O
LTIZJOS,X,X,X,O
LTIZSJO,X,X,X,O
LTIZSOJ,X,X,X,O
LTIZOJS,X,X,X,O
LTIZOSJ,X,X,X,O
LTIOJSZ,X,X,O,X
LTIOJZS,X,X,X,O
LTIOSJZ,X,X,O,X
LTIOSZJ,X,X,O,O
LTIOZJS,X,X,X,O
LTIOZSJ,X,X,X,O
LTJISZO,X,O,O,X
LTJISOZ,X,O,O,X
LTJIZSO,X,O,X,O
LTJIZOS,X,O,X,O
LTJIOSZ,X,O,O,X
LTJIOZS,X,X,X,O
LTJSIZO,O,O,O,X
LTJSIOZ,O,O,O,X
LTJSZIO,O,O,O,X
LTJSZOI,O,O,O,X
LTJSOIZ,O,O,O,X
LTJSOZI,O,O,O,X
LTJZISO,O,O,X,O
LTJZIOS,O,O,X,O
LTJZSIO,O,O,O,O
LTJZSOI,O,O,O,O
LTJZOIS,O,O,X,O
LTJZOSI,O,O,O,O
LTJOISZ,X,O,O,X
LTJOIZS,X,X,X,O
LTJOSIZ,O,O,O,X
LTJOSZI,O,O,O,X
LTJOZIS,O,X,X,O
LTJOZSI,O,X,O,O
LTSIJZO,O,O,O,X
LTSIJOZ,O,O,O,X
LTSIZJO,O,O,O,O
LTSIZOJ,O,O,O,O
LTSIOJZ,O,O,O,X
LTSIOZJ,O,X,O,O
LTSJIZO,O,O,O,X
LTSJIOZ,O,O,O,X
LTSJZIO,O,O,O,X
LTSJZOI,O,O,O,X
LTSJOIZ,O,O,O,X
LTSJOZI,O,O,O,X
LTSZIJO,O,O,O,O
LTSZIOJ,O,O,O,O
LTSZJIO,O,O,O,O
LTSZJOI,O,O,O,O
LTSZOIJ,O,O,O,O
LTSZOJI,O,O,O,O
LTSOIJZ,O,O,O,X
LTSOIZJ,O,X,O,O
LTSOJIZ,O,O,O,X
LTSOJZI,O,O,O,X
LTSOZIJ,O,O,O,O
LTSOZJI,O,O,O,O
LTZIJSO,O,O,X,O
LTZIJOS,O,O,X,O
LTZISJO,O,O,X,O
LTZISOJ,O,O,X,O
LTZIOJS,X,O,X,O
LTZIOSJ,O,O,X,O
LTZJISO,O,O,X,O
LTZJIOS,O,O,X,O
LTZJSIO,O,O,O,O
LTZJSOI,O,O,O,O
LTZJOIS,O,O,X,O
LTZJOSI,O,O,O,O
LTZSIJO,O,O,O,O
LTZSIOJ,O,O,O,O
LTZSJIO,O,O,O,O
LTZSJOI,O,O,O,O
LTZSOIJ,O,O,O,O
LTZSOJI,O,O,O,O
LTZOIJS,X,O,X,O
LTZOISJ,O,O,X,O
LTZOJIS,O,O,X,O
LTZOJSI,O,O,O,O
LTZOSIJ,O,O,O,O
LTZOSJI,O,O,O,O
LTOIJSZ,X,X,O,X
LTOIJZS,X,X,X,O
LTOISJZ,X,X,O,X
LTOISZJ,X,X,O,O
LTOIZJS,X,X,X,O
LTOIZSJ,X,X,X,O
LTOJISZ,X,O,O,X
LTOJIZS,X,X,X,O
LTOJSIZ,O,O,O,X
LTOJSZI,O,O,O,X
LTOJZIS,O,X,X,O
LTOJZSI,O,X,O,O
LTOSIJZ,O,O,O,X
LTOSIZJ,O,X,O,O
LTOSJIZ,O,O,O,X
LTOSJZI,O,O,O,X
LTOSZIJ,O,X,O,O
LTOSZJI,O,O,O,O
LTOZIJS,X,X,X,O
LTOZISJ,O,X,X,O
LTOZJIS,O,X,X,O
LTOZJSI,O,X,O,O
LTOZSIJ,O,X,O,O
LTOZSJI,O,X,O,O
LITJSZO,X,X,X,X
LITJSOZ,X,X,X,X
LITJZSO,X,X,X,O
LITJZOS,X,X,X,O
LITJOSZ,X,X,X,X
LITJOZS,X,X,X,O
LITSJZO,X,X,X,X
LITSJOZ,X,X,X,X
LITSZJO,X,X,X,O
LITSZOJ,X,X,X,O
LITSOJZ,X,X,X,X
LITSOZJ,X,X,X,O
LITZJSO,X,X,X,O
LITZJOS,X,X,X,O
LITZSJO,X,X,X,O
LITZSOJ,X,X,X,O
LITZOJS,X,X,X,O
LITZOSJ,X,X,X,O
LITOJSZ,X,X,X,X
LITOJZS,X,X,X,O
LITOSJZ,X,X,X,X
LITOSZJ,X,X,X,O
LITOZJS,X,X,X,O
LITOZSJ,X,X,X,O
LIJTSZO,X,X,X,X
LIJTSOZ,X,X,X,X
LIJTZSO,X,X,X,O
LIJTZOS,X,X,X,O
LIJTOSZ,X,X,X,X
LIJTOZS,X,X,X,O
LIJSTZO,X,X,X,X
LIJSTOZ,X,X,O,X
LIJSZTO,X,X,X,X
LIJSZOT,X,X,O,X
LIJSOTZ,X,X,O,X
LIJSOZT,X,X,O,X
LIJZTSO,X,X,X,X
LIJZTOS,X,X,X,O
LIJZSTO,X,X,X,X
LIJZSOT,X,X,X,O
LIJZOTS,X,X,X,O
LIJZOST,X,X,X,O
LIJOTSZ,X,X,X,X
LIJOTZS,X,X,X,O
LIJOSTZ,X,X,O,X
LIJOSZT,X,X,O,X
LIJOZTS,X,X,X,O
LIJOZST,X,X,X,O
LISTJZO,X,X,X,X
LISTJOZ,X,X,O,X
LISTZJO,X,X,X,O
LISTZOJ,X,X,X,O
LISTOJZ,X,X,O,X
LISTOZJ,X,X,X,O
LISJTZO,X,X,X,X
LISJTOZ,X,X,O,X
LISJZTO,X,X,X,X
LISJZOT,X,X,O,X
LISJOTZ,X,X,O,X
LISJOZT,X,X,O,X
LISZTJO,X,X,X,X
LISZTOJ,X,X,X,X
LISZJTO,X,X,X,X
LISZJOT,X,X,O,O
LISZOTJ,X,X,X,X
LISZOJT,X,X,O,O
LISOTJZ,X,X,O,X
LISOTZJ,X,X,X,O
LISOJTZ,X,X,O,X
LISOJZT,X,X,O,X
LISOZTJ,X,X,X,X
LISOZJT,X,X,O,O
LIZTJSO,X,X,X,O
LIZTJOS,X,X,X,O
LIZTSJO,X,X,X,O
LIZTSOJ,X,X,X,O
LIZTOJS,X,X,X,O
LIZTOSJ,X,X,X,O
LIZJTSO,X,X,X,X
LIZJTOS,X,X,X,O
LIZJSTO,X,X,X,X
LIZJSOT,X,X,X,O
LIZJOTS,X,X,X,O
LIZJOST,X,X,X,O
LIZSTJO,X,X,X,X
LIZSTOJ,X,X,X,X
LIZSJTO,X,X,X,X
LIZSJOT,X,X,X,O
LIZSOTJ,X,X,X,X
LIZSOJT,X,X,X,O
LIZOTJS,X,X,X,O
LIZOTSJ,X,X,X,O
LIZOJTS,X,X,X,O
LIZOJST,X,X,X,O
LIZOSTJ,X,X,X,X
LIZOSJT,X,X,X,O
LIOTJSZ,X,X,X,X
LIOTJZS,X,X,X,O
LIOTSJZ,X,X,X,X
LIOTSZJ,X,X,X,O
LIOTZJS,X,X,X,O
LIOTZSJ,X,X,X,O
LIOJTSZ,X,X,X,X
LIOJTZS,X,X,X,O
LIOJSTZ,X,X,O,X
LIOJSZT,X,X,O,X
LIOJZTS,X,X,X,O
LIOJZST,X,X,X,O
LIOSTJZ,X,X,O,X
LIOSTZJ,X,X,X,O
LIOSJTZ,X,X,O,X
LIOSJZT,X,X,O,X
LIOSZTJ,X,X,X,X
LIOSZJT,X,X,O,O
LIOZTJS,X,X,X,O
LIOZTSJ,X,X,X,O
LIOZJTS,X,X,X,O
LIOZJST,X,X,X,O
LIOZSTJ,X,X,X,X
LIOZSJT,X,X,X,O
LJTISZO,X,O,O,X
LJTISOZ,X,O,O,X
LJTIZSO,X,O,X,O
LJTIZOS,X,O,X,O
LJTIOSZ,X,O,O,X
LJTIOZS,X,X,X,O
LJTSIZO,O,O,O,X
LJTSIOZ,O,O,O,X
LJTSZIO,O,O,O,X
LJTSZOI,O,O,O,X
LJTSOIZ,O,O,O,X
LJTSOZI,O,O,O,X
LJTZISO,O,O,X,O
