sequence,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je06IvhFxdB2kBFiB6?oBznB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhF5jBykBFiB8?nBmnB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jem9IvhF5jBifBFiB0?fBznB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhFxdBykBFiB8?nB+oB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je06IvhFxdB2kBFiBC?oBToB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhFldB5jBykBU?iBeoB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFifBFiBTjB0?fBWtB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF3fBFiB6oB8?pBznBOpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je5DJvhF/kBalBFiB8?nBmnBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhF5jBzfBUiBa?oBlnB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeVCJvhFTeBifB0fBx?nBWtB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhFViBajB5jBz?kB0nB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhFxdBUiBFjBz?kBStB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeX9IvhFVjBmfB0kBx?nBStBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFykBFiBGoB0?kBXoBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF/kBalBFiB8?nB+oBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFmfBFiBXjB0?kBStBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF3fBFiB8pBC?oBToBOpB
TILJSZO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TILJSOZ,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TILJZSO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
TILJZOS,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TILJOSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TILSJZO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSJOZ,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TILSZJO,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
TILSZOJ,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TILSOJZ,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TILZJSO,O,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X
TILZJOS,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZSJO,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X
TILZSOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
TILZOJS,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TILZOSJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILOJSZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TILOSJZ,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOZJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLSZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJLSOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJLZSO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
TIJLZOS,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TIJSLZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIJSZLO,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TIJSZOL,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJSOLZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TIJZLOS,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJZSLO,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TIJZSOL,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJZOLS,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJZOSL,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJOLSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TIJOSLZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
