sequence,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBfmB0hBmiBSs?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBGhBiiBUmB3n?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBfmB6mBOnB8n?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBChBXiB8nB2r?BFqB,v115@GhA8IeA8HeB8AeA8AeG8Jex/IvhFylBziBOpB3mBUn?BFqB,v115@GhA8IeA8HeB8AeA8AeG8Jex/IvhFylBziBOpBUnB3m?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFUgBGhBKnBziBfq?BVwB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFUgBFhBmiBfqBSw?BTsB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFFgB6mBOnB8nBfq?BzqB
TILJSZO,O,X,X,O,O,O,O,O,X
TILJSOZ,O,X,X,O,O,O,O,O,X
TILJZSO,O,X,X,O,O,O,O,O,X
TILJZOS,O,X,X,O,O,O,O,X,X
TILJOSZ,O,X,X,O,O,O,O,O,X
TILJOZS,O,X,X,O,O,O,O,O,X
TILSJZO,O,O,O,O,O,X,O,O,O
TILSJOZ,O,O,O,O,O,X,O,O,X
TILSZJO,O,O,O,O,X,X,O,O,O
TILSZOJ,O,O,O,O,X,X,O,O,O
TILSOJZ,O,O,O,O,O,X,O,O,X
TILSOZJ,O,O,O,O,X,X,O,O,O
TILZJSO,O,O,O,O,X,O,O,O,O
TILZJOS,O,O,O,O,X,O,O,X,O
TILZSJO,O,O,O,O,X,X,O,O,O
TILZSOJ,O,O,O,O,X,X,O,O,O
TILZOJS,O,O,O,O,X,O,O,O,O
TILZOSJ,O,O,O,O,X,X,O,O,O
TILOJSZ,O,X,X,O,O,O,O,O,X
TILOJZS,O,X,X,O,O,O,O,O,X
TILOSJZ,O,O,O,O,O,X,O,O,O
TILOSZJ,O,O,O,O,X,X,O,O,O
TILOZJS,O,O,O,O,X,O,O,O,O
TILOZSJ,O,O,O,O,X,X,O,O,O
TIJLSZO,O,X,X,O,O,O,O,O,X
TIJLSOZ,O,X,X,O,O,O,O,O,X
TIJLZSO,O,X,X,O,O,O,O,O,X
