sequence,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhFXdBOjBSnBl?lB0rBzqB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jel7IvhFCdBOjB/mBT?iB0lBRwB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhF6iBOjB3gBz?hB8qB1wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFxcBOjBSnBl?lBXrBzrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je08IvhFxdBziBllB3?mB6qB2wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je08IvhFxdB3gBziBl?mB6qB2wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFxcBOjBTiBl?lBXrBqrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je38IvhFFeB5lB0iBi?gBTrBmrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhF6hBxdBziBl?lBXrBesB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhFTdBOjBllBc?rBXsBCrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFzcB3iBFjBx?lBCrB2wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFXdBOjBSnBl?lBTmBRwB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhFOjBTiBllBc?rBCrBXsB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex9IvhF3gBziBGrBa?sBcrBlqB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jem7IvhFXeB1lBzhB0?iBSrBRwB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jem7IvhF0dB1lBzhBX?jBSrBRwB
TILJSZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TILJSOZ,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
TILJZSO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TILJZOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILJOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TILJOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TILSJZO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSJOZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TILSZJO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSOJZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TILSOZJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZJSO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TILZJOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZSJO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TILZSOJ,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TILZOJS,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TILZOSJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TILOJSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TILOJZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TILOSJZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
