sequence,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3bBzcB5jB8lBSnBlrB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3cB5jB6lBTiBUhBlrB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3bBUdB5jBzlBFnB6rB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF/iB5jB6lBThB8rBFrB
TILJSZO,O,X,X,O
TILJSOZ,O,O,X,X
TILJZSO,O,X,X,X
TILJZOS,O,O,O,X
TILJOSZ,O,O,O,X
TILJOZS,O,O,O,X
TILSJZO,O,X,X,O
TILSJOZ,O,O,X,X
TILSZJO,O,X,X,O
TILSZOJ,O,X,X,O
TILSOJZ,O,O,X,X
TILSOZJ,O,O,X,X
TILZJSO,O,X,X,X
TILZJOS,O,O,O,X
TILZSJO,O,X,X,X
TILZSOJ,O,X,X,X
TILZOJS,O,O,O,X
TILZOSJ,O,O,O,X
TILOJSZ,O,O,O,X
TILOJZS,O,O,O,X
TILOSJZ,O,O,O,X
TILOSZJ,O,O,O,X
TILOZJS,O,O,O,X
TILOZSJ,O,O,O,X
TIJLSZO,O,X,X,O
TIJLSOZ,O,O,X,X
TIJLZSO,O,X,X,X
TIJLZOS,O,O,O,X
TIJLOSZ,O,O,O,X
TIJLOZS,O,O,O,X
TIJSLZO,O,X,X,O
TIJSLOZ,O,X,X,X
TIJSZLO,O,X,X,O
TIJSZOL,O,X,O,X
TIJSOLZ,X,X,O,X
TIJSOZL,X,X,O,X
TIJZLSO,O,X,X,X
TIJZLOS,O,X,O,X
TIJZSLO,O,X,X,X
TIJZSOL,O,X,O,X
TIJZOLS,O,X,O,X
TIJZOSL,O,X,O,X
TIJOLSZ,O,O,O,X
TIJOLZS,O,O,O,X
TIJOSLZ,X,O,O,X
TIJOSZL,X,X,O,X
TIJOZLS,O,X,O,X
TIJOZSL,O,X,O,X
TISLJZO,O,X,X,O
TISLJOZ,O,O,X,X
TISLZJO,O,X,X,O
TISLZOJ,O,X,X,O
TISLOJZ,O,O,X,X
TISLOZJ,O,O,X,X
TISJLZO,O,X,X,O
TISJLOZ,O,X,X,X
TISJZLO,O,X,X,O
TISJZOL,O,X,O,X
TISJOLZ,X,X,O,X
TISJOZL,X,X,O,X
TISZLJO,O,X,X,O
TISZLOJ,O,X,X,O
TISZJLO,O,X,X,O
TISZJOL,O,X,O,X
TISZOLJ,O,X,O,O
TISZOJL,O,X,O,X
TISOLJZ,X,O,O,X
TISOLZJ,X,O,O,X
TISOJLZ,X,O,O,X
TISOJZL,X,X,O,X
TISOZLJ,X,O,O,X
TISOZJL,X,X,O,X
TIZLJSO,O,X,X,X
TIZLJOS,O,O,O,X
TIZLSJO,O,X,X,X
TIZLSOJ,O,X,X,X
TIZLOJS,O,O,O,X
TIZLOSJ,O,O,O,X
TIZJLSO,O,X,X,X
TIZJLOS,O,X,O,X
TIZJSLO,O,X,X,X
TIZJSOL,O,X,O,X
TIZJOLS,O,X,O,X
TIZJOSL,O,X,O,X
TIZSLJO,O,X,X,X
TIZSLOJ,O,X,X,X
TIZSJLO,O,X,X,X
TIZSJOL,O,X,O,X
TIZSOLJ,O,X,O,X
TIZSOJL,O,X,O,X
TIZOLJS,O,O,O,X
TIZOLSJ,O,O,O,X
TIZOJLS,O,X,O,X
TIZOJSL,O,X,O,X
TIZOSLJ,O,O,O,X
TIZOSJL,O,X,O,X
TIOLJSZ,O,O,O,X
TIOLJZS,O,O,O,X
TIOLSJZ,O,O,O,X
TIOLSZJ,O,O,O,X
TIOLZJS,O,O,O,X
TIOLZSJ,O,O,O,X
TIOJLSZ,O,O,O,X
TIOJLZS,O,O,O,X
TIOJSLZ,X,O,O,X
TIOJSZL,X,X,O,X
TIOJZLS,O,X,O,X
TIOJZSL,O,X,O,X
TIOSLJZ,X,O,O,X
TIOSLZJ,X,O,O,X
TIOSJLZ,X,O,O,X
TIOSJZL,X,X,O,X
TIOSZLJ,X,O,O,X
TIOSZJL,X,X,O,X
TIOZLJS,O,O,O,X
TIOZLSJ,O,O,O,X
TIOZJLS,O,X,O,X
TIOZJSL,O,X,O,X
