sequence,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhF8gBzcBuiBifBlm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jem6IvhFfhB0cBldBxkBCn?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhF0cBldB2kBzgBCn?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jei6IvhFRcBuiBFgBXhB8m?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhFlcB3dBzgBCnBOp?B8pB,v115@8gA8HeB8HeG8AeD8BeH8JeU8IvhFRdBFgBTiBGmB/p?BipB,v115@8gA8HeB8HeG8AeD8BeH8Jel7IvhF3cBuiBifB8mBRq?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Je8AJvhFRdBifBGiBXgBlm?BTpB,v115@8gA8HeB8HeG8AeD8BeH8JeK/IvhFUcBRdBFgBTiBGm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jex7IvhFldBTgB/mBOpBUn?B6pB,v115@8gA8HeB8HeG8AeD8BeH8JeVBJvhF3dBzfBGmBZkBUn?BCqB,v115@8gA8HeB8HeG8AeD8BeH8JeK/IvhFzbBRdBUgBGiBlm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jez7IvhFRdBUgBGiBlmB/p?BipB
TILJSZO,X,O,X,O,X,X,O,O,X,X,X,O,O
TILJSOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
TILJZSO,X,O,X,O,X,X,O,O,X,X,X,O,X
TILJZOS,X,X,X,O,X,X,O,O,X,X,X,O,X
TILJOSZ,X,O,X,X,X,X,X,X,X,X,X,O,X
TILJOZS,X,X,X,O,X,X,O,O,X,X,X,O,X
TILSJZO,X,O,X,O,X,X,O,O,X,X,X,O,O
TILSJOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
TILSZJO,X,O,X,X,X,X,O,X,X,X,X,O,O
TILSZOJ,X,O,X,X,X,X,O,X,X,X,X,X,X
TILSOJZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,O,X,O,X,X,O,O,X,X,X,O,X
TILZJOS,X,X,X,O,X,X,O,O,X,X,X,O,X
TILZSJO,X,O,X,O,X,X,O,X,X,X,X,O,X
TILZSOJ,X,O,X,O,X,X,O,X,X,X,X,X,X
TILZOJS,X,X,X,O,X,X,O,X,X,X,X,O,X
TILZOSJ,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,X,O,X,X,O,X
