sequence,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFTbBOhBfjB6jB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFOgBXcBSjBUjBzlBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFOhBfjB6jBTgB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFTbBGeBylBUjBXmBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFXcBCeB2lBTjB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFOgBXcBFjBzlBctBCtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhF0bBCeB/lBTjBOmBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFWjBigBXhBTjB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFWjBigB0gBTjBXmBFtB
TILJSZO,O,O,O,X,X,X,X,O,O
TILJSOZ,O,O,O,X,O,X,X,O,O
TILJZSO,O,O,X,O,X,X,X,O,O
TILJZOS,O,X,X,O,X,X,X,O,O
TILJOSZ,X,O,O,X,O,X,X,O,O
TILJOZS,X,O,X,O,O,X,X,O,O
TILSJZO,O,O,O,X,X,X,X,O,O
TILSJOZ,O,O,O,X,O,X,X,O,O
TILSZJO,O,O,O,O,X,X,X,X,X
TILSZOJ,O,X,O,O,X,X,O,X,X
TILSOJZ,O,O,O,X,O,X,O,X,X
TILSOZJ,O,O,O,O,O,X,O,X,X
TILZJSO,O,O,X,O,X,X,X,O,O
TILZJOS,O,X,X,O,X,X,X,O,O
TILZSJO,O,O,X,O,X,X,X,X,X
TILZSOJ,O,X,X,O,X,X,X,X,X
TILZOJS,O,O,X,O,X,X,X,X,X
TILZOSJ,O,O,X,O,X,X,X,X,X
TILOJSZ,X,O,O,X,O,X,O,O,O
TILOJZS,X,O,X,O,O,X,X,O,O
TILOSJZ,X,O,O,X,O,X,O,X,X
TILOSZJ,X,O,O,O,O,X,O,X,X
TILOZJS,X,O,X,O,O,X,X,X,X
TILOZSJ,X,O,X,O,O,X,O,X,X
TIJLSZO,O,O,O,X,X,X,X,O,O
TIJLSOZ,O,O,O,X,O,X,X,O,O
TIJLZSO,O,O,X,O,X,X,X,O,O
TIJLZOS,O,X,X,O,X,X,X,O,O
TIJLOSZ,X,O,O,X,O,X,X,O,O
TIJLOZS,X,O,X,O,O,X,X,O,O
TIJSLZO,O,O,O,X,X,X,X,O,O
TIJSLOZ,O,O,O,X,O,X,X,O,O
TIJSZLO,O,O,O,X,X,X,X,X,X
TIJSZOL,O,X,O,X,O,X,O,X,X
TIJSOLZ,O,O,O,X,O,X,O,X,X
TIJSOZL,O,X,O,X,O,X,O,X,X
TIJZLSO,O,O,X,O,X,X,X,O,O
TIJZLOS,O,X,X,O,X,X,X,O,O
TIJZSLO,O,O,O,O,X,X,X,X,X
TIJZSOL,O,X,O,X,O,X,X,X,X
TIJZOLS,O,X,X,O,O,X,X,X,X
TIJZOSL,O,X,O,X,O,X,X,X,X
TIJOLSZ,X,O,O,X,O,X,O,O,O
TIJOLZS,X,O,X,X,O,X,X,O,O
TIJOSLZ,O,O,O,X,O,X,O,X,X
TIJOSZL,O,O,O,X,O,X,O,X,X
TIJOZLS,O,O,X,X,O,X,X,X,X
TIJOZSL,O,O,O,X,O,X,X,X,X
TISLJZO,O,O,O,X,X,X,X,O,O
TISLJOZ,O,O,O,X,O,X,X,O,O
TISLZJO,O,O,O,O,X,X,X,X,X
TISLZOJ,O,X,O,O,X,X,O,X,X
TISLOJZ,O,O,O,X,O,X,O,X,X
TISLOZJ,O,O,O,O,O,X,O,X,X
TISJLZO,O,O,O,X,X,X,X,O,O
TISJLOZ,O,O,O,X,O,X,X,O,O
TISJZLO,O,O,O,X,X,X,X,X,X
TISJZOL,O,X,O,X,O,X,O,X,X
TISJOLZ,O,O,O,X,O,X,O,X,X
TISJOZL,O,X,O,X,O,X,O,X,X
TISZLJO,O,O,O,O,X,X,X,X,X
TISZLOJ,O,X,O,O,X,X,O,X,X
TISZJLO,O,O,O,O,X,X,X,X,X
TISZJOL,O,X,O,X,O,X,O,X,X
TISZOLJ,O,X,O,X,O,X,O,X,X
TISZOJL,O,X,O,X,O,X,O,X,X
TISOLJZ,O,O,O,X,O,X,O,X,X
TISOLZJ,O,O,O,X,O,X,O,X,X
TISOJLZ,O,O,O,X,O,X,O,X,X
TISOJZL,O,O,O,X,O,X,O,X,X
TISOZLJ,O,O,O,X,O,X,O,X,X
TISOZJL,O,O,O,X,O,X,O,X,X
TIZLJSO,O,O,X,O,X,X,X,O,O
TIZLJOS,O,X,X,O,X,X,X,O,O
TIZLSJO,O,O,X,O,X,X,X,X,X
TIZLSOJ,O,X,X,O,X,X,X,X,X
TIZLOJS,O,O,X,O,X,O,X,X,X
TIZLOSJ,O,O,X,O,X,O,X,X,X
TIZJLSO,O,O,X,O,X,X,X,O,O
TIZJLOS,O,X,X,O,X,X,X,O,O
TIZJSLO,O,O,O,O,X,X,X,X,X
TIZJSOL,O,X,O,X,O,X,X,X,X
TIZJOLS,O,X,X,O,O,O,X,X,X
TIZJOSL,O,X,O,X,O,O,X,X,X
TIZSLJO,O,O,O,O,X,X,X,X,X
TIZSLOJ,O,X,O,O,X,X,O,X,X
TIZSJLO,O,O,O,O,X,X,X,X,X
TIZSJOL,O,X,O,X,O,X,O,X,X
TIZSOLJ,O,X,O,X,O,O,O,X,X
TIZSOJL,O,X,O,X,O,O,O,X,X
TIZOLJS,O,O,X,O,O,O,X,X,X
TIZOLSJ,O,O,X,O,O,O,O,X,X
TIZOJLS,O,O,X,O,O,O,X,X,X
TIZOJSL,O,O,O,X,O,O,X,X,X
TIZOSLJ,O,O,O,X,O,O,O,X,X
TIZOSJL,O,O,O,X,O,O,O,X,X
TIOLJSZ,X,O,O,X,O,X,O,O,O
TIOLJZS,X,O,X,O,O,X,X,O,O
TIOLSJZ,X,O,O,X,O,X,O,X,X
TIOLSZJ,X,O,O,O,O,X,O,X,X
TIOLZJS,X,O,X,O,O,X,X,X,X
TIOLZSJ,X,O,X,O,O,X,O,X,X
TIOJLSZ,X,O,O,X,O,X,O,O,O
TIOJLZS,X,O,X,X,O,X,X,O,O
TIOJSLZ,O,O,O,X,O,X,O,X,X
TIOJSZL,O,O,O,X,O,O,O,X,X
TIOJZLS,O,O,X,X,O,O,X,X,X
TIOJZSL,O,O,O,X,O,O,X,X,X
TIOSLJZ,O,O,O,X,O,X,O,X,X
TIOSLZJ,O,O,O,X,O,X,O,X,X
TIOSJLZ,O,O,O,X,O,X,O,X,X
TIOSJZL,O,O,O,X,O,O,O,X,X
TIOSZLJ,O,O,O,X,O,O,O,X,X
TIOSZJL,O,O,O,X,O,O,O,X,X
TIOZLJS,O,O,X,O,O,O,X,X,X
TIOZLSJ,O,O,X,O,O,O,O,X,X
TIOZJLS,O,O,X,O,O,O,X,X,X
TIOZJSL,O,O,O,X,O,O,X,X,X
TIOZSLJ,O,O,O,X,O,O,O,X,X
TIOZSJL,O,O,O,X,O,O,O,X,X
TLIJSZO,O,O,O,X,X,X,X,O,O
TLIJSOZ,O,O,O,X,O,X,X,O,O
TLIJZSO,O,O,X,O,X,X,X,O,O
TLIJZOS,O,X,X,O,X,X,X,O,O
TLIJOSZ,X,O,O,X,O,X,X,O,O
TLIJOZS,X,O,X,O,O,X,X,O,O
TLISJZO,O,O,O,X,X,X,X,O,O
TLISJOZ,O,O,O,X,O,X,X,O,O
TLISZJO,O,O,O,O,X,X,X,X,X
TLISZOJ,O,X,O,O,X,X,O,X,X
TLISOJZ,O,O,O,X,O,X,O,X,X
TLISOZJ,O,O,O,O,O,X,O,X,X
TLIZJSO,O,O,X,O,X,X,X,O,O
TLIZJOS,O,X,X,O,X,X,X,O,O
TLIZSJO,O,O,X,O,X,X,X,X,X
TLIZSOJ,O,X,X,O,X,X,X,X,X
TLIZOJS,O,O,X,O,X,X,X,X,X
TLIZOSJ,O,O,X,O,X,X,X,X,X
TLIOJSZ,X,O,O,X,O,X,O,O,O
TLIOJZS,X,O,X,O,O,X,X,O,O
TLIOSJZ,X,O,O,X,O,X,O,X,X
TLIOSZJ,X,O,O,O,O,X,O,X,X
TLIOZJS,X,O,X,O,O,X,X,X,X
TLIOZSJ,X,O,X,O,O,X,O,X,X
TLJISZO,O,O,O,X,X,X,X,O,O
TLJISOZ,O,O,O,X,O,X,X,O,O
TLJIZSO,O,O,X,O,X,X,X,O,O
TLJIZOS,O,X,X,O,X,X,X,O,O
TLJIOSZ,X,O,O,X,O,X,X,O,O
TLJIOZS,X,O,X,O,O,X,X,O,O
TLJSIZO,O,O,O,X,X,X,X,O,O
TLJSIOZ,O,O,O,X,O,X,X,O,O
TLJSZIO,O,O,O,X,X,X,X,X,X
TLJSZOI,O,X,O,X,X,X,X,X,X
TLJSOIZ,O,O,O,X,O,X,X,X,X
TLJSOZI,O,X,O,X,O,X,X,X,X
TLJZISO,O,O,X,O,X,X,X,O,O
TLJZIOS,O,X,X,O,X,X,X,O,O
TLJZSIO,O,O,X,O,X,X,X,X,X
TLJZSOI,O,X,X,O,X,X,X,X,X
TLJZOIS,O,X,X,O,X,X,X,X,X
TLJZOSI,O,X,X,O,X,X,X,X,X
TLJOISZ,X,O,O,X,O,X,X,O,O
TLJOIZS,X,O,X,O,O,X,X,O,O
TLJOSIZ,X,O,O,X,O,X,X,X,X
TLJOSZI,X,O,O,X,O,X,X,X,X
TLJOZIS,X,O,X,O,O,X,X,X,X
TLJOZSI,X,O,X,O,O,X,X,X,X
TLSIJZO,O,O,O,X,X,X,X,O,O
TLSIJOZ,O,O,O,X,O,X,X,O,O
TLSIZJO,O,O,O,O,X,X,X,X,X
TLSIZOJ,O,X,O,O,X,X,O,X,X
TLSIOJZ,O,O,O,X,O,X,O,X,X
TLSIOZJ,O,O,O,O,O,X,O,X,X
TLSJIZO,O,O,O,X,X,X,X,O,O
TLSJIOZ,O,O,O,X,O,X,X,O,O
TLSJZIO,O,O,O,X,X,X,X,X,X
TLSJZOI,O,X,O,X,X,X,X,X,X
TLSJOIZ,O,O,O,X,O,X,X,X,X
TLSJOZI,O,X,O,X,O,X,X,X,X
TLSZIJO,O,O,O,O,X,X,X,X,X
TLSZIOJ,O,X,O,O,X,X,O,X,X
TLSZJIO,O,O,O,O,X,X,X,X,X
TLSZJOI,O,X,O,O,X,X,X,X,X
TLSZOIJ,O,X,O,O,X,X,O,X,X
TLSZOJI,O,X,O,O,X,X,O,X,X
TLSOIJZ,O,O,O,X,O,X,O,X,X
TLSOIZJ,O,O,O,O,O,X,O,X,X
TLSOJIZ,O,O,O,X,O,X,O,X,X
TLSOJZI,O,O,O,X,O,X,O,X,X
TLSOZIJ,O,O,O,O,O,X,O,X,X
TLSOZJI,O,O,O,O,O,X,O,X,X
TLZIJSO,O,O,X,O,X,X,X,O,O
TLZIJOS,O,X,X,O,X,X,X,O,O
TLZISJO,O,O,X,O,X,X,X,X,X
TLZISOJ,O,X,X,O,X,X,X,X,X
TLZIOJS,O,O,X,O,X,X,X,X,X
TLZIOSJ,O,O,X,O,X,X,X,X,X
TLZJISO,O,O,X,O,X,X,X,O,O
TLZJIOS,O,X,X,O,X,X,X,O,O
TLZJSIO,O,O,X,O,X,X,X,X,X
TLZJSOI,O,X,X,O,X,X,X,X,X
TLZJOIS,O,X,X,O,X,X,X,X,X
TLZJOSI,O,X,X,O,X,X,X,X,X
TLZSIJO,O,O,X,O,X,X,X,X,X
TLZSIOJ,O,X,X,O,X,X,X,X,X
TLZSJIO,O,O,X,O,X,X,X,X,X
TLZSJOI,O,X,X,O,X,X,X,X,X
TLZSOIJ,O,X,X,O,X,X,X,X,X
TLZSOJI,O,X,X,O,X,X,X,X,X
TLZOIJS,O,O,X,O,X,X,X,X,X
TLZOISJ,O,O,X,O,X,X,X,X,X
TLZOJIS,O,O,X,O,X,X,X,X,X
TLZOJSI,O,O,X,O,X,X,X,X,X
TLZOSIJ,O,O,X,O,X,X,X,X,X
