sequence,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFzcBGeBUjBF?nB3sBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeF8IvhF0dB6jB3hBm?nBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JecBJvhFTdB6jBeoBF?nB3qBxwB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeU8IvhFFdB6jBziBm?mB3sBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFGdBTeBFnBX?oBUsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFFdBXeBWnBc?oBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeU8IvhFGeBiiB3hBF?oBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeG9IvhFTeBihBUnBF?oB3qBxwB,v115@zgC8GeD8FeD8FeF8CeC8FeB8Jex9IvhFlhBcnBTjB3?sByvBGrB,v115@zgC8GeD8FeD8FeF8CeC8FeB8Jex9IvhFlhB3iBcoBT?sByvBGrB
TILJSZO,X,O,O,O,O,O,O,X,X,X
TILJSOZ,X,O,O,O,O,X,X,X,X,X
TILJZSO,O,O,O,O,O,O,O,O,X,X
TILJZOS,O,O,O,O,X,O,O,O,X,X
TILJOSZ,X,O,O,X,O,X,X,X,X,X
TILJOZS,O,O,O,O,X,O,O,X,X,X
TILSJZO,O,O,X,O,O,X,O,X,X,X
TILSJOZ,O,O,X,O,O,X,X,X,X,X
TILSZJO,O,O,X,O,O,X,O,X,X,X
TILSZOJ,O,O,X,O,O,X,X,X,X,X
TILSOJZ,O,O,X,O,O,X,X,X,X,X
TILSOZJ,O,O,X,O,O,X,X,X,X,X
TILZJSO,O,O,O,O,O,O,O,O,X,X
TILZJOS,O,O,O,O,X,O,O,O,X,X
TILZSJO,O,O,X,O,O,O,O,O,X,X
TILZSOJ,O,O,X,O,O,O,X,O,X,X
TILZOJS,O,O,O,O,X,O,O,O,X,X
TILZOSJ,O,O,X,O,X,O,X,O,X,X
TILOJSZ,X,O,O,X,O,O,X,X,X,X
TILOJZS,O,O,O,X,X,O,O,X,X,X
