sequence,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFqfBTbBmcB1?qBXrB0rB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFFbBmcBflBC?hBzqB0rB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jex6IvhFicBOkBXgBF?mB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFCbB2hBXgBF?mB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei6IvhF3bBzcBckBV?mB2qBRwB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFGbBzfBFmB0?qB/rBasB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeT6IvhF2gB8hBikB3?lBFmBRwB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jex6IvhFicBOkBFlBX?mB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei6IvhFRcBckB3hBT?lB2wBlqB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFFbBzcBflBC?mB2wB8qB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFzaB3cBUlBF?mBuqBywB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeT6IvhFxbB8hBikB3?lB2wBlqB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFufB3bBlhBy?qB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Je2/IvhFRbBfmBlhBi?kB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei6IvhFRcBckBlgB/?qBOrBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei8IvhFxkBXmBOkBF?lBzrB0qB
TILJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILJZOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSZJO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILSZOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILSOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TILZJOS,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TILZSOJ,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TILOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJLZOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJLOSZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJSZLO,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TIJSZOL,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TIJSOLZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJSOZL,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIJZLOS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJZSLO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIJZSOL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJZOSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJOLSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOSZL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
TISLZJO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TISLZOJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TISLOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
TISJZLO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TISJZOL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O
TISJOLZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
TISJOZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TISZLJO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TISZLOJ,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
