sequence,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFXcBFiB8nB6rBOs?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFXcBTdBcmBynBWw?BFsB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFXdBamBziB0hBWw?BFsB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFTdBFhB8nBasBGr?BXrB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFFhBXiB8nB6rBOs?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFeiBfjBFhBcsB6r?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFTdBFhB8nBSrBes?BXrB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFKiBfjBFhBWsBzq?B0rB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFeiBfjBFhBcsBCr?BTrB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhF6hB0dB2nBVrBXs?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhF0dB3hBlnBuqBTm?BywB
TILJSZO,X,O,X,O,X,X,X,X,X,X,X
TILJSOZ,X,O,O,X,X,X,X,X,X,X,X
TILJZSO,X,O,X,O,X,X,X,X,X,X,X
TILJZOS,X,O,O,O,X,X,O,X,X,X,X
TILJOSZ,X,O,O,X,X,X,X,X,X,X,X
TILJOZS,X,O,O,O,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,X,X,O
TILSJOZ,X,X,X,X,X,X,X,X,X,X,O
TILSZJO,O,O,X,X,X,X,X,X,O,X,O
TILSZOJ,O,O,X,O,X,X,X,X,X,X,X
TILSOJZ,X,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,O,O,X,X,X,X,X,X,X,X
TILZJSO,O,O,X,O,X,X,X,X,X,X,X
TILZJOS,X,O,X,O,X,X,O,X,X,X,X
TILZSJO,O,O,X,X,O,X,X,X,X,X,O
TILZSOJ,O,O,X,O,O,X,X,X,X,X,X
TILZOJS,X,O,X,O,X,X,X,X,X,X,X
TILZOSJ,O,O,O,O,X,X,X,X,X,X,X
TILOJSZ,X,O,O,X,X,X,X,O,X,X,X
TILOJZS,X,O,O,X,X,X,X,X,X,X,X
TILOSJZ,X,X,O,X,X,X,X,X,X,X,X
TILOSZJ,X,O,O,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,O,X,X,X,X,X,X,X
TILOZSJ,X,O,O,O,O,X,X,X,X,X,X
TIJLSZO,X,O,X,O,X,X,O,X,X,X,X
TIJLSOZ,X,O,O,X,X,X,X,X,X,X,X
TIJLZSO,X,O,X,O,X,X,O,X,X,X,X
TIJLZOS,X,O,O,O,X,X,O,X,X,X,X
TIJLOSZ,X,O,O,X,X,X,X,X,X,X,X
TIJLOZS,X,O,O,O,X,X,O,X,X,X,X
TIJSLZO,X,O,X,X,X,X,X,X,X,O,O
TIJSLOZ,X,O,X,X,X,X,X,O,X,O,X
TIJSZLO,X,O,X,X,X,X,X,X,X,O,O
TIJSZOL,X,O,X,X,X,X,O,X,X,O,O
TIJSOLZ,X,X,X,X,X,X,X,X,X,O,X
TIJSOZL,X,X,X,X,X,X,X,X,X,O,O
TIJZLSO,X,O,X,O,X,X,O,X,X,X,X
TIJZLOS,X,O,X,O,X,X,O,X,X,X,X
TIJZSLO,X,O,X,X,O,X,X,X,X,O,O
TIJZSOL,X,O,X,X,O,X,O,X,X,O,O
TIJZOLS,X,O,X,O,X,X,O,X,X,X,X
TIJZOSL,X,O,X,X,X,X,O,X,X,X,X
TIJOLSZ,X,O,O,X,X,X,X,O,X,X,X
TIJOLZS,X,O,O,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,O,X,X,X
TIJOSZL,X,X,X,X,X,X,X,O,X,X,X
