sequence,v115@RhB8GeF8AeD8Je2EJvhFRgBCiBTjB3lB0nBlrB,v115@RhB8GeF8AeD8Jex/IvhF8lBzhBCjBmkBXoBlrB,v115@RhB8GeF8AeD8JeT/IvhFigBRiBcoB3lBGnBlrB,v115@RhB8GeF8AeD8JeT/IvhFOlB8lBCiBxnBXoBlrB,v115@RhB8GeF8AeD8Jei/IvhFzhBunBcoBRlB3lBlrB,v115@RhB8GeF8AeD8Jei/IvhFzgBWnBxiBUlBXoBlrB,v115@RhB8GeF8AeD8Jei/IvhFWnBTjBRlB3lB0nBlrB,v115@RhB8GeF8AeD8Jei/IvhFRhBGjBFlBXmB8rBzsB,v115@RhB8GeF8AeD8Je2EJvhFzgBCiBxnBUlBXoBlrB,v115@RhB8GeF8AeD8Jex/IvhFlhB3iBcoBmkBzlBCsB,v115@RhB8GeF8AeD8JeT/IvhFOlBCmBxnB/rBUsBFtB
TIZOLSJ,O,O,O,O,O,O,X,O,X,X,X
TIZOJLS,O,O,O,O,O,O,O,O,O,X,X
TIZOJSL,O,O,O,O,O,O,X,O,X,X,X
TIZOSLJ,O,O,O,O,O,O,X,O,X,X,X
TIZOSJL,O,O,O,O,O,O,X,O,X,X,X
TIOLJSZ,O,X,X,X,X,O,O,O,O,X,O
TIOLJZS,O,X,X,O,O,O,O,O,O,X,O
TIOLSJZ,O,X,X,X,X,O,O,O,O,X,X
TIOLSZJ,O,X,X,O,O,O,X,X,X,X,X
TIOLZJS,X,X,X,O,O,X,O,O,O,X,X
TIOLZSJ,X,X,X,O,O,X,X,O,X,X,X
TIOJLSZ,O,X,X,X,X,O,O,O,O,X,O
TIOJLZS,O,X,X,O,O,O,O,O,O,X,O
TIOJSLZ,O,O,O,X,X,O,O,O,O,X,X
TIOJSZL,O,O,O,X,X,O,X,X,X,X,X
TIOJZLS,O,O,O,O,O,O,O,O,O,X,X
TIOJZSL,X,O,O,O,O,X,X,O,X,X,X
TIOSLJZ,O,O,O,X,X,O,O,O,O,X,X
TIOSLZJ,O,O,O,O,O,O,X,X,X,X,X
TIOSJLZ,O,O,O,X,X,O,O,O,O,X,X
TIOSJZL,O,O,O,X,X,O,X,X,X,X,X
TIOSZLJ,O,O,O,O,O,O,X,X,X,X,X
TIOSZJL,O,O,O,O,O,O,X,X,X,X,X
TIOZLJS,X,X,O,O,O,X,O,O,O,X,X
TIOZLSJ,X,O,O,O,O,X,X,O,X,X,X
TIOZJLS,X,O,O,O,O,X,O,O,O,X,X
TIOZJSL,X,O,O,O,O,X,X,O,X,X,X
TIOZSLJ,X,O,O,O,O,X,X,O,X,X,X
TIOZSJL,X,O,O,O,O,X,X,O,X,X,X
TLIJSZO,O,X,X,X,X,O,X,O,X,O,X
TLIJSOZ,O,X,X,X,X,O,O,O,O,X,X
TLIJZSO,O,X,X,O,O,O,X,O,X,O,X
TLIJZOS,O,X,X,O,O,O,O,O,O,O,X
TLIJOSZ,O,X,X,X,X,O,O,O,O,X,O
TLIJOZS,O,X,X,O,O,O,O,O,O,O,O
TLISJZO,O,X,X,X,X,O,X,O,X,X,X
TLISJOZ,O,X,X,X,X,O,O,O,O,X,X
TLISZJO,O,X,X,O,O,O,X,O,X,X,X
TLISZOJ,O,X,X,O,O,O,X,O,X,X,X
TLISOJZ,O,X,X,X,X,O,O,O,O,X,X
TLISOZJ,O,X,X,O,O,O,X,X,X,X,X
TLIZJSO,O,X,X,O,O,O,X,O,X,O,X
TLIZJOS,O,X,X,O,O,O,O,O,O,O,X
TLIZSJO,O,X,X,O,O,O,X,O,X,O,X
TLIZSOJ,O,X,X,O,O,O,X,O,X,O,X
TLIZOJS,O,X,X,O,O,O,O,O,O,O,X
TLIZOSJ,O,X,X,O,O,O,X,O,X,O,X
TLIOJSZ,O,X,X,X,X,O,O,O,O,O,O
TLIOJZS,O,X,X,O,O,O,O,O,O,O,O
TLIOSJZ,O,X,X,X,X,O,O,O,O,X,X
TLIOSZJ,O,X,X,O,O,O,X,X,X,O,X
TLIOZJS,X,X,X,O,O,X,O,O,O,O,X
TLIOZSJ,X,X,X,O,O,X,X,O,X,O,X
TLJISZO,O,X,X,X,X,O,X,O,X,O,X
TLJISOZ,O,X,X,X,X,O,O,O,O,X,X
TLJIZSO,O,X,X,O,O,O,X,O,X,O,X
TLJIZOS,O,X,X,O,O,O,O,O,O,O,X
TLJIOSZ,O,X,X,X,X,O,O,O,O,X,O
TLJIOZS,O,X,X,O,O,O,O,O,O,O,O
TLJSIZO,O,O,O,X,X,O,X,O,X,O,X
TLJSIOZ,O,O,O,X,X,O,O,O,O,X,X
TLJSZIO,O,O,O,X,X,O,X,O,X,O,X
TLJSZOI,O,O,O,X,X,O,X,O,X,O,X
TLJSOIZ,O,O,O,X,X,O,O,O,O,X,X
TLJSOZI,O,O,O,X,X,O,X,O,X,X,X
TLJZISO,O,O,O,O,O,O,X,O,X,O,X
TLJZIOS,O,O,O,O,O,O,O,O,O,O,X
TLJZSIO,O,O,O,O,O,O,X,O,X,O,X
TLJZSOI,O,O,O,O,O,O,X,O,X,O,X
TLJZOIS,O,O,O,O,O,O,O,O,O,O,X
TLJZOSI,O,O,O,O,O,O,X,O,X,O,X
TLJOISZ,O,X,X,X,X,O,O,O,O,O,O
TLJOIZS,O,X,X,O,O,O,O,O,O,O,O
TLJOSIZ,O,O,O,X,X,O,O,O,O,O,X
TLJOSZI,O,O,O,X,X,O,X,O,X,O,X
TLJOZIS,O,O,O,O,O,O,O,O,O,O,X
TLJOZSI,O,O,O,O,O,O,X,O,X,O,X
TLSIJZO,O,O,O,X,X,O,X,O,X,X,X
TLSIJOZ,O,O,O,X,X,O,O,O,O,X,X
TLSIZJO,O,O,O,O,O,O,X,O,X,X,X
TLSIZOJ,O,O,O,O,O,O,X,O,X,X,X
TLSIOJZ,O,O,O,X,X,O,O,O,O,X,X
TLSIOZJ,O,O,O,O,O,O,X,X,X,X,X
TLSJIZO,O,O,O,X,X,O,X,O,X,O,X
TLSJIOZ,O,O,O,X,X,O,O,O,O,X,X
TLSJZIO,O,O,O,X,X,O,X,O,X,O,X
TLSJZOI,O,O,O,X,X,O,X,O,X,O,X
TLSJOIZ,O,O,O,X,X,O,O,O,O,X,X
