sequence,v115@RhB8GeF8AeD8Je2EJvhFRgBCiBTjB3lB0nBlrB,v115@RhB8GeF8AeD8Jex/IvhF8lBzhBCjBmkBXoBlrB,v115@RhB8GeF8AeD8JeT/IvhFigBRiBcoB3lBGnBlrB,v115@RhB8GeF8AeD8JeT/IvhFOlB8lBCiBxnBXoBlrB,v115@RhB8GeF8AeD8Jei/IvhFzhBunBcoBRlB3lBlrB,v115@RhB8GeF8AeD8Jei/IvhFzgBWnBxiBUlBXoBlrB,v115@RhB8GeF8AeD8Jei/IvhFWnBTjBRlB3lB0nBlrB,v115@RhB8GeF8AeD8Jei/IvhFRhBGjBFlBXmB8rBzsB,v115@RhB8GeF8AeD8Je2EJvhFzgBCiBxnBUlBXoBlrB,v115@RhB8GeF8AeD8Jex/IvhFlhB3iBcoBmkBzlBCsB,v115@RhB8GeF8AeD8JeT/IvhFOlBCmBxnB/rBUsBFtB
TSLIJOZ,O,O,O,X,X,O,O,O,O,X,X
TSLIZJO,O,O,O,O,O,O,X,O,X,X,X
TSLIZOJ,O,O,O,O,O,O,X,O,X,X,X
TSLIOJZ,O,O,O,X,X,O,O,O,O,X,X
TSLIOZJ,O,O,O,O,O,O,X,X,X,X,X
TSLJIZO,O,O,O,X,X,O,X,O,X,X,X
TSLJIOZ,O,O,O,X,X,O,O,O,O,X,X
TSLJZIO,O,O,O,X,X,O,X,O,X,X,X
TSLJZOI,O,O,O,X,X,O,X,O,X,X,X
TSLJOIZ,O,O,O,X,X,O,O,O,O,X,X
TSLJOZI,O,O,O,X,X,O,X,O,X,X,X
TSLZIJO,O,O,O,O,O,O,X,O,X,X,X
TSLZIOJ,O,O,O,O,O,O,X,O,X,X,X
TSLZJIO,O,O,O,O,O,O,X,O,X,X,X
TSLZJOI,O,O,O,O,O,O,X,O,X,X,X
TSLZOIJ,O,O,O,O,O,O,X,O,X,X,X
TSLZOJI,O,O,O,O,O,O,X,O,X,X,X
TSLOIJZ,O,O,O,X,X,O,O,O,O,X,X
TSLOIZJ,O,O,O,O,O,O,X,X,X,X,X
TSLOJIZ,O,O,O,X,X,O,O,O,O,X,X
TSLOJZI,O,O,O,X,X,O,X,O,X,X,X
TSLOZIJ,O,O,O,O,O,O,X,O,X,X,X
TSLOZJI,O,O,O,O,O,O,X,O,X,X,X
TSJILZO,O,O,O,X,X,O,X,O,X,X,X
TSJILOZ,O,O,O,X,X,O,O,O,O,X,X
TSJIZLO,O,O,O,X,X,O,X,X,X,X,X
TSJIZOL,O,O,O,X,X,O,X,X,X,X,X
TSJIOLZ,O,O,O,X,X,O,O,X,O,X,X
TSJIOZL,O,O,O,X,X,O,X,X,X,X,X
TSJLIZO,O,O,O,X,X,O,X,O,X,X,X
TSJLIOZ,O,O,O,X,X,O,O,O,O,X,X
TSJLZIO,O,O,O,X,X,O,X,O,X,X,X
TSJLZOI,O,O,O,X,X,O,X,O,X,X,X
TSJLOIZ,O,O,O,X,X,O,O,O,O,X,X
TSJLOZI,O,O,O,X,X,O,X,O,X,X,X
TSJZILO,O,O,O,X,X,O,X,O,X,X,X
TSJZIOL,O,O,O,X,X,O,X,O,X,X,X
TSJZLIO,O,O,O,X,X,O,X,O,X,X,X
TSJZLOI,O,O,O,X,X,O,X,O,X,X,X
TSJZOIL,O,O,O,X,X,O,X,O,X,X,X
TSJZOLI,O,O,O,X,X,O,X,O,X,X,X
TSJOILZ,O,O,O,X,X,O,O,O,O,X,X
TSJOIZL,O,O,O,X,X,O,X,X,X,X,X
TSJOLIZ,O,O,O,X,X,O,O,O,O,X,X
TSJOLZI,O,O,O,X,X,O,X,O,X,X,X
TSJOZIL,O,O,O,X,X,O,X,O,X,X,X
TSJOZLI,O,O,O,X,X,O,X,O,X,X,X
TSZILJO,O,O,O,O,O,O,X,O,X,X,X
TSZILOJ,O,O,O,O,O,O,X,O,X,X,X
TSZIJLO,O,O,O,O,O,O,X,O,X,X,X
TSZIJOL,O,O,O,O,O,O,X,O,X,X,X
TSZIOLJ,O,O,O,O,O,O,X,O,X,X,X
TSZIOJL,O,O,O,O,O,O,X,O,X,X,X
TSZLIJO,O,O,O,O,O,O,X,O,X,X,X
TSZLIOJ,O,O,O,O,O,O,X,O,X,X,X
TSZLJIO,O,O,O,O,O,O,X,O,X,X,X
TSZLJOI,O,O,O,O,O,O,X,O,X,X,X
TSZLOIJ,O,O,O,O,O,O,X,O,X,X,X
TSZLOJI,O,O,O,O,O,O,X,O,X,X,X
TSZJILO,O,O,O,O,O,O,X,O,X,X,X
TSZJIOL,O,O,O,O,O,O,X,O,X,X,X
TSZJLIO,O,O,O,O,O,O,X,O,X,X,X
TSZJLOI,O,O,O,O,O,O,X,O,X,X,X
TSZJOIL,O,O,O,O,O,O,X,O,X,X,X
TSZJOLI,O,O,O,O,O,O,X,O,X,X,X
TSZOILJ,O,O,O,O,O,O,X,O,X,X,X
TSZOIJL,O,O,O,O,O,O,X,O,X,X,X
TSZOLIJ,O,O,O,O,O,O,X,O,X,X,X
TSZOLJI,O,O,O,O,O,O,X,O,X,X,X
TSZOJIL,O,O,O,O,O,O,X,O,X,X,X
TSZOJLI,O,O,O,O,O,O,X,O,X,X,X
TSOILJZ,O,O,O,X,X,O,O,O,O,X,X
TSOILZJ,O,O,O,O,O,O,X,X,X,X,X
TSOIJLZ,O,O,O,X,X,O,O,O,O,X,X
TSOIJZL,O,O,O,X,X,O,X,X,X,X,X
TSOIZLJ,O,O,O,O,O,O,X,X,X,X,X
TSOIZJL,O,O,O,O,O,O,X,X,X,X,X
TSOLIJZ,O,O,O,X,X,O,O,O,O,X,X
TSOLIZJ,O,O,O,O,O,O,X,X,X,X,X
TSOLJIZ,O,O,O,X,X,O,O,O,O,X,X
TSOLJZI,O,O,O,X,X,O,X,O,X,X,X
TSOLZIJ,O,O,O,O,O,O,X,O,X,X,X
TSOLZJI,O,O,O,O,O,O,X,O,X,X,X
TSOJILZ,O,O,O,X,X,O,O,O,O,X,X
TSOJIZL,O,O,O,X,X,O,X,X,X,X,X
TSOJLIZ,O,O,O,X,X,O,O,O,O,X,X
TSOJLZI,O,O,O,X,X,O,X,O,X,X,X
TSOJZIL,O,O,O,X,X,O,X,O,X,X,X
TSOJZLI,O,O,O,X,X,O,X,O,X,X,X
TSOZILJ,O,O,O,O,O,O,X,O,X,X,X
TSOZIJL,O,O,O,O,O,O,X,O,X,X,X
TSOZLIJ,O,O,O,O,O,O,X,O,X,X,X
TSOZLJI,O,O,O,O,O,O,X,O,X,X,X
TSOZJIL,O,O,O,O,O,O,X,O,X,X,X
TSOZJLI,O,O,O,O,O,O,X,O,X,X,X
TZILJSO,O,X,O,O,O,O,X,O,X,X,X
TZILJOS,O,X,O,O,O,O,O,O,O,X,X
TZILSJO,O,O,O,O,O,O,X,O,X,X,X
TZILSOJ,O,O,O,O,O,O,X,O,X,X,X
TZILOJS,O,X,O,O,O,O,O,O,O,X,X
TZILOSJ,O,O,O,O,O,O,X,O,X,X,X
TZIJLSO,O,O,O,O,O,O,X,O,X,X,X
TZIJLOS,O,O,O,O,O,O,O,O,O,X,X
TZIJSLO,O,O,O,O,O,O,X,O,X,X,X
TZIJSOL,O,O,O,O,O,O,X,O,X,X,X
TZIJOLS,O,O,O,O,O,O,O,O,O,X,X
TZIJOSL,O,O,O,O,O,O,X,O,X,X,X
TZISLJO,O,O,O,O,O,O,X,O,X,X,X
TZISLOJ,O,O,O,O,O,O,X,O,X,X,X
TZISJLO,O,O,O,O,O,O,X,O,X,X,X
TZISJOL,O,O,O,O,O,O,X,O,X,X,X
TZISOLJ,O,O,O,O,O,O,X,O,X,X,X
TZISOJL,O,O,O,O,O,O,X,O,X,X,X
TZIOLJS,O,X,O,O,O,O,O,O,O,X,X
TZIOLSJ,O,O,O,O,O,O,X,O,X,X,X
TZIOJLS,O,O,O,O,O,O,O,O,O,X,X
TZIOJSL,O,O,O,O,O,O,X,O,X,X,X
TZIOSLJ,O,O,O,O,O,O,X,O,X,X,X
TZIOSJL,O,O,O,O,O,O,X,O,X,X,X
TZLIJSO,O,X,O,O,O,O,X,O,X,O,X
TZLIJOS,O,X,O,O,O,O,O,O,O,O,X
TZLISJO,O,O,O,O,O,O,X,O,X,O,X
TZLISOJ,O,O,O,O,O,O,X,O,X,O,X
TZLIOJS,O,X,O,O,O,O,O,O,O,O,X
TZLIOSJ,O,O,O,O,O,O,X,O,X,O,X
TZLJISO,O,O,O,O,O,O,X,O,X,O,X
TZLJIOS,O,O,O,O,O,O,O,O,O,O,X
TZLJSIO,O,O,O,O,O,O,X,O,X,O,X
TZLJSOI,O,O,O,O,O,O,X,O,X,O,X
TZLJOIS,O,O,O,O,O,O,O,O,O,O,X
TZLJOSI,O,O,O,O,O,O,X,O,X,O,X
TZLSIJO,O,O,O,O,O,O,X,O,X,O,X
TZLSIOJ,O,O,O,O,O,O,X,O,X,O,X
TZLSJIO,O,O,O,O,O,O,X,O,X,O,X
TZLSJOI,O,O,O,O,O,O,X,O,X,O,X
TZLSOIJ,O,O,O,O,O,O,X,O,X,O,X
TZLSOJI,O,O,O,O,O,O,X,O,X,O,X
TZLOIJS,O,X,O,O,O,O,O,O,O,O,X
TZLOISJ,O,O,O,O,O,O,X,O,X,O,X
TZLOJIS,O,O,O,O,O,O,O,O,O,O,X
TZLOJSI,O,O,O,O,O,O,X,O,X,O,X
TZLOSIJ,O,O,O,O,O,O,X,O,X,O,X
TZLOSJI,O,O,O,O,O,O,X,O,X,O,X
TZJILSO,O,O,O,O,O,O,X,O,X,O,X
TZJILOS,O,O,O,O,O,O,O,O,O,O,X
TZJISLO,O,O,O,O,O,O,X,O,X,O,X
TZJISOL,O,O,O,O,O,O,X,O,X,O,X
TZJIOLS,O,O,O,O,O,O,O,O,O,O,X
TZJIOSL,O,O,O,O,O,O,X,O,X,O,X
TZJLISO,O,O,O,O,O,O,X,O,X,O,X
TZJLIOS,O,O,O,O,O,O,O,O,O,O,X
TZJLSIO,O,O,O,O,O,O,X,O,X,O,X
TZJLSOI,O,O,O,O,O,O,X,O,X,O,X
TZJLOIS,O,O,O,O,O,O,O,O,O,O,X
TZJLOSI,O,O,O,O,O,O,X,O,X,O,X
TZJSILO,O,O,O,O,O,O,X,O,X,O,X
TZJSIOL,O,O,O,O,O,O,X,O,X,O,X
TZJSLIO,O,O,O,O,O,O,X,O,X,O,X
TZJSLOI,O,O,O,O,O,O,X,O,X,O,X
TZJSOIL,O,O,O,O,O,O,X,O,X,O,X
TZJSOLI,O,O,O,O,O,O,X,O,X,O,X
TZJOILS,O,O,O,O,O,O,O,O,O,O,X
TZJOISL,O,O,O,O,O,O,X,O,X,O,X
TZJOLIS,O,O,O,O,O,O,O,O,O,O,X
TZJOLSI,O,O,O,O,O,O,X,O,X,O,X
TZJOSIL,O,O,O,O,O,O,X,O,X,O,X
TZJOSLI,O,O,O,O,O,O,X,O,X,O,X
TZSILJO,O,O,O,O,O,O,X,O,X,X,X
TZSILOJ,O,O,O,O,O,O,X,O,X,X,X
TZSIJLO,O,O,O,O,O,O,X,O,X,O,X
TZSIJOL,O,O,O,O,O,O,X,O,X,O,X
TZSIOLJ,O,O,O,O,O,O,X,O,X,O,X
TZSIOJL,O,O,O,O,O,O,X,O,X,O,X
TZSLIJO,O,O,O,O,O,O,X,O,X,O,X
TZSLIOJ,O,O,O,O,O,O,X,O,X,O,X
TZSLJIO,O,O,O,O,O,O,X,O,X,O,X
TZSLJOI,O,O,O,O,O,O,X,O,X,O,X
TZSLOIJ,O,O,O,O,O,O,X,O,X,O,X
TZSLOJI,O,O,O,O,O,O,X,O,X,O,X
TZSJILO,O,O,O,O,O,O,X,O,X,O,X
TZSJIOL,O,O,O,O,O,O,X,O,X,O,X
TZSJLIO,O,O,O,O,O,O,X,O,X,O,X
TZSJLOI,O,O,O,O,O,O,X,O,X,O,X
TZSJOIL,O,O,O,O,O,O,X,O,X,O,X
TZSJOLI,O,O,O,O,O,O,X,O,X,O,X
TZSOILJ,O,O,O,O,O,O,X,O,X,O,X
TZSOIJL,O,O,O,O,O,O,X,O,X,O,X
TZSOLIJ,O,O,O,O,O,O,X,O,X,O,X
TZSOLJI,O,O,O,O,O,O,X,O,X,O,X
TZSOJIL,O,O,O,O,O,O,X,O,X,O,X
TZSOJLI,O,O,O,O,O,O,X,O,X,O,X
TZOILJS,O,X,O,O,O,O,O,O,O,O,X
TZOILSJ,O,O,O,O,O,O,X,O,X,O,X
TZOIJLS,O,O,O,O,O,O,O,O,O,O,X
TZOIJSL,O,O,O,O,O,O,X,O,X,O,X
TZOISLJ,O,O,O,O,O,O,X,O,X,O,X
TZOISJL,O,O,O,O,O,O,X,O,X,O,X
TZOLIJS,O,X,O,O,O,O,O,O,O,O,X
TZOLISJ,O,O,O,O,O,O,X,O,X,O,X
TZOLJIS,O,O,O,O,O,O,O,O,O,O,X
TZOLJSI,O,O,O,O,O,O,X,O,X,O,X
TZOLSIJ,O,O,O,O,O,O,X,O,X,O,X
TZOLSJI,O,O,O,O,O,O,X,O,X,O,X
TZOJILS,O,O,O,O,O,O,O,O,O,O,X
TZOJISL,O,O,O,O,O,O,X,O,X,O,X
TZOJLIS,O,O,O,O,O,O,O,O,O,O,X
TZOJLSI,O,O,O,O,O,O,X,O,X,O,X
TZOJSIL,O,O,O,O,O,O,X,O,X,O,X
TZOJSLI,O,O,O,O,O,O,X,O,X,O,X
TZOSILJ,O,O,O,O,O,O,X,O,X,O,X
TZOSIJL,O,O,O,O,O,O,X,O,X,O,X
TZOSLIJ,O,O,O,O,O,O,X,O,X,O,X
TZOSLJI,O,O,O,O,O,O,X,O,X,O,X
TZOSJIL,O,O,O,O,O,O,X,O,X,O,X
TZOSJLI,O,O,O,O,O,O,X,O,X,O,X
TOILJSZ,O,X,X,X,X,O,O,O,O,O,O
TOILJZS,O,X,X,O,O,O,O,O,O,O,O
TOILSJZ,O,X,X,X,X,O,O,O,O,X,X
TOILSZJ,O,X,X,O,O,O,X,X,X,O,X
TOILZJS,X,X,X,O,O,X,O,O,O,O,X
TOILZSJ,X,X,X,O,O,X,X,O,X,O,X
TOIJLSZ,O,X,X,X,X,O,O,O,O,O,O
TOIJLZS,O,X,X,O,O,O,O,O,O,O,O
TOIJSLZ,O,O,O,X,X,O,O,O,O,O,X
TOIJSZL,O,O,O,X,X,O,X,X,X,O,X
TOIJZLS,O,O,O,O,O,O,O,O,O,O,X
TOIJZSL,X,O,O,O,O,X,X,O,X,O,X
TOISLJZ,O,O,O,X,X,O,O,O,O,X,X
TOISLZJ,O,O,O,O,O,O,X,X,X,O,X
TOISJLZ,O,O,O,X,X,O,O,O,O,X,X
TOISJZL,O,O,O,X,X,O,X,X,X,X,X
TOISZLJ,O,O,O,O,O,O,X,X,X,O,X
TOISZJL,O,O,O,O,O,O,X,X,X,O,X
TOIZLJS,X,X,O,O,O,X,O,O,O,O,X
TOIZLSJ,X,O,O,O,O,X,X,O,X,O,X
TOIZJLS,X,O,O,O,O,X,O,O,O,O,X
TOIZJSL,X,O,O,O,O,X,X,O,X,O,X
TOIZSLJ,X,O,O,O,O,X,X,O,X,O,X
TOIZSJL,X,O,O,O,O,X,X,O,X,O,X
TOLIJSZ,O,X,X,X,X,O,O,O,O,O,O
TOLIJZS,O,X,X,O,O,O,O,O,O,O,O
TOLISJZ,O,X,X,X,X,O,O,O,O,X,X
TOLISZJ,O,X,X,O,O,O,X,X,X,O,X
TOLIZJS,X,X,X,O,O,X,O,O,O,O,X
TOLIZSJ,X,X,X,O,O,X,X,O,X,O,X
TOLJISZ,O,X,X,X,X,O,O,O,O,O,O
TOLJIZS,O,X,X,O,O,O,O,O,O,O,O
TOLJSIZ,O,O,O,X,X,O,O,O,O,O,X
TOLJSZI,O,O,O,X,X,O,X,O,X,O,X
TOLJZIS,O,O,O,O,O,O,O,O,O,O,X
TOLJZSI,O,O,O,O,O,O,X,O,X,O,X
TOLSIJZ,O,O,O,X,X,O,O,O,O,X,X
TOLSIZJ,O,O,O,O,O,O,X,X,X,O,X
TOLSJIZ,O,O,O,X,X,O,O,O,O,O,X
TOLSJZI,O,O,O,X,X,O,X,O,X,O,X
TOLSZIJ,O,O,O,O,O,O,X,O,X,O,X
TOLSZJI,O,O,O,O,O,O,X,O,X,O,X
TOLZIJS,O,X,O,O,O,O,O,O,O,O,X
TOLZISJ,O,O,O,O,O,O,X,O,X,O,X
TOLZJIS,O,O,O,O,O,O,O,O,O,O,X
TOLZJSI,O,O,O,O,O,O,X,O,X,O,X
TOLZSIJ,O,O,O,O,O,O,X,O,X,O,X
TOLZSJI,O,O,O,O,O,O,X,O,X,O,X
TOJILSZ,O,X,X,X,X,O,O,O,O,O,O
TOJILZS,O,X,X,O,O,O,O,O,O,O,O
TOJISLZ,O,O,O,X,X,O,O,O,O,O,X
TOJISZL,O,O,O,X,X,O,X,X,X,O,X
TOJIZLS,O,O,O,O,O,O,O,O,O,O,X
TOJIZSL,O,O,O,O,O,O,X,O,X,O,X
TOJLISZ,O,X,X,X,X,O,O,O,O,O,O
TOJLIZS,O,X,X,O,O,O,O,O,O,O,O
TOJLSIZ,O,O,O,X,X,O,O,O,O,O,X
TOJLSZI,O,O,O,X,X,O,X,O,X,O,X
TOJLZIS,O,O,O,O,O,O,O,O,O,O,X
TOJLZSI,O,O,O,O,O,O,X,O,X,O,X
TOJSILZ,O,O,O,X,X,O,O,O,O,O,X
TOJSIZL,O,O,O,X,X,O,X,X,X,O,X
TOJSLIZ,O,O,O,X,X,O,O,O,O,O,X
TOJSLZI,O,O,O,X,X,O,X,O,X,O,X
TOJSZIL,O,O,O,X,X,O,X,O,X,O,X
TOJSZLI,O,O,O,X,X,O,X,O,X,O,X
TOJZILS,O,O,O,O,O,O,O,O,O,O,X
TOJZISL,O,O,O,O,O,O,X,O,X,O,X
TOJZLIS,O,O,O,O,O,O,O,O,O,O,X
TOJZLSI,O,O,O,O,O,O,X,O,X,O,X
TOJZSIL,O,O,O,O,O,O,X,O,X,O,X
TOJZSLI,O,O,O,O,O,O,X,O,X,O,X
TOSILJZ,O,O,O,X,X,O,O,O,O,X,X
TOSILZJ,O,O,O,O,O,O,X,X,X,O,X
TOSIJLZ,O,O,O,X,X,O,O,O,O,X,X
TOSIJZL,O,O,O,X,X,O,X,X,X,X,X
TOSIZLJ,O,O,O,O,O,O,X,X,X,O,X
TOSIZJL,O,O,O,O,O,O,X,X,X,O,X
TOSLIJZ,O,O,O,X,X,O,O,O,O,X,X
TOSLIZJ,O,O,O,O,O,O,X,X,X,O,X
TOSLJIZ,O,O,O,X,X,O,O,O,O,O,X
TOSLJZI,O,O,O,X,X,O,X,O,X,O,X
TOSLZIJ,O,O,O,O,O,O,X,O,X,O,X
TOSLZJI,O,O,O,O,O,O,X,O,X,O,X
TOSJILZ,O,O,O,X,X,O,O,O,O,O,X
TOSJIZL,O,O,O,X,X,O,X,X,X,O,X
TOSJLIZ,O,O,O,X,X,O,O,O,O,O,X
TOSJLZI,O,O,O,X,X,O,X,O,X,O,X
TOSJZIL,O,O,O,X,X,O,X,O,X,O,X
TOSJZLI,O,O,O,X,X,O,X,O,X,O,X
TOSZILJ,O,O,O,O,O,O,X,O,X,O,X
TOSZIJL,O,O,O,O,O,O,X,O,X,O,X
TOSZLIJ,O,O,O,O,O,O,X,O,X,O,X
TOSZLJI,O,O,O,O,O,O,X,O,X,O,X
TOSZJIL,O,O,O,O,O,O,X,O,X,O,X
TOSZJLI,O,O,O,O,O,O,X,O,X,O,X
TOZILJS,O,X,O,O,O,O,O,O,O,O,X
TOZILSJ,O,O,O,O,O,O,X,O,X,O,X
TOZIJLS,O,O,O,O,O,O,O,O,O,O,X
TOZIJSL,O,O,O,O,O,O,X,O,X,O,X
TOZISLJ,O,O,O,O,O,O,X,O,X,O,X
TOZISJL,O,O,O,O,O,O,X,O,X,O,X
TOZLIJS,O,X,O,O,O,O,O,O,O,O,X
TOZLISJ,O,O,O,O,O,O,X,O,X,O,X
TOZLJIS,O,O,O,O,O,O,O,O,O,O,X
TOZLJSI,O,O,O,O,O,O,X,O,X,O,X
TOZLSIJ,O,O,O,O,O,O,X,O,X,O,X
TOZLSJI,O,O,O,O,O,O,X,O,X,O,X
TOZJILS,O,O,O,O,O,O,O,O,O,O,X
TOZJISL,O,O,O,O,O,O,X,O,X,O,X
TOZJLIS,O,O,O,O,O,O,O,O,O,O,X
TOZJLSI,O,O,O,O,O,O,X,O,X,O,X
TOZJSIL,O,O,O,O,O,O,X,O,X,O,X
TOZJSLI,O,O,O,O,O,O,X,O,X,O,X
TOZSILJ,O,O,O,O,O,O,X,O,X,O,X
TOZSIJL,O,O,O,O,O,O,X,O,X,O,X
TOZSLIJ,O,O,O,O,O,O,X,O,X,O,X
TOZSLJI,O,O,O,O,O,O,X,O,X,O,X
TOZSJIL,O,O,O,O,O,O,X,O,X,O,X
TOZSJLI,O,O,O,O,O,O,X,O,X,O,X
ITLJSZO,O,X,X,X,X,O,X,O,X,X,X
ITLJSOZ,O,X,X,X,X,O,O,O,O,X,X
ITLJZSO,O,X,X,O,O,O,X,O,X,X,X
ITLJZOS,O,X,X,O,O,O,O,O,O,X,X
ITLJOSZ,O,X,X,X,X,O,O,O,O,X,O
ITLJOZS,O,X,X,O,O,O,O,O,O,X,O
ITLSJZO,O,X,X,X,X,O,X,O,X,X,X
ITLSJOZ,O,X,X,X,X,O,O,O,O,X,X
ITLSZJO,O,X,X,O,O,O,X,O,X,X,X
ITLSZOJ,O,X,X,O,O,O,X,O,X,X,X
ITLSOJZ,O,X,X,X,X,O,O,O,O,X,X
ITLSOZJ,O,X,X,O,O,O,X,X,X,X,X
ITLZJSO,O,X,X,O,O,O,X,O,X,X,X
ITLZJOS,O,X,X,O,O,O,O,O,O,X,X
ITLZSJO,O,X,X,O,O,O,X,O,X,X,X
ITLZSOJ,O,X,X,O,O,O,X,O,X,X,X
ITLZOJS,O,X,X,O,O,O,O,O,O,X,X
ITLZOSJ,O,X,X,O,O,O,X,O,X,X,X
ITLOJSZ,O,X,X,X,X,O,O,O,O,X,O
ITLOJZS,O,X,X,O,O,O,O,O,O,X,O
ITLOSJZ,O,X,X,X,X,O,O,O,O,X,X
ITLOSZJ,O,X,X,O,O,O,X,X,X,X,X
ITLOZJS,X,X,X,O,O,X,O,O,O,X,X
ITLOZSJ,X,X,X,O,O,X,X,O,X,X,X
ITJLSZO,O,X,X,X,X,O,X,O,X,X,X
ITJLSOZ,O,X,X,X,X,O,O,O,O,X,X
ITJLZSO,O,X,X,O,O,O,X,O,X,X,X
ITJLZOS,O,X,X,O,O,O,O,O,O,X,X
ITJLOSZ,O,X,X,X,X,O,O,O,O,X,O
ITJLOZS,O,X,X,O,O,O,O,O,O,X,O
ITJSLZO,O,O,O,X,X,O,X,O,X,X,X
ITJSLOZ,O,O,O,X,X,O,O,O,O,X,X
ITJSZLO,O,O,O,X,X,O,X,X,X,X,X
ITJSZOL,O,O,O,X,X,O,X,X,X,X,X
ITJSOLZ,O,O,O,X,X,O,O,X,O,X,X
ITJSOZL,O,O,O,X,X,O,X,X,X,X,X
ITJZLSO,O,O,O,O,O,O,X,O,X,X,X
ITJZLOS,O,O,O,O,O,O,O,O,O,X,X
ITJZSLO,O,O,O,O,O,O,X,O,X,X,X
ITJZSOL,O,O,O,O,O,O,X,O,X,X,X
ITJZOLS,O,O,O,O,O,O,O,O,O,X,X
ITJZOSL,O,O,O,O,O,O,X,O,X,X,X
ITJOLSZ,O,X,X,X,X,O,O,O,O,X,O
ITJOLZS,O,X,X,O,O,O,O,O,O,X,O
ITJOSLZ,O,O,O,X,X,O,O,O,O,X,X
ITJOSZL,O,O,O,X,X,O,X,X,X,X,X
ITJOZLS,O,O,O,O,O,O,O,O,O,X,X
ITJOZSL,O,O,O,O,O,O,X,O,X,X,X
ITSLJZO,O,O,O,X,X,O,X,O,X,X,X
ITSLJOZ,O,O,O,X,X,O,O,O,O,X,X
ITSLZJO,O,O,O,O,O,O,X,O,X,X,X
ITSLZOJ,O,O,O,O,O,O,X,O,X,X,X
ITSLOJZ,O,O,O,X,X,O,O,O,O,X,X
ITSLOZJ,O,O,O,O,O,O,X,X,X,X,X
ITSJLZO,O,O,O,X,X,O,X,O,X,X,X
ITSJLOZ,O,O,O,X,X,O,O,O,O,X,X
ITSJZLO,O,O,O,X,X,O,X,X,X,X,X
ITSJZOL,O,O,O,X,X,O,X,X,X,X,X
ITSJOLZ,O,O,O,X,X,O,O,X,O,X,X
ITSJOZL,O,O,O,X,X,O,X,X,X,X,X
ITSZLJO,O,O,O,O,O,O,X,O,X,X,X
ITSZLOJ,O,O,O,O,O,O,X,O,X,X,X
ITSZJLO,O,O,O,O,O,O,X,O,X,X,X
ITSZJOL,O,O,O,O,O,O,X,X,X,X,X
ITSZOLJ,O,O,O,O,O,O,X,O,X,X,X
ITSZOJL,O,O,O,O,O,O,X,O,X,X,X
ITSOLJZ,O,O,O,X,X,O,O,O,O,X,X
ITSOLZJ,O,O,O,O,O,O,X,X,X,X,X
ITSOJLZ,O,O,O,X,X,O,O,O,O,X,X
ITSOJZL,O,O,O,X,X,O,X,X,X,X,X
ITSOZLJ,O,O,O,O,O,O,X,X,X,X,X
ITSOZJL,O,O,O,O,O,O,X,X,X,X,X
ITZLJSO,O,X,O,O,O,O,X,O,X,X,X
ITZLJOS,O,X,O,O,O,O,O,O,O,X,X
ITZLSJO,O,O,O,O,O,O,X,O,X,X,X
ITZLSOJ,O,O,O,O,O,O,X,O,X,X,X
ITZLOJS,O,X,O,O,O,O,O,O,O,X,X
ITZLOSJ,O,O,O,O,O,O,X,O,X,X,X
ITZJLSO,O,O,O,O,O,O,X,O,X,X,X
ITZJLOS,O,O,O,O,O,O,O,O,O,X,X
ITZJSLO,O,O,O,O,O,O,X,O,X,X,X
ITZJSOL,O,O,O,O,O,O,X,O,X,X,X
ITZJOLS,O,O,O,O,O,O,O,O,O,X,X
ITZJOSL,O,O,O,O,O,O,X,O,X,X,X
ITZSLJO,O,O,O,O,O,O,X,O,X,X,X
ITZSLOJ,O,O,O,O,O,O,X,O,X,X,X
ITZSJLO,O,O,O,O,O,O,X,O,X,X,X
ITZSJOL,O,O,O,O,O,O,X,O,X,X,X
ITZSOLJ,O,O,O,O,O,O,X,O,X,X,X
ITZSOJL,O,O,O,O,O,O,X,O,X,X,X
ITZOLJS,O,X,O,O,O,O,O,O,O,X,X
ITZOLSJ,O,O,O,O,O,O,X,O,X,X,X
ITZOJLS,O,O,O,O,O,O,O,O,O,X,X
ITZOJSL,O,O,O,O,O,O,X,O,X,X,X
ITZOSLJ,O,O,O,O,O,O,X,O,X,X,X
ITZOSJL,O,O,O,O,O,O,X,O,X,X,X
ITOLJSZ,O,X,X,X,X,O,O,O,O,X,O
ITOLJZS,O,X,X,O,O,O,O,O,O,X,O
ITOLSJZ,O,X,X,X,X,O,O,O,O,X,X
ITOLSZJ,O,X,X,O,O,O,X,X,X,X,X
ITOLZJS,X,X,X,O,O,X,O,O,O,X,X
ITOLZSJ,X,X,X,O,O,X,X,O,X,X,X
ITOJLSZ,O,X,X,X,X,O,O,O,O,X,O
ITOJLZS,O,X,X,O,O,O,O,O,O,X,O
ITOJSLZ,O,O,O,X,X,O,O,O,O,X,X
ITOJSZL,O,O,O,X,X,O,X,X,X,X,X
ITOJZLS,O,O,O,O,O,O,O,O,O,X,X
ITOJZSL,X,O,O,O,O,X,X,O,X,X,X
ITOSLJZ,O,O,O,X,X,O,O,O,O,X,X
ITOSLZJ,O,O,O,O,O,O,X,X,X,X,X
ITOSJLZ,O,O,O,X,X,O,O,O,O,X,X
ITOSJZL,O,O,O,X,X,O,X,X,X,X,X
ITOSZLJ,O,O,O,O,O,O,X,X,X,X,X
