sequence,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFZgBCcBXdB8lBGn?BlrB,v115@7gB8GeE8FeD8FeG8AeD8Je2/IvhFRbBCdBUhB/nBTl?BlrB,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFZgBCdBulB/nBUh?BlrB,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFxcBKlBGhB/nB0g?BlrB,v115@7gB8GeE8FeD8FeG8AeD8Je2/IvhFRbBclBXmBTnBlm?BCsB,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFOgB8gB5mB/sByv?BFsB,v115@7gB8GeE8FeD8FeG8AeD8Jei6IvhFxcBUgBThB/nB+l?BlrB,v115@7gB8GeE8FeD8FeG8AeD8Jex6IvhFXcBmfBUiB1qB6r?BTsB
TILJSZO,O,X,O,O,X,X,X,O
TILJSOZ,O,X,O,O,X,X,X,O
TILJZSO,O,X,X,X,X,X,X,O
TILJZOS,O,X,X,X,X,X,X,O
TILJOSZ,O,X,O,O,X,X,X,O
TILJOZS,O,X,X,X,X,X,X,O
TILSJZO,O,X,O,O,X,X,X,O
TILSJOZ,O,X,O,O,X,X,X,O
TILSZJO,O,X,O,O,X,O,X,O
TILSZOJ,O,X,O,O,X,O,O,X
TILSOJZ,O,X,O,O,X,X,X,X
TILSOZJ,O,X,O,O,X,O,X,X
TILZJSO,O,X,X,X,X,O,X,O
TILZJOS,O,X,X,X,X,O,X,O
TILZSJO,O,X,X,X,X,O,X,O
TILZSOJ,O,X,X,X,X,O,O,X
TILZOJS,O,X,X,X,X,O,X,X
TILZOSJ,O,X,X,X,X,O,O,X
TILOJSZ,O,X,O,O,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X
TILOSJZ,O,X,O,O,X,X,X,X
TILOSZJ,O,X,O,O,X,O,X,X
TILOZJS,O,X,X,X,X,O,X,X
TILOZSJ,O,X,X,X,X,O,X,X
TIJLSZO,O,O,O,O,X,X,X,O
TIJLSOZ,O,O,O,O,X,X,X,O
TIJLZSO,O,O,X,X,X,X,X,O
TIJLZOS,O,X,X,X,X,X,X,O
TIJLOSZ,O,X,O,O,X,X,X,O
TIJLOZS,O,X,X,X,X,X,X,O
TIJSLZO,O,O,O,O,X,X,X,O
TIJSLOZ,O,O,O,O,X,X,X,O
TIJSZLO,O,O,O,O,X,X,X,X
TIJSZOL,O,O,O,X,X,X,X,X
TIJSOLZ,O,O,O,O,X,X,X,X
TIJSOZL,O,X,O,X,X,X,X,X
TIJZLSO,O,O,X,X,X,X,X,O
TIJZLOS,O,X,X,X,X,X,X,O
TIJZSLO,O,O,O,X,X,X,X,X
TIJZSOL,O,O,O,X,X,X,X,X
TIJZOLS,O,X,X,X,X,X,X,X
TIJZOSL,O,O,O,X,X,X,X,X
TIJOLSZ,O,X,O,X,X,X,X,O
TIJOLZS,O,X,X,X,X,X,X,O
TIJOSLZ,O,O,O,X,X,X,X,X
TIJOSZL,O,X,O,X,X,X,X,X
TIJOZLS,O,X,X,X,X,X,X,X
TIJOZSL,O,O,O,X,X,X,X,X
TISLJZO,O,O,O,O,X,X,X,X
TISLJOZ,O,O,O,O,X,X,X,X
TISLZJO,O,O,O,O,X,O,X,X
TISLZOJ,O,O,O,O,X,O,O,X
TISLOJZ,O,O,O,O,X,X,X,X
TISLOZJ,O,X,O,O,X,O,X,X
TISJLZO,O,O,O,O,X,X,X,X
TISJLOZ,O,O,O,O,X,X,X,X
TISJZLO,O,O,O,O,X,X,X,X
TISJZOL,O,O,O,X,X,X,X,X
TISJOLZ,O,O,O,O,X,X,X,X
TISJOZL,O,X,O,X,X,X,X,X
TISZLJO,O,O,O,O,X,X,X,X
TISZLOJ,O,O,O,O,X,X,O,X
TISZJLO,O,O,O,O,X,X,X,X
TISZJOL,O,O,O,X,X,X,X,X
TISZOLJ,O,O,O,O,X,X,O,X
TISZOJL,O,O,O,X,X,X,O,X
TISOLJZ,O,O,O,O,X,X,X,X
TISOLZJ,O,X,O,O,X,O,X,X
TISOJLZ,O,O,O,O,X,X,X,X
TISOJZL,O,O,O,X,X,X,X,X
TISOZLJ,O,O,O,O,X,X,O,X
TISOZJL,O,O,O,X,X,X,O,X
TIZLJSO,O,O,X,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,O,X
TIZLOJS,O,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,O,X
TIZJLSO,O,O,X,X,X,X,X,X
TIZJLOS,O,X,X,X,X,X,X,X
TIZJSLO,O,O,O,X,X,X,X,X
TIZJSOL,O,O,O,X,X,X,X,X
TIZJOLS,O,X,X,X,X,X,X,X
TIZJOSL,O,O,O,X,X,X,X,X
TIZSLJO,O,O,O,X,X,X,X,X
TIZSLOJ,O,O,O,X,X,X,O,X
TIZSJLO,O,O,O,X,X,X,X,X
TIZSJOL,O,O,O,X,X,X,X,X
TIZSOLJ,O,O,O,X,X,X,O,X
TIZSOJL,O,O,O,X,X,X,O,X
TIZOLJS,O,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,O,X
TIZOJLS,O,X,X,X,X,X,X,X
TIZOJSL,O,O,O,X,X,X,X,X
TIZOSLJ,O,O,O,X,X,X,O,X
TIZOSJL,O,O,O,X,X,X,O,X
TIOLJSZ,O,X,O,O,X,X,X,X
TIOLJZS,O,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,O,X,X,X,X
TIOLSZJ,O,X,O,O,X,O,X,X
TIOLZJS,O,X,X,X,X,O,X,X
TIOLZSJ,O,X,X,X,X,O,X,X
TIOJLSZ,O,O,O,X,X,X,X,X
TIOJLZS,O,O,X,X,X,X,X,X
TIOJSLZ,O,O,O,X,X,X,X,X
TIOJSZL,O,O,O,X,X,X,X,X
TIOJZLS,O,O,X,X,X,X,X,X
TIOJZSL,O,O,O,X,X,X,X,X
TIOSLJZ,O,O,O,O,X,X,X,X
TIOSLZJ,O,X,O,O,X,O,X,X
TIOSJLZ,O,O,O,O,X,X,X,X
TIOSJZL,O,O,O,X,X,X,X,X
TIOSZLJ,O,O,O,O,X,X,O,X
TIOSZJL,O,O,O,X,X,X,O,X
TIOZLJS,O,O,X,X,X,X,X,X
TIOZLSJ,O,O,X,X,X,X,O,X
TIOZJLS,O,O,X,X,X,X,X,X
TIOZJSL,O,O,O,X,X,X,X,X
TIOZSLJ,O,O,O,X,X,X,O,X
TIOZSJL,O,O,O,X,X,X,O,X
TLIJSZO,O,X,O,O,X,X,X,O
TLIJSOZ,O,X,O,O,X,X,X,O
TLIJZSO,O,X,X,X,X,X,X,O
TLIJZOS,O,X,X,X,X,X,X,O
TLIJOSZ,O,X,O,O,X,X,X,O
TLIJOZS,O,X,X,X,X,X,X,O
TLISJZO,O,X,O,O,X,X,X,O
TLISJOZ,O,X,O,O,X,X,X,O
TLISZJO,O,X,O,O,X,O,X,O
TLISZOJ,O,X,O,O,X,O,O,X
TLISOJZ,O,X,O,O,X,X,X,X
TLISOZJ,O,X,O,O,X,O,X,X
TLIZJSO,O,X,X,X,X,O,X,O
TLIZJOS,O,X,X,X,X,O,X,O
TLIZSJO,O,X,X,X,X,O,X,O
TLIZSOJ,O,X,X,X,X,O,O,X
TLIZOJS,O,X,X,X,X,O,X,X
TLIZOSJ,O,X,X,X,X,O,O,X
TLIOJSZ,O,X,O,O,X,X,X,X
TLIOJZS,O,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,O,X,X,X,X
TLIOSZJ,O,X,O,O,X,O,X,X
TLIOZJS,O,X,X,X,X,O,X,X
TLIOZSJ,O,X,X,X,X,O,X,X
TLJISZO,O,O,O,O,X,X,X,O
TLJISOZ,O,O,O,O,X,X,X,O
TLJIZSO,O,O,X,X,X,X,X,O
TLJIZOS,O,X,X,X,X,X,X,O
TLJIOSZ,O,X,O,O,X,X,X,O
TLJIOZS,O,X,X,X,X,X,X,O
TLJSIZO,O,O,O,O,X,X,X,O
TLJSIOZ,O,O,O,O,X,X,X,O
TLJSZIO,O,O,O,O,X,X,X,O
TLJSZOI,O,O,O,O,X,X,O,O
TLJSOIZ,O,O,O,O,X,X,X,O
TLJSOZI,O,O,O,O,X,X,X,O
TLJZISO,O,O,X,X,X,X,X,O
TLJZIOS,O,X,X,X,X,X,X,O
TLJZSIO,O,O,X,O,X,X,X,O
TLJZSOI,O,O,X,O,X,X,O,O
TLJZOIS,O,X,X,X,X,X,X,O
TLJZOSI,O,X,X,O,X,X,O,O
TLJOISZ,O,X,O,O,X,X,X,O
TLJOIZS,O,X,X,X,X,X,X,O
TLJOSIZ,O,X,O,O,X,X,X,O
TLJOSZI,O,X,O,O,X,X,X,O
TLJOZIS,O,X,X,X,X,X,X,O
TLJOZSI,O,X,X,O,X,X,X,O
TLSIJZO,O,O,O,O,X,X,X,O
TLSIJOZ,O,O,O,O,X,X,X,O
TLSIZJO,O,O,O,O,X,O,X,O
TLSIZOJ,O,O,O,O,X,O,O,X
TLSIOJZ,O,O,O,O,X,X,X,X
TLSIOZJ,O,X,O,O,X,O,X,X
TLSJIZO,O,O,O,O,X,X,X,O
TLSJIOZ,O,O,O,O,X,X,X,O
TLSJZIO,O,O,O,O,X,X,X,O
TLSJZOI,O,O,O,O,X,X,O,O
TLSJOIZ,O,O,O,O,X,X,X,O
TLSJOZI,O,O,O,O,X,X,X,O
TLSZIJO,O,O,O,O,X,O,X,O
TLSZIOJ,O,O,O,O,X,O,O,X
TLSZJIO,O,O,O,O,X,O,X,O
TLSZJOI,O,O,O,O,X,O,O,O
TLSZOIJ,O,O,O,O,X,O,O,X
TLSZOJI,O,O,O,O,X,O,O,O
TLSOIJZ,O,O,O,O,X,X,X,X
TLSOIZJ,O,X,O,O,X,O,X,X
TLSOJIZ,O,O,O,O,X,X,X,O
TLSOJZI,O,O,O,O,X,X,X,O
TLSOZIJ,O,O,O,O,X,O,O,X
TLSOZJI,O,O,O,O,X,O,O,O
TLZIJSO,O,O,X,X,X,O,X,O
TLZIJOS,O,X,X,X,X,O,X,O
TLZISJO,O,O,X,X,X,O,X,O
TLZISOJ,O,O,X,X,X,O,O,X
TLZIOJS,O,X,X,X,X,O,X,X
TLZIOSJ,O,X,X,X,X,O,O,X
TLZJISO,O,O,X,X,X,O,X,O
TLZJIOS,O,X,X,X,X,O,X,O
TLZJSIO,O,O,X,O,X,O,X,O
TLZJSOI,O,O,X,O,X,O,O,O
TLZJOIS,O,X,X,X,X,O,X,O
TLZJOSI,O,X,X,O,X,O,O,O
TLZSIJO,O,O,X,O,X,O,X,O
TLZSIOJ,O,O,X,O,X,O,O,X
TLZSJIO,O,O,X,O,X,O,X,O
TLZSJOI,O,O,X,O,X,O,O,O
TLZSOIJ,O,O,X,O,X,O,O,X
TLZSOJI,O,O,X,O,X,O,O,O
TLZOIJS,O,X,X,X,X,O,X,X
TLZOISJ,O,X,X,X,X,O,O,X
