sequence,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gBcmB6nBT?jBdsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeOCJvhF6jB9lBziBx?rB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeOCJvhF6jB9lBziBx?rBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lB2mBTjBc?sBXrBCsB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lBymB+nBT?jBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lBymB+nBT?jB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lB6nBTjBm?mBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lB6nBTjBm?mB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gBumB9nBT?jB8qBywB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lBOmBXiBT?jBcsBSwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeKCJvhFzdB+jB9lBx?rBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeX9IvhF6jBziBxlBN?sBUmBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeKCJvhFzdB+jB9lBx?rB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhFUhB9nBTjB6?qBmrB3rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3hB9nBTjB6?qBmrBUrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhFihB9nBTjB0?lBfsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gBtmB+nBT?jB8qBywB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeT+IvhF9lBxhBOnBC?oB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeT+IvhF9lBxhBOnBC?oBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gB9nBTjB8?qB+rBasB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jez9IvhF+jB9lBxmBK?nBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JedCJvhFfjB6jBxlBc?sBGrBzqB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jez9IvhF+jB9lBxmBK?nB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Je6DJvhF3gBRiB0iBT?mBNsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeT+IvhF3gBcmBxnB6?nBdsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Je09IvhF6jB9lBmhBT?mB3nBRwB
TILJSZO,O,O,O,X,X,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TILJSOZ,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TILJZSO,O,O,O,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TILJZOS,O,O,O,X,X,X,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TILJOSZ,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O
TILJOZS,O,O,O,X,X,X,X,O,O,O,O,X,O,O,O,X,X,O,O,O,X,X,X,X,X,O
TILSJZO,O,X,X,X,X,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TILSJOZ,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O
TILSZJO,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TILSZOJ,O,O,O,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
TILSOJZ,O,O,O,X,X,X,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O
TILSOZJ,O,X,O,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
TILZJSO,O,O,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,O,X,X,X,X,X,O,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TILZSOJ,O,O,O,X,X,X,O,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O
TILZOJS,O,O,O,X,X,X,X,O,O,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O
TILZOSJ,O,O,X,X,X,X,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O
TILOJSZ,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O
TILOJZS,O,O,O,X,X,X,X,O,O,O,O,X,O,O,O,X,X,O,O,O,X,X,X,X,X,O
TILOSJZ,O,O,O,X,X,X,O,X,O,O,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O
TILOSZJ,O,X,O,X,X,X,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
TILOZJS,O,O,O,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O
TILOZSJ,O,O,X,X,X,X,O,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O
TIJLSZO,X,O,O,X,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TIJLSOZ,X,O,O,X,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIJLZSO,X,O,O,X,X,O,X,X,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
