sequence,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeT7IvhF0cBxdB?ylBGjBlnBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Je07IvhFlcB3dB?5jB2lBynBzsB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jex7IvhFXeBTgB?ihB+oBlnB0sB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeOAJvhFxcBzgB?UiBFjBStBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jei7IvhF3cB5jB?1lBmiB0nBzsB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jex7IvhF0dBTgB?ihB+oBlnBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jei7IvhF3cBTeB?1lB2nBctB5nB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jex8IvhFmgBUiB?FjBTgBStBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeKAJvhFfhBxcB?TeBlnBctBGsB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Je38IvhFTgBxiB?mgBlnBctBCtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeKAJvhFfhB0cB?xdB+oBlnBzsB
TSJIZOL,O,O,X,X,O,X,X,X,X,X,X
TSJIOLZ,O,O,X,X,X,X,X,X,X,X,X
TSJIOZL,O,O,X,X,X,X,X,X,X,X,X
TSJLIZO,O,O,X,X,O,X,X,X,X,X,X
TSJLIOZ,O,O,X,X,X,X,X,X,X,X,X
TSJLZIO,O,O,X,X,O,X,O,X,X,X,X
TSJLZOI,O,O,X,X,O,X,O,X,X,X,X
TSJLOIZ,O,O,X,X,X,X,X,X,X,X,X
TSJLOZI,O,O,X,X,X,X,X,X,X,X,X
TSJZILO,O,O,X,X,O,X,O,X,X,X,X
TSJZIOL,O,O,X,X,O,X,O,X,X,X,X
TSJZLIO,O,O,X,X,O,X,O,X,X,X,X
TSJZLOI,O,O,X,X,O,X,O,X,X,X,X
TSJZOIL,O,O,X,X,O,X,O,X,X,X,X
TSJZOLI,O,O,X,X,O,X,O,X,X,X,X
TSJOILZ,O,O,X,X,X,X,X,X,X,X,X
TSJOIZL,O,O,X,X,X,X,X,X,X,X,X
TSJOLIZ,O,O,X,X,X,X,X,X,X,X,X
TSJOLZI,O,O,X,X,X,X,X,X,X,X,X
TSJOZIL,O,O,X,X,X,X,X,X,X,X,X
TSJOZLI,O,O,X,X,X,X,X,X,X,X,X
TSZILJO,O,X,X,X,O,X,O,X,X,X,X
TSZILOJ,O,X,X,X,O,X,X,X,X,O,X
TSZIJLO,O,X,X,X,O,X,O,X,X,X,X
TSZIJOL,O,X,X,X,O,X,O,X,X,O,X
TSZIOLJ,O,X,X,X,O,X,X,X,X,O,X
TSZIOJL,X,X,X,X,O,X,X,X,X,O,X
TSZLIJO,O,X,X,X,O,X,O,X,X,X,X
TSZLIOJ,O,X,X,X,O,X,X,X,X,O,X
TSZLJIO,O,X,X,X,O,X,O,X,X,X,X
TSZLJOI,O,X,X,X,O,X,O,X,X,X,X
TSZLOIJ,O,X,X,X,O,X,X,X,X,O,X
TSZLOJI,O,X,X,X,O,X,O,X,X,X,X
TSZJILO,O,X,X,X,O,X,O,X,X,X,X
TSZJIOL,O,X,X,X,O,X,O,X,X,O,X
TSZJLIO,O,X,X,X,O,X,O,X,X,X,X
TSZJLOI,O,X,X,X,O,X,O,X,X,X,X
TSZJOIL,O,X,X,X,O,X,O,X,X,O,X
TSZJOLI,O,X,X,X,O,X,O,X,X,X,X
TSZOILJ,O,X,X,X,O,X,X,X,X,O,X
TSZOIJL,X,X,X,X,O,X,X,X,X,O,X
TSZOLIJ,O,X,X,X,O,X,X,X,X,O,X
TSZOLJI,O,X,X,X,O,X,O,X,X,X,X
TSZOJIL,O,X,X,X,O,X,O,X,X,O,X
TSZOJLI,O,X,X,X,O,X,O,X,X,X,X
TSOILJZ,X,O,X,X,X,X,X,X,X,X,X
TSOILZJ,X,O,X,X,O,X,X,X,X,X,X
TSOIJLZ,X,O,X,X,X,X,X,X,X,X,X
TSOIJZL,X,O,X,X,X,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,O,X,X,X,X,X,X
TSOIZJL,X,X,X,X,O,X,X,X,X,X,X
TSOLIJZ,O,O,X,X,X,X,X,X,X,X,X
TSOLIZJ,O,O,X,X,O,X,X,X,X,X,X
TSOLJIZ,O,O,X,X,X,X,X,X,X,X,X
TSOLJZI,O,O,X,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,X,X,O,X,X,X,X,X,X
TSOLZJI,O,O,X,X,O,X,O,X,X,X,X
TSOJILZ,O,O,X,X,X,X,X,X,X,X,X
TSOJIZL,O,O,X,X,X,X,X,X,X,X,X
TSOJLIZ,O,O,X,X,X,X,X,X,X,X,X
TSOJLZI,O,O,X,X,X,X,X,X,X,X,X
TSOJZIL,O,O,X,X,X,X,X,X,X,X,X
TSOJZLI,O,O,X,X,X,X,X,X,X,X,X
TSOZILJ,O,X,X,X,O,X,X,X,X,O,X
TSOZIJL,X,X,X,X,O,X,X,X,X,O,X
TSOZLIJ,O,X,X,X,O,X,X,X,X,O,X
TSOZLJI,O,X,X,X,O,X,O,X,X,X,X
TSOZJIL,O,X,X,X,O,X,O,X,X,O,X
TSOZJLI,O,X,X,X,O,X,O,X,X,X,X
TZILJSO,O,O,X,X,O,X,O,O,X,X,X
TZILJOS,O,O,X,O,O,X,O,O,X,X,X
TZILSJO,X,O,X,X,O,X,O,O,O,X,X
TZILSOJ,O,X,X,O,O,X,X,X,O,O,X
TZILOJS,O,X,X,O,O,X,X,O,X,X,X
TZILOSJ,O,X,X,O,O,X,X,X,O,O,X
TZIJLSO,O,O,X,X,O,X,O,O,X,X,X
TZIJLOS,O,O,X,X,O,X,O,O,X,X,X
TZIJSLO,O,O,X,X,O,X,O,O,X,X,X
TZIJSOL,X,O,X,X,O,X,O,O,X,O,X
TZIJOLS,O,O,X,O,O,X,O,O,X,X,X
TZIJOSL,X,O,X,O,O,X,O,O,X,O,X
TZISLJO,X,X,X,X,O,X,O,X,X,X,X
TZISLOJ,O,X,X,X,O,X,X,X,X,O,X
TZISJLO,X,X,X,X,O,X,O,O,X,X,X
TZISJOL,X,X,X,X,O,X,O,O,X,O,X
TZISOLJ,X,X,X,X,O,X,X,X,X,O,X
TZISOJL,X,X,X,O,O,X,X,X,X,O,X
TZIOLJS,O,O,X,O,O,X,X,X,X,X,X
TZIOLSJ,O,O,X,O,O,X,X,X,O,O,X
TZIOJLS,X,O,X,O,O,X,X,O,X,X,X
TZIOJSL,X,O,X,O,O,X,X,O,X,O,X
TZIOSLJ,X,X,X,X,O,X,X,X,X,O,X
TZIOSJL,X,X,X,O,O,X,X,X,X,O,X
TZLIJSO,O,O,X,X,O,X,O,O,X,X,X
TZLIJOS,O,O,X,O,O,X,O,O,X,X,X
TZLISJO,X,O,X,X,O,X,O,O,O,X,X
TZLISOJ,O,X,X,O,O,X,X,X,O,O,X
TZLIOJS,O,X,X,O,O,X,X,O,X,X,X
TZLIOSJ,O,X,X,O,O,X,X,X,O,O,X
TZLJISO,O,O,X,X,O,X,O,O,X,X,X
TZLJIOS,O,O,X,O,O,X,O,O,X,X,X
TZLJSIO,O,O,X,X,O,X,O,O,O,X,X
TZLJSOI,O,O,X,X,O,X,O,O,O,X,X
TZLJOIS,O,O,X,O,O,X,O,O,X,X,X
TZLJOSI,O,O,X,O,O,X,O,O,O,X,X
TZLSIJO,O,O,X,X,O,X,O,O,O,X,X
TZLSIOJ,O,X,X,O,O,X,X,X,O,O,X
TZLSJIO,O,O,X,X,O,X,O,O,O,X,X
TZLSJOI,O,O,X,X,O,X,O,O,O,X,X
TZLSOIJ,O,X,X,O,O,X,X,X,O,O,X
TZLSOJI,O,X,X,O,O,X,O,X,O,X,X
TZLOIJS,O,X,X,O,O,X,X,O,X,X,X
TZLOISJ,O,X,X,O,O,X,X,X,O,O,X
TZLOJIS,O,X,X,O,O,X,O,O,X,X,X
TZLOJSI,O,X,X,O,O,X,O,O,O,X,X
TZLOSIJ,O,X,X,O,O,X,X,X,O,O,X
TZLOSJI,O,X,X,O,O,X,O,X,O,X,X
TZJILSO,O,O,X,X,O,X,O,O,X,X,X
TZJILOS,O,O,X,X,O,X,O,O,X,X,X
TZJISLO,O,O,X,X,O,X,O,O,X,X,X
TZJISOL,X,O,X,X,O,X,O,O,X,O,X
TZJIOLS,O,O,X,O,O,X,O,O,X,X,X
TZJIOSL,X,O,X,O,O,X,O,O,X,O,X
TZJLISO,O,O,X,X,O,X,O,O,X,X,X
TZJLIOS,O,O,X,X,O,X,O,O,X,X,X
TZJLSIO,O,O,X,X,O,X,O,O,O,X,X
TZJLSOI,O,O,X,X,O,X,O,O,O,X,X
TZJLOIS,O,O,X,X,O,X,O,O,X,X,X
TZJLOSI,O,O,X,X,O,X,O,O,O,X,X
TZJSILO,O,O,X,X,O,X,O,O,X,X,X
TZJSIOL,X,O,X,X,O,X,O,O,X,O,X
TZJSLIO,O,O,X,X,O,X,O,O,X,X,X
TZJSLOI,O,O,X,X,O,X,O,O,X,X,X
TZJSOIL,X,O,X,X,O,X,O,O,X,O,X
TZJSOLI,X,O,X,X,O,X,O,O,X,X,X
TZJOILS,O,O,X,O,O,X,O,O,X,X,X
TZJOISL,X,O,X,O,O,X,O,O,X,O,X
TZJOLIS,O,O,X,O,O,X,O,O,X,X,X
TZJOLSI,O,O,X,O,O,X,O,O,O,X,X
TZJOSIL,X,O,X,O,O,X,O,O,X,O,X
TZJOSLI,X,O,X,O,O,X,O,O,X,X,X
TZSILJO,O,X,X,X,O,X,O,X,X,X,X
TZSILOJ,O,X,X,X,O,X,X,X,X,O,X
TZSIJLO,O,X,X,X,O,X,O,O,X,X,X
TZSIJOL,O,X,X,X,O,X,O,O,X,O,X
TZSIOLJ,O,X,X,X,O,X,X,X,X,O,X
TZSIOJL,X,X,X,O,O,X,X,X,X,O,X
TZSLIJO,O,X,X,X,O,X,O,X,O,X,X
TZSLIOJ,O,X,X,X,O,X,X,X,O,O,X
TZSLJIO,O,X,X,X,O,X,O,X,O,X,X
TZSLJOI,O,X,X,X,O,X,O,X,O,X,X
TZSLOIJ,O,X,X,X,O,X,X,X,O,O,X
TZSLOJI,O,X,X,X,O,X,O,X,O,X,X
TZSJILO,O,X,X,X,O,X,O,O,X,X,X
TZSJIOL,O,X,X,X,O,X,O,O,X,O,X
TZSJLIO,O,X,X,X,O,X,O,O,X,X,X
TZSJLOI,O,X,X,X,O,X,O,O,X,X,X
TZSJOIL,O,X,X,X,O,X,O,O,X,O,X
TZSJOLI,O,X,X,X,O,X,O,O,X,X,X
TZSOILJ,O,X,X,X,O,X,X,X,X,O,X
TZSOIJL,X,X,X,O,O,X,X,X,X,O,X
TZSOLIJ,O,X,X,X,O,X,X,X,O,O,X
TZSOLJI,O,X,X,X,O,X,O,X,O,X,X
TZSOJIL,O,X,X,O,O,X,O,X,X,O,X
TZSOJLI,O,X,X,O,O,X,O,X,X,X,X
TZOILJS,O,O,X,O,O,X,X,X,X,X,X
TZOILSJ,O,O,X,O,O,X,X,X,O,O,X
TZOIJLS,X,O,X,O,O,X,X,O,X,X,X
TZOIJSL,X,O,X,O,O,X,X,O,X,O,X
TZOISLJ,X,X,X,X,O,X,X,X,X,O,X
TZOISJL,X,X,X,O,O,X,X,X,X,O,X
TZOLIJS,O,O,X,O,O,X,X,X,X,X,X
TZOLISJ,O,O,X,O,O,X,X,X,O,O,X
TZOLJIS,O,O,X,O,O,X,O,X,X,X,X
TZOLJSI,O,O,X,O,O,X,O,X,O,X,X
TZOLSIJ,O,O,X,O,O,X,X,X,O,O,X
TZOLSJI,O,O,X,O,O,X,O,X,O,X,X
TZOJILS,O,O,X,O,O,X,O,O,X,X,X
TZOJISL,X,O,X,O,O,X,O,O,X,O,X
TZOJLIS,O,O,X,O,O,X,O,O,X,X,X
TZOJLSI,O,O,X,O,O,X,O,O,O,X,X
TZOJSIL,X,O,X,O,O,X,O,O,X,O,X
TZOJSLI,X,O,X,O,O,X,O,O,X,X,X
TZOSILJ,X,X,X,X,O,X,X,X,X,O,X
TZOSIJL,X,X,X,O,O,X,X,X,X,O,X
TZOSLIJ,X,X,X,X,O,X,X,X,O,O,X
TZOSLJI,X,X,X,X,O,X,O,X,O,X,X
TZOSJIL,X,X,X,O,O,X,O,X,X,O,X
TZOSJLI,X,X,X,O,O,X,O,X,X,X,X
TOILJSZ,X,O,O,X,X,O,X,X,X,X,X
TOILJZS,X,O,O,O,X,O,X,X,X,X,X
TOILSJZ,X,O,X,X,X,X,X,X,X,X,X
TOILSZJ,X,O,X,X,O,X,X,X,X,X,X
TOILZJS,X,O,X,O,O,X,X,X,X,X,X
TOILZSJ,X,O,X,O,O,X,X,X,X,X,X
TOIJLSZ,X,O,O,X,X,O,X,X,X,X,X
TOIJLZS,X,O,O,O,X,O,X,X,X,X,X
TOIJSLZ,X,O,O,X,X,O,X,X,X,X,X
TOIJSZL,X,O,O,X,X,X,X,X,X,X,X
TOIJZLS,X,O,O,O,X,O,X,X,X,X,X
TOIJZSL,X,O,O,O,X,X,X,X,X,X,X
TOISLJZ,X,O,X,X,X,X,X,X,X,X,X
TOISLZJ,X,O,X,X,O,X,X,X,X,X,X
TOISJLZ,X,O,X,X,X,X,X,X,X,X,X
TOISJZL,X,O,X,X,X,X,X,X,X,X,X
TOISZLJ,X,X,X,X,O,X,X,X,X,X,X
TOISZJL,X,X,X,X,O,X,X,X,X,X,X
TOIZLJS,X,O,X,O,O,X,X,X,X,X,X
TOIZLSJ,X,O,X,O,O,X,X,X,X,X,X
TOIZJLS,X,O,X,O,O,X,X,X,X,X,X
TOIZJSL,X,O,X,O,O,X,X,X,X,X,X
TOIZSLJ,X,X,X,X,O,X,X,X,X,X,X
TOIZSJL,X,X,X,O,O,X,X,X,X,X,X
TOLIJSZ,O,O,O,X,X,O,X,X,X,X,X
TOLIJZS,O,O,O,O,X,O,X,X,X,X,X
TOLISJZ,X,O,X,X,X,X,X,X,X,X,X
TOLISZJ,X,O,X,X,O,X,X,X,X,X,X
TOLIZJS,O,O,X,O,O,X,X,X,X,X,X
TOLIZSJ,O,O,X,O,O,X,X,X,X,X,X
TOLJISZ,O,O,O,X,X,O,X,X,X,X,X
TOLJIZS,O,O,O,O,X,O,X,X,X,X,X
TOLJSIZ,O,O,O,X,X,O,X,X,X,X,X
TOLJSZI,O,O,O,O,X,O,X,X,X,X,X
TOLJZIS,O,O,O,O,X,O,X,X,X,X,X
TOLJZSI,O,O,O,O,X,O,X,X,X,X,X
TOLSIJZ,X,O,X,X,X,X,X,X,X,X,X
TOLSIZJ,X,O,X,X,O,X,X,X,X,X,X
TOLSJIZ,O,O,X,X,X,X,X,X,X,X,X
TOLSJZI,O,O,X,O,X,X,X,X,X,X,X
TOLSZIJ,O,O,X,O,O,X,X,X,X,X,X
TOLSZJI,O,O,X,O,O,X,O,X,X,X,X
TOLZIJS,O,O,X,O,O,X,X,X,X,X,X
TOLZISJ,O,O,X,O,O,X,X,X,X,X,X
TOLZJIS,O,O,X,O,O,X,O,X,X,X,X
TOLZJSI,O,O,X,O,O,X,O,X,X,X,X
TOLZSIJ,O,O,X,O,O,X,X,X,X,X,X
TOLZSJI,O,O,X,O,O,X,O,X,X,X,X
TOJILSZ,O,O,O,X,X,O,X,X,X,X,X
TOJILZS,O,O,O,O,X,O,X,X,X,X,X
TOJISLZ,X,O,O,X,X,O,X,X,X,X,X
TOJISZL,X,O,O,X,X,X,X,X,X,X,X
TOJIZLS,O,O,O,O,X,O,X,X,X,X,X
TOJIZSL,X,O,O,O,X,X,X,X,X,X,X
TOJLISZ,O,O,O,X,X,O,X,X,X,X,X
TOJLIZS,O,O,O,O,X,O,X,X,X,X,X
TOJLSIZ,O,O,O,X,X,O,X,X,X,X,X
TOJLSZI,O,O,O,O,X,O,X,X,X,X,X
TOJLZIS,O,O,O,O,X,O,X,X,X,X,X
TOJLZSI,O,O,O,O,X,O,X,X,X,X,X
TOJSILZ,X,O,O,X,X,O,X,X,X,X,X
TOJSIZL,X,O,O,X,X,X,X,X,X,X,X
TOJSLIZ,X,O,O,X,X,O,X,X,X,X,X
TOJSLZI,X,O,O,X,X,O,X,X,X,X,X
TOJSZIL,X,O,O,X,X,X,X,X,X,X,X
TOJSZLI,X,O,O,X,X,O,X,X,X,X,X
TOJZILS,O,O,O,O,X,O,X,X,X,X,X
TOJZISL,X,O,O,O,X,X,X,X,X,X,X
TOJZLIS,O,O,O,O,X,O,X,X,X,X,X
TOJZLSI,O,O,O,O,X,O,X,X,X,X,X
TOJZSIL,X,O,O,O,X,X,X,X,X,X,X
TOJZSLI,X,O,O,O,X,O,X,X,X,X,X
TOSILJZ,X,O,X,X,X,X,X,X,X,X,X
TOSILZJ,X,O,X,X,O,X,X,X,X,X,X
TOSIJLZ,X,O,X,X,X,X,X,X,X,X,X
TOSIJZL,X,O,X,X,X,X,X,X,X,X,X
TOSIZLJ,X,X,X,X,O,X,X,X,X,X,X
TOSIZJL,X,X,X,X,O,X,X,X,X,X,X
TOSLIJZ,X,O,X,X,X,X,X,X,X,X,X
TOSLIZJ,X,O,X,X,O,X,X,X,X,X,X
TOSLJIZ,X,O,X,X,X,X,X,X,X,X,X
TOSLJZI,X,O,X,X,X,X,X,X,X,X,X
TOSLZIJ,X,O,X,X,O,X,X,X,X,X,X
TOSLZJI,X,O,X,X,O,X,O,X,X,X,X
TOSJILZ,X,O,X,X,X,X,X,X,X,X,X
TOSJIZL,X,O,X,X,X,X,X,X,X,X,X
TOSJLIZ,X,O,X,X,X,X,X,X,X,X,X
TOSJLZI,X,O,X,X,X,X,X,X,X,X,X
TOSJZIL,X,O,X,X,X,X,X,X,X,X,X
TOSJZLI,X,O,X,X,X,X,X,X,X,X,X
TOSZILJ,X,X,X,X,O,X,X,X,X,O,X
TOSZIJL,X,X,X,X,O,X,X,X,X,O,X
TOSZLIJ,X,X,X,X,O,X,X,X,X,O,X
TOSZLJI,X,X,X,X,O,X,O,X,X,X,X
TOSZJIL,X,X,X,X,O,X,O,X,X,O,X
TOSZJLI,X,X,X,X,O,X,O,X,X,X,X
TOZILJS,O,O,X,O,O,X,X,X,X,X,X
TOZILSJ,O,O,X,O,O,X,X,X,X,O,X
TOZIJLS,X,O,X,O,O,X,X,X,X,X,X
TOZIJSL,X,O,X,O,O,X,X,X,X,O,X
TOZISLJ,X,X,X,X,O,X,X,X,X,O,X
TOZISJL,X,X,X,O,O,X,X,X,X,O,X
TOZLIJS,O,O,X,O,O,X,X,X,X,X,X
TOZLISJ,O,O,X,O,O,X,X,X,X,O,X
TOZLJIS,O,O,X,O,O,X,O,X,X,X,X
TOZLJSI,O,O,X,O,O,X,O,X,X,X,X
TOZLSIJ,O,O,X,O,O,X,X,X,X,O,X
TOZLSJI,O,O,X,O,O,X,O,X,X,X,X
TOZJILS,O,O,X,O,O,X,O,X,X,X,X
TOZJISL,X,O,X,O,O,X,O,X,X,O,X
TOZJLIS,O,O,X,O,O,X,O,X,X,X,X
TOZJLSI,O,O,X,O,O,X,O,X,X,X,X
TOZJSIL,X,O,X,O,O,X,O,X,X,O,X
TOZJSLI,X,O,X,O,O,X,O,X,X,X,X
TOZSILJ,X,X,X,X,O,X,X,X,X,O,X
TOZSIJL,X,X,X,O,O,X,X,X,X,O,X
TOZSLIJ,X,X,X,X,O,X,X,X,X,O,X
TOZSLJI,X,X,X,X,O,X,O,X,X,X,X
TOZSJIL,X,X,X,O,O,X,O,X,X,O,X
TOZSJLI,X,X,X,O,O,X,O,X,X,X,X
ITLJSZO,O,O,X,X,O,X,X,X,X,X,X
ITLJSOZ,O,O,X,X,X,X,X,X,X,X,X
ITLJZSO,O,O,X,X,O,X,X,X,X,X,X
ITLJZOS,O,O,X,X,O,X,X,X,X,X,X
ITLJOSZ,O,O,X,X,X,X,X,X,X,X,X
ITLJOZS,O,O,X,X,X,X,X,X,X,X,X
ITLSJZO,X,O,X,X,O,X,X,X,X,X,X
ITLSJOZ,X,O,X,X,X,X,X,X,X,X,X
ITLSZJO,X,O,X,X,O,X,O,X,X,X,X
ITLSZOJ,X,X,X,X,O,X,X,X,X,X,X
ITLSOJZ,X,O,X,X,X,X,X,X,X,X,X
ITLSOZJ,X,X,X,X,O,X,X,X,X,X,X
ITLZJSO,O,O,X,X,O,X,O,X,X,X,X
ITLZJOS,O,O,X,X,O,X,O,X,X,X,X
ITLZSJO,X,O,X,X,O,X,O,X,X,X,X
ITLZSOJ,O,X,X,X,O,X,X,X,X,X,X
ITLZOJS,O,X,X,X,O,X,X,X,X,X,X
ITLZOSJ,O,X,X,X,O,X,X,X,X,X,X
ITLOJSZ,O,O,X,X,X,X,X,X,X,X,X
ITLOJZS,O,O,X,X,X,X,X,X,X,X,X
ITLOSJZ,X,O,X,X,X,X,X,X,X,X,X
ITLOSZJ,X,O,X,X,O,X,X,X,X,X,X
ITLOZJS,O,O,X,X,O,X,X,X,X,X,X
ITLOZSJ,O,O,X,X,O,X,X,X,X,X,X
ITJLSZO,O,O,X,X,O,X,X,X,X,X,X
ITJLSOZ,O,O,X,X,X,X,X,X,X,X,X
ITJLZSO,O,O,X,X,O,X,X,X,X,X,X
ITJLZOS,O,O,X,X,O,X,X,X,X,X,X
ITJLOSZ,O,O,X,X,X,X,X,X,X,X,X
ITJLOZS,O,O,X,X,X,X,X,X,X,X,X
ITJSLZO,O,O,X,X,O,X,X,X,X,X,X
ITJSLOZ,O,O,X,X,X,X,X,X,X,X,X
ITJSZLO,O,O,X,X,O,X,X,X,X,X,X
ITJSZOL,X,O,X,X,O,X,X,X,X,X,X
ITJSOLZ,X,O,X,X,X,X,X,X,X,X,X
ITJSOZL,X,O,X,X,X,X,X,X,X,X,X
ITJZLSO,O,O,X,X,O,X,X,X,X,X,X
ITJZLOS,O,O,X,X,O,X,X,X,X,X,X
ITJZSLO,O,O,X,X,O,X,X,X,X,X,X
ITJZSOL,X,O,X,X,O,X,X,X,X,X,X
ITJZOLS,O,O,X,X,O,X,X,X,X,X,X
ITJZOSL,X,O,X,X,O,X,X,X,X,X,X
ITJOLSZ,O,O,X,X,X,X,X,X,X,X,X
ITJOLZS,O,O,X,X,X,X,X,X,X,X,X
ITJOSLZ,X,O,X,X,X,X,X,X,X,X,X
ITJOSZL,X,O,X,X,X,X,X,X,X,X,X
ITJOZLS,O,O,X,X,X,X,X,X,X,X,X
ITJOZSL,X,O,X,X,X,X,X,X,X,X,X
ITSLJZO,X,O,X,X,O,X,X,X,X,X,X
ITSLJOZ,X,O,X,X,X,X,X,X,X,X,X
ITSLZJO,X,O,X,X,O,X,O,X,X,X,X
ITSLZOJ,X,X,X,X,O,X,X,X,X,X,X
ITSLOJZ,X,O,X,X,X,X,X,X,X,X,X
ITSLOZJ,X,X,X,X,O,X,X,X,X,X,X
ITSJLZO,X,O,X,X,O,X,X,X,X,X,X
ITSJLOZ,X,O,X,X,X,X,X,X,X,X,X
ITSJZLO,X,O,X,X,O,X,X,X,X,X,X
ITSJZOL,X,O,X,X,O,X,X,X,X,X,X
ITSJOLZ,X,O,X,X,X,X,X,X,X,X,X
ITSJOZL,X,O,X,X,X,X,X,X,X,X,X
ITSZLJO,X,X,X,X,O,X,O,X,X,X,X
ITSZLOJ,X,X,X,X,O,X,X,X,X,X,X
ITSZJLO,X,X,X,X,O,X,O,X,X,X,X
ITSZJOL,X,X,X,X,O,X,O,X,X,X,X
ITSZOLJ,X,X,X,X,O,X,X,X,X,X,X
ITSZOJL,X,X,X,X,O,X,X,X,X,X,X
ITSOLJZ,X,O,X,X,X,X,X,X,X,X,X
ITSOLZJ,X,O,X,X,O,X,X,X,X,X,X
ITSOJLZ,X,O,X,X,X,X,X,X,X,X,X
ITSOJZL,X,O,X,X,X,X,X,X,X,X,X
ITSOZLJ,X,X,X,X,O,X,X,X,X,X,X
ITSOZJL,X,X,X,X,O,X,X,X,X,X,X
ITZLJSO,O,O,X,X,O,X,O,X,X,X,X
ITZLJOS,O,O,X,X,O,X,O,X,X,X,X
ITZLSJO,X,O,X,X,O,X,O,X,X,X,X
ITZLSOJ,O,X,X,X,O,X,X,X,X,X,X
ITZLOJS,O,X,X,X,O,X,X,X,X,X,X
ITZLOSJ,O,X,X,X,O,X,X,X,X,X,X
ITZJLSO,O,O,X,X,O,X,O,X,X,X,X
ITZJLOS,O,O,X,X,O,X,O,X,X,X,X
ITZJSLO,O,O,X,X,O,X,O,X,X,X,X
ITZJSOL,X,O,X,X,O,X,O,X,X,X,X
ITZJOLS,O,O,X,X,O,X,O,X,X,X,X
ITZJOSL,X,O,X,X,O,X,O,X,X,X,X
ITZSLJO,X,X,X,X,O,X,O,X,X,X,X
ITZSLOJ,O,X,X,X,O,X,X,X,X,X,X
ITZSJLO,X,X,X,X,O,X,O,X,X,X,X
ITZSJOL,X,X,X,X,O,X,O,X,X,X,X
ITZSOLJ,X,X,X,X,O,X,X,X,X,X,X
ITZSOJL,X,X,X,X,O,X,X,X,X,X,X
ITZOLJS,O,O,X,X,O,X,X,X,X,X,X
ITZOLSJ,O,O,X,X,O,X,X,X,X,X,X
ITZOJLS,X,O,X,X,O,X,X,X,X,X,X
ITZOJSL,X,O,X,X,O,X,X,X,X,X,X
ITZOSLJ,X,X,X,X,O,X,X,X,X,X,X
ITZOSJL,X,X,X,X,O,X,X,X,X,X,X
ITOLJSZ,X,O,X,X,X,X,X,X,X,X,X
ITOLJZS,X,O,X,X,X,X,X,X,X,X,X
ITOLSJZ,X,O,X,X,X,X,X,X,X,X,X
ITOLSZJ,X,O,X,X,O,X,X,X,X,X,X
ITOLZJS,X,O,X,X,O,X,X,X,X,X,X
ITOLZSJ,X,O,X,X,O,X,X,X,X,X,X
ITOJLSZ,X,O,X,X,X,X,X,X,X,X,X
ITOJLZS,X,O,X,X,X,X,X,X,X,X,X
ITOJSLZ,X,O,X,X,X,X,X,X,X,X,X
ITOJSZL,X,O,X,X,X,X,X,X,X,X,X
ITOJZLS,X,O,X,X,X,X,X,X,X,X,X
ITOJZSL,X,O,X,X,X,X,X,X,X,X,X
ITOSLJZ,X,O,X,X,X,X,X,X,X,X,X
ITOSLZJ,X,O,X,X,O,X,X,X,X,X,X
ITOSJLZ,X,O,X,X,X,X,X,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X,X,X,X,X
ITOSZLJ,X,X,X,X,O,X,X,X,X,X,X
ITOSZJL,X,X,X,X,O,X,X,X,X,X,X
ITOZLJS,X,O,X,X,O,X,X,X,X,X,X
ITOZLSJ,X,O,X,X,O,X,X,X,X,X,X
ITOZJLS,X,O,X,X,O,X,X,X,X,X,X
ITOZJSL,X,O,X,X,O,X,X,X,X,X,X
ITOZSLJ,X,X,X,X,O,X,X,X,X,X,X
ITOZSJL,X,X,X,X,O,X,X,X,X,X,X
ILTJSZO,O,O,X,X,O,X,X,X,X,X,X
ILTJSOZ,O,O,X,X,X,X,X,X,X,X,X
ILTJZSO,O,O,X,X,O,X,X,O,X,X,X
ILTJZOS,O,O,X,X,O,X,X,O,X,X,X
ILTJOSZ,O,O,X,X,X,X,X,X,X,X,X
ILTJOZS,O,O,X,X,X,X,X,X,X,X,X
ILTSJZO,X,O,X,X,O,X,X,X,X,X,X
ILTSJOZ,X,O,X,X,X,X,X,X,X,X,X
ILTSZJO,X,O,X,X,O,X,X,X,X,X,X
ILTSZOJ,X,X,X,X,O,X,X,X,X,X,X
ILTSOJZ,X,O,X,X,X,X,X,X,X,X,X
ILTSOZJ,X,X,X,X,O,X,X,X,X,X,X
ILTZJSO,O,O,X,X,O,X,X,O,X,X,X
