sequence,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeT7IvhF0cBxdB?ylBGjBlnBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Je07IvhFlcB3dB?5jB2lBynBzsB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jex7IvhFXeBTgB?ihB+oBlnB0sB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeOAJvhFxcBzgB?UiBFjBStBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jei7IvhF3cB5jB?1lBmiB0nBzsB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jex7IvhF0dBTgB?ihB+oBlnBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jei7IvhF3cBTeB?1lB2nBctB5nB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jex8IvhFmgBUiB?FjBTgBStBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeKAJvhFfhBxcB?TeBlnBctBGsB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Je38IvhFTgBxiB?mgBlnBctBCtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeKAJvhFfhB0cB?xdB+oBlnBzsB
TIZSLOJ,O,X,X,X,O,X,X,X,X,X,X
TIZSJLO,X,X,X,X,O,X,O,X,X,X,X
TIZSJOL,X,X,X,X,O,X,O,X,X,X,X
TIZSOLJ,X,X,X,X,O,X,X,X,X,X,X
TIZSOJL,X,X,X,X,O,X,X,X,X,X,X
TIZOLJS,O,O,X,X,O,X,X,X,X,X,X
TIZOLSJ,O,O,X,X,O,X,X,X,X,X,X
TIZOJLS,X,O,X,X,O,X,X,X,X,X,X
TIZOJSL,X,O,X,X,O,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,O,X,X,X,X,X,X
TIZOSJL,X,X,X,X,O,X,X,X,X,X,X
TIOLJSZ,X,O,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,X,O,X,X,X,X,X,X
TIOLZJS,X,O,X,X,O,X,X,X,X,X,X
TIOLZSJ,X,O,X,X,O,X,X,X,X,X,X
TIOJLSZ,X,O,X,X,X,X,X,X,X,X,X
TIOJLZS,X,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,X,X,X,X,X,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,O,X,X,O,X,X,X,X,X,X
TIOSJLZ,X,O,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,O,X,X,X,X,X,X
TIOSZJL,X,X,X,X,O,X,X,X,X,X,X
TIOZLJS,X,O,X,X,O,X,X,X,X,X,X
TIOZLSJ,X,O,X,X,O,X,X,X,X,X,X
TIOZJLS,X,O,X,X,O,X,X,X,X,X,X
TIOZJSL,X,O,X,X,O,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,O,X,X,X,X,X,X
TIOZSJL,X,X,X,X,O,X,X,X,X,X,X
TLIJSZO,O,O,X,X,O,X,X,X,X,X,X
TLIJSOZ,O,O,X,X,X,X,X,X,X,X,X
TLIJZSO,O,O,X,X,O,X,X,O,X,X,X
TLIJZOS,O,O,X,X,O,X,X,O,X,X,X
TLIJOSZ,O,O,X,X,X,X,X,X,X,X,X
TLIJOZS,O,O,X,X,X,X,X,X,X,X,X
TLISJZO,X,O,X,X,O,X,X,X,X,X,X
TLISJOZ,X,O,X,X,X,X,X,X,X,X,X
TLISZJO,X,O,X,X,O,X,O,X,X,X,X
TLISZOJ,X,X,X,X,O,X,X,X,X,X,X
TLISOJZ,X,O,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,O,X,X,X,X,X,X
TLIZJSO,O,O,X,X,O,X,O,O,X,X,X
TLIZJOS,O,O,X,O,O,X,O,O,X,X,X
TLIZSJO,X,O,X,X,O,X,O,O,X,X,X
TLIZSOJ,O,X,X,O,O,X,X,X,X,X,X
TLIZOJS,O,X,X,O,O,X,X,O,X,X,X
TLIZOSJ,O,X,X,O,O,X,X,X,X,X,X
TLIOJSZ,O,O,X,X,X,X,X,X,X,X,X
TLIOJZS,O,O,X,O,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,X,X,O,X,X,X,X,X,X
TLIOZJS,O,O,X,O,O,X,X,X,X,X,X
TLIOZSJ,O,O,X,O,O,X,X,X,X,X,X
TLJISZO,O,O,X,X,O,X,X,X,X,X,O
TLJISOZ,O,O,O,X,X,X,X,X,X,X,O
TLJIZSO,O,O,X,X,O,X,X,O,X,X,O
TLJIZOS,O,O,X,X,O,O,X,O,X,X,X
TLJIOSZ,O,O,O,X,X,O,X,X,X,X,O
TLJIOZS,O,O,O,X,X,O,X,X,X,X,X
TLJSIZO,O,O,X,X,O,X,X,X,X,X,O
TLJSIOZ,O,O,O,X,X,X,X,X,X,X,O
TLJSZIO,O,O,X,X,O,X,O,O,X,X,O
TLJSZOI,O,O,O,X,O,O,O,O,X,X,O
TLJSOIZ,O,O,O,X,X,O,X,X,X,X,O
TLJSOZI,O,O,O,X,X,O,X,X,X,X,O
TLJZISO,O,O,X,X,O,X,O,O,X,X,O
TLJZIOS,O,O,X,O,O,O,O,O,X,X,X
TLJZSIO,O,O,X,X,O,X,O,O,X,X,O
TLJZSOI,O,O,O,X,O,O,O,O,X,X,O
TLJZOIS,O,O,O,O,O,O,O,O,X,X,X
TLJZOSI,O,O,O,O,O,O,O,O,X,X,X
TLJOISZ,O,O,O,X,X,O,X,X,X,X,O
TLJOIZS,O,O,O,O,X,O,X,X,X,X,X
TLJOSIZ,O,O,O,X,X,O,X,X,X,X,O
TLJOSZI,O,O,O,O,X,O,X,X,X,X,O
TLJOZIS,O,O,O,O,X,O,X,O,X,X,X
TLJOZSI,O,O,O,O,X,O,X,O,X,X,X
TLSIJZO,O,O,X,X,O,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X,X,X,X,X
TLSIZJO,O,O,X,X,O,X,O,X,O,X,X
TLSIZOJ,O,X,X,X,O,X,X,X,O,X,X
TLSIOJZ,O,O,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,O,X,X,X,X,X,X
TLSJIZO,O,O,X,X,O,X,X,X,X,X,O
TLSJIOZ,O,O,X,X,X,X,X,X,X,X,O
TLSJZIO,O,O,X,X,O,X,O,O,X,X,O
TLSJZOI,O,O,X,X,O,X,O,O,X,X,O
TLSJOIZ,O,O,X,X,X,X,X,X,X,X,O
TLSJOZI,O,O,X,X,X,X,X,X,X,X,O
TLSZIJO,O,O,X,X,O,X,O,O,O,X,O
TLSZIOJ,O,X,X,O,O,X,X,X,O,X,X
TLSZJIO,O,O,X,X,O,X,O,O,O,X,O
TLSZJOI,O,O,X,X,O,X,O,O,O,X,O
TLSZOIJ,O,X,X,O,O,X,X,X,O,X,X
TLSZOJI,O,X,X,O,O,X,O,X,O,X,X
TLSOIJZ,O,O,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,O,X,X,X,X,X,X
TLSOJIZ,O,O,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,X,O,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,O,O,X,X,X,X,X,X
TLSOZJI,O,X,X,O,O,X,O,X,X,X,X
TLZIJSO,O,O,X,X,O,X,O,O,X,X,X
TLZIJOS,O,O,X,O,O,X,O,O,X,X,X
TLZISJO,X,O,X,X,O,X,O,O,O,X,X
TLZISOJ,O,X,X,O,O,X,X,X,O,X,X
TLZIOJS,O,X,X,O,O,X,X,O,X,X,X
TLZIOSJ,O,X,X,O,O,X,X,X,O,X,X
TLZJISO,O,O,X,X,O,X,O,O,X,X,X
TLZJIOS,O,O,X,O,O,X,O,O,X,X,X
TLZJSIO,O,O,X,X,O,X,O,O,O,X,X
TLZJSOI,O,O,X,X,O,X,O,O,O,X,X
TLZJOIS,O,O,X,O,O,X,O,O,X,X,X
TLZJOSI,O,O,X,O,O,X,O,O,O,X,X
TLZSIJO,O,O,X,X,O,X,O,O,O,X,X
TLZSIOJ,O,X,X,O,O,X,X,X,O,X,X
TLZSJIO,O,O,X,X,O,X,O,O,O,X,X
TLZSJOI,O,O,X,X,O,X,O,O,O,X,X
TLZSOIJ,O,X,X,O,O,X,X,X,O,X,X
TLZSOJI,O,X,X,O,O,X,O,X,O,X,X
TLZOIJS,O,X,X,O,O,X,X,O,X,X,X
TLZOISJ,O,X,X,O,O,X,X,X,O,X,X
TLZOJIS,O,X,X,O,O,X,O,O,X,X,X
TLZOJSI,O,X,X,O,O,X,O,O,O,X,X
TLZOSIJ,O,X,X,O,O,X,X,X,O,X,X
TLZOSJI,O,X,X,O,O,X,O,X,O,X,X
TLOIJSZ,O,O,O,X,X,O,X,X,X,X,X
TLOIJZS,O,O,O,O,X,O,X,X,X,X,X
TLOISJZ,X,O,X,X,X,X,X,X,X,X,X
TLOISZJ,X,O,X,X,O,X,X,X,X,X,X
TLOIZJS,O,O,X,O,O,X,X,X,X,X,X
TLOIZSJ,O,O,X,O,O,X,X,X,X,X,X
TLOJISZ,O,O,O,X,X,O,X,X,X,X,X
TLOJIZS,O,O,O,O,X,O,X,X,X,X,X
TLOJSIZ,O,O,O,X,X,O,X,X,X,X,X
TLOJSZI,O,O,O,O,X,O,X,X,X,X,X
TLOJZIS,O,O,O,O,X,O,X,O,X,X,X
TLOJZSI,O,O,O,O,X,O,X,O,X,X,X
TLOSIJZ,O,O,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,O,X,X,X,X,X,X
TLOSJIZ,O,O,X,X,X,X,X,X,X,X,X
TLOSJZI,O,O,X,O,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,O,O,X,X,X,X,X,X
TLOSZJI,O,O,X,O,O,X,O,X,X,X,X
TLOZIJS,O,O,X,O,O,X,X,O,X,X,X
TLOZISJ,O,O,X,O,O,X,X,X,X,X,X
TLOZJIS,O,O,X,O,O,X,O,O,X,X,X
TLOZJSI,O,O,X,O,O,X,O,O,X,X,X
TLOZSIJ,O,O,X,O,O,X,X,X,X,X,X
TLOZSJI,O,O,X,O,O,X,O,X,X,X,X
TJILSZO,O,O,X,X,O,X,X,X,X,X,O
TJILSOZ,O,O,O,X,X,X,X,X,X,X,O
TJILZSO,O,O,X,X,O,X,X,O,X,X,O
TJILZOS,O,O,X,X,O,O,X,O,X,X,X
TJILOSZ,O,O,O,X,X,O,X,X,X,X,O
TJILOZS,O,O,O,X,X,O,X,X,X,X,X
TJISLZO,O,O,X,X,O,X,X,X,X,X,O
TJISLOZ,O,O,O,X,X,X,X,X,X,X,O
TJISZLO,O,O,X,X,O,X,X,X,X,X,X
TJISZOL,X,O,X,X,O,X,X,X,X,X,X
TJISOLZ,X,O,O,X,X,X,X,X,X,X,X
TJISOZL,X,O,O,X,X,X,X,X,X,X,X
TJIZLSO,O,O,X,X,O,X,X,O,X,X,O
TJIZLOS,O,O,X,X,O,O,X,O,X,X,X
TJIZSLO,O,O,X,X,O,X,X,O,X,X,X
TJIZSOL,X,O,X,X,O,X,X,O,X,X,X
TJIZOLS,O,O,X,X,O,O,X,O,X,X,X
TJIZOSL,X,O,X,X,O,X,X,O,X,X,X
TJIOLSZ,O,O,O,X,X,O,X,X,X,X,O
TJIOLZS,O,O,O,X,X,O,X,X,X,X,X
TJIOSLZ,X,O,O,X,X,O,X,X,X,X,X
TJIOSZL,X,O,O,X,X,X,X,X,X,X,X
TJIOZLS,O,O,O,X,X,O,X,X,X,X,X
TJIOZSL,X,O,O,X,X,X,X,X,X,X,X
TJLISZO,O,O,X,X,O,X,X,X,X,X,O
TJLISOZ,O,O,O,X,X,X,X,X,X,X,O
TJLIZSO,O,O,X,X,O,X,X,O,X,X,O
TJLIZOS,O,O,X,X,O,O,X,O,X,X,X
TJLIOSZ,O,O,O,X,X,O,X,X,X,X,O
TJLIOZS,O,O,O,X,X,O,X,X,X,X,X
TJLSIZO,O,O,X,X,O,X,X,X,X,X,O
TJLSIOZ,O,O,O,X,X,X,X,X,X,X,O
TJLSZIO,O,O,X,X,O,X,O,O,X,X,O
TJLSZOI,O,O,O,X,O,O,O,O,X,X,O
TJLSOIZ,O,O,O,X,X,O,X,X,X,X,O
TJLSOZI,O,O,O,X,X,O,X,X,X,X,O
TJLZISO,O,O,X,X,O,X,O,O,X,X,O
TJLZIOS,O,O,X,X,O,O,O,O,X,X,X
TJLZSIO,O,O,X,X,O,X,O,O,X,X,O
TJLZSOI,O,O,O,X,O,O,O,O,X,X,O
TJLZOIS,O,O,O,X,O,O,O,O,X,X,X
TJLZOSI,O,O,O,X,O,O,O,O,X,X,X
TJLOISZ,O,O,O,X,X,O,X,X,X,X,O
TJLOIZS,O,O,O,X,X,O,X,X,X,X,X
TJLOSIZ,O,O,O,X,X,O,X,X,X,X,O
TJLOSZI,O,O,O,X,X,O,X,X,X,X,O
TJLOZIS,O,O,O,X,X,O,X,O,X,X,X
TJLOZSI,O,O,O,X,X,O,X,O,X,X,X
TJSILZO,O,O,X,X,O,X,X,X,X,X,O
TJSILOZ,O,O,O,X,X,X,X,X,X,X,O
TJSIZLO,O,O,X,X,O,X,X,X,X,X,X
TJSIZOL,X,O,X,X,O,X,X,X,X,X,X
TJSIOLZ,X,O,O,X,X,X,X,X,X,X,X
TJSIOZL,X,O,O,X,X,X,X,X,X,X,X
TJSLIZO,O,O,X,X,O,X,X,X,X,X,O
TJSLIOZ,O,O,O,X,X,X,X,X,X,X,O
TJSLZIO,O,O,X,X,O,X,O,X,X,X,O
TJSLZOI,O,O,O,X,O,O,O,X,X,X,O
TJSLOIZ,O,O,O,X,X,O,X,X,X,X,O
TJSLOZI,O,O,O,X,X,O,X,X,X,X,O
TJSZILO,O,O,X,X,O,X,O,X,X,X,X
TJSZIOL,X,O,X,X,O,X,O,X,X,X,X
TJSZLIO,O,O,X,X,O,X,O,X,X,X,X
TJSZLOI,O,O,O,X,O,O,O,X,X,X,X
TJSZOIL,X,O,O,X,O,X,O,X,X,X,X
TJSZOLI,X,O,O,X,O,O,O,X,X,X,X
TJSOILZ,X,O,O,X,X,O,X,X,X,X,X
TJSOIZL,X,O,O,X,X,X,X,X,X,X,X
TJSOLIZ,X,O,O,X,X,O,X,X,X,X,X
TJSOLZI,X,O,O,X,X,O,X,X,X,X,X
TJSOZIL,X,O,O,X,X,X,X,X,X,X,X
TJSOZLI,X,O,O,X,X,O,X,X,X,X,X
TJZILSO,O,O,X,X,O,X,O,O,X,X,O
TJZILOS,O,O,X,X,O,O,O,O,X,X,X
TJZISLO,O,O,X,X,O,X,O,O,X,X,X
TJZISOL,X,O,X,X,O,X,O,O,X,X,X
TJZIOLS,O,O,X,X,O,O,O,O,X,X,X
TJZIOSL,X,O,X,X,O,X,O,O,X,X,X
TJZLISO,O,O,X,X,O,X,O,O,X,X,O
TJZLIOS,O,O,X,X,O,O,O,O,X,X,X
TJZLSIO,O,O,X,X,O,X,O,O,X,X,O
TJZLSOI,O,O,O,X,O,O,O,O,X,X,O
TJZLOIS,O,O,O,X,O,O,O,O,X,X,X
TJZLOSI,O,O,O,X,O,O,O,O,X,X,X
TJZSILO,O,O,X,X,O,X,O,O,X,X,X
TJZSIOL,X,O,X,X,O,X,O,O,X,X,X
TJZSLIO,O,O,X,X,O,X,O,O,X,X,X
TJZSLOI,O,O,O,X,O,O,O,O,X,X,X
TJZSOIL,X,O,O,X,O,X,O,O,X,X,X
TJZSOLI,X,O,O,X,O,O,O,O,X,X,X
TJZOILS,O,O,O,X,O,O,O,O,X,X,X
TJZOISL,X,O,O,X,O,X,O,O,X,X,X
TJZOLIS,O,O,O,X,O,O,O,O,X,X,X
TJZOLSI,O,O,O,X,O,O,O,O,X,X,X
TJZOSIL,X,O,O,X,O,X,O,O,X,X,X
TJZOSLI,X,O,O,X,O,O,O,O,X,X,X
TJOILSZ,O,O,O,X,X,O,X,X,X,X,O
TJOILZS,O,O,O,X,X,O,X,X,X,X,X
TJOISLZ,X,O,O,X,X,O,X,X,X,X,X
TJOISZL,X,O,O,X,X,X,X,X,X,X,X
TJOIZLS,O,O,O,X,X,O,X,X,X,X,X
TJOIZSL,X,O,O,X,X,X,X,X,X,X,X
TJOLISZ,O,O,O,X,X,O,X,X,X,X,O
TJOLIZS,O,O,O,X,X,O,X,X,X,X,X
TJOLSIZ,O,O,O,X,X,O,X,X,X,X,O
TJOLSZI,O,O,O,X,X,O,X,X,X,X,O
TJOLZIS,O,O,O,X,X,O,X,X,X,X,X
TJOLZSI,O,O,O,X,X,O,X,X,X,X,X
TJOSILZ,X,O,O,X,X,O,X,X,X,X,X
TJOSIZL,X,O,O,X,X,X,X,X,X,X,X
TJOSLIZ,X,O,O,X,X,O,X,X,X,X,X
TJOSLZI,X,O,O,X,X,O,X,X,X,X,X
TJOSZIL,X,O,O,X,X,X,X,X,X,X,X
TJOSZLI,X,O,O,X,X,O,X,X,X,X,X
TJOZILS,O,O,O,X,X,O,X,X,X,X,X
TJOZISL,X,O,O,X,X,X,X,X,X,X,X
TJOZLIS,O,O,O,X,X,O,X,X,X,X,X
TJOZLSI,O,O,O,X,X,O,X,X,X,X,X
TJOZSIL,X,O,O,X,X,X,X,X,X,X,X
TJOZSLI,X,O,O,X,X,O,X,X,X,X,X
TSILJZO,O,O,X,X,O,X,X,X,X,X,X
TSILJOZ,O,O,X,X,X,X,X,X,X,X,X
TSILZJO,O,O,X,X,O,X,O,X,X,X,X
TSILZOJ,O,X,X,X,O,X,X,X,X,X,X
TSILOJZ,O,O,X,X,X,X,X,X,X,X,X
TSILOZJ,O,X,X,X,O,X,X,X,X,X,X
TSIJLZO,O,O,X,X,O,X,X,X,X,X,X
TSIJLOZ,O,O,X,X,X,X,X,X,X,X,X
TSIJZLO,O,O,X,X,O,X,X,X,X,X,X
TSIJZOL,O,O,X,X,O,X,X,X,X,X,X
TSIJOLZ,O,O,X,X,X,X,X,X,X,X,X
TSIJOZL,O,O,X,X,X,X,X,X,X,X,X
TSIZLJO,O,X,X,X,O,X,O,X,X,X,X
TSIZLOJ,O,X,X,X,O,X,X,X,X,X,X
TSIZJLO,O,X,X,X,O,X,O,X,X,X,X
TSIZJOL,O,X,X,X,O,X,O,X,X,X,X
TSIZOLJ,O,X,X,X,O,X,X,X,X,X,X
TSIZOJL,X,X,X,X,O,X,X,X,X,X,X
TSIOLJZ,X,O,X,X,X,X,X,X,X,X,X
TSIOLZJ,X,O,X,X,O,X,X,X,X,X,X
TSIOJLZ,X,O,X,X,X,X,X,X,X,X,X
TSIOJZL,X,O,X,X,X,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,O,X,X,X,X,X,X
TSIOZJL,X,X,X,X,O,X,X,X,X,X,X
TSLIJZO,O,O,X,X,O,X,X,X,X,X,X
TSLIJOZ,O,O,X,X,X,X,X,X,X,X,X
TSLIZJO,O,O,X,X,O,X,O,X,X,X,X
TSLIZOJ,O,X,X,X,O,X,X,X,X,X,X
TSLIOJZ,O,O,X,X,X,X,X,X,X,X,X
TSLIOZJ,O,X,X,X,O,X,X,X,X,X,X
TSLJIZO,O,O,X,X,O,X,X,X,X,X,X
TSLJIOZ,O,O,X,X,X,X,X,X,X,X,X
TSLJZIO,O,O,X,X,O,X,O,X,X,X,X
TSLJZOI,O,O,X,X,O,X,O,X,X,X,X
TSLJOIZ,O,O,X,X,X,X,X,X,X,X,X
TSLJOZI,O,O,X,X,X,X,X,X,X,X,X
TSLZIJO,O,O,X,X,O,X,O,X,X,X,X
TSLZIOJ,O,X,X,X,O,X,X,X,X,X,X
TSLZJIO,O,O,X,X,O,X,O,X,X,X,X
TSLZJOI,O,O,X,X,O,X,O,X,X,X,X
TSLZOIJ,O,X,X,X,O,X,X,X,X,X,X
TSLZOJI,O,X,X,X,O,X,O,X,X,X,X
TSLOIJZ,O,O,X,X,X,X,X,X,X,X,X
TSLOIZJ,O,X,X,X,O,X,X,X,X,X,X
TSLOJIZ,O,O,X,X,X,X,X,X,X,X,X
TSLOJZI,O,O,X,X,X,X,X,X,X,X,X
TSLOZIJ,O,X,X,X,O,X,X,X,X,X,X
TSLOZJI,O,X,X,X,O,X,O,X,X,X,X
TSJILZO,O,O,X,X,O,X,X,X,X,X,X
TSJILOZ,O,O,X,X,X,X,X,X,X,X,X
TSJIZLO,O,O,X,X,O,X,X,X,X,X,X
