sequence,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBSjB8mBziB+t?BlsB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBciBTeBWsBFo?BSyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFUdBGeB6mB/oBTn?BVyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF8iB+jBlhB/sBCn?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFUdBGeB6mBVoB/s?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBFeBTiBcoBWs?BSyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFFdBXeB0hBSoBGs?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBliBzmBCtBct?BGtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFGdBlhB6oBXnB8s?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFXeBSoBUnBlmBTt?BGsB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBliBzmBGtBct?BCtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFlhBcnBTjBCnBGt?BXtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF+jBlhB3iBzmBCt?BUtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cB+jBliBzmBCt?BUtB
TILJSZO,X,O,O,X,X,O,X,X,O,X,X,X,O,X
TILJSOZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TILJZSO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TILJZOS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILJOSZ,X,O,O,X,X,O,X,X,X,X,X,X,O,O
TILJOZS,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TILSJZO,X,O,O,X,O,O,X,X,O,X,X,X,O,X
TILSJOZ,X,O,O,X,O,O,X,X,X,X,X,X,O,X
TILSZJO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
TILSZOJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X
TILSOJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TILSOZJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TILZJSO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TILZJOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TILZSJO,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TILZSOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TILZOJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILZOSJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILOJSZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TILOJZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TILOSZJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TILOZJS,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TILOZSJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TIJLSZO,O,O,O,X,X,O,O,X,O,X,X,X,O,X
TIJLSOZ,X,O,O,X,X,O,O,X,X,X,X,X,O,X
TIJLZSO,O,O,O,X,X,O,O,X,X,X,X,X,O,X
TIJLZOS,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TIJLOSZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TIJLOZS,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJSLZO,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TIJSLOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJSZLO,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TIJSZOL,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TIJSOLZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJSOZL,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIJZLSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJZLOS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TIJZSLO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TIJZSOL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
TIJZOLS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TIJZOSL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TIJOLSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJOLZS,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TIJOSLZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJOSZL,X,O,O,O,X,X,X,X,O,X,O,X,X,X
TIJOZLS,O,O,X,O,X,X,O,X,X,X,O,O,X,X
TIJOZSL,O,O,O,O,X,X,O,X,X,X,O,O,X,X
TISLJZO,X,O,O,X,O,O,X,X,O,X,X,X,O,X
TISLJOZ,X,X,O,X,X,O,X,X,X,X,X,X,O,X
TISLZJO,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TISLZOJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TISLOJZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
TISJLOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TISJZLO,O,O,O,X,O,X,X,X,O,X,X,X,X,X
