sequence,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8JeO/IvhF8fBTcB?idB5jB3iBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Jei6IvhFTcBOiB?8iB5jB3fBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Je2/IvhFicBzdB?5jBUiB3fBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Jei6IvhF2hBzdB?5jB3fBUiBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Jei8IvhFzdB5jB?lfBUiB/pBmpB
TLSIZOJ,O,O,O,O,O
TLSIOJZ,O,O,X,O,X
TLSIOZJ,O,O,X,O,O
TLSJIZO,O,O,O,O,O
TLSJIOZ,O,O,X,O,X
TLSJZIO,O,O,O,O,O
TLSJZOI,O,O,O,O,O
TLSJOIZ,O,O,X,O,X
TLSJOZI,O,O,X,O,X
TLSZIJO,O,O,O,O,O
TLSZIOJ,O,O,O,O,O
TLSZJIO,O,O,O,O,O
TLSZJOI,O,O,O,O,O
TLSZOIJ,O,O,O,O,O
TLSZOJI,O,O,O,O,O
TLSOIJZ,O,O,X,O,X
TLSOIZJ,O,O,X,O,O
TLSOJIZ,O,O,X,O,X
TLSOJZI,O,O,X,O,X
TLSOZIJ,O,O,X,O,O
TLSOZJI,O,O,X,O,O
TLZIJSO,O,O,O,X,X
TLZIJOS,O,O,O,X,X
TLZISJO,O,O,O,X,O
TLZISOJ,O,O,O,X,O
TLZIOJS,O,O,O,X,X
TLZIOSJ,O,O,O,X,O
TLZJISO,O,O,O,X,X
TLZJIOS,O,O,O,X,X
TLZJSIO,O,O,O,X,X
TLZJSOI,O,O,O,X,X
TLZJOIS,O,O,O,X,X
TLZJOSI,O,O,O,X,X
TLZSIJO,O,O,O,X,O
TLZSIOJ,O,O,O,X,O
TLZSJIO,O,O,O,X,O
TLZSJOI,O,O,O,X,O
TLZSOIJ,O,O,O,X,O
TLZSOJI,O,O,O,X,O
TLZOIJS,O,O,O,X,X
TLZOISJ,O,O,O,X,O
TLZOJIS,O,O,O,X,X
TLZOJSI,O,O,O,X,X
TLZOSIJ,O,O,O,X,O
TLZOSJI,O,O,O,X,O
TLOIJSZ,X,X,X,O,X
TLOIJZS,X,X,O,X,X
TLOISJZ,O,O,X,O,X
TLOISZJ,O,O,X,O,X
TLOIZJS,O,O,O,X,X
TLOIZSJ,O,O,O,X,X
TLOJISZ,X,X,X,O,X
TLOJIZS,X,X,O,X,X
TLOJSIZ,X,X,X,O,X
TLOJSZI,X,X,X,O,X
TLOJZIS,X,X,O,X,X
TLOJZSI,X,X,O,X,X
TLOSIJZ,O,O,X,O,X
TLOSIZJ,O,O,X,O,X
TLOSJIZ,O,O,X,O,X
TLOSJZI,O,O,X,O,X
TLOSZIJ,O,O,X,O,X
TLOSZJI,O,O,X,O,X
TLOZIJS,O,O,O,X,X
TLOZISJ,O,O,O,X,X
TLOZJIS,O,O,O,X,X
TLOZJSI,O,O,O,X,X
TLOZSIJ,O,O,O,X,X
TLOZSJI,O,O,O,X,X
TJILSZO,X,X,O,O,X
TJILSOZ,X,X,X,O,X
TJILZSO,X,X,O,X,X
TJILZOS,X,X,O,X,X
TJILOSZ,X,X,X,O,X
TJILOZS,X,X,O,X,X
TJISLZO,O,O,O,O,X
TJISLOZ,O,O,X,O,X
TJISZLO,O,O,O,O,X
TJISZOL,O,O,O,O,X
TJISOLZ,O,O,X,O,X
TJISOZL,O,O,X,O,X
TJIZLSO,O,O,O,X,X
TJIZLOS,O,O,O,X,X
TJIZSLO,O,O,O,O,X
TJIZSOL,O,O,O,O,X
TJIZOLS,O,O,O,X,X
TJIZOSL,O,O,O,O,X
TJIOLSZ,X,X,X,O,X
TJIOLZS,X,X,O,X,X
TJIOSLZ,O,O,X,O,X
TJIOSZL,O,O,X,O,X
TJIOZLS,O,O,O,X,X
TJIOZSL,O,O,O,O,X
TJLISZO,X,X,O,O,X
TJLISOZ,X,X,X,O,X
TJLIZSO,X,X,O,X,X
TJLIZOS,X,X,O,X,X
TJLIOSZ,X,X,X,O,X
TJLIOZS,X,X,O,X,X
TJLSIZO,X,X,O,O,X
TJLSIOZ,X,X,X,O,X
TJLSZIO,X,X,O,O,X
TJLSZOI,X,X,O,O,X
TJLSOIZ,X,X,X,O,X
TJLSOZI,X,X,X,O,X
TJLZISO,X,X,O,X,X
TJLZIOS,X,X,O,X,X
TJLZSIO,X,X,O,X,X
TJLZSOI,X,X,O,X,X
TJLZOIS,X,X,O,X,X
