sequence,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFtgB0cBxdB3fBOr?BzrB,v115@EhC8BeA8CeH8CeG8CeC8Jem6IvhFtgB0cBxdBTfBKr?BfsB,v115@EhC8BeA8CeH8CeG8CeC8JeK/IvhFzaBtgBxdB3hB0m?B2wB,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFzbBthBxdB3fBmr?BUrB,v115@EhC8BeA8CeH8CeG8CeC8JeO/IvhF8fBthBxdBfmBzr?BarB,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFtgB0cBxdB3fBmr?BTrB,v115@EhC8BeA8CeH8CeG8CeC8Je2/IvhFzbBthB3fBxiBUm?BywB,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFthBxdB3fBzgBmr?BUrB,v115@EhC8BeA8CeH8CeG8CeC8JeO/IvhF8fBzbBxdBarBfs?BtrB,v115@EhC8BeA8CeH8CeG8CeC8Je2/IvhFtgB0cB3fBxiBTm?BywB,v115@EhC8BeA8CeH8CeG8CeC8JeO/IvhF8fBtgBxdB3hBTm?BywB
TILJSZO,X,X,O,X,X,X,O,X,X,O,O
TILJSOZ,X,X,O,X,X,X,X,X,X,X,X
TILJZSO,X,X,O,X,X,X,O,X,X,O,O
TILJZOS,X,X,O,X,X,X,O,X,X,O,O
TILJOSZ,X,X,O,X,X,X,X,X,X,O,X
TILJOZS,X,X,O,X,X,X,O,X,X,O,X
TILSJZO,O,X,X,X,X,O,O,X,X,O,O
TILSJOZ,X,X,O,X,X,X,X,O,X,X,X
TILSZJO,O,X,X,X,X,O,X,X,X,O,O
TILSZOJ,O,X,O,X,X,O,X,O,X,X,O
TILSOJZ,X,X,O,X,X,X,X,O,X,X,X
TILSOZJ,O,X,O,X,X,O,X,O,X,X,O
TILZJSO,X,X,X,X,X,X,O,X,X,O,O
TILZJOS,X,X,X,X,X,X,O,X,X,O,O
TILZSJO,O,X,X,X,X,O,O,X,X,O,O
TILZSOJ,O,X,O,X,X,O,O,X,X,X,O
TILZOJS,X,X,X,X,X,X,O,X,X,O,O
TILZOSJ,X,X,O,X,X,X,O,X,X,X,O
TILOJSZ,X,X,O,X,X,X,X,X,X,O,X
TILOJZS,X,X,O,X,X,X,O,X,X,O,X
TILOSJZ,X,X,O,X,X,X,X,O,X,O,X
TILOSZJ,X,X,O,X,X,X,X,O,X,O,O
TILOZJS,X,X,X,X,X,X,X,X,X,O,O
TILOZSJ,X,X,O,X,X,X,X,X,X,O,O
TIJLSZO,O,X,O,O,X,O,O,O,X,O,X
TIJLSOZ,O,X,O,O,X,O,X,O,X,X,X
TIJLZSO,O,X,O,X,X,O,O,X,X,O,X
TIJLZOS,X,X,O,X,X,X,O,X,X,O,X
TIJLOSZ,X,X,O,X,X,X,X,O,X,O,X
TIJLOZS,X,X,O,X,X,X,O,X,X,O,X
TIJSLZO,O,O,O,O,X,O,O,O,X,X,X
TIJSLOZ,O,O,O,O,X,O,X,O,X,X,X
TIJSZLO,O,X,O,O,X,O,X,O,X,O,O
TIJSZOL,O,X,X,O,X,O,O,O,X,O,O
TIJSOLZ,O,X,O,O,X,O,X,O,X,X,X
TIJSOZL,O,X,X,O,X,O,X,O,X,X,X
TIJZLSO,O,X,O,O,X,O,O,X,X,O,O
TIJZLOS,X,X,O,O,X,X,O,X,X,X,X
TIJZSLO,O,X,O,O,X,O,X,O,X,O,O
TIJZSOL,O,X,X,O,X,O,O,O,X,O,O
TIJZOLS,X,X,X,O,X,X,O,X,X,X,X
