sequence,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhF6gBxcBzfB/mBUi?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeK/IvhFzaB+gBxcB/mBUi?BlqB,v115@7gB8GeC8HeD8DeG8AeF8Je06IvhFxbBXdB2kBzgBCn?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhFxcBCgB/mBUiBTg?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeK/IvhFWgBxcB/mBUiBTg?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhFxcBflBlgBUiBTm?B6qB,v115@7gB8GeC8HeD8DeG8AeF8Jem6IvhFFcBXdBTfBclBxm?BCrB,v115@7gB8GeC8HeD8DeG8AeF8JeT6IvhF/gBUcBFdBmkBxm?BCrB,v115@7gB8GeC8HeD8DeG8AeF8JeT6IvhFxbBXdBlgBmkB8q?BCsB,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhFXbBRhB6mBTiBFl?B8qB
TILJSZO,O,O,X,O,O,X,O,O,X,X
TILJSOZ,O,O,X,X,X,X,X,O,X,X
TILJZSO,O,X,X,X,X,X,O,O,X,X
TILJZOS,O,O,X,X,X,X,O,O,X,X
TILJOSZ,O,O,X,X,X,X,X,O,X,X
TILJOZS,O,O,X,X,X,X,X,O,X,X
TILSJZO,O,O,X,O,O,X,O,O,X,X
TILSJOZ,O,O,X,X,X,X,X,O,X,X
TILSZJO,O,O,X,O,O,X,O,O,X,X
TILSZOJ,O,O,X,O,O,X,O,O,X,X
TILSOJZ,O,O,X,X,X,X,X,O,X,X
TILSOZJ,O,O,X,X,X,X,O,O,X,X
TILZJSO,O,X,X,X,X,X,O,O,X,X
TILZJOS,O,O,X,X,X,X,O,O,X,X
TILZSJO,X,O,X,X,O,X,O,O,X,X
TILZSOJ,X,O,X,X,O,X,O,O,X,X
TILZOJS,O,X,X,X,X,X,O,X,X,X
TILZOSJ,X,X,X,X,X,X,O,O,X,X
TILOJSZ,O,O,X,X,X,X,X,O,X,X
TILOJZS,O,O,X,X,X,X,X,O,X,X
TILOSJZ,O,O,X,X,X,X,X,O,X,X
TILOSZJ,O,O,X,X,X,X,O,O,X,X
TILOZJS,O,X,X,X,X,X,O,X,X,X
TILOZSJ,X,X,X,X,X,X,O,O,X,X
TIJLSZO,O,O,X,O,X,X,O,O,X,X
TIJLSOZ,O,O,X,X,X,X,X,O,X,X
TIJLZSO,O,X,X,X,X,X,O,O,X,X
TIJLZOS,O,O,X,X,X,X,O,O,X,X
TIJLOSZ,O,O,X,X,X,X,X,O,X,X
TIJLOZS,O,O,X,X,X,X,X,O,X,X
TIJSLZO,O,O,O,O,X,X,O,O,X,X
TIJSLOZ,O,O,X,X,X,X,X,O,X,X
TIJSZLO,O,O,O,O,X,X,O,O,X,X
TIJSZOL,O,O,O,O,X,X,O,O,X,X
TIJSOLZ,O,O,O,X,X,X,X,O,X,X
TIJSOZL,O,X,O,X,X,X,X,O,X,X
TIJZLSO,O,X,O,X,X,X,O,O,X,X
