sequence,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBTeBGiBl?mBXoBSyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBTeBlmBf?tB6tBGsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFCdBTeB/mBx?nBGtB0sB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFWiBTeB/mBx?nB0nBSyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFzcBGeB/mBx?nBCtBUtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBGiB/oBl?mBzsB6tB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFGeB/mBRiBU?iB6tBzsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBGiBTjBl?mBXoBSyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFumB3iB5oBi?hBFjBzsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFzdBumBlnBX?tB5oBirB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhF+iBKjB3hB5?oBlmBzsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFSiBTjBxmBl?mBGtBXtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFSjB3hBxnBl?mBusBTtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFTjBxmB6mB/?nBGoBVyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhF6jBRiB/mBF?iBusBTtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFTjBxmB6mBG?tB/sBFtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhF6jBRiB/mBl?nBTtBGsB
TILJSZO,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TILJOSZ,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TILSJZO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
TILSZOJ,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TILSOJZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILZJOS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TILZSJO,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TILZSOJ,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TILZOSJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TILOJSZ,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TILOJZS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TILOSJZ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TILOSZJ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
