sequence,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeaBJvhFWiBxdB?TgBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFRdBcjB?ylBzhB+nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR9IvhFcjBmgB?CiB3gBTnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Jez7IvhFRdBcjB?2lBfnB6nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFGdBTeB?ylBRnBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Jez7IvhFCdB2lB?xiBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFqiBTeB?mhBxlBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBRdB?SjBzhB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR9IvhFSjBTgB?mhBUhB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeC8IvhFxdB2lB?0hBXjBTnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeSCJvhFTeBmgB?3gBRnBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR8IvhFCeBTgB?2mBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeG+IvhFxgBymB?ziB3gBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBzcB?SjBRnB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBTeB?RnBfnB6nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeC8IvhF2lB0hB?xiBXjBTnBFqB
TILJSZO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TILJSOZ,X,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X
TILJZSO,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O
TILJZOS,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
TILJOSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TILJOZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TILSJZO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TILSJOZ,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X
TILSZJO,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X
TILSZOJ,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TILSOJZ,O,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
TILSOZJ,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TILZJSO,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O,X
TILZJOS,O,O,O,X,O,O,O,O,X,X,O,X,X,O,O,X
TILZSJO,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X
TILZSOJ,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TILZOJS,X,X,O,X,O,X,O,O,X,X,O,X,O,O,O,X
TILZOSJ,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TILOJZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TILOSJZ,X,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
TILOSZJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,O,X,O,O,X,X,O,X,O,O,O,X
TILOZSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJLSZO,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TIJLSOZ,X,O,X,X,O,O,O,X,X,O,O,O,X,X,X,X
TIJLZSO,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O
TIJLZOS,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
