sequence,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Je2AJvhFRcBCeB?UiBTjBlsBXrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT7IvhFxdBihB?GjBFnB8sBXrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jex8IvhFTeBmgB?CiB/sBFoB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jex8IvhFXeBmgB?zhBSoBlsB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT7IvhFyhBFeB?5nBcoBmmBXrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jex7IvhFXdB6jB?2mBziBlsB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jei7IvhF+hBxdB?liBcoB/sBzqB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT7IvhFxcB6jB?liBmmB8sBXrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT7IvhF6hBxdB?liBcoB/sBerB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT7IvhFxcB8iB?+jBymBlsBXrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeyAJvhFGdBTeB?3hBxnBlsB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT7IvhF6jB2mB?RiB0iBlsBXrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jex7IvhFidB+jB?ThB3iBlsB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT7IvhFyhBGeB?UjBxmBlsBXrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Je2AJvhFFeBanB?5nBcoB3mBzqB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT+IvhFxgBOnB?XoBcrB6sBlqB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeZCJvhFThBCoB?coB/qBusBFrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jex7IvhFFeBThB?SoB2sB/sB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jex8IvhF6jBmgB?fnBznBlsB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jei9IvhF+jBxgB?3iBThBlsB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeTBJvhFxnBKnB?coB/qBusBFrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeyAJvhFTeBxmB?XoBFnB0qBGsB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeyAJvhFTjBxmB?FnBXoB0qBGsB
TILJSZO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TILJSOZ,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TILJZSO,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TILJOSZ,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TILSZJO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TILSOJZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TILSOZJ,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TILZJSO,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILZJOS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TILOJZS,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TILOSZJ,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TILOZJS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILOZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
TIJLSZO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
