sequence,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeU7IvhFqh?BTdBejB5jB3gBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFGe?BTgBCiB/oBUiBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8Je37IvhFqh?BTdBejB5jBUgBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeU7IvhFqh?B2iB5jB3gBziBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFuh?B1iB6jBTgB/sBUtB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8Je37IvhFqh?B2iB5jBUgBziBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeU7IvhFRd?BSjBzhB3gBGoBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8Je37IvhFuh?BajB5jBTiBUgBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8Je37IvhFRd?BSjBzhBUgBGoBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhF6j?BTgBfnBUoBlnBGsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFuh?BTgB0iB6oB/sBFtB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeU7IvhFzc?B5jBaoB3gBFnBusB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFFd?B6jBTgBfnBUoBusB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeaAJvhFug?BFdB5jBfnBznB8sB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFFd?B8iB+jBTgBfnBCtB
TILJSZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TILJSOZ,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TILJZSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TILJZOS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TILJOSZ,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TILJOZS,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
TILSJZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TILSJOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TILSZJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TILSOJZ,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TILSOZJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TILZJSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TILZJOS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TILZSJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TILZOJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TILZOSJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TILOJSZ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TILOJZS,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
TILOSJZ,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TILOSZJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TILOZJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TILOZSJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
