sequence,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je38IvhFuiB9jBZnBC?mB8sBTrB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je38IvhFciB6jBdoBz?lBWsBxwB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JecBJvhF6iBTeBdnBW?rBXoBxwB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeU9IvhF9jBThB3iBW?rBysBxwB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeR9IvhF9jBmhBfoBS?rBTsBUrB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeT9IvhF6jBeoBfrBx?mBUsB9rB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je9BJvhFyiB+jBzlB0?nBXnBxwB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeR9IvhF9jBThBfrBi?nB0nBWxB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeG+IvhFxhBNoBfrB0?mB6sBzrB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je38IvhFTeBGmBxnBU?rBisB9sB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeX+IvhFzhBcoBRrBS?xBdrBGsB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeT9IvhF6jBfrBRsB8?sBmrB9rB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je9BJvhFyiB+jBzlBX?nB0nBxwB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je9BJvhFxdB3iBcoBz?lBGsBywB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeuBJvhFciBTeBXoBR?rBdrBSxB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Jei9IvhF+jBfrBxmBz?nBUsB9rB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je9BJvhFidBzlBxnBc?oB+sB3rB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeuBJvhF9iBTeB8lBy?rBXoBxwB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JecBJvhFxdBOnBTjBf?rBqrBtsB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je9BJvhF2iBcoBzlBX?nBCoBxwB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je9BJvhF3dBzlBxnBc?oBGsBywB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Jex9IvhF2mBqnBTjBf?rBUsBtrB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je5BJvhFTdB6jB8lBd?oB/sB2wB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JecBJvhFZiBzdB+jBf?rBqrBtsB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je9BJvhFxdBGjBzlBX?nB8sBywB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Jex9IvhF8lBTjBCnBf?nBtsB2wB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JecBJvhFTeBfrBqrBx?nBOnBtsB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JetBJvhFxdB3iBcoBW?rBTsBKrB
TILJSZO,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
