sequence,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFGgBNmBUiBqpB/q?BzrB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFGgBThBNnBqpB/q?B0rB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFflB6lBThBNnBWv?B0rB,v115@EhC8HeB8GeC8DeA8BeC8Jei/IvhF5lBThBNnBmpB0r?B3pB,v115@EhC8HeB8GeC8DeA8BeC8Je/EJvhFalB5lBNmBUiB2u?BzrB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFCgBNmBUiBGqBzr?BXqB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFzfBGhBNnBCqB0r?B3qB,v115@EhC8HeB8GeC8DeA8BeC8JeT/IvhFxgBNnBXlB2uBCr?B0rB,v115@EhC8HeB8GeC8DeA8BeC8Jex/IvhFThBNnBOpBXlBSv?B0rB,v115@EhC8HeB8GeC8DeA8BeC8Jei/IvhF+lBThBNnB3kB0r?BxuB,v115@EhC8HeB8GeC8DeA8BeC8JeOEJvhFXgBThBNnBSqB0r?BxuB,v115@EhC8HeB8GeC8DeA8BeC8JeKEJvhFzfBGhBNnB3lB0r?BxuB,v115@EhC8HeB8GeC8DeA8BeC8JeGBJvhFNnB/pBRlBTqB0r?BipB,v115@EhC8HeB8GeC8DeA8BeC8Je5FJvhFThBNnBikB3pB0r?BmpB,v115@EhC8HeB8GeC8DeA8BeC8Jex/IvhFNmBUiBOpBXlBSv?BzrB,v115@EhC8HeB8GeC8DeA8BeC8Je/EJvhFUgBxmB9qBimB2u?BzrB,v115@EhC8HeB8GeC8DeA8BeC8JeT/IvhFNnBxlBXlB2uBCr?B0rB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFNmBUiBClBXqBzr?BGqB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFCgBNmB8pB+qBXn?BzrB
IZSTLOJ,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
IZSTJLO,X,X,O,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,O
IZSTJOL,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZSTOLJ,X,O,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
IZSTOJL,X,X,O,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
IZSLJTO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZSLJOT,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
IZSLOTJ,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
IZSLOJT,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZSJTLO,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZSJTOL,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZSJLTO,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZSJLOT,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
IZSJOTL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZSJOLT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZSOTLJ,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IZSOTJL,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IZSOLTJ,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IZSOLJT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZSOJTL,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
IZSOJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZOTLJS,O,O,O,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X
IZOTJLS,O,O,O,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X
IZOTJSL,X,X,O,O,O,O,X,X,X,O,O,O,O,O,X,X,X,O,X
IZOTSLJ,O,O,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,O,X
IZOTSJL,X,X,O,O,O,O,X,X,X,O,O,O,O,O,X,X,X,O,X
IZOLTJS,O,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X
IZOLJTS,O,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O
IZOLJST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZOLSTJ,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X
IZOLSJT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOJTLS,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O
IZOJTSL,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,O
IZOJLTS,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
IZOJLST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZOJSTL,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
IZOJSLT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZOSTLJ,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IZOSTJL,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X,O,X
IZOSLTJ,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IZOSLJT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZOSJTL,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O
IZOSJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IOTLJSZ,O,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X
IOTLJZS,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOTLSJZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOTLSZJ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOTLZJS,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOTLZSJ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOTJLSZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOTJLZS,O,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOTJSLZ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTJSZL,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,O,X,O,O
IOTJZLS,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O
IOTJZSL,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O,O
IOTSLJZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IOTSLZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
IOTSJLZ,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X
IOTSJZL,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
IOTSZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTSZJL,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTZLJS,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X
IOTZJLS,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZJSL,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X
IOTZSLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTZSJL,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOLTJSZ,O,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X
IOLTJZS,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLTSJZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOLTSZJ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOLTZJS,O,X,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X
IOLTZSJ,O,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X
IOLJTSZ,O,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X
IOLJTZS,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLJSTZ,O,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X
IOLJSZT,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
IOLJZTS,O,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X
IOLJZST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOLSTZJ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOLSJTZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOLSJZT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IOLSZTJ,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X
IOLSZJT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOLZTJS,O,O,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X
IOLZJTS,O,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X
IOLZJST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLZSTJ,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X
IOLZSJT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJTLSZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJTLZS,O,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJTSLZ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOJTSZL,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,O,X,O,O
IOJTZLS,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O
IOJTZSL,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O,O
IOJLTSZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJLTZS,O,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJLSTZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJLSZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X
IOJLZTS,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJLZST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOJSTZL,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,O,X,O,O
IOJSLTZ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X
IOJSLZT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJSZTL,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,O
IOJSZLT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
IOJZTLS,O,X,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,O
IOJZTSL,X,X,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,O,O
IOJZLTS,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOJZLST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOJZSTL,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,O
IOJZSLT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
IOSTLJZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IOSTLZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
IOSTJLZ,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X
IOSTJZL,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
IOSTZLJ,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
IOSTZJL,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X
IOSLTJZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IOSLTZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
IOSLJTZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IOSLJZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOSLZTJ,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IOSLZJT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOSJTLZ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOSJTZL,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,O
IOSJLTZ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOSJLZT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IOSJZTL,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,O,O
IOSJZLT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
IOSZTLJ,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IOSZTJL,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X,O,X
IOSZLTJ,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IOSZLJT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOSZJTL,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O
IOSZJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IOZTLJS,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,O,X
IOZTJLS,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X
IOZTJSL,X,X,O,O,O,O,X,X,X,O,O,O,O,O,O,X,X,O,X
IOZTSLJ,O,O,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,O,X
IOZTSJL,X,X,O,O,O,O,X,X,X,O,O,O,O,O,X,X,X,O,X
IOZLTJS,O,O,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X
IOZLTSJ,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X
IOZLJTS,O,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,O
IOZLJST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOZLSTJ,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X
IOZLSJT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOZJTLS,O,X,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,O
IOZJTSL,X,X,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,O,O
IOZJLTS,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOZJLST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOZJSTL,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,O
IOZJSLT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
IOZSTLJ,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IOZSTJL,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X,O,X
IOZSLTJ,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IOZSLJT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZSJTL,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O
IOZSJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
LTIJSZO,O,O,O,O,O,X,X,O,O,O,O,O,X,X,O,X,X,X,O
LTIJSOZ,O,O,O,X,O,X,X,O,O,O,O,O,X,X,O,X,O,X,X
LTIJZSO,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X,X,X,O
LTIJZOS,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,O
LTIJOSZ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LTIJOZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
LTISJZO,O,O,X,X,X,X,X,O,O,O,O,O,X,O,O,X,X,X,O
LTISJOZ,O,O,X,X,X,X,X,O,O,O,O,O,X,X,O,X,O,X,X
LTISZJO,O,O,X,X,X,X,X,O,O,O,O,O,X,O,O,X,X,X,X
LTISZOJ,O,O,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X
LTISOJZ,O,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LTISOZJ,O,X,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X
LTIZJSO,O,O,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
LTIZJOS,X,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X
LTIZSJO,O,O,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X
LTIZSOJ,O,O,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X
LTIZOJS,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIZOSJ,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
LTIOJSZ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LTIOJZS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTIOSJZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIOSZJ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIOZJS,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LTJISZO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
LTJISOZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTJIZSO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LTJIZOS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
LTJIOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTJIOZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTJSIZO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
LTJSIOZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTJSZIO,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
LTJSZOI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
LTJSOIZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTJSOZI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTJZISO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LTJZIOS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
LTJZSIO,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
LTJZSOI,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
LTJZOIS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
LTJZOSI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LTJOISZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTJOIZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTJOSIZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTJOSZI,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTJOZIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTJOZSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTSIJZO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
LTSIJOZ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTSIZJO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
LTSIZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
LTSIOJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTSIOZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
LTSJIZO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
LTSJIOZ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTSJZIO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
LTSJZOI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
LTSJOIZ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTSJOZI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTSZIJO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
LTSZIOJ,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
LTSZJIO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTSZJOI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTSZOIJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTSZOJI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTSOIJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTSOIZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
LTSOJIZ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTSOJZI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTSOZIJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTSOZJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTZIJSO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZIJOS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X
LTZISJO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZISOJ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZIOJS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZJISO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZJIOS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X
LTZJSIO,O,O,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
LTZJSOI,O,O,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
LTZJOIS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X
LTZJOSI,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZSIJO,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
LTZSIOJ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZSJIO,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
LTZSJOI,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
LTZSOIJ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZSOJI,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZOIJS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZOJIS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZOJSI,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZOSIJ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZOSJI,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTOIJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTOIJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTOISJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTOISZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTOIZJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTOIZSJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTOJISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTOJIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTOJSIZ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTOJSZI,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTOJZIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTOJZSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTOSIJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTOSIZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTOSJIZ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTOSJZI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTOSZIJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTOSZJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
