sequence,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFGgBNmBUiBqpB/q?BzrB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFGgBThBNnBqpB/q?B0rB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFflB6lBThBNnBWv?B0rB,v115@EhC8HeB8GeC8DeA8BeC8Jei/IvhF5lBThBNnBmpB0r?B3pB,v115@EhC8HeB8GeC8DeA8BeC8Je/EJvhFalB5lBNmBUiB2u?BzrB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFCgBNmBUiBGqBzr?BXqB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFzfBGhBNnBCqB0r?B3qB,v115@EhC8HeB8GeC8DeA8BeC8JeT/IvhFxgBNnBXlB2uBCr?B0rB,v115@EhC8HeB8GeC8DeA8BeC8Jex/IvhFThBNnBOpBXlBSv?B0rB,v115@EhC8HeB8GeC8DeA8BeC8Jei/IvhF+lBThBNnB3kB0r?BxuB,v115@EhC8HeB8GeC8DeA8BeC8JeOEJvhFXgBThBNnBSqB0r?BxuB,v115@EhC8HeB8GeC8DeA8BeC8JeKEJvhFzfBGhBNnB3lB0r?BxuB,v115@EhC8HeB8GeC8DeA8BeC8JeGBJvhFNnB/pBRlBTqB0r?BipB,v115@EhC8HeB8GeC8DeA8BeC8Je5FJvhFThBNnBikB3pB0r?BmpB,v115@EhC8HeB8GeC8DeA8BeC8Jex/IvhFNmBUiBOpBXlBSv?BzrB,v115@EhC8HeB8GeC8DeA8BeC8Je/EJvhFUgBxmB9qBimB2u?BzrB,v115@EhC8HeB8GeC8DeA8BeC8JeT/IvhFNnBxlBXlB2uBCr?B0rB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFNmBUiBClBXqBzr?BGqB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFCgBNmB8pB+qBXn?BzrB
TISLJOZ,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TISLZJO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
TISLZOJ,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
TISLOJZ,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TISLOZJ,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X
TISJLZO,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O
TISJLOZ,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TISJZLO,X,X,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,O
TISJZOL,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O
TISJOLZ,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TISJOZL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TISZLJO,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TISZLOJ,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TISZJLO,X,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,O
TISZJOL,X,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,O
TISZOLJ,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TISZOJL,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TISOLJZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TISOLZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
TISOJLZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TISOJZL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TISOZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TISOZJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIZLJSO,O,O,O,O,O,X,O,X,X,O,O,O,X,X,O,X,X,X,O
TIZLJOS,X,O,O,O,X,X,O,X,X,O,O,O,X,X,O,X,X,X,O
TIZLSJO,O,O,X,X,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X
TIZLOJS,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TIZLOSJ,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TIZJLSO,O,O,O,O,O,X,O,X,X,O,O,O,X,X,O,X,X,X,O
TIZJLOS,X,O,O,O,X,X,O,X,X,O,O,O,X,X,O,X,X,X,O
TIZJSLO,X,X,O,O,O,X,O,X,X,O,O,O,X,O,O,X,X,X,O
TIZJSOL,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O
TIZJOLS,X,O,O,O,X,X,O,X,X,O,O,O,X,X,O,X,X,X,O
TIZJOSL,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O
TIZSLJO,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TIZSJLO,X,X,O,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,O
TIZSJOL,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O
TIZSOLJ,X,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
TIZSOJL,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
TIZOLJS,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TIZOJLS,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TIZOJSL,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X
TIZOSLJ,X,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
TIZOSJL,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
TIOLJSZ,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIOLSZJ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIOLZJS,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIOJLSZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOJSZL,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TIOJZLS,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TIOJZSL,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TIOSLJZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TIOSLZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
TIOSJLZ,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X
TIOSJZL,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TIOSZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOSZJL,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOZLJS,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOZJLS,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOZSLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOZSJL,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TLIJSZO,O,O,O,O,O,X,X,O,O,O,O,O,X,X,O,X,X,X,O
TLIJSOZ,O,O,O,X,O,X,X,O,O,O,O,O,X,X,O,X,O,X,X
TLIJZSO,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X,X,X,O
TLIJZOS,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,O
TLIJOSZ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TLIJOZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
TLISJZO,O,O,X,X,X,X,X,O,O,O,O,O,X,O,O,X,X,X,O
TLISJOZ,O,O,X,X,X,X,X,O,O,O,O,O,X,X,O,X,O,X,X
TLISZJO,O,O,X,X,X,X,X,O,O,O,O,O,X,O,O,X,X,X,X
