sequence,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhF0cBxdB2mBf?oB6oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiBxdBUhBz?iB+oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFOhB6jBRiBX?iBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFKhBfiBxdBG?jBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFmdB5jBihBf?oB0hBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiB5jBUhBz?iBmnBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFajB5jB/mB0?nBFnBmrB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Je2AJvhFfiBxdBCjBU?hBToBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFlcBciBejB5?jB/mBisB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFicBcoBxmBf?sBlsBGtB
TIJOSZL,O,O,X,X,O,X,X,X,X,X
TIJOZLS,O,O,O,X,X,O,X,X,X,X
TIJOZSL,O,O,O,X,X,O,X,X,X,X
TISLJZO,O,O,X,X,O,X,X,O,O,X
TISLJOZ,O,O,X,O,O,X,X,O,O,X
TISLZJO,O,O,X,O,O,O,X,O,X,X
TISLZOJ,O,O,X,O,O,O,X,X,X,X
TISLOJZ,O,O,X,O,O,X,X,O,O,X
TISLOZJ,O,O,X,O,O,O,X,X,X,X
TISJLZO,O,O,X,X,O,X,X,O,X,X
TISJLOZ,O,O,X,O,O,X,X,O,X,X
TISJZLO,O,O,X,X,O,X,X,X,X,X
TISJZOL,O,X,X,X,O,X,X,X,X,X
TISJOLZ,O,O,X,X,O,X,X,O,X,X
TISJOZL,O,O,X,X,O,X,X,X,X,X
TISZLJO,X,O,X,O,O,O,O,X,X,X
TISZLOJ,X,O,X,O,O,O,O,X,X,X
TISZJLO,O,X,X,O,O,O,X,X,X,X
TISZJOL,O,X,X,O,O,O,X,X,X,X
TISZOLJ,X,X,X,O,O,O,O,X,X,X
TISZOJL,O,X,X,X,O,O,X,X,X,X
TISOLJZ,O,O,X,O,O,X,X,O,O,X
TISOLZJ,O,O,X,O,O,O,X,O,X,X
TISOJLZ,O,X,X,X,O,X,X,O,X,X
TISOJZL,O,X,X,X,O,X,X,X,X,X
TISOZLJ,X,X,X,X,O,O,O,X,X,X
TISOZJL,O,X,X,X,O,O,X,X,X,X
TIZLJSO,X,O,O,O,X,O,X,X,X,X
TIZLJOS,X,O,O,O,X,O,X,X,X,X
TIZLSJO,X,O,O,O,O,O,O,X,X,O
TIZLSOJ,X,O,O,O,O,O,O,X,X,O
TIZLOJS,X,X,O,O,X,O,X,X,X,X
TIZLOSJ,X,X,O,O,O,O,O,X,X,O
TIZJLSO,X,O,O,O,X,O,X,X,X,X
TIZJLOS,X,O,O,O,X,O,X,X,X,X
TIZJSLO,X,O,O,O,X,O,X,X,X,X
TIZJSOL,X,O,O,O,X,O,X,X,X,X
TIZJOLS,X,O,O,O,X,O,X,X,X,X
TIZJOSL,X,O,O,O,X,O,X,X,X,X
TIZSLJO,X,O,O,O,O,O,O,X,X,O
TIZSLOJ,X,O,O,O,O,O,O,X,X,O
TIZSJLO,X,O,O,O,O,O,X,X,X,O
TIZSJOL,X,O,O,O,O,O,X,X,X,O
TIZSOLJ,X,O,O,O,O,O,O,X,X,O
TIZSOJL,X,X,O,X,O,O,X,X,X,O
TIZOLJS,X,X,O,O,X,O,X,X,X,X
TIZOLSJ,X,X,O,O,O,O,O,X,X,O
TIZOJLS,X,X,O,O,X,O,X,X,X,X
TIZOJSL,X,X,O,X,X,O,X,X,X,X
TIZOSLJ,X,X,O,X,O,O,O,X,X,O
TIZOSJL,X,X,O,X,O,O,X,X,X,O
TIOLJSZ,X,X,X,X,O,X,X,O,O,X
TIOLJZS,X,X,X,X,X,O,X,O,O,X
TIOLSJZ,X,X,X,O,O,X,X,O,O,X
TIOLSZJ,X,X,X,O,O,O,X,O,X,X
TIOLZJS,X,X,X,O,X,O,X,O,X,X
TIOLZSJ,X,X,X,O,O,O,X,O,X,O
TIOJLSZ,X,X,X,X,O,X,X,O,X,X
TIOJLZS,X,X,X,X,X,O,X,O,X,X
TIOJSLZ,O,X,X,X,O,X,X,O,X,X
TIOJSZL,O,X,X,X,O,X,X,X,X,X
TIOJZLS,O,X,O,X,X,O,X,X,X,X
TIOJZSL,O,X,O,X,X,O,X,X,X,X
TIOSLJZ,O,X,X,X,O,X,X,O,O,X
TIOSLZJ,O,X,X,X,O,O,X,O,X,X
TIOSJLZ,O,X,X,X,O,X,X,O,X,X
TIOSJZL,O,X,X,X,O,X,X,X,X,X
TIOSZLJ,X,X,X,X,O,O,O,X,X,X
TIOSZJL,O,X,X,X,O,O,X,X,X,X
TIOZLJS,X,X,O,O,X,O,X,X,X,X
TIOZLSJ,X,X,O,O,O,O,O,X,X,O
TIOZJLS,X,X,O,O,X,O,X,X,X,X
TIOZJSL,X,X,O,X,X,O,X,X,X,X
TIOZSLJ,X,X,O,X,O,O,O,X,X,O
TIOZSJL,X,X,O,X,O,O,X,X,X,O
TLIJSZO,X,O,X,X,O,X,X,O,O,X
TLIJSOZ,X,O,X,X,O,X,X,O,O,X
TLIJZSO,X,O,X,X,X,O,X,O,O,X
TLIJZOS,X,O,X,X,X,O,X,X,O,X
TLIJOSZ,X,O,X,X,O,X,X,O,O,X
TLIJOZS,X,O,X,X,X,O,X,X,O,X
TLISJZO,O,O,X,X,O,X,X,O,O,X
TLISJOZ,O,O,X,O,O,X,X,O,O,X
TLISZJO,O,O,X,O,O,O,X,O,X,X
TLISZOJ,O,O,X,O,O,O,X,X,X,X
TLISOJZ,O,O,X,O,O,X,X,O,O,X
TLISOZJ,O,O,X,O,O,O,X,X,X,X
TLIZJSO,X,O,X,O,X,O,X,O,X,X
TLIZJOS,X,O,X,O,X,O,X,X,X,X
TLIZSJO,X,O,X,O,O,O,X,O,X,X
TLIZSOJ,X,O,X,O,O,O,X,X,X,X
TLIZOJS,X,X,X,O,X,O,X,X,X,X
TLIZOSJ,X,X,X,O,O,O,X,X,X,X
TLIOJSZ,X,X,X,X,O,X,X,O,O,X
TLIOJZS,X,X,X,X,X,O,X,X,O,X
TLIOSJZ,O,X,X,O,O,X,X,O,O,X
TLIOSZJ,O,X,X,O,O,O,X,X,X,X
TLIOZJS,X,X,X,O,X,O,X,X,X,X
TLIOZSJ,X,X,X,O,O,O,X,X,X,X
TLJISZO,X,O,X,X,O,X,X,O,O,X
TLJISOZ,X,O,X,X,O,X,X,O,O,X
TLJIZSO,X,O,X,X,X,O,X,O,O,X
