sequence,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhF0cBxdB2mBf?oB6oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiBxdBUhBz?iB+oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFOhB6jBRiBX?iBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFKhBfiBxdBG?jBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFmdB5jBihBf?oB0hBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiB5jBUhBz?iBmnBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFajB5jB/mB0?nBFnBmrB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Je2AJvhFfiBxdBCjBU?hBToBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFlcBciBejB5?jB/mBisB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFicBcoBxmBf?sBlsBGtB
TSLZOJI,O,O,X,O,O,O,X,X,O,X
TSLOIJZ,O,O,X,O,O,X,X,O,O,X
TSLOIZJ,O,O,X,O,O,O,X,O,O,X
TSLOJIZ,O,O,X,O,O,X,X,O,O,X
TSLOJZI,O,O,X,O,O,X,X,O,O,X
TSLOZIJ,O,X,X,O,O,O,X,O,O,X
TSLOZJI,O,X,X,O,O,O,X,O,O,X
TSJILZO,O,O,X,X,O,X,X,O,X,X
TSJILOZ,O,O,X,O,O,X,X,O,X,X
TSJIZLO,O,O,X,X,O,X,X,X,X,X
TSJIZOL,O,X,X,X,O,X,X,X,X,X
TSJIOLZ,O,O,X,X,O,X,X,O,X,X
TSJIOZL,O,O,X,X,O,X,X,X,X,X
TSJLIZO,O,O,X,X,O,X,X,O,X,X
TSJLIOZ,O,O,X,O,O,X,X,O,X,X
TSJLZIO,O,O,X,O,O,X,X,O,O,X
TSJLZOI,O,O,X,O,O,X,X,O,O,X
TSJLOIZ,O,O,X,O,O,X,X,O,X,X
TSJLOZI,O,O,X,O,O,X,X,O,O,X
TSJZILO,O,O,O,O,O,X,X,X,X,X
TSJZIOL,O,O,O,O,O,X,X,X,X,X
TSJZLIO,O,O,O,O,O,X,X,O,X,X
TSJZLOI,O,O,O,O,O,X,X,O,X,X
TSJZOIL,O,O,O,O,O,X,X,X,X,X
TSJZOLI,O,O,O,O,O,X,X,O,X,X
TSJOILZ,O,O,X,X,O,X,X,O,X,X
TSJOIZL,O,O,X,X,O,X,X,X,X,X
TSJOLIZ,O,O,X,X,O,X,X,O,X,X
TSJOLZI,O,O,X,X,O,X,X,O,O,X
TSJOZIL,O,O,O,X,O,X,X,X,X,X
TSJOZLI,O,O,O,X,O,X,X,O,X,X
TSZILJO,X,O,O,O,O,O,O,X,X,X
TSZILOJ,X,O,O,O,O,O,O,X,X,X
TSZIJLO,O,O,O,O,O,O,X,X,X,X
TSZIJOL,O,O,O,O,O,O,X,X,X,X
TSZIOLJ,X,O,O,O,O,O,O,X,X,X
TSZIOJL,O,X,O,X,O,O,X,X,X,X
TSZLIJO,O,O,O,O,O,O,O,O,O,X
TSZLIOJ,O,O,O,O,O,O,O,X,O,X
TSZLJIO,O,O,O,O,O,O,X,O,O,X
TSZLJOI,O,O,O,O,O,O,X,O,O,X
TSZLOIJ,O,O,O,O,O,O,O,X,O,X
TSZLOJI,O,O,O,O,O,O,X,X,O,X
TSZJILO,O,O,O,O,O,O,X,X,X,X
TSZJIOL,O,O,O,O,O,O,X,X,X,X
TSZJLIO,O,O,O,O,O,O,X,O,X,X
TSZJLOI,O,O,O,O,O,O,X,O,X,X
TSZJOIL,O,O,O,O,O,O,X,X,X,X
TSZJOLI,O,O,O,O,O,O,X,O,X,X
TSZOILJ,X,O,O,O,O,O,O,X,X,X
TSZOIJL,O,X,O,X,O,O,X,X,X,X
TSZOLIJ,O,O,O,O,O,O,O,O,O,X
TSZOLJI,O,O,O,O,O,O,X,O,O,X
TSZOJIL,O,O,O,O,O,O,X,X,X,X
TSZOJLI,O,O,O,O,O,O,X,O,X,X
TSOILJZ,O,O,X,O,O,X,X,O,O,X
TSOILZJ,O,O,X,O,O,O,X,O,O,X
TSOIJLZ,O,X,X,X,O,X,X,O,X,X
TSOIJZL,O,X,X,X,O,X,X,X,X,X
TSOIZLJ,X,X,X,X,O,O,O,X,X,X
TSOIZJL,O,X,X,X,O,O,X,X,X,X
TSOLIJZ,O,O,X,O,O,X,X,O,O,X
TSOLIZJ,O,O,X,O,O,O,X,O,O,X
TSOLJIZ,O,O,X,O,O,X,X,O,O,X
TSOLJZI,O,O,X,O,O,X,X,O,O,X
TSOLZIJ,O,X,X,O,O,O,X,O,O,X
TSOLZJI,O,X,X,O,O,O,X,O,O,X
TSOJILZ,O,O,X,X,O,X,X,O,X,X
TSOJIZL,O,O,X,X,O,X,X,X,X,X
TSOJLIZ,O,O,X,X,O,X,X,O,X,X
TSOJLZI,O,O,X,X,O,X,X,O,O,X
TSOJZIL,O,O,O,X,O,X,X,X,X,X
TSOJZLI,O,O,O,X,O,X,X,O,X,X
TSOZILJ,X,X,O,O,O,O,O,X,X,X
TSOZIJL,O,X,O,X,O,O,X,X,X,X
TSOZLIJ,O,X,O,O,O,O,O,O,O,X
TSOZLJI,O,X,O,O,O,O,X,O,O,X
TSOZJIL,O,X,O,O,O,O,X,X,X,X
TSOZJLI,O,X,O,O,O,O,X,O,X,X
TZILJSO,X,O,O,O,X,O,X,X,X,X
TZILJOS,X,O,O,O,X,O,X,X,X,X
TZILSJO,X,O,O,O,O,O,O,X,X,O
TZILSOJ,X,O,O,O,O,O,O,X,X,O
TZILOJS,X,X,O,O,X,O,X,X,X,X
TZILOSJ,X,X,O,O,O,O,O,X,X,O
TZIJLSO,X,O,O,O,X,O,X,X,X,X
TZIJLOS,X,O,O,O,X,O,X,X,X,X
TZIJSLO,X,O,O,O,X,O,X,X,X,X
TZIJSOL,X,O,O,O,X,O,X,X,X,X
TZIJOLS,X,O,O,O,X,O,X,X,X,X
TZIJOSL,X,O,O,O,X,O,X,X,X,X
TZISLJO,X,O,O,O,O,O,O,X,X,O
TZISLOJ,X,O,O,O,O,O,O,X,X,O
TZISJLO,X,O,O,O,O,O,X,X,X,O
TZISJOL,X,O,O,O,O,O,X,X,X,O
TZISOLJ,X,O,O,O,O,O,O,X,X,O
TZISOJL,X,X,O,X,O,O,X,X,X,O
TZIOLJS,X,X,O,O,X,O,X,X,X,X
TZIOLSJ,X,X,O,O,O,O,O,X,X,O
TZIOJLS,X,X,O,O,X,O,X,X,X,X
TZIOJSL,X,X,O,X,X,O,X,X,X,X
TZIOSLJ,X,X,O,X,O,O,O,X,X,O
TZIOSJL,X,X,O,X,O,O,X,X,X,O
TZLIJSO,X,O,O,O,X,O,X,O,X,X
TZLIJOS,X,O,O,O,X,O,X,X,X,X
TZLISJO,X,O,O,O,O,O,O,O,X,X
TZLISOJ,X,O,O,O,O,O,O,X,X,X
TZLIOJS,X,X,O,O,X,O,X,X,X,X
TZLIOSJ,X,X,O,O,O,O,O,X,X,X
TZLJISO,X,O,O,O,X,O,X,O,X,X
TZLJIOS,X,O,O,O,X,O,X,X,X,X
TZLJSIO,X,O,O,O,X,O,X,O,X,X
TZLJSOI,X,O,O,O,X,O,X,O,X,X
TZLJOIS,X,O,O,O,X,O,X,X,X,X
TZLJOSI,X,O,O,O,X,O,X,X,X,X
TZLSIJO,X,O,O,O,O,O,O,O,X,X
TZLSIOJ,X,O,O,O,O,O,O,X,X,X
TZLSJIO,X,O,O,O,O,O,X,O,X,X
TZLSJOI,X,O,O,O,O,O,X,O,X,X
TZLSOIJ,X,O,O,O,O,O,O,X,X,X
TZLSOJI,X,O,O,O,O,O,X,X,X,X
TZLOIJS,X,X,O,O,X,O,X,X,X,X
TZLOISJ,X,X,O,O,O,O,O,X,X,X
TZLOJIS,X,O,O,O,X,O,X,X,X,X
TZLOJSI,X,O,O,O,X,O,X,X,X,X
TZLOSIJ,X,O,O,O,O,O,O,X,X,X
TZLOSJI,X,O,O,O,O,O,X,X,X,X
TZJILSO,X,O,O,O,X,O,X,X,X,X
TZJILOS,O,O,O,O,X,O,X,X,X,X
TZJISLO,O,O,O,O,X,O,X,X,X,X
TZJISOL,O,O,O,O,X,O,X,X,X,X
TZJIOLS,O,O,O,O,X,O,X,X,X,X
TZJIOSL,O,O,O,O,X,O,X,X,X,X
TZJLISO,X,O,O,O,X,O,X,O,X,X
TZJLIOS,O,O,O,O,X,O,X,X,X,X
TZJLSIO,O,O,O,O,X,O,X,O,X,X
TZJLSOI,O,O,O,O,X,O,X,O,X,X
TZJLOIS,O,O,O,O,X,O,X,X,X,X
TZJLOSI,O,O,O,O,X,O,X,X,X,X
TZJSILO,O,O,O,O,X,O,X,X,X,X
TZJSIOL,O,O,O,O,X,O,X,X,X,X
TZJSLIO,O,O,O,O,X,O,X,O,X,X
TZJSLOI,O,O,O,O,X,O,X,O,X,X
TZJSOIL,O,O,O,O,X,O,X,X,X,X
TZJSOLI,O,O,O,O,X,O,X,O,X,X
TZJOILS,O,O,O,O,X,O,X,X,X,X
TZJOISL,O,O,O,O,X,O,X,X,X,X
TZJOLIS,O,O,O,O,X,O,X,O,X,X
TZJOLSI,O,O,O,O,X,O,X,O,X,X
TZJOSIL,O,O,O,O,X,O,X,X,X,X
TZJOSLI,O,O,O,O,X,O,X,O,X,X
TZSILJO,X,O,O,O,O,O,O,X,X,X
TZSILOJ,X,O,O,O,O,O,O,X,X,X
TZSIJLO,O,O,O,O,O,O,X,X,X,X
TZSIJOL,O,O,O,O,O,O,X,X,X,X
TZSIOLJ,X,O,O,O,O,O,O,X,X,X
TZSIOJL,O,X,O,X,O,O,X,X,X,X
TZSLIJO,O,O,O,O,O,O,O,O,X,X
TZSLIOJ,O,O,O,O,O,O,O,X,X,X
TZSLJIO,O,O,O,O,O,O,X,O,X,X
TZSLJOI,O,O,O,O,O,O,X,O,X,X
TZSLOIJ,O,O,O,O,O,O,O,X,X,X
TZSLOJI,O,O,O,O,O,O,X,X,X,X
TZSJILO,O,O,O,O,O,O,X,X,X,X
TZSJIOL,O,O,O,O,O,O,X,X,X,X
TZSJLIO,O,O,O,O,O,O,X,O,X,X
TZSJLOI,O,O,O,O,O,O,X,O,X,X
TZSJOIL,O,O,O,O,O,O,X,X,X,X
TZSJOLI,O,O,O,O,O,O,X,O,X,X
TZSOILJ,X,O,O,O,O,O,O,X,X,X
TZSOIJL,O,X,O,X,O,O,X,X,X,X
TZSOLIJ,O,O,O,O,O,O,O,O,X,X
TZSOLJI,O,O,O,O,O,O,X,O,X,X
TZSOJIL,O,O,O,O,O,O,X,X,X,X
TZSOJLI,O,O,O,O,O,O,X,O,X,X
TZOILJS,X,X,O,O,X,O,X,X,X,X
TZOILSJ,X,X,O,O,O,O,O,X,X,O
TZOIJLS,X,X,O,O,X,O,X,X,X,X
TZOIJSL,X,X,O,X,X,O,X,X,X,X
TZOISLJ,X,X,O,X,O,O,O,X,X,O
TZOISJL,X,X,O,X,O,O,X,X,X,O
TZOLIJS,X,X,O,O,X,O,X,O,X,X
TZOLISJ,X,X,O,O,O,O,O,O,X,X
TZOLJIS,X,O,O,O,X,O,X,O,X,X
TZOLJSI,X,O,O,O,X,O,X,O,X,X
TZOLSIJ,X,O,O,O,O,O,O,O,X,X
TZOLSJI,X,O,O,O,O,O,X,O,X,X
TZOJILS,O,O,O,O,X,O,X,X,X,X
TZOJISL,O,O,O,O,X,O,X,X,X,X
TZOJLIS,O,O,O,O,X,O,X,O,X,X
TZOJLSI,O,O,O,O,X,O,X,O,X,X
TZOJSIL,O,O,O,O,X,O,X,X,X,X
TZOJSLI,O,O,O,O,X,O,X,O,X,X
TZOSILJ,X,O,O,O,O,O,O,X,X,X
TZOSIJL,O,X,O,X,O,O,X,X,X,X
TZOSLIJ,O,O,O,O,O,O,O,O,X,X
TZOSLJI,O,O,O,O,O,O,X,O,X,X
TZOSJIL,O,O,O,O,O,O,X,X,X,X
TZOSJLI,O,O,O,O,O,O,X,O,X,X
TOILJSZ,X,X,X,X,O,X,X,O,O,X
TOILJZS,X,X,X,X,X,O,X,O,O,X
TOILSJZ,X,X,X,O,O,X,X,O,O,X
TOILSZJ,X,X,X,O,O,O,X,O,X,X
TOILZJS,X,X,X,O,X,O,X,O,X,X
TOILZSJ,X,X,X,O,O,O,X,O,X,O
TOIJLSZ,X,X,X,X,O,X,X,O,X,X
TOIJLZS,X,X,X,X,X,O,X,O,X,X
TOIJSLZ,O,X,X,X,O,X,X,O,X,X
TOIJSZL,O,X,X,X,O,X,X,X,X,X
TOIJZLS,O,X,O,X,X,O,X,X,X,X
TOIJZSL,O,X,O,X,X,O,X,X,X,X
TOISLJZ,O,X,X,X,O,X,X,O,O,X
TOISLZJ,O,X,X,X,O,O,X,O,X,X
TOISJLZ,O,X,X,X,O,X,X,O,X,X
TOISJZL,O,X,X,X,O,X,X,X,X,X
TOISZLJ,X,X,X,X,O,O,O,X,X,X
TOISZJL,O,X,X,X,O,O,X,X,X,X
TOIZLJS,X,X,O,O,X,O,X,X,X,X
TOIZLSJ,X,X,O,O,O,O,O,X,X,O
TOIZJLS,X,X,O,O,X,O,X,X,X,X
TOIZJSL,X,X,O,X,X,O,X,X,X,X
TOIZSLJ,X,X,O,X,O,O,O,X,X,O
TOIZSJL,X,X,O,X,O,O,X,X,X,O
TOLIJSZ,X,X,X,X,O,X,X,O,O,X
TOLIJZS,X,X,X,X,X,O,X,O,O,X
TOLISJZ,O,X,X,O,O,X,X,O,O,X
TOLISZJ,O,X,X,O,O,O,X,O,X,X
TOLIZJS,X,X,X,O,X,O,X,O,X,X
TOLIZSJ,X,X,X,O,O,O,X,O,X,X
TOLJISZ,X,O,X,X,O,X,X,O,O,X
TOLJIZS,X,O,X,X,X,O,X,O,O,X
TOLJSIZ,O,O,X,O,O,X,X,O,O,X
TOLJSZI,O,O,X,O,O,X,X,O,O,X
TOLJZIS,O,O,O,O,X,O,X,O,O,X
TOLJZSI,O,O,O,O,X,O,X,O,O,X
TOLSIJZ,O,O,X,O,O,X,X,O,O,X
TOLSIZJ,O,O,X,O,O,O,X,O,O,X
TOLSJIZ,O,O,X,O,O,X,X,O,O,X
TOLSJZI,O,O,X,O,O,X,X,O,O,X
TOLSZIJ,O,X,X,O,O,O,X,O,O,X
TOLSZJI,O,X,X,O,O,O,X,O,O,X
TOLZIJS,X,X,O,O,X,O,X,O,X,X
TOLZISJ,X,X,O,O,O,O,X,O,X,X
TOLZJIS,X,O,O,O,X,O,X,O,O,X
TOLZJSI,X,O,O,O,X,O,X,O,O,X
TOLZSIJ,X,O,O,O,O,O,X,O,O,X
TOLZSJI,X,O,O,O,O,O,X,O,O,X
TOJILSZ,X,O,X,X,O,X,X,O,X,X
TOJILZS,X,O,X,X,X,O,X,O,X,X
TOJISLZ,O,O,X,X,O,X,X,O,X,X
TOJISZL,O,O,X,X,O,X,X,X,X,X
TOJIZLS,O,O,O,X,X,O,X,X,X,X
TOJIZSL,O,O,O,X,X,O,X,X,X,X
TOJLISZ,X,O,X,X,O,X,X,O,X,X
TOJLIZS,X,O,X,X,X,O,X,O,X,X
TOJLSIZ,O,O,X,O,O,X,X,O,X,X
TOJLSZI,O,O,X,O,O,X,X,O,X,X
TOJLZIS,O,O,O,O,X,O,X,O,X,X
TOJLZSI,O,O,O,O,X,O,X,O,X,X
TOJSILZ,O,O,X,X,O,X,X,O,X,X
TOJSIZL,O,O,X,X,O,X,X,X,X,X
TOJSLIZ,O,O,X,X,O,X,X,O,X,X
TOJSLZI,O,O,X,X,O,X,X,O,X,X
TOJSZIL,O,O,O,X,O,X,X,X,X,X
TOJSZLI,O,O,O,X,O,X,X,O,X,X
TOJZILS,O,O,O,O,X,O,X,X,X,X
TOJZISL,O,O,O,X,X,O,X,X,X,X
TOJZLIS,O,O,O,O,X,O,X,O,X,X
TOJZLSI,O,O,O,O,X,O,X,O,X,X
TOJZSIL,O,O,O,X,X,O,X,X,X,X
TOJZSLI,O,O,O,O,X,O,X,O,X,X
TOSILJZ,O,O,X,O,O,X,X,O,O,X
TOSILZJ,O,O,X,O,O,O,X,O,O,X
TOSIJLZ,O,X,X,X,O,X,X,O,X,X
TOSIJZL,O,X,X,X,O,X,X,X,X,X
TOSIZLJ,X,X,X,X,O,O,O,X,X,X
TOSIZJL,O,X,X,X,O,O,X,X,X,X
TOSLIJZ,O,O,X,O,O,X,X,O,O,X
TOSLIZJ,O,O,X,O,O,O,X,O,O,X
TOSLJIZ,O,O,X,O,O,X,X,O,O,X
TOSLJZI,O,O,X,O,O,X,X,O,O,X
TOSLZIJ,O,X,X,O,O,O,X,O,O,X
TOSLZJI,O,X,X,O,O,O,X,O,O,X
TOSJILZ,O,O,X,X,O,X,X,O,X,X
TOSJIZL,O,O,X,X,O,X,X,X,X,X
TOSJLIZ,O,O,X,X,O,X,X,O,X,X
TOSJLZI,O,O,X,X,O,X,X,O,O,X
TOSJZIL,O,O,O,X,O,X,X,X,X,X
TOSJZLI,O,O,O,X,O,X,X,O,X,X
TOSZILJ,X,X,O,O,O,O,O,X,X,X
TOSZIJL,O,X,O,X,O,O,X,X,X,X
TOSZLIJ,O,X,O,O,O,O,O,O,O,X
TOSZLJI,O,X,O,O,O,O,X,O,O,X
TOSZJIL,O,X,O,O,O,O,X,X,X,X
TOSZJLI,O,X,O,O,O,O,X,O,X,X
TOZILJS,X,X,O,O,X,O,X,X,X,X
TOZILSJ,X,X,O,O,O,O,O,X,X,O
TOZIJLS,X,X,O,O,X,O,X,X,X,X
TOZIJSL,X,X,O,X,X,O,X,X,X,X
TOZISLJ,X,X,O,X,O,O,O,X,X,O
TOZISJL,X,X,O,X,O,O,X,X,X,O
TOZLIJS,X,X,O,O,X,O,X,O,X,X
TOZLISJ,X,X,O,O,O,O,O,O,X,X
TOZLJIS,X,O,O,O,X,O,X,O,X,X
TOZLJSI,X,O,O,O,X,O,X,O,X,X
TOZLSIJ,X,O,O,O,O,O,O,O,X,X
TOZLSJI,X,O,O,O,O,O,X,O,X,X
TOZJILS,O,O,O,O,X,O,X,X,X,X
TOZJISL,O,O,O,O,X,O,X,X,X,X
TOZJLIS,O,O,O,O,X,O,X,O,X,X
TOZJLSI,O,O,O,O,X,O,X,O,X,X
TOZJSIL,O,O,O,O,X,O,X,X,X,X
TOZJSLI,O,O,O,O,X,O,X,O,X,X
TOZSILJ,X,O,O,O,O,O,O,X,X,X
TOZSIJL,O,X,O,X,O,O,X,X,X,X
TOZSLIJ,O,O,O,O,O,O,O,O,X,X
TOZSLJI,O,O,O,O,O,O,X,O,X,X
TOZSJIL,O,O,O,O,O,O,X,X,X,X
TOZSJLI,O,O,O,O,O,O,X,O,X,X
ITLJSZO,X,O,X,X,O,X,X,O,O,X
ITLJSOZ,X,O,X,X,O,X,X,O,O,X
ITLJZSO,X,O,X,X,X,O,X,O,O,X
ITLJZOS,X,O,X,X,X,O,X,X,O,X
ITLJOSZ,X,O,X,X,O,X,X,O,O,X
ITLJOZS,X,O,X,X,X,O,X,X,O,X
ITLSJZO,X,O,X,X,O,X,X,O,O,X
ITLSJOZ,X,O,X,O,O,X,X,O,O,X
ITLSZJO,X,O,X,O,O,O,X,O,X,X
ITLSZOJ,X,O,X,O,O,O,X,X,X,X
ITLSOJZ,X,O,X,O,O,X,X,O,O,X
ITLSOZJ,X,O,X,O,O,O,X,X,X,X
ITLZJSO,X,O,X,O,X,O,X,O,X,X
ITLZJOS,X,O,X,O,X,O,X,X,X,X
ITLZSJO,X,O,X,O,O,O,X,O,X,O
ITLZSOJ,X,O,X,O,O,O,X,X,X,O
ITLZOJS,X,X,X,O,X,O,X,X,X,X
ITLZOSJ,X,X,X,O,O,O,X,X,X,O
ITLOJSZ,X,X,X,X,O,X,X,O,O,X
ITLOJZS,X,X,X,X,X,O,X,X,O,X
ITLOSJZ,X,X,X,O,O,X,X,O,O,X
ITLOSZJ,X,X,X,O,O,O,X,X,X,X
ITLOZJS,X,X,X,O,X,O,X,X,X,X
ITLOZSJ,X,X,X,O,O,O,X,X,X,O
ITJLSZO,X,O,X,X,O,X,X,O,X,X
ITJLSOZ,X,O,X,X,O,X,X,O,X,X
ITJLZSO,X,O,X,X,X,O,X,O,X,X
ITJLZOS,X,O,X,X,X,O,X,X,X,X
ITJLOSZ,X,O,X,X,O,X,X,O,X,X
ITJLOZS,X,O,X,X,X,O,X,X,X,X
ITJSLZO,O,O,X,X,O,X,X,O,X,X
ITJSLOZ,O,O,X,X,O,X,X,O,X,X
ITJSZLO,O,O,X,X,O,X,X,X,X,X
ITJSZOL,O,X,X,X,O,X,X,X,X,X
ITJSOLZ,O,O,X,X,O,X,X,O,X,X
ITJSOZL,O,O,X,X,O,X,X,X,X,X
ITJZLSO,X,O,O,X,X,O,X,X,X,X
ITJZLOS,O,O,O,X,X,O,X,X,X,X
ITJZSLO,O,O,O,X,X,O,X,X,X,X
ITJZSOL,O,O,O,X,X,O,X,X,X,X
ITJZOLS,O,O,O,X,X,O,X,X,X,X
ITJZOSL,O,O,O,X,X,O,X,X,X,X
ITJOLSZ,X,O,X,X,O,X,X,O,X,X
ITJOLZS,X,O,X,X,X,O,X,O,X,X
ITJOSLZ,O,O,X,X,O,X,X,O,X,X
ITJOSZL,O,O,X,X,O,X,X,X,X,X
ITJOZLS,O,O,O,X,X,O,X,X,X,X
ITJOZSL,O,O,O,X,X,O,X,X,X,X
ITSLJZO,O,O,X,X,O,X,X,O,O,X
ITSLJOZ,O,O,X,O,O,X,X,O,O,X
ITSLZJO,O,O,X,O,O,O,X,O,X,X
ITSLZOJ,O,O,X,O,O,O,X,X,X,X
ITSLOJZ,O,O,X,O,O,X,X,O,O,X
ITSLOZJ,O,O,X,O,O,O,X,X,X,X
ITSJLZO,O,O,X,X,O,X,X,O,X,X
ITSJLOZ,O,O,X,O,O,X,X,O,X,X
ITSJZLO,O,O,X,X,O,X,X,X,X,X
ITSJZOL,O,X,X,X,O,X,X,X,X,X
ITSJOLZ,O,O,X,X,O,X,X,O,X,X
ITSJOZL,O,O,X,X,O,X,X,X,X,X
ITSZLJO,X,O,X,O,O,O,O,X,X,X
ITSZLOJ,X,O,X,O,O,O,O,X,X,X
ITSZJLO,O,X,X,O,O,O,X,X,X,X
ITSZJOL,O,X,X,O,O,O,X,X,X,X
ITSZOLJ,X,X,X,O,O,O,O,X,X,X
ITSZOJL,O,X,X,X,O,O,X,X,X,X
ITSOLJZ,O,O,X,O,O,X,X,O,O,X
ITSOLZJ,O,O,X,O,O,O,X,O,X,X
ITSOJLZ,O,X,X,X,O,X,X,O,X,X
ITSOJZL,O,X,X,X,O,X,X,X,X,X
ITSOZLJ,X,X,X,X,O,O,O,X,X,X
ITSOZJL,O,X,X,X,O,O,X,X,X,X
ITZLJSO,X,O,O,O,X,O,X,X,X,X
ITZLJOS,X,O,O,O,X,O,X,X,X,X
ITZLSJO,X,O,O,O,O,O,O,X,X,O
ITZLSOJ,X,O,O,O,O,O,O,X,X,O
ITZLOJS,X,X,O,O,X,O,X,X,X,X
ITZLOSJ,X,X,O,O,O,O,O,X,X,O
ITZJLSO,X,O,O,O,X,O,X,X,X,X
ITZJLOS,X,O,O,O,X,O,X,X,X,X
ITZJSLO,X,O,O,O,X,O,X,X,X,X
ITZJSOL,X,O,O,O,X,O,X,X,X,X
ITZJOLS,X,O,O,O,X,O,X,X,X,X
ITZJOSL,X,O,O,O,X,O,X,X,X,X
ITZSLJO,X,O,O,O,O,O,O,X,X,O
ITZSLOJ,X,O,O,O,O,O,O,X,X,O
ITZSJLO,X,O,O,O,O,O,X,X,X,O
ITZSJOL,X,O,O,O,O,O,X,X,X,O
ITZSOLJ,X,O,O,O,O,O,O,X,X,O
ITZSOJL,X,X,O,X,O,O,X,X,X,O
ITZOLJS,X,X,O,O,X,O,X,X,X,X
ITZOLSJ,X,X,O,O,O,O,O,X,X,O
ITZOJLS,X,X,O,O,X,O,X,X,X,X
ITZOJSL,X,X,O,X,X,O,X,X,X,X
ITZOSLJ,X,X,O,X,O,O,O,X,X,O
ITZOSJL,X,X,O,X,O,O,X,X,X,O
ITOLJSZ,X,X,X,X,O,X,X,O,O,X
ITOLJZS,X,X,X,X,X,O,X,O,O,X
ITOLSJZ,X,X,X,O,O,X,X,O,O,X
ITOLSZJ,X,X,X,O,O,O,X,O,X,X
ITOLZJS,X,X,X,O,X,O,X,O,X,X
ITOLZSJ,X,X,X,O,O,O,X,O,X,O
ITOJLSZ,X,X,X,X,O,X,X,O,X,X
ITOJLZS,X,X,X,X,X,O,X,O,X,X
ITOJSLZ,O,X,X,X,O,X,X,O,X,X
ITOJSZL,O,X,X,X,O,X,X,X,X,X
ITOJZLS,O,X,O,X,X,O,X,X,X,X
ITOJZSL,O,X,O,X,X,O,X,X,X,X
ITOSLJZ,O,X,X,X,O,X,X,O,O,X
ITOSLZJ,O,X,X,X,O,O,X,O,X,X
ITOSJLZ,O,X,X,X,O,X,X,O,X,X
ITOSJZL,O,X,X,X,O,X,X,X,X,X
ITOSZLJ,X,X,X,X,O,O,O,X,X,X
ITOSZJL,O,X,X,X,O,O,X,X,X,X
ITOZLJS,X,X,O,O,X,O,X,X,X,X
ITOZLSJ,X,X,O,O,O,O,O,X,X,O
ITOZJLS,X,X,O,O,X,O,X,X,X,X
ITOZJSL,X,X,O,X,X,O,X,X,X,X
ITOZSLJ,X,X,O,X,O,O,O,X,X,O
ITOZSJL,X,X,O,X,O,O,X,X,X,O
ILTJSZO,X,O,X,X,O,X,X,X,O,X
ILTJSOZ,X,O,X,X,O,X,X,X,O,X
ILTJZSO,X,O,X,X,X,O,X,X,O,X
ILTJZOS,X,O,X,X,X,O,X,X,O,X
ILTJOSZ,X,O,X,X,O,X,X,X,O,X
ILTJOZS,X,O,X,X,X,O,X,X,O,X
ILTSJZO,O,O,X,X,O,X,X,X,O,X
ILTSJOZ,O,O,X,O,O,X,X,X,O,X
ILTSZJO,O,O,X,O,O,O,X,X,X,X
ILTSZOJ,O,O,X,O,O,O,X,X,X,X
ILTSOJZ,O,O,X,O,O,X,X,X,O,X
ILTSOZJ,O,O,X,O,O,O,X,X,X,X
ILTZJSO,X,O,X,O,X,O,X,X,X,X
ILTZJOS,X,O,X,O,X,O,X,X,X,X
ILTZSJO,X,O,X,O,O,O,X,X,X,O
ILTZSOJ,X,O,X,O,O,O,X,X,X,O
ILTZOJS,X,X,X,O,X,O,X,X,X,X
ILTZOSJ,X,X,X,O,O,O,X,X,X,O
ILTOJSZ,X,X,X,X,O,X,X,X,O,X
ILTOJZS,X,X,X,X,X,O,X,X,O,X
ILTOSJZ,O,X,X,O,O,X,X,X,O,X
ILTOSZJ,O,X,X,O,O,O,X,X,X,X
ILTOZJS,X,X,X,O,X,O,X,X,X,X
ILTOZSJ,X,X,X,O,O,O,X,X,X,O
ILJTSZO,X,O,X,X,O,X,X,X,O,X
ILJTSOZ,X,O,X,X,O,X,X,X,O,X
ILJTZSO,X,O,X,X,X,O,X,X,O,X
ILJTZOS,X,O,X,X,X,O,X,X,O,X
ILJTOSZ,X,O,X,X,O,X,X,X,O,X
ILJTOZS,X,O,X,X,X,O,X,X,O,X
ILJSTZO,O,X,X,X,X,X,X,X,O,X
ILJSTOZ,O,X,X,X,O,X,X,X,O,X
ILJSZTO,O,X,X,X,X,X,X,X,O,X
ILJSZOT,O,X,X,X,O,X,X,X,O,X
ILJSOTZ,O,X,X,X,O,X,X,X,O,X
ILJSOZT,O,X,X,X,O,X,X,X,O,X
ILJZTSO,X,O,X,X,X,O,X,X,O,X
ILJZTOS,X,O,X,X,X,O,X,X,O,X
