sequence,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex7IvhFXdB2mBFlBS?sBUrBTqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex8IvhFmgBqmB/nBF?lBUrBTqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex8IvhFSlBThB/nB0?qBlrBOqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex8IvhFlgB3hBaqBT?nBGrB0qB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFXdBemB0hBF?lBSsBxvB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeyAJvhFFdB5mBXgBc?qBerBTsB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex7IvhFOiBXgBThBc?qBSsBVwB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhF0cBemBXiBF?lBSsBxvB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeeAJvhFxcBUiBFmBT?qBCsBfrB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex8IvhF3hBFlBTnBG?rBiqB0qB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex8IvhF3hBFlBTnBC?rBOqBUrB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFehBCdB/nBU?lB1rBxvB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFUiBFlBWsB3?qBZmBCsB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex7IvhFXdBFlB8qB+?rBTnBiqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFxcBFlBSsB3?qBOrB8rB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex8IvhFUiBFlBXmBC?sBmqBTqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Je/AJvhFahBFdB5mBT?nBmqBUqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFehB5mB/nBU?lBFnByvB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeyAJvhFXdBFlBxmBW?sBUrBTqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFOhBXdB0qBx?rBFqBCsB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFxcB/nB2rB0?qB6rBFqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeC9IvhF/nBFlBRrBT?rBOqB8qB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex8IvhFUhBFlBTnBC?rBOqB3rB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jem7IvhF/nBFlBRrBc?rBTqBCsB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeVFJvhFRhBXiB8qBS?sBOqBTrB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Je2AJvhFzcBFlBxmBS?sBUrB3qB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFZhBXdBWnB0?qBCsBFqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Je2AJvhFzcBFlBxmBS?sB3qBUrB
TILJSZO,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TILJZOS,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TILSZOJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X
TILSOJZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSOZJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZJSO,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
TILZJOS,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
TILZSOJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
TILZOJS,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
TILOJSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJLSZO,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
