sequence,v115@8gA8IeA8FeD8AeC8AeJ8BeC8Jex6IvhFyhBzdBOkBX?gBFmB0rB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFCbBmcBzdBX?gBFmB0rB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBcgBTcBy?iBFmBXsB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBcgBzdBF?mB/rBasB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBFcByiBT?gBcmBXsB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFzaBFcBmdBS?lBcmBXsB
TLJZSIO,O,X,O,X,X,O
TLJZSOI,O,X,O,X,X,O
TLJZOIS,X,X,O,X,X,O
TLJZOSI,O,X,O,X,X,O
TLJOISZ,O,O,X,X,X,X
TLJOIZS,X,X,O,X,O,O
TLJOSIZ,O,O,X,X,X,X
TLJOSZI,O,O,X,X,X,X
TLJOZIS,X,X,O,X,O,O
TLJOZSI,O,X,O,X,O,O
TLSIJZO,O,O,X,X,X,X
TLSIJOZ,O,O,X,X,X,X
TLSIZJO,X,O,O,X,X,X
TLSIZOJ,X,O,O,X,X,X
TLSIOJZ,O,O,X,X,X,X
TLSIOZJ,X,O,O,X,X,X
TLSJIZO,O,O,X,X,X,X
TLSJIOZ,O,O,X,X,X,X
TLSJZIO,O,O,X,X,X,X
TLSJZOI,O,O,X,X,X,X
TLSJOIZ,O,O,X,X,X,X
TLSJOZI,O,O,X,X,X,X
TLSZIJO,X,O,O,X,X,X
TLSZIOJ,X,O,O,X,X,X
TLSZJIO,O,O,O,X,X,X
TLSZJOI,O,O,O,X,X,X
TLSZOIJ,X,O,O,X,X,X
TLSZOJI,O,O,O,X,X,X
TLSOIJZ,O,O,X,X,X,X
TLSOIZJ,X,O,O,X,X,X
TLSOJIZ,O,O,X,X,X,X
TLSOJZI,O,O,X,X,X,X
TLSOZIJ,X,O,O,X,X,X
TLSOZJI,O,O,O,X,X,X
TLZIJSO,X,X,O,O,X,O
TLZIJOS,X,X,O,O,O,O
TLZISJO,X,X,O,X,X,O
TLZISOJ,X,X,O,X,O,O
TLZIOJS,X,X,O,O,O,O
TLZIOSJ,X,X,O,X,O,O
TLZJISO,X,X,O,O,X,O
TLZJIOS,X,X,O,O,O,O
TLZJSIO,O,X,O,X,X,O
TLZJSOI,O,X,O,X,X,O
TLZJOIS,X,X,O,O,O,O
TLZJOSI,O,X,O,X,O,O
TLZSIJO,X,X,O,X,X,O
TLZSIOJ,X,X,O,X,O,O
TLZSJIO,O,X,O,X,X,O
TLZSJOI,O,X,O,X,X,O
TLZSOIJ,X,X,O,X,O,O
TLZSOJI,O,X,O,X,O,O
TLZOIJS,X,X,O,O,O,O
TLZOISJ,X,X,O,X,O,O
TLZOJIS,X,X,O,O,O,O
TLZOJSI,O,X,O,X,O,O
TLZOSIJ,X,X,O,X,O,O
TLZOSJI,O,X,O,X,O,O
TLOIJSZ,O,O,X,X,X,X
TLOIJZS,X,X,O,X,O,O
TLOISJZ,O,O,X,X,X,X
TLOISZJ,X,O,O,X,X,X
TLOIZJS,X,X,O,O,O,O
TLOIZSJ,X,X,O,X,O,O
TLOJISZ,O,O,X,X,X,X
TLOJIZS,X,X,O,X,O,O
TLOJSIZ,O,O,X,X,X,X
TLOJSZI,O,O,X,X,X,X
TLOJZIS,X,X,O,X,O,O
TLOJZSI,O,X,O,X,O,O
TLOSIJZ,O,O,X,X,X,X
TLOSIZJ,X,O,O,X,X,X
TLOSJIZ,O,O,X,X,X,X
TLOSJZI,O,O,X,X,X,X
TLOSZIJ,X,O,O,X,X,X
TLOSZJI,O,O,O,X,X,X
TLOZIJS,X,X,O,O,O,O
TLOZISJ,X,X,O,X,O,O
TLOZJIS,X,X,O,O,O,O
TLOZJSI,O,X,O,X,O,O
TLOZSIJ,X,X,O,X,O,O
TLOZSJI,O,X,O,X,O,O
TJILSZO,O,O,X,X,X,X
TJILSOZ,O,O,X,X,X,X
TJILZSO,X,X,O,X,X,O
TJILZOS,X,X,O,X,X,O
TJILOSZ,O,O,X,X,X,X
TJILOZS,X,X,O,X,O,O
TJISLZO,O,O,X,X,X,X
TJISLOZ,O,O,X,X,X,X
TJISZLO,O,O,X,X,X,X
TJISZOL,O,O,X,X,X,X
TJISOLZ,O,O,X,X,X,X
TJISOZL,O,O,X,X,X,X
TJIZLSO,X,X,O,O,X,O
TJIZLOS,X,X,O,O,X,O
TJIZSLO,X,O,O,O,X,O
TJIZSOL,X,O,O,O,X,X
TJIZOLS,X,X,O,O,X,O
TJIZOSL,X,O,O,O,X,X
TJIOLSZ,O,O,X,X,X,X
TJIOLZS,X,X,O,X,O,X
TJIOSLZ,O,O,X,X,X,X
TJIOSZL,O,O,X,X,X,X
TJIOZLS,X,X,O,O,O,X
TJIOZSL,X,O,O,O,O,X
TJLISZO,O,O,X,X,X,X
TJLISOZ,O,O,X,X,X,X
TJLIZSO,X,X,O,X,X,O
TJLIZOS,X,X,O,X,X,O
TJLIOSZ,O,O,X,X,X,X
TJLIOZS,X,X,O,X,O,O
TJLSIZO,O,O,X,X,X,X
TJLSIOZ,O,O,X,X,X,X
TJLSZIO,O,O,X,X,X,X
TJLSZOI,O,O,X,X,X,X
TJLSOIZ,O,O,X,X,X,X
TJLSOZI,O,O,X,X,X,X
TJLZISO,X,X,O,X,X,O
TJLZIOS,X,X,O,X,X,O
TJLZSIO,O,X,O,X,X,O
TJLZSOI,O,X,O,X,X,O
TJLZOIS,X,X,O,X,X,O
TJLZOSI,O,X,O,X,X,O
TJLOISZ,O,O,X,X,X,X
TJLOIZS,X,X,O,X,O,O
TJLOSIZ,O,O,X,X,X,X
TJLOSZI,O,O,X,X,X,X
TJLOZIS,X,X,O,X,O,O
TJLOZSI,O,X,O,X,O,O
TJSILZO,O,O,X,X,X,X
TJSILOZ,O,O,X,X,X,X
TJSIZLO,O,O,X,X,X,X
TJSIZOL,O,O,X,X,X,X
TJSIOLZ,O,O,X,X,X,X
TJSIOZL,O,O,X,X,X,X
TJSLIZO,O,O,X,X,X,X
TJSLIOZ,O,O,X,X,X,X
TJSLZIO,O,O,X,X,X,X
TJSLZOI,O,O,X,X,X,X
TJSLOIZ,O,O,X,X,X,X
TJSLOZI,O,O,X,X,X,X
TJSZILO,O,O,X,X,X,X
TJSZIOL,O,O,X,X,X,X
TJSZLIO,O,O,X,X,X,X
TJSZLOI,O,O,X,X,X,X
TJSZOIL,O,O,X,X,X,X
TJSZOLI,O,O,X,X,X,X
TJSOILZ,O,O,X,X,X,X
TJSOIZL,O,O,X,X,X,X
TJSOLIZ,O,O,X,X,X,X
TJSOLZI,O,O,X,X,X,X
TJSOZIL,O,O,X,X,X,X
TJSOZLI,O,O,X,X,X,X
TJZILSO,X,X,O,O,X,O
TJZILOS,X,X,O,O,X,O
TJZISLO,X,O,O,O,X,O
TJZISOL,X,O,O,O,X,X
TJZIOLS,X,X,O,O,X,O
TJZIOSL,X,O,O,O,X,X
TJZLISO,X,X,O,O,X,O
TJZLIOS,X,X,O,O,X,O
TJZLSIO,O,X,O,X,X,O
TJZLSOI,O,X,O,X,X,O
TJZLOIS,X,X,O,O,X,O
TJZLOSI,O,X,O,X,X,O
TJZSILO,O,O,O,O,X,O
TJZSIOL,O,O,O,O,X,X
TJZSLIO,O,O,O,X,X,O
TJZSLOI,O,O,O,X,X,O
TJZSOIL,O,O,O,O,X,X
TJZSOLI,O,O,O,X,X,X
TJZOILS,X,X,O,O,X,O
TJZOISL,X,O,O,O,X,X
TJZOLIS,X,X,O,O,X,O
TJZOLSI,O,X,O,X,X,O
TJZOSIL,O,O,O,O,X,X
TJZOSLI,O,O,O,X,X,X
TJOILSZ,O,O,X,X,X,X
TJOILZS,X,X,O,X,O,X
TJOISLZ,O,O,X,X,X,X
TJOISZL,O,O,X,X,X,X
TJOIZLS,X,X,O,O,O,X
TJOIZSL,X,O,O,O,O,X
TJOLISZ,O,O,X,X,X,X
TJOLIZS,X,X,O,X,O,X
TJOLSIZ,O,O,X,X,X,X
TJOLSZI,O,O,X,X,X,X
TJOLZIS,X,X,O,X,O,X
TJOLZSI,O,X,O,X,O,X
TJOSILZ,O,O,X,X,X,X
TJOSIZL,O,O,X,X,X,X
TJOSLIZ,O,O,X,X,X,X
TJOSLZI,O,O,X,X,X,X
TJOSZIL,O,O,X,X,X,X
TJOSZLI,O,O,X,X,X,X
TJOZILS,X,X,O,O,O,X
TJOZISL,X,O,O,O,O,X
TJOZLIS,X,X,O,O,O,X
TJOZLSI,O,X,O,X,O,X
TJOZSIL,O,O,O,O,O,X
TJOZSLI,O,O,O,X,O,X
TSILJZO,O,O,X,X,X,X
TSILJOZ,O,O,X,X,X,X
TSILZJO,X,O,O,X,X,X
TSILZOJ,X,O,O,X,X,X
TSILOJZ,O,O,X,X,X,X
TSILOZJ,X,O,O,X,X,X
TSIJLZO,O,O,X,X,X,X
TSIJLOZ,O,O,X,X,X,X
TSIJZLO,O,O,X,X,X,X
TSIJZOL,O,O,X,X,X,X
TSIJOLZ,O,O,X,X,X,X
TSIJOZL,O,O,X,X,X,X
TSIZLJO,X,O,O,X,X,X
TSIZLOJ,X,O,O,X,X,X
TSIZJLO,X,O,O,O,X,X
TSIZJOL,X,O,O,O,X,X
TSIZOLJ,X,O,O,X,X,X
TSIZOJL,X,O,O,O,X,X
TSIOLJZ,O,O,X,X,X,X
TSIOLZJ,X,O,O,X,X,X
TSIOJLZ,O,O,X,X,X,X
TSIOJZL,O,O,X,X,X,X
TSIOZLJ,X,O,O,X,X,X
TSIOZJL,X,O,O,O,X,X
TSLIJZO,O,O,X,X,X,X
TSLIJOZ,O,O,X,X,X,X
TSLIZJO,X,O,O,X,X,X
TSLIZOJ,X,O,O,X,X,X
TSLIOJZ,O,O,X,X,X,X
TSLIOZJ,X,O,O,X,X,X
TSLJIZO,O,O,X,X,X,X
TSLJIOZ,O,O,X,X,X,X
TSLJZIO,O,O,X,X,X,X
TSLJZOI,O,O,X,X,X,X
TSLJOIZ,O,O,X,X,X,X
TSLJOZI,O,O,X,X,X,X
TSLZIJO,X,O,O,X,X,X
TSLZIOJ,X,O,O,X,X,X
TSLZJIO,O,O,O,X,X,X
TSLZJOI,O,O,O,X,X,X
TSLZOIJ,X,O,O,X,X,X
TSLZOJI,O,O,O,X,X,X
TSLOIJZ,O,O,X,X,X,X
TSLOIZJ,X,O,O,X,X,X
TSLOJIZ,O,O,X,X,X,X
TSLOJZI,O,O,X,X,X,X
TSLOZIJ,X,O,O,X,X,X
TSLOZJI,O,O,O,X,X,X
TSJILZO,O,O,X,X,X,X
TSJILOZ,O,O,X,X,X,X
TSJIZLO,O,O,X,X,X,X
TSJIZOL,O,O,X,X,X,X
TSJIOLZ,O,O,X,X,X,X
TSJIOZL,O,O,X,X,X,X
TSJLIZO,O,O,X,X,X,X
TSJLIOZ,O,O,X,X,X,X
TSJLZIO,O,O,X,X,X,X
TSJLZOI,O,O,X,X,X,X
TSJLOIZ,O,O,X,X,X,X
TSJLOZI,O,O,X,X,X,X
TSJZILO,O,O,X,X,X,X
TSJZIOL,O,O,X,X,X,X
TSJZLIO,O,O,X,X,X,X
TSJZLOI,O,O,X,X,X,X
TSJZOIL,O,O,X,X,X,X
TSJZOLI,O,O,X,X,X,X
TSJOILZ,O,O,X,X,X,X
TSJOIZL,O,O,X,X,X,X
TSJOLIZ,O,O,X,X,X,X
TSJOLZI,O,O,X,X,X,X
TSJOZIL,O,O,X,X,X,X
TSJOZLI,O,O,X,X,X,X
TSZILJO,X,O,O,X,X,X
TSZILOJ,X,O,O,X,X,X
TSZIJLO,X,O,O,O,X,X
TSZIJOL,X,O,O,O,X,X
TSZIOLJ,X,O,O,X,X,X
TSZIOJL,X,O,O,O,X,X
TSZLIJO,X,O,O,X,X,X
TSZLIOJ,X,O,O,X,X,X
TSZLJIO,O,O,O,X,X,X
TSZLJOI,O,O,O,X,X,X
TSZLOIJ,X,O,O,X,X,X
TSZLOJI,O,O,O,X,X,X
TSZJILO,O,O,O,O,X,X
TSZJIOL,O,O,O,O,X,X
TSZJLIO,O,O,O,X,X,X
TSZJLOI,O,O,O,X,X,X
TSZJOIL,O,O,O,O,X,X
TSZJOLI,O,O,O,X,X,X
TSZOILJ,X,O,O,X,X,X
TSZOIJL,X,O,O,O,X,X
TSZOLIJ,X,O,O,X,X,X
TSZOLJI,O,O,O,X,X,X
TSZOJIL,O,O,O,O,X,X
TSZOJLI,O,O,O,X,X,X
TSOILJZ,O,O,X,X,X,X
TSOILZJ,X,O,O,X,X,X
TSOIJLZ,O,O,X,X,X,X
TSOIJZL,O,O,X,X,X,X
TSOIZLJ,X,O,O,X,X,X
TSOIZJL,X,O,O,O,X,X
TSOLIJZ,O,O,X,X,X,X
TSOLIZJ,X,O,O,X,X,X
TSOLJIZ,O,O,X,X,X,X
TSOLJZI,O,O,X,X,X,X
TSOLZIJ,X,O,O,X,X,X
TSOLZJI,O,O,O,X,X,X
TSOJILZ,O,O,X,X,X,X
TSOJIZL,O,O,X,X,X,X
TSOJLIZ,O,O,X,X,X,X
TSOJLZI,O,O,X,X,X,X
TSOJZIL,O,O,X,X,X,X
TSOJZLI,O,O,X,X,X,X
TSOZILJ,X,O,O,X,X,X
TSOZIJL,X,O,O,O,X,X
TSOZLIJ,X,O,O,X,X,X
TSOZLJI,O,O,O,X,X,X
TSOZJIL,O,O,O,O,X,X
TSOZJLI,O,O,O,X,X,X
TZILJSO,X,X,O,O,X,O
TZILJOS,X,X,O,O,O,O
TZILSJO,X,X,O,X,X,O
TZILSOJ,X,X,O,X,O,O
TZILOJS,X,X,O,O,O,O
TZILOSJ,X,X,O,X,O,O
TZIJLSO,X,X,O,O,X,O
TZIJLOS,X,X,O,O,O,O
TZIJSLO,X,O,O,O,X,O
TZIJSOL,X,O,O,O,X,X
TZIJOLS,X,X,O,O,O,O
TZIJOSL,X,O,O,O,O,X
TZISLJO,X,O,O,X,X,O
TZISLOJ,X,O,O,X,O,O
TZISJLO,X,O,O,O,X,O
TZISJOL,X,O,O,O,X,X
TZISOLJ,X,O,O,X,O,X
TZISOJL,X,O,O,O,O,X
TZIOLJS,X,X,O,O,O,O
TZIOLSJ,X,X,O,X,O,O
TZIOJLS,X,X,O,O,O,O
TZIOJSL,X,O,O,O,O,X
TZIOSLJ,X,O,O,X,O,X
TZIOSJL,X,O,O,O,O,X
TZLIJSO,X,X,O,O,X,O
TZLIJOS,X,X,O,O,O,O
TZLISJO,X,X,O,X,X,O
TZLISOJ,X,X,O,X,O,O
TZLIOJS,X,X,O,O,O,O
TZLIOSJ,X,X,O,X,O,O
TZLJISO,X,X,O,O,X,O
TZLJIOS,X,X,O,O,O,O
TZLJSIO,O,X,O,X,X,O
TZLJSOI,O,X,O,X,X,O
TZLJOIS,X,X,O,O,O,O
TZLJOSI,O,X,O,X,O,O
TZLSIJO,X,X,O,X,X,O
TZLSIOJ,X,X,O,X,O,O
TZLSJIO,O,X,O,X,X,O
TZLSJOI,O,X,O,X,X,O
TZLSOIJ,X,X,O,X,O,O
TZLSOJI,O,X,O,X,O,O
TZLOIJS,X,X,O,O,O,O
TZLOISJ,X,X,O,X,O,O
TZLOJIS,X,X,O,O,O,O
TZLOJSI,O,X,O,X,O,O
TZLOSIJ,X,X,O,X,O,O
TZLOSJI,O,X,O,X,O,O
TZJILSO,X,X,O,O,X,O
TZJILOS,X,X,O,O,O,O
TZJISLO,X,O,O,O,X,O
TZJISOL,X,O,O,O,X,X
TZJIOLS,X,X,O,O,O,O
TZJIOSL,X,O,O,O,O,X
TZJLISO,X,X,O,O,X,O
TZJLIOS,X,X,O,O,O,O
TZJLSIO,O,X,O,X,X,O
TZJLSOI,O,X,O,X,X,O
TZJLOIS,X,X,O,O,O,O
TZJLOSI,O,X,O,X,O,O
TZJSILO,O,O,O,O,X,O
TZJSIOL,O,O,O,O,X,X
TZJSLIO,O,O,O,X,X,O
TZJSLOI,O,O,O,X,X,O
TZJSOIL,O,O,O,O,X,X
TZJSOLI,O,O,O,X,X,X
TZJOILS,X,X,O,O,O,O
TZJOISL,X,O,O,O,O,X
TZJOLIS,X,X,O,O,O,O
TZJOLSI,O,X,O,X,O,O
TZJOSIL,O,O,O,O,O,X
TZJOSLI,O,O,O,X,O,X
TZSILJO,X,O,O,X,X,O
TZSILOJ,X,O,O,X,O,O
TZSIJLO,X,O,O,O,X,O
TZSIJOL,X,O,O,O,X,X
TZSIOLJ,X,O,O,X,O,X
TZSIOJL,X,O,O,O,O,X
TZSLIJO,X,O,O,X,X,O
TZSLIOJ,X,O,O,X,O,O
TZSLJIO,O,O,O,X,X,O
TZSLJOI,O,O,O,X,X,O
TZSLOIJ,X,O,O,X,O,O
TZSLOJI,O,O,O,X,O,O
TZSJILO,O,O,O,O,X,O
TZSJIOL,O,O,O,O,X,X
TZSJLIO,O,O,O,X,X,O
TZSJLOI,O,O,O,X,X,O
TZSJOIL,O,O,O,O,X,X
TZSJOLI,O,O,O,X,X,X
TZSOILJ,X,O,O,X,O,X
TZSOIJL,X,O,O,O,O,X
TZSOLIJ,X,O,O,X,O,X
TZSOLJI,O,O,O,X,O,X
TZSOJIL,O,O,O,O,O,X
TZSOJLI,O,O,O,X,O,X
TZOILJS,X,X,O,O,O,O
TZOILSJ,X,X,O,X,O,O
TZOIJLS,X,X,O,O,O,O
TZOIJSL,X,O,O,O,O,X
TZOISLJ,X,O,O,X,O,X
TZOISJL,X,O,O,O,O,X
TZOLIJS,X,X,O,O,O,O
TZOLISJ,X,X,O,X,O,O
TZOLJIS,X,X,O,O,O,O
TZOLJSI,O,X,O,X,O,O
TZOLSIJ,X,X,O,X,O,O
TZOLSJI,O,X,O,X,O,O
TZOJILS,X,X,O,O,O,O
TZOJISL,X,O,O,O,O,X
TZOJLIS,X,X,O,O,O,O
TZOJLSI,O,X,O,X,O,O
TZOJSIL,O,O,O,O,O,X
TZOJSLI,O,O,O,X,O,X
TZOSILJ,X,O,O,X,O,X
TZOSIJL,X,O,O,O,O,X
TZOSLIJ,X,O,O,X,O,X
TZOSLJI,O,O,O,X,O,X
TZOSJIL,O,O,O,O,O,X
TZOSJLI,O,O,O,X,O,X
TOILJSZ,O,O,X,X,X,X
TOILJZS,X,X,O,X,O,X
TOILSJZ,O,O,X,X,X,X
TOILSZJ,X,O,O,X,X,X
TOILZJS,X,X,O,O,O,X
TOILZSJ,X,X,O,X,O,X
TOIJLSZ,O,O,X,X,X,X
TOIJLZS,X,X,O,X,O,X
TOIJSLZ,O,O,X,X,X,X
TOIJSZL,O,O,X,X,X,X
TOIJZLS,X,X,O,O,O,X
TOIJZSL,X,O,O,O,O,X
TOISLJZ,O,O,X,X,X,X
TOISLZJ,X,O,O,X,X,X
TOISJLZ,O,O,X,X,X,X
TOISJZL,O,O,X,X,X,X
TOISZLJ,X,O,O,X,X,X
TOISZJL,X,O,O,O,X,X
TOIZLJS,X,X,O,O,O,X
TOIZLSJ,X,X,O,X,O,X
TOIZJLS,X,X,O,O,O,X
TOIZJSL,X,O,O,O,O,X
TOIZSLJ,X,O,O,X,O,X
TOIZSJL,X,O,O,O,O,X
TOLIJSZ,O,O,X,X,X,X
TOLIJZS,X,X,O,X,O,X
TOLISJZ,O,O,X,X,X,X
TOLISZJ,X,O,O,X,X,X
TOLIZJS,X,X,O,O,O,X
TOLIZSJ,X,X,O,X,O,X
TOLJISZ,O,O,X,X,X,X
TOLJIZS,X,X,O,X,O,X
TOLJSIZ,O,O,X,X,X,X
TOLJSZI,O,O,X,X,X,X
TOLJZIS,X,X,O,X,O,X
TOLJZSI,O,X,O,X,O,X
TOLSIJZ,O,O,X,X,X,X
TOLSIZJ,X,O,O,X,X,X
TOLSJIZ,O,O,X,X,X,X
TOLSJZI,O,O,X,X,X,X
TOLSZIJ,X,O,O,X,X,X
TOLSZJI,O,O,O,X,X,X
TOLZIJS,X,X,O,O,O,X
TOLZISJ,X,X,O,X,O,X
TOLZJIS,X,X,O,O,O,X
TOLZJSI,O,X,O,X,O,X
TOLZSIJ,X,X,O,X,O,X
TOLZSJI,O,X,O,X,O,X
TOJILSZ,O,O,X,X,X,X
TOJILZS,X,X,O,X,O,X
TOJISLZ,O,O,X,X,X,X
TOJISZL,O,O,X,X,X,X
TOJIZLS,X,X,O,O,O,X
TOJIZSL,X,O,O,O,O,X
TOJLISZ,O,O,X,X,X,X
TOJLIZS,X,X,O,X,O,X
TOJLSIZ,O,O,X,X,X,X
TOJLSZI,O,O,X,X,X,X
TOJLZIS,X,X,O,X,O,X
TOJLZSI,O,X,O,X,O,X
TOJSILZ,O,O,X,X,X,X
TOJSIZL,O,O,X,X,X,X
TOJSLIZ,O,O,X,X,X,X
