sequence,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhF/mBUiBmkBtqBTp?BywB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBWmBNnBCqBXr?B0rB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFThBNnB2pBqqB0r?B3pB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBWmBNnBCqB0r?BXrB,v115@EhC8HeB8GeC8BeA8DeC8JeNEJvhFUgBRhB6rBOsB3p?BzqB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFdmBUiBzkBfsBWw?BCqB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNnBmkBCmBTpBXr?B0rB,v115@EhC8HeB8GeC8BeA8DeC8Je2EJvhFNmBUiBxpBzrBqq?B3pB,v115@EhC8HeB8GeC8BeA8DeC8Je2EJvhFThBNnBxpB0rBqq?B3pB,v115@EhC8HeB8GeC8BeA8DeC8Jem/IvhFChBNnBxpBXrBTp?B0rB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBdmBUiBfsBCq?BWwB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNnBmkBCmBTpB0r?BXrB,v115@EhC8HeB8GeC8BeA8DeC8Je/GJvhFUiBxkBmkBtqBTp?BywB,v115@EhC8HeB8GeC8BeA8DeC8JezAJvhFNnBxpBXrBOpB8p?BqrB,v115@EhC8HeB8GeC8BeA8DeC8Je0/IvhFThBNnBKpBWrBXl?BRwB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNmBOpB8pBqqBXn?BzrB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFCgB8pBtqBXnBTr?BmrB
ISTJOZL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ISTZLJO,X,O,X,O,O,X,X,X,O,O,O,X,X,O,X,X,O
ISTZLOJ,X,O,X,O,O,X,X,X,O,O,O,X,X,O,X,X,O
ISTZJLO,X,O,X,O,O,X,X,X,O,O,X,X,X,O,X,X,O
ISTZJOL,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O
ISTZOLJ,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,O
ISTZOJL,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O
ISTOLJZ,X,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
ISTOLZJ,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X
ISTOJLZ,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ISTOJZL,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ISTOZLJ,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O
ISTOZJL,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,O
ISLTJZO,X,O,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X
ISLTJOZ,X,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X
ISLTZJO,X,O,X,O,O,X,X,X,X,O,O,X,X,O,O,O,O
ISLTZOJ,X,O,X,O,O,X,X,X,X,O,O,X,X,O,X,X,O
ISLTOJZ,X,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X
ISLTOZJ,X,O,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X
ISLJTZO,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X
ISLJTOZ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
ISLJZTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ISLJZOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLJOTZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLJOZT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLZTJO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O
ISLZTOJ,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O
ISLZJTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O
ISLZJOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
ISLZOTJ,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
ISLZOJT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLOTJZ,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLOTZJ,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ISLOJTZ,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLOJZT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLOZTJ,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLOZJT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJTLZO,X,O,X,X,O,O,X,X,X,O,X,X,X,O,O,X,X
ISJTLOZ,X,O,X,X,O,O,O,X,X,O,X,X,X,O,O,X,X
ISJTZLO,X,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O
ISJTZOL,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O
ISJTOLZ,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X
ISJTOZL,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ISJLTZO,X,O,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X
ISJLTOZ,X,O,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X
ISJLZTO,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X
ISJLZOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJLOTZ,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ISJLOZT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJZTLO,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O
ISJZTOL,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O
ISJZLTO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
ISJZLOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJZOTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJZOLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
ISJOTZL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJOLTZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJOLZT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJOZLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,X,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,O
ISZTLOJ,X,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,O
ISZTJLO,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O
ISZTJOL,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O
ISZTOLJ,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
ISZTOJL,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O
ISZLTJO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O
ISZLTOJ,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
ISZLJTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
ISZLJOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
ISZLOTJ,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
ISZLOJT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZJTLO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
ISZJTOL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
ISZJLTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
ISZJLOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
ISZJOTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZJOLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZOTJL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISZOLTJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ISZOLJT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZOJTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X
ISOTLZJ,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
ISOTJLZ,X,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
ISOTJZL,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
ISOTZLJ,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O
ISOTZJL,X,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,O
ISOLTJZ,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ISOLTZJ,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ISOLJTZ,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ISOLJZT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISOLZTJ,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ISOLZJT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISOJTLZ,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
ISOJTZL,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ISOJLTZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ISOJLZT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ISOJZLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISOZTJL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ISOZLTJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ISOZLJT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISOZJTL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ISOZJLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,O
IZTLJOS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
IZTLSJO,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O
IZTLSOJ,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
IZTLOJS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
IZTLOSJ,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
IZTJLSO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,O
IZTJLOS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
IZTJSLO,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O
IZTJSOL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZTJOLS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZTJOSL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTSLJO,X,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,O
IZTSLOJ,X,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,O
IZTSJLO,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O
IZTSJOL,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O
IZTSOLJ,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
IZTSOJL,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O
IZTOLJS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IZTOLSJ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
IZTOJLS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IZTOJSL,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZTOSLJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZTOSJL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZLTJSO,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O
IZLTJOS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X
IZLTSJO,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O,O
IZLTSOJ,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
IZLTOJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZLTOSJ,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
IZLJTSO,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O
IZLJTOS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X
IZLJSTO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,O
IZLJSOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IZLJOTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
IZLJOST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IZLSTJO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,O
IZLSTOJ,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IZLSJTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O
IZLSJOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IZLSOTJ,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IZLSOJT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IZLOTJS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLOTSJ,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IZLOJTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLOJST,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZLOSTJ,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IZLOSJT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IZJTLSO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,O,O
IZJTLOS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,O,X
IZJTSLO,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
IZJTSOL,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZJTOLS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZJTOSL,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLTSO,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O
IZJLTOS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X
IZJLSTO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,O
IZJLSOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IZJLOTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
IZJLOST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IZJSTLO,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O
IZJSTOL,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZJSLTO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O
IZJSLOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
IZJSOTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJOTSL,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZJOLTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZJOLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJOSTL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZJOSLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,X,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,O
IZSTLOJ,X,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,O
IZSTJLO,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O
IZSTJOL,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O
IZSTOLJ,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
IZSTOJL,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O
IZSLTJO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O
IZSLTOJ,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IZSLJTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
IZSLJOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IZSLOTJ,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IZSLOJT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSJTLO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
IZSJTOL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZSJLTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
IZSJLOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IZSJOTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSOTJL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSOLTJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZSOLJT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSOJTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IZOTLSJ,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,O
IZOTJLS,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IZOTJSL,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZOTSLJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IZOTSJL,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O
IZOLTJS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O
IZOLJTS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZOLSTJ,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IZOLSJT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IZOJTLS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZOJTSL,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
IZOJLTS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IZOJLST,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOJSTL,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZOJSLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZOSTJL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZOSLTJ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IZOSLJT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IZOSJTL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSJLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
IOTLJZS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOTLSJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTLZJS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOTLZSJ,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTJLSZ,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X
IOTJLZS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
IOTJSLZ,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X
IOTJSZL,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOTJZLS,O,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X
IOTJZSL,O,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
IOTSLJZ,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X
IOTSLZJ,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IOTSJLZ,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
IOTSJZL,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
IOTSZLJ,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOTSZJL,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,O
IOTZLJS,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IOTZLSJ,O,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,O
IOTZJLS,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IOTZJSL,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IOTZSLJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IOTZSJL,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O
IOLTJSZ,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IOLTJZS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOLTSJZ,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLTSZJ,O,O,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X
IOLTZJS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOLTZSJ,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
IOLJTSZ,O,O,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X
IOLJTZS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOLJSTZ,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IOLJSZT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOLJZTS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOLJZST,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOLSTJZ,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOLSTZJ,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
IOLSJTZ,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IOLSJZT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOLSZTJ,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
IOLSZJT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOLZTJS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOLZTSJ,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
IOLZJTS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOLZJST,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOLZSTJ,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
IOLZSJT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOJTLSZ,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X
IOJTLZS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
IOJTSLZ,O,X,X,X,O,O,O,O,X,O,X,X,X,X,O,X,X
IOJTSZL,O,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
IOJTZLS,O,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X
IOJTZSL,O,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
IOJLTSZ,O,X,X,X,O,O,O,O,X,X,X,X,X,X,O,X,X
IOJLTZS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
IOJLSTZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJLSZT,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IOJLZTS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
IOJLZST,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOJSTLZ,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
IOJSTZL,O,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
IOJSLTZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJSLZT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
IOJSZLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IOJZTSL,O,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
IOJZLTS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOJZLST,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJZSTL,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
IOJZSLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X
IOSTLZJ,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
IOSTJLZ,X,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
IOSTJZL,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O
IOSTZJL,X,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,O
IOSLTJZ,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOSLTZJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
IOSLJTZ,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
