sequence,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhF/mBUiBmkBtqBTp?BywB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBWmBNnBCqBXr?B0rB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFThBNnB2pBqqB0r?B3pB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBWmBNnBCqB0r?BXrB,v115@EhC8HeB8GeC8BeA8DeC8JeNEJvhFUgBRhB6rBOsB3p?BzqB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFdmBUiBzkBfsBWw?BCqB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNnBmkBCmBTpBXr?B0rB,v115@EhC8HeB8GeC8BeA8DeC8Je2EJvhFNmBUiBxpBzrBqq?B3pB,v115@EhC8HeB8GeC8BeA8DeC8Je2EJvhFThBNnBxpB0rBqq?B3pB,v115@EhC8HeB8GeC8BeA8DeC8Jem/IvhFChBNnBxpBXrBTp?B0rB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBdmBUiBfsBCq?BWwB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNnBmkBCmBTpB0r?BXrB,v115@EhC8HeB8GeC8BeA8DeC8Je/GJvhFUiBxkBmkBtqBTp?BywB,v115@EhC8HeB8GeC8BeA8DeC8JezAJvhFNnBxpBXrBOpB8p?BqrB,v115@EhC8HeB8GeC8BeA8DeC8Je0/IvhFThBNnBKpBWrBXl?BRwB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNmBOpB8pBqqBXn?BzrB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFCgB8pBtqBXnBTr?BmrB
TILOSJZ,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOSZJ,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOZJS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILOZSJ,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLSZO,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X
TIJLSOZ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
TIJLZSO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X
TIJLZOS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIJLOSZ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
TIJLOZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJSLZO,O,O,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X
TIJSLOZ,O,O,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X
TIJSZLO,O,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O
TIJSZOL,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O
TIJSOLZ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
TIJSOZL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIJZLSO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,O
TIJZLOS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
TIJZSLO,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
TIJZSOL,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TIJZOLS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIJZOSL,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
TIJOLZS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJOSLZ,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
TIJOSZL,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TIJOZSL,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TISLJZO,O,O,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X
TISLJOZ,X,O,X,O,X,X,O,X,X,O,O,X,X,O,O,X,X
TISLZJO,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,O
TISLZOJ,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O
TISLOJZ,X,O,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TISLOZJ,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TISJLZO,O,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
TISJLOZ,X,O,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X
TISJZLO,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
TISJZOL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O
TISJOLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
TISJOZL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISZLJO,O,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,O
TISZLOJ,O,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,O
TISZJLO,O,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O
TISZJOL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O
TISZOLJ,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
TISZOJL,O,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O
TISOLJZ,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TISOJLZ,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TISOZLJ,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
TISOZJL,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
TIZLJSO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,O
TIZLJOS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
TIZLSJO,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O
TIZLSOJ,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
TIZLOJS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
TIZLOSJ,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
TIZJLSO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,O
TIZJLOS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
TIZJSLO,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O
TIZJSOL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TIZJOLS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZJOSL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZSLJO,O,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,O
TIZSLOJ,O,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,O
TIZSJLO,O,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O
TIZSJOL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O
TIZSOLJ,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
TIZSOJL,O,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O
TIZOLJS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TIZOLSJ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
TIZOJLS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TIZOJSL,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TIZOSJL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O
