sequence,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhFOgB8gB?fiB6iBTjBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhFibBGdB?TeB3gBUiBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhFOgB8gB?zcBSjB3iBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhF2gBSiB?TeB3gBUiBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Jez7IvhFfiBxdB?ukBCjBUgBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8JeR7IvhFzcBGeB?qkB3iB0lBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8JeSCJvhFTeBRgB?ukB3gBUiBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8JeC7IvhFzcBGeB?VlB3iBRqB8qB
TILJSZO,X,X,X,X,O,X,X,O
TILJSOZ,X,X,X,O,O,X,X,O
TILJZSO,X,X,O,X,X,X,X,X
TILJZOS,X,X,O,O,X,X,X,X
TILJOSZ,X,X,X,O,O,X,O,X
TILJOZS,X,X,O,O,X,X,O,X
TILSJZO,O,O,X,X,O,X,X,O
TILSJOZ,O,O,X,O,O,X,X,O
TILSZJO,O,O,O,X,O,X,X,O
TILSZOJ,O,O,O,X,O,X,X,O
TILSOJZ,O,O,X,O,O,X,O,O
TILSOZJ,O,O,O,X,O,X,O,O
TILZJSO,O,O,O,X,X,X,X,X
TILZJOS,O,O,O,O,X,X,X,X
TILZSJO,O,O,O,X,X,X,X,X
TILZSOJ,O,O,O,X,X,X,X,X
TILZOJS,O,O,O,O,X,X,O,X
TILZOSJ,O,O,O,X,X,X,O,X
TILOJSZ,X,X,X,O,O,X,O,X
TILOJZS,X,X,O,O,X,X,O,X
TILOSJZ,O,O,X,O,O,X,O,X
TILOSZJ,O,O,O,X,O,X,O,X
TILOZJS,O,O,O,O,X,X,O,X
TILOZSJ,O,O,O,X,X,X,O,X
TIJLSZO,X,X,X,X,O,X,X,O
