sequence,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8JeC7IvhFxcBTeB?XgBmhBFmB0qB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8JeC7IvhFOiBTeB?xgBUlBFmBXrB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8Jeq/IvhFxbBXdB?TeB2mB1qB0qB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8JeR7IvhFOiBTeB?CgB/qBFmBcrB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8JeC7IvhFxcBTeB?mhBFlBXmB0qB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8Jeu/IvhFFdBTeB?xgB3gBimB0qB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8Jeq/IvhF2gBXdB?TeBRmBFmB0qB
TISOZLJ,O,X,O,X,O,X,X
TISOZJL,X,X,X,X,O,X,X
TIZLJSO,O,O,X,X,X,X,X
TIZLJOS,O,O,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X
TIZLOJS,O,O,X,X,X,X,X
TIZLOSJ,O,O,X,X,O,X,X
TIZJLSO,O,O,X,X,X,X,X
TIZJLOS,O,O,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X
TIZJOLS,O,O,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X
TIZOLSJ,O,O,X,X,O,X,X
TIZOJLS,O,O,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X
TIZOSLJ,O,O,X,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X
TIOLJSZ,O,X,O,X,O,O,X
TIOLJZS,X,X,O,X,X,O,X
TIOLSJZ,O,X,O,X,O,O,X
TIOLSZJ,O,X,O,X,O,X,O
TIOLZJS,X,X,X,X,X,O,O
TIOLZSJ,X,X,X,X,O,X,O
TIOJLSZ,O,X,O,X,O,O,X
TIOJLZS,X,X,O,X,X,O,X
TIOJSLZ,O,X,O,X,O,X,X
TIOJSZL,O,X,O,X,O,X,X
TIOJZLS,X,O,O,X,X,X,X
TIOJZSL,O,O,O,X,X,X,X
TIOSLJZ,O,X,O,X,O,X,X
TIOSLZJ,O,X,O,X,O,X,O
TIOSJLZ,O,X,O,X,O,X,X
TIOSJZL,O,X,O,X,O,X,X
TIOSZLJ,O,X,O,X,O,X,X
TIOSZJL,X,X,X,X,O,X,X
TIOZLJS,O,O,X,X,X,X,X
TIOZLSJ,O,O,X,X,O,X,X
TIOZJLS,O,O,X,X,X,X,X
TIOZJSL,O,O,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X
TLIJSZO,O,X,O,X,X,X,X
TLIJSOZ,O,X,O,X,X,O,X
TLIJZSO,X,X,O,X,X,O,X
TLIJZOS,X,X,O,X,X,O,X
TLIJOSZ,O,X,O,X,O,O,X
TLIJOZS,X,X,O,X,X,O,X
TLISJZO,X,X,O,X,X,X,X
TLISJOZ,O,X,O,X,X,O,X
TLISZJO,X,X,X,X,X,X,O
TLISZOJ,O,X,O,X,X,X,O
TLISOJZ,O,X,O,X,O,O,X
TLISOZJ,O,X,O,X,O,X,O
TLIZJSO,X,X,X,X,X,X,O
TLIZJOS,X,X,X,X,X,O,O
TLIZSJO,X,X,X,X,X,X,O
TLIZSOJ,X,X,X,X,X,X,O
TLIZOJS,X,X,X,X,X,O,O
TLIZOSJ,X,X,X,X,O,X,O
TLIOJSZ,O,X,O,X,O,O,X
TLIOJZS,X,X,O,X,X,O,X
TLIOSJZ,O,X,O,X,O,O,X
TLIOSZJ,O,X,O,X,O,X,O
TLIOZJS,X,X,X,X,X,O,O
TLIOZSJ,X,X,X,X,O,X,O
TLJISZO,O,X,O,X,X,X,X
TLJISOZ,O,X,O,X,X,O,X
TLJIZSO,X,X,O,X,X,O,X
TLJIZOS,X,X,O,X,X,O,X
TLJIOSZ,O,X,O,X,O,O,X
TLJIOZS,X,X,O,X,X,O,X
TLJSIZO,O,X,O,O,X,X,X
TLJSIOZ,O,X,O,O,X,O,X
TLJSZIO,O,X,O,O,X,O,X
TLJSZOI,O,X,O,O,X,O,X
TLJSOIZ,O,X,O,O,X,O,O
TLJSOZI,O,X,O,O,X,O,O
TLJZISO,X,O,O,X,X,O,X
TLJZIOS,X,O,O,X,X,O,X
TLJZSIO,X,O,O,X,X,O,X
TLJZSOI,X,O,O,X,X,O,X
TLJZOIS,X,O,O,X,X,O,X
TLJZOSI,X,O,O,X,X,O,X
TLJOISZ,O,X,O,X,O,O,X
TLJOIZS,X,X,O,X,X,O,X
TLJOSIZ,O,X,O,O,X,O,O
TLJOSZI,O,X,O,O,X,O,O
TLJOZIS,X,O,O,X,X,O,X
TLJOZSI,X,O,O,X,X,O,X
TLSIJZO,O,X,O,O,O,X,X
TLSIJOZ,O,X,O,O,O,O,X
TLSIZJO,X,X,X,X,X,X,O
TLSIZOJ,O,X,O,X,O,X,O
TLSIOJZ,O,X,O,O,O,O,X
TLSIOZJ,O,X,O,X,O,X,O
TLSJIZO,O,X,O,O,O,X,X
TLSJIOZ,O,X,O,O,O,O,X
TLSJZIO,O,X,O,O,O,O,X
TLSJZOI,O,X,O,O,O,O,X
TLSJOIZ,O,X,O,O,O,O,O
TLSJOZI,O,X,O,O,O,O,O
TLSZIJO,X,X,X,X,X,X,O
TLSZIOJ,O,X,O,X,O,X,O
TLSZJIO,O,X,O,O,O,X,X
TLSZJOI,O,X,O,O,O,X,O
TLSZOIJ,O,X,O,X,O,X,O
TLSZOJI,O,X,O,O,O,X,O
TLSOIJZ,O,X,O,O,O,O,X
TLSOIZJ,O,X,O,X,O,X,O
TLSOJIZ,O,X,O,O,O,O,O
TLSOJZI,O,X,O,O,O,O,O
TLSOZIJ,O,X,O,X,O,X,O
TLSOZJI,O,X,O,O,O,X,O
TLZIJSO,X,O,X,X,X,X,O
TLZIJOS,X,O,X,X,X,O,O
TLZISJO,X,O,X,X,X,X,O
TLZISOJ,X,O,X,X,X,X,O
TLZIOJS,X,O,X,X,X,O,O
TLZIOSJ,X,O,X,X,O,X,O
TLZJISO,X,O,O,X,X,O,X
TLZJIOS,X,O,O,X,X,O,X
TLZJSIO,X,O,O,X,X,O,X
TLZJSOI,X,O,O,X,X,O,O
TLZJOIS,X,O,O,X,X,O,X
TLZJOSI,X,O,O,X,X,O,O
TLZSIJO,X,O,X,X,X,X,O
TLZSIOJ,X,O,O,X,X,X,O
TLZSJIO,X,O,O,X,X,X,X
TLZSJOI,X,O,O,X,X,X,O
TLZSOIJ,X,O,O,X,X,X,O
TLZSOJI,X,O,O,X,X,X,O
TLZOIJS,X,O,X,X,X,O,O
TLZOISJ,X,O,X,X,O,X,O
TLZOJIS,X,O,O,X,X,O,X
TLZOJSI,X,O,O,X,X,O,O
TLZOSIJ,X,O,O,X,X,X,O
TLZOSJI,X,O,O,X,X,X,O
TLOIJSZ,O,X,O,X,O,O,X
TLOIJZS,X,X,O,X,X,O,X
TLOISJZ,O,X,O,X,O,O,X
TLOISZJ,O,X,O,X,O,X,O
TLOIZJS,X,X,X,X,X,O,O
TLOIZSJ,X,X,X,X,O,X,O
TLOJISZ,O,X,O,X,O,O,X
TLOJIZS,X,X,O,X,X,O,X
TLOJSIZ,O,X,O,O,X,O,O
TLOJSZI,O,X,O,O,X,O,O
TLOJZIS,X,O,O,X,X,O,X
TLOJZSI,X,O,O,X,X,O,X
TLOSIJZ,O,X,O,O,O,O,X
TLOSIZJ,O,X,O,X,O,X,O
TLOSJIZ,O,X,O,O,O,O,O
TLOSJZI,O,X,O,O,O,O,O
TLOSZIJ,O,X,O,X,O,X,O
TLOSZJI,O,X,O,O,O,X,O
TLOZIJS,X,O,X,X,X,O,O
TLOZISJ,X,O,X,X,O,X,O
TLOZJIS,X,O,O,X,X,O,X
TLOZJSI,X,O,O,X,X,O,O
TLOZSIJ,X,O,O,X,X,X,O
TLOZSJI,X,O,O,X,X,X,O
TJILSZO,O,X,O,X,X,X,X
TJILSOZ,O,X,O,X,X,O,X
TJILZSO,X,X,O,X,X,O,X
TJILZOS,X,X,O,X,X,O,X
TJILOSZ,O,X,O,X,O,O,X
TJILOZS,X,X,O,X,X,O,X
TJISLZO,O,X,O,X,O,X,X
TJISLOZ,O,X,O,X,O,X,X
TJISZLO,O,X,O,X,O,X,X
TJISZOL,O,X,O,X,O,X,X
TJISOLZ,O,X,O,X,O,X,X
TJISOZL,O,X,O,X,O,X,X
TJIZLSO,X,O,O,X,X,X,X
TJIZLOS,X,O,O,X,X,X,X
TJIZSLO,O,O,O,X,X,X,X
TJIZSOL,O,O,O,X,X,X,X
TJIZOLS,X,O,O,X,X,X,X
TJIZOSL,O,O,O,X,X,X,X
TJIOLSZ,O,X,O,X,O,O,X
TJIOLZS,X,X,O,X,X,O,X
TJIOSLZ,O,X,O,X,O,X,X
TJIOSZL,O,X,O,X,O,X,X
TJIOZLS,X,O,O,X,X,X,X
TJIOZSL,O,O,O,X,X,X,X
TJLISZO,O,X,O,X,X,X,X
TJLISOZ,O,X,O,X,X,O,X
TJLIZSO,X,X,O,X,X,O,X
TJLIZOS,X,X,O,X,X,O,X
TJLIOSZ,O,X,O,X,O,O,X
TJLIOZS,X,X,O,X,X,O,X
TJLSIZO,O,X,O,O,X,X,X
TJLSIOZ,O,X,O,O,X,O,X
TJLSZIO,O,X,O,O,X,O,X
TJLSZOI,O,X,O,O,X,O,X
TJLSOIZ,O,X,O,O,X,O,X
TJLSOZI,O,X,O,O,X,O,X
TJLZISO,X,O,O,X,X,O,X
TJLZIOS,X,O,O,X,X,O,X
TJLZSIO,X,O,O,X,X,O,X
TJLZSOI,X,O,O,X,X,O,X
TJLZOIS,X,O,O,X,X,O,X
TJLZOSI,X,O,O,X,X,O,X
TJLOISZ,O,X,O,X,O,O,X
TJLOIZS,X,X,O,X,X,O,X
TJLOSIZ,O,X,O,O,X,O,X
TJLOSZI,O,X,O,O,X,O,X
TJLOZIS,X,O,O,X,X,O,X
TJLOZSI,X,O,O,X,X,O,X
TJSILZO,O,X,O,O,O,X,X
TJSILOZ,O,X,O,O,O,X,X
TJSIZLO,O,X,O,X,O,X,X
TJSIZOL,O,X,O,X,O,X,X
TJSIOLZ,O,X,O,O,O,X,X
TJSIOZL,O,X,O,X,O,X,X
TJSLIZO,O,X,O,O,O,X,X
TJSLIOZ,O,X,O,O,O,O,X
TJSLZIO,O,X,O,O,O,O,X
TJSLZOI,O,X,O,O,O,O,X
TJSLOIZ,O,X,O,O,O,O,X
TJSLOZI,O,X,O,O,O,O,X
TJSZILO,O,O,O,X,O,X,X
TJSZIOL,O,O,O,X,O,X,X
TJSZLIO,O,O,O,O,O,X,X
TJSZLOI,O,O,O,O,O,X,X
TJSZOIL,O,O,O,X,O,X,X
TJSZOLI,O,O,O,O,O,X,X
TJSOILZ,O,X,O,O,O,X,X
TJSOIZL,O,X,O,X,O,X,X
TJSOLIZ,O,X,O,O,O,O,X
TJSOLZI,O,X,O,O,O,O,X
TJSOZIL,O,O,O,X,O,X,X
TJSOZLI,O,O,O,O,O,X,X
TJZILSO,X,O,O,X,X,X,X
TJZILOS,X,O,O,X,X,X,X
TJZISLO,O,O,O,X,X,X,X
TJZISOL,O,O,O,X,X,X,X
TJZIOLS,X,O,O,X,X,X,X
TJZIOSL,O,O,O,X,X,X,X
TJZLISO,X,O,O,X,X,O,X
TJZLIOS,X,O,O,X,X,O,X
TJZLSIO,X,O,O,X,X,O,X
TJZLSOI,X,O,O,X,X,O,X
TJZLOIS,X,O,O,X,X,O,X
TJZLOSI,X,O,O,X,X,O,X
TJZSILO,O,O,O,X,X,X,X
TJZSIOL,O,O,O,X,X,X,X
TJZSLIO,O,O,O,X,X,X,X
TJZSLOI,O,O,O,X,X,X,X
TJZSOIL,O,O,O,X,X,X,X
TJZSOLI,O,O,O,X,X,X,X
TJZOILS,X,O,O,X,X,X,X
TJZOISL,O,O,O,X,X,X,X
TJZOLIS,X,O,O,X,X,O,X
TJZOLSI,X,O,O,X,X,O,X
TJZOSIL,O,O,O,X,X,X,X
TJZOSLI,O,O,O,X,X,X,X
TJOILSZ,O,X,O,X,O,O,X
TJOILZS,X,X,O,X,X,O,X
TJOISLZ,O,X,O,X,O,X,X
TJOISZL,O,X,O,X,O,X,X
TJOIZLS,X,O,O,X,X,X,X
TJOIZSL,O,O,O,X,X,X,X
TJOLISZ,O,X,O,X,O,O,X
TJOLIZS,X,X,O,X,X,O,X
TJOLSIZ,O,X,O,O,X,O,X
TJOLSZI,O,X,O,O,X,O,X
TJOLZIS,X,O,O,X,X,O,X
TJOLZSI,X,O,O,X,X,O,X
TJOSILZ,O,X,O,O,O,X,X
TJOSIZL,O,X,O,X,O,X,X
TJOSLIZ,O,X,O,O,O,O,X
TJOSLZI,O,X,O,O,O,O,X
TJOSZIL,O,O,O,X,O,X,X
TJOSZLI,O,O,O,O,O,X,X
TJOZILS,X,O,O,X,X,X,X
TJOZISL,O,O,O,X,X,X,X
TJOZLIS,X,O,O,X,X,O,X
TJOZLSI,X,O,O,X,X,O,X
TJOZSIL,O,O,O,X,X,X,X
TJOZSLI,O,O,O,X,X,X,X
TSILJZO,O,X,O,O,O,X,X
TSILJOZ,O,X,O,O,O,X,X
TSILZJO,X,X,X,X,X,X,O
TSILZOJ,O,X,O,X,O,X,O
TSILOJZ,O,X,O,O,O,X,X
TSILOZJ,O,X,O,X,O,X,O
TSIJLZO,O,X,O,O,O,X,X
TSIJLOZ,O,X,O,O,O,X,X
TSIJZLO,O,X,O,X,O,X,X
TSIJZOL,O,X,O,X,O,X,X
TSIJOLZ,O,X,O,O,O,X,X
TSIJOZL,O,X,O,X,O,X,X
TSIZLJO,X,X,X,X,X,X,X
TSIZLOJ,O,X,O,X,O,X,X
TSIZJLO,X,X,X,X,O,X,X
TSIZJOL,X,X,X,X,O,X,X
TSIZOLJ,O,X,O,X,O,X,X
TSIZOJL,X,X,X,X,O,X,X
TSIOLJZ,O,X,O,O,O,X,X
TSIOLZJ,O,X,O,X,O,X,O
TSIOJLZ,O,X,O,O,O,X,X
TSIOJZL,O,X,O,X,O,X,X
TSIOZLJ,O,X,O,X,O,X,X
TSIOZJL,X,X,X,X,O,X,X
TSLIJZO,O,X,O,O,O,X,X
TSLIJOZ,O,X,O,O,O,O,X
TSLIZJO,X,X,X,X,X,X,O
TSLIZOJ,O,X,O,X,O,X,O
TSLIOJZ,O,X,O,O,O,O,X
TSLIOZJ,O,X,O,X,O,X,O
TSLJIZO,O,X,O,O,O,X,X
TSLJIOZ,O,X,O,O,O,O,X
TSLJZIO,O,X,O,O,O,O,X
TSLJZOI,O,X,O,O,O,O,X
TSLJOIZ,O,X,O,O,O,O,O
TSLJOZI,O,X,O,O,O,O,O
TSLZIJO,O,X,X,X,X,X,O
TSLZIOJ,O,X,O,X,O,X,O
TSLZJIO,O,X,O,O,O,X,X
TSLZJOI,O,X,O,O,O,X,O
TSLZOIJ,O,X,O,X,O,X,O
TSLZOJI,O,X,O,O,O,X,O
TSLOIJZ,O,X,O,O,O,O,X
TSLOIZJ,O,X,O,X,O,X,O
TSLOJIZ,O,X,O,O,O,O,O
TSLOJZI,O,X,O,O,O,O,O
TSLOZIJ,O,X,O,X,O,X,O
TSLOZJI,O,X,O,O,O,X,O
TSJILZO,O,X,O,O,O,X,X
TSJILOZ,O,X,O,O,O,X,X
TSJIZLO,O,X,O,X,O,X,X
TSJIZOL,O,X,O,X,O,X,X
TSJIOLZ,O,X,O,O,O,X,X
TSJIOZL,O,X,O,X,O,X,X
TSJLIZO,O,X,O,O,O,X,X
TSJLIOZ,O,X,O,O,O,O,X
TSJLZIO,O,X,O,O,O,O,X
TSJLZOI,O,X,O,O,O,O,X
TSJLOIZ,O,X,O,O,O,O,X
TSJLOZI,O,X,O,O,O,O,X
TSJZILO,O,O,O,X,O,X,X
TSJZIOL,O,O,O,X,O,X,X
TSJZLIO,O,O,O,O,O,X,X
TSJZLOI,O,O,O,O,O,X,X
TSJZOIL,O,O,O,X,O,X,X
TSJZOLI,O,O,O,O,O,X,X
TSJOILZ,O,X,O,O,O,X,X
TSJOIZL,O,X,O,X,O,X,X
TSJOLIZ,O,X,O,O,O,O,X
TSJOLZI,O,X,O,O,O,O,X
TSJOZIL,O,O,O,X,O,X,X
TSJOZLI,O,O,O,O,O,X,X
TSZILJO,O,O,X,X,X,X,O
TSZILOJ,O,O,O,X,O,X,O
TSZIJLO,O,O,X,X,O,X,X
TSZIJOL,O,O,X,X,O,X,X
TSZIOLJ,O,O,O,X,O,X,O
TSZIOJL,O,O,X,X,O,X,X
TSZLIJO,O,O,X,X,X,X,O
TSZLIOJ,O,O,O,X,O,X,O
TSZLJIO,O,O,O,O,O,X,X
TSZLJOI,O,O,O,O,O,X,O
TSZLOIJ,O,O,O,X,O,X,O
TSZLOJI,O,O,O,O,O,X,O
TSZJILO,O,O,O,X,O,X,X
TSZJIOL,O,O,O,X,O,X,X
TSZJLIO,O,O,O,O,O,X,X
TSZJLOI,O,O,O,O,O,X,X
TSZJOIL,O,O,O,X,O,X,X
TSZJOLI,O,O,O,O,O,X,X
TSZOILJ,O,O,O,X,O,X,O
TSZOIJL,O,O,X,X,O,X,X
TSZOLIJ,O,O,O,X,O,X,O
TSZOLJI,O,O,O,O,O,X,O
TSZOJIL,O,O,O,X,O,X,X
TSZOJLI,O,O,O,O,O,X,X
TSOILJZ,O,X,O,O,O,X,X
TSOILZJ,O,X,O,X,O,X,O
TSOIJLZ,O,X,O,O,O,X,X
TSOIJZL,O,X,O,X,O,X,X
TSOIZLJ,O,X,O,X,O,X,X
TSOIZJL,X,X,X,X,O,X,X
TSOLIJZ,O,X,O,O,O,O,X
TSOLIZJ,O,X,O,X,O,X,O
TSOLJIZ,O,X,O,O,O,O,O
TSOLJZI,O,X,O,O,O,O,O
TSOLZIJ,O,X,O,X,O,X,O
TSOLZJI,O,X,O,O,O,X,O
TSOJILZ,O,X,O,O,O,X,X
TSOJIZL,O,X,O,X,O,X,X
TSOJLIZ,O,X,O,O,O,O,X
TSOJLZI,O,X,O,O,O,O,X
TSOJZIL,O,O,O,X,O,X,X
TSOJZLI,O,O,O,O,O,X,X
TSOZILJ,O,O,O,X,O,X,O
TSOZIJL,O,O,X,X,O,X,X
TSOZLIJ,O,O,O,X,O,X,O
TSOZLJI,O,O,O,O,O,X,O
TSOZJIL,O,O,O,X,O,X,X
TSOZJLI,O,O,O,O,O,X,X
TZILJSO,O,O,X,X,X,X,O
TZILJOS,O,O,X,X,X,X,O
TZILSJO,O,O,X,X,X,X,O
TZILSOJ,O,O,X,X,X,X,O
TZILOJS,O,O,X,X,X,X,O
TZILOSJ,O,O,X,X,O,X,O
TZIJLSO,O,O,X,X,X,X,X
TZIJLOS,O,O,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X
TZIJOLS,O,O,X,X,X,X,X
TZIJOSL,O,O,X,X,X,X,X
TZISLJO,O,O,X,X,X,X,O
TZISLOJ,O,O,X,X,X,X,O
TZISJLO,O,O,X,X,X,X,X
TZISJOL,O,O,X,X,X,X,X
TZISOLJ,O,O,X,X,X,X,O
TZISOJL,O,O,X,X,X,X,X
TZIOLJS,O,O,X,X,X,X,O
TZIOLSJ,O,O,X,X,O,X,O
TZIOJLS,O,O,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X
TZIOSLJ,O,O,X,X,X,X,O
TZIOSJL,O,O,X,X,X,X,X
TZLIJSO,O,O,X,X,X,O,O
TZLIJOS,O,O,X,X,X,O,O
TZLISJO,O,O,X,X,X,O,O
TZLISOJ,O,O,X,X,X,O,O
TZLIOJS,O,O,X,X,X,O,O
TZLIOSJ,O,O,X,X,O,O,O
TZLJISO,O,O,O,X,X,O,X
TZLJIOS,O,O,O,X,X,O,X
TZLJSIO,O,O,O,X,X,O,X
TZLJSOI,O,O,O,X,X,O,O
TZLJOIS,O,O,O,X,X,O,X
TZLJOSI,O,O,O,X,X,O,O
TZLSIJO,O,O,X,X,X,O,O
TZLSIOJ,O,O,O,X,X,O,O
TZLSJIO,O,O,O,X,X,O,X
TZLSJOI,O,O,O,X,X,O,O
TZLSOIJ,O,O,O,X,X,O,O
TZLSOJI,O,O,O,X,X,O,O
TZLOIJS,O,O,X,X,X,O,O
TZLOISJ,O,O,X,X,O,O,O
TZLOJIS,O,O,O,X,X,O,X
TZLOJSI,O,O,O,X,X,O,O
TZLOSIJ,O,O,O,X,X,O,O
TZLOSJI,O,O,O,X,X,O,O
TZJILSO,O,O,O,X,X,X,X
TZJILOS,O,O,O,X,X,X,X
TZJISLO,O,O,O,X,X,X,X
TZJISOL,O,O,O,X,X,X,X
TZJIOLS,O,O,O,X,X,X,X
TZJIOSL,O,O,O,X,X,X,X
TZJLISO,O,O,O,X,X,O,X
TZJLIOS,O,O,O,X,X,O,X
TZJLSIO,O,O,O,X,X,O,X
TZJLSOI,O,O,O,X,X,O,X
TZJLOIS,O,O,O,X,X,O,X
TZJLOSI,O,O,O,X,X,O,X
TZJSILO,O,O,O,X,X,X,X
TZJSIOL,O,O,O,X,X,X,X
TZJSLIO,O,O,O,X,X,X,X
TZJSLOI,O,O,O,X,X,X,X
TZJSOIL,O,O,O,X,X,X,X
TZJSOLI,O,O,O,X,X,X,X
TZJOILS,O,O,O,X,X,X,X
TZJOISL,O,O,O,X,X,X,X
TZJOLIS,O,O,O,X,X,O,X
TZJOLSI,O,O,O,X,X,O,X
TZJOSIL,O,O,O,X,X,X,X
TZJOSLI,O,O,O,X,X,X,X
TZSILJO,O,O,X,X,X,X,O
TZSILOJ,O,O,O,X,O,X,O
TZSIJLO,O,O,X,X,O,X,X
TZSIJOL,O,O,X,X,O,X,X
TZSIOLJ,O,O,O,X,O,X,O
TZSIOJL,O,O,X,X,O,X,X
TZSLIJO,O,O,X,X,X,X,O
TZSLIOJ,O,O,O,X,O,X,O
TZSLJIO,O,O,O,X,O,X,X
TZSLJOI,O,O,O,X,O,X,O
TZSLOIJ,O,O,O,X,O,X,O
TZSLOJI,O,O,O,X,O,X,O
TZSJILO,O,O,O,X,O,X,X
TZSJIOL,O,O,O,X,O,X,X
TZSJLIO,O,O,O,X,O,X,X
TZSJLOI,O,O,O,X,O,X,X
TZSJOIL,O,O,O,X,O,X,X
TZSJOLI,O,O,O,X,O,X,X
TZSOILJ,O,O,O,X,O,X,O
TZSOIJL,O,O,X,X,O,X,X
TZSOLIJ,O,O,O,X,O,X,O
TZSOLJI,O,O,O,X,O,X,O
TZSOJIL,O,O,O,X,O,X,X
TZSOJLI,O,O,O,X,O,X,X
TZOILJS,O,O,X,X,X,X,O
TZOILSJ,O,O,X,X,O,X,O
TZOIJLS,O,O,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X
TZOISLJ,O,O,X,X,X,X,O
TZOISJL,O,O,X,X,X,X,X
TZOLIJS,O,O,X,X,X,O,O
TZOLISJ,O,O,X,X,O,O,O
TZOLJIS,O,O,O,X,X,O,X
TZOLJSI,O,O,O,X,X,O,O
TZOLSIJ,O,O,O,X,X,O,O
TZOLSJI,O,O,O,X,X,O,O
TZOJILS,O,O,O,X,X,X,X
TZOJISL,O,O,O,X,X,X,X
TZOJLIS,O,O,O,X,X,O,X
TZOJLSI,O,O,O,X,X,O,X
TZOJSIL,O,O,O,X,X,X,X
TZOJSLI,O,O,O,X,X,X,X
TZOSILJ,O,O,O,X,O,X,O
TZOSIJL,O,O,X,X,O,X,X
