sequence,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je8/IvhFugBzcBZkBN?mB/qB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je//IvhFRbBzcBelBU?hBKpBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFzaBCcB8hBd?mB+pB/qB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeO/IvhFxbB8hBCgBd?mB/qBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez6IvhFtgBmcBcmB6?pB/qBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jem8IvhFxfBThBXgBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT7IvhFOhB8hBZkBf?lBtqB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcBXgBThBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcB0fBThBK?pBtqBXqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je+/IvhFTbBicB3hB8?pBtqBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFibBRhB3hBO?pB8pBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBzcBigBU?hBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeX8IvhF8hBifBRlBm?kBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBcgBKhBz?cBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei6IvhF3bBzcBOpBx?lBtpB8qB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFRbBzcBUhBi?kBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFXcB8hBzfBK?pBRqBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhF8kBRhB3hBK?pB9qBmqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFxbB8hBXgBd?mBKpBGqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFxfBNmB/pBU?lBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhF0fBRhB3hB2?pBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhFTfBRhB3hB8?pBtqBOpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeK/IvhFzcBUgBNmBx?pBuqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFUgBNmBxpB/?pBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei/IvhFRhB0fB3hB9?qBmlBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JefAJvhFzcBUhB6pB9?qBZkBmqB
TILJSZO,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TILJSOZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJZSO,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
TILJZOS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X
TILJOSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
TILSJZO,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TILSJOZ,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,O,O,X,O
TILSZOJ,O,O,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,O,X,X,O,O,O,X,O
TILSOJZ,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X
TILZJSO,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
TILZJOS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X
TILZSJO,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O
TILZSOJ,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O,O,X,X,O
TILZOJS,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O,O,X,X,O
TILOJSZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOJZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
TILOSJZ,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TILOSZJ,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,O,X
TILOZJS,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X
TILOZSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O,O,X,O,X
TIJLSZO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIJLSOZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIJSLZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIJSLOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
TIJSZOL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJSOLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJZLSO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TIJZSLO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIJZSOL,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TIJZOSL,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TIJOLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
TIJOSLZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJOZLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIJOZSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,O,X,X,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TISLZOJ,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X
TISLOJZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TISJLZO,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TISJLOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
TISJZOL,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TISJOLZ,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TISZLJO,O,X,O,O,X,X,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TISZLOJ,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X
TISZJLO,O,X,O,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TISZJOL,O,X,O,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TISZOLJ,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X
TISZOJL,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TISOLJZ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TISOLZJ,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,O,X
TISOJLZ,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TISOZLJ,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TISOZJL,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TIZLJSO,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIZLJOS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
TIZLSJO,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TIZLSOJ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TIZLOJS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TIZJLSO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X
TIZJSLO,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZJSOL,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
