sequence,v115@zgB8HeB8HeB8HeE8CeH8AeC8Je07IvhFxcBXeB2lBz?hBSoBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeT7IvhF2hBfjB6jBU?iBxlBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jex7IvhF8iB+jBTgBi?hBXiBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jex7IvhF6jBTgB/mBF?iB8nBOsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeKAJvhFfhBxcB8iB+?jBzhBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jei7IvhFzcBGeB3gBU?jBxmBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeT7IvhF0cBxdBylBG?jBfsBlsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jei7IvhFWiBxdB3gBT?jBlmBcsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeOAJvhFxcB6jBzgBF?iB8nBfsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeOAJvhF8gBzcBfjB6?jBxmBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Je0AJvhFxhBXjBigBz?hBGjBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jei7IvhF3cBTeB1lBW?sBxsBcsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeT7IvhF6jBOnB8nBx?lB/mBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Je2AJvhFCdBxiB3gBT?jBlmBcsB
IZLSJTO,X,X,X,X,X,O,X,X,O,O,O,X,O,X
IZLSJOT,X,O,X,X,X,O,X,X,X,O,O,X,O,X
IZLSOTJ,X,X,X,O,X,O,X,X,O,O,O,X,X,X
IZLSOJT,X,O,X,O,X,O,X,X,O,O,O,X,O,X
IZLOTJS,X,O,X,X,X,X,X,X,O,X,X,X,O,X
IZLOTSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZLOJST,X,O,X,O,X,O,X,X,O,O,X,X,O,X
IZLOSTJ,X,X,X,O,X,O,X,X,O,O,X,X,X,X
IZLOSJT,X,O,X,O,X,O,X,X,O,O,X,X,O,X
IZJTLSO,X,X,X,X,X,O,X,X,X,O,X,O,O,O
IZJTLOS,X,X,X,X,X,O,X,X,X,O,X,O,O,O
IZJTSLO,X,X,X,X,X,O,X,O,X,O,O,O,X,O
IZJTSOL,X,X,X,X,X,O,X,X,X,O,O,O,X,X
IZJTOLS,X,X,X,X,X,O,X,X,X,O,X,O,O,O
IZJTOSL,X,X,X,X,X,O,X,X,X,O,X,O,X,X
IZJLTSO,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJLTOS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJLSTO,X,X,X,X,X,O,X,O,O,O,X,X,O,X
IZJLSOT,X,O,X,X,X,O,X,O,X,O,X,X,O,X
IZJLOTS,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZJLOST,X,O,X,X,X,O,X,X,O,O,X,X,O,X
IZJSTLO,X,X,X,X,X,O,X,O,O,O,O,X,X,X
IZJSTOL,X,X,X,X,X,O,X,X,O,O,O,X,X,X
IZJSLTO,X,X,X,X,X,O,X,O,O,O,O,X,O,X
IZJSLOT,X,O,X,X,X,O,X,O,X,O,O,X,O,X
IZJSOTL,X,X,X,X,X,O,X,O,X,O,O,X,X,X
IZJSOLT,X,O,X,X,X,O,X,O,X,O,O,X,O,X
IZJOTLS,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IZJOTSL,X,X,X,X,X,O,X,O,X,O,X,O,X,X
IZJOLTS,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZJOLST,X,O,X,X,X,O,X,O,O,O,X,X,O,X
IZJOSTL,X,X,X,X,X,O,X,O,O,O,X,X,X,X
IZJOSLT,X,O,X,X,X,O,X,O,O,O,X,X,O,X
IZSTLJO,X,X,X,X,X,O,X,O,O,O,O,X,X,O
IZSTLOJ,X,X,X,O,X,O,X,O,O,O,O,X,X,X
IZSTJLO,X,X,X,X,X,O,X,O,O,O,O,X,X,O
IZSTJOL,X,X,X,X,X,O,X,O,O,O,O,X,X,X
IZSTOLJ,X,X,X,O,X,O,X,O,O,O,O,X,X,X
IZSTOJL,X,X,X,O,X,O,X,O,O,O,O,X,X,X
IZSLTJO,X,X,X,X,X,O,X,O,O,O,O,X,X,X
IZSLTOJ,X,X,X,O,X,O,X,O,O,O,O,X,X,X
IZSLJTO,X,X,X,X,X,O,X,O,O,O,O,X,O,X
IZSLJOT,X,O,X,X,X,O,X,O,X,O,O,X,O,X
IZSLOTJ,X,X,X,O,X,O,X,O,O,O,O,X,X,X
IZSLOJT,X,O,X,O,X,O,X,O,O,O,O,X,O,X
IZSJTLO,X,X,X,X,X,O,X,O,O,O,O,X,X,X
IZSJTOL,X,X,X,X,X,O,X,X,O,O,O,X,X,X
IZSJLTO,X,X,X,X,X,O,X,O,O,O,O,X,O,X
IZSJLOT,X,O,X,X,X,O,X,O,X,O,O,X,O,X
IZSJOTL,X,X,X,X,X,O,X,O,X,O,O,X,X,X
IZSJOLT,X,O,X,X,X,O,X,O,X,O,O,X,O,X
IZSOTLJ,X,X,X,O,X,O,X,O,O,O,O,X,X,X
IZSOTJL,X,X,X,O,X,O,X,O,O,O,O,X,X,X
IZSOLTJ,X,X,X,O,X,O,X,O,O,O,O,X,X,X
IZSOLJT,X,O,X,O,X,O,X,O,O,O,O,X,O,X
IZSOJTL,X,X,X,O,X,O,X,O,O,O,O,X,X,X
IZSOJLT,X,O,X,O,X,O,X,O,O,O,O,X,O,X
IZOTLJS,X,O,X,X,X,X,X,O,O,X,X,O,O,O
IZOTLSJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IZOTJLS,X,O,X,X,X,X,X,O,O,X,X,O,O,O
IZOTJSL,X,O,X,X,X,O,X,O,X,O,X,O,X,X
IZOTSLJ,X,O,X,O,X,O,X,O,X,O,O,X,X,X
IZOTSJL,X,O,X,O,X,O,X,O,X,O,O,X,X,X
IZOLTJS,X,O,X,X,X,X,X,O,O,X,X,X,O,X
IZOLTSJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IZOLJTS,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOLJST,X,O,X,O,X,O,X,O,O,O,X,X,O,X
IZOLSTJ,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IZOLSJT,X,O,X,O,X,O,X,O,O,O,X,X,O,X
IZOJTLS,X,X,X,X,X,X,X,O,O,X,X,O,O,X
IZOJTSL,X,X,X,X,X,O,X,O,X,O,X,O,X,X
IZOJLTS,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOJLST,X,O,X,O,X,O,X,O,O,O,X,X,O,X
IZOJSTL,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IZOJSLT,X,O,X,O,X,O,X,O,O,O,X,X,O,X
IZOSTLJ,X,X,X,O,X,O,X,O,O,O,O,X,X,X
IZOSTJL,X,X,X,O,X,O,X,O,O,O,O,X,X,X
IZOSLTJ,X,X,X,O,X,O,X,O,O,O,O,X,X,X
IZOSLJT,X,O,X,O,X,O,X,O,O,O,O,X,O,X
IZOSJTL,X,X,X,O,X,O,X,O,O,O,O,X,X,X
IZOSJLT,X,O,X,O,X,O,X,O,O,O,O,X,O,X
IOTLJSZ,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOTLJZS,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOTLSJZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOTLSZJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTLZJS,X,O,O,X,X,X,X,X,X,X,X,O,O,X
IOTLZSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOTJLZS,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOTJSLZ,X,O,O,X,X,X,X,O,O,X,X,O,X,X
IOTJSZL,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOTJZLS,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOTJZSL,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOTSLJZ,X,O,O,X,X,X,X,O,O,X,X,O,X,X
IOTSLZJ,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IOTSJLZ,X,O,O,X,X,X,X,O,O,X,X,O,X,X
IOTSJZL,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOTSZLJ,X,O,X,O,X,O,X,X,O,O,X,X,X,X
IOTSZJL,X,O,X,O,X,O,X,X,O,O,X,X,X,X
IOTZLJS,X,O,O,X,X,X,X,O,O,X,X,O,O,X
IOTZLSJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOTZJLS,X,O,O,X,X,X,X,O,O,X,X,O,O,X
IOTZJSL,X,O,O,X,X,O,X,O,X,O,X,O,X,X
IOTZSLJ,X,O,X,O,X,O,X,O,X,O,X,X,X,X
IOTZSJL,X,O,X,O,X,O,X,O,X,O,X,X,X,X
IOLTJSZ,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOLTJZS,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOLTSJZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOLTSZJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLTZJS,X,O,O,X,X,X,X,X,X,X,X,O,O,X
IOLTZSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOLJTZS,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOLJSTZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLJSZT,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOLJZTS,X,X,O,X,X,X,X,X,O,X,X,X,O,X
IOLJZST,X,O,O,O,X,X,X,X,O,X,X,X,O,X
IOLSTJZ,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IOLSTZJ,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IOLSJTZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLSJZT,X,O,O,O,X,O,X,X,O,O,X,X,X,X
IOLSZTJ,X,X,X,O,X,O,X,X,O,O,X,X,X,X
IOLSZJT,X,O,X,O,X,O,X,X,O,O,X,X,O,X
IOLZTJS,X,O,O,X,X,X,X,O,O,X,X,X,O,X
IOLZTSJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOLZJTS,X,X,O,X,X,X,X,X,O,X,X,X,O,X
IOLZJST,X,O,O,O,X,O,X,O,O,O,X,X,O,X
IOLZSTJ,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOLZSJT,X,O,X,O,X,O,X,O,O,O,X,X,O,X
IOJTLSZ,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOJTLZS,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOJTSLZ,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOJTSZL,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOJTZLS,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOJTZSL,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOJLTSZ,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOJLTZS,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOJLSTZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJLSZT,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOJLZTS,X,X,O,X,X,X,X,X,O,X,X,X,O,X
IOJLZST,X,O,O,O,X,X,X,X,O,X,X,X,O,X
IOJSTLZ,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOJSTZL,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IOJSLTZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJSLZT,X,O,O,O,X,O,X,X,O,O,X,X,X,X
IOJSZTL,X,X,X,O,X,O,X,X,O,O,X,X,X,X
IOJSZLT,X,O,O,O,X,O,X,X,O,O,X,X,X,X
IOJZTLS,X,X,O,X,X,X,X,O,O,X,X,O,O,X
IOJZTSL,X,X,O,X,X,O,X,O,X,O,X,O,X,X
IOJZLTS,X,X,O,X,X,X,X,X,O,X,X,X,O,X
IOJZLST,X,O,O,O,X,O,X,O,O,O,X,X,O,X
IOJZSTL,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOJZSLT,X,O,O,O,X,O,X,O,O,O,X,X,O,X
IOSTLJZ,X,O,O,X,X,X,X,O,O,X,X,O,X,X
IOSTLZJ,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IOSTJLZ,X,O,O,X,X,X,X,O,O,X,X,O,X,X
IOSTJZL,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOSTZLJ,X,O,X,O,X,O,X,X,O,O,X,X,X,X
IOSTZJL,X,O,X,O,X,O,X,X,O,O,X,X,X,X
IOSLTJZ,X,O,O,X,X,X,X,O,O,X,X,X,X,X
IOSLTZJ,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IOSLJTZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOSLJZT,X,O,O,O,X,O,X,X,O,O,X,X,X,X
IOSLZTJ,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOSLZJT,X,O,X,O,X,O,X,O,O,O,X,X,O,X
IOSJTLZ,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IOSJTZL,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IOSJLTZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOSJLZT,X,O,O,O,X,O,X,X,O,O,X,X,X,X
IOSJZTL,X,X,X,O,X,O,X,X,O,O,X,X,X,X
IOSJZLT,X,O,O,O,X,O,X,X,O,O,X,X,X,X
IOSZTLJ,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOSZTJL,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOSZLTJ,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOSZLJT,X,O,X,O,X,O,X,O,O,O,X,X,O,X
IOSZJTL,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOSZJLT,X,O,X,O,X,O,X,O,O,O,X,X,O,X
IOZTLJS,X,O,O,X,X,X,X,O,O,X,X,O,O,X
IOZTLSJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOZTJLS,X,O,O,X,X,X,X,O,O,X,X,O,O,X
IOZTJSL,X,O,O,X,X,O,X,O,X,O,X,O,X,X
IOZTSLJ,X,O,X,O,X,O,X,O,X,O,X,X,X,X
IOZTSJL,X,O,X,O,X,O,X,O,X,O,X,X,X,X
IOZLTJS,X,O,O,X,X,X,X,O,O,X,X,X,O,X
IOZLTSJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOZLJTS,X,X,O,X,X,X,X,X,O,X,X,X,O,X
IOZLJST,X,O,O,O,X,O,X,O,O,O,X,X,O,X
IOZLSTJ,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOZLSJT,X,O,X,O,X,O,X,O,O,O,X,X,O,X
IOZJTLS,X,X,O,X,X,X,X,O,O,X,X,O,O,X
IOZJTSL,X,X,O,X,X,O,X,O,X,O,X,O,X,X
IOZJLTS,X,X,O,X,X,X,X,X,O,X,X,X,O,X
IOZJLST,X,O,O,O,X,O,X,O,O,O,X,X,O,X
IOZJSTL,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOZJSLT,X,O,O,O,X,O,X,O,O,O,X,X,O,X
IOZSTLJ,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOZSTJL,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOZSLTJ,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOZSLJT,X,O,X,O,X,O,X,O,O,O,X,X,O,X
IOZSJTL,X,X,X,O,X,O,X,O,O,O,X,X,X,X
IOZSJLT,X,O,X,O,X,O,X,O,O,O,X,X,O,X
LTIJSZO,O,O,X,X,O,X,O,X,X,X,X,O,X,X
LTIJSOZ,O,O,X,X,O,X,O,X,X,X,X,O,X,X
LTIJZSO,O,O,X,X,O,X,X,X,X,X,X,O,X,X
LTIJZOS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
LTIJOSZ,O,O,O,X,O,X,O,X,X,X,X,O,X,X
LTIJOZS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
LTISJZO,O,O,X,X,O,O,X,X,X,O,X,O,X,X
LTISJOZ,O,O,X,X,O,O,X,X,X,O,X,O,X,X
LTISZJO,O,O,X,X,X,O,X,X,X,O,X,X,X,X
LTISZOJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
LTISOJZ,O,O,X,X,O,O,X,X,X,O,X,O,X,X
LTISOZJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
LTIZJSO,X,O,X,X,X,O,X,X,X,O,X,O,O,X
LTIZJOS,X,O,X,X,X,O,X,X,X,O,X,O,O,X
LTIZSJO,X,O,X,X,X,O,X,X,X,O,X,X,X,X
LTIZSOJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X
LTIZOJS,X,O,X,X,X,O,X,X,X,O,X,O,O,X
LTIZOSJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X
LTIOJSZ,O,O,O,X,O,X,O,X,X,X,X,O,X,X
LTIOJZS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
LTIOSJZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTIOSZJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
LTIOZJS,O,O,O,X,X,O,X,X,X,O,X,O,O,X
LTIOZSJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
LTJISZO,O,O,X,X,O,X,O,X,X,X,X,O,X,X
LTJISOZ,O,O,X,X,O,X,O,X,X,X,X,O,X,X
LTJIZSO,O,O,X,X,O,X,X,X,X,X,X,O,X,X
LTJIZOS,O,O,O,X,O,X,O,X,X,X,X,O,X,X
LTJIOSZ,O,O,O,X,O,X,O,X,X,X,X,O,X,X
LTJIOZS,O,O,O,X,O,X,O,X,X,X,X,O,X,X
LTJSIZO,O,O,X,X,O,X,O,X,X,O,X,O,X,X
LTJSIOZ,O,O,X,X,O,X,O,O,X,O,X,O,X,X
LTJSZIO,O,X,X,X,O,X,O,X,O,O,X,X,X,X
LTJSZOI,O,X,O,X,O,X,O,O,O,X,X,X,X,X
LTJSOIZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X
LTJSOZI,O,X,O,X,O,X,O,O,X,X,X,X,X,X
LTJZISO,O,X,X,X,O,X,X,X,X,O,X,O,X,X
LTJZIOS,O,X,O,X,O,X,O,X,X,O,X,O,X,X
LTJZSIO,O,X,X,X,O,X,O,X,O,O,X,X,X,X
LTJZSOI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTJZOIS,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTJZOSI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTJOISZ,O,X,O,X,O,X,O,X,O,X,X,O,X,X
LTJOIZS,O,X,O,X,O,X,O,X,O,X,X,O,X,X
LTJOSIZ,O,X,O,X,O,X,O,O,O,X,X,X,X,X
LTJOSZI,O,X,O,X,O,X,O,O,O,X,X,X,X,X
LTJOZIS,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTJOZSI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTSIJZO,O,O,X,X,O,O,O,X,X,O,X,O,X,X
LTSIJOZ,O,O,X,X,O,O,O,O,X,O,X,O,X,X
LTSIZJO,O,O,X,X,X,O,O,X,X,O,O,X,X,X
LTSIZOJ,O,O,X,X,X,O,O,X,X,O,O,X,X,X
LTSIOJZ,O,O,X,X,O,O,O,O,X,O,X,O,X,X
LTSIOZJ,O,O,X,X,X,O,O,X,X,O,X,X,X,X
LTSJIZO,O,O,X,X,O,O,O,X,X,O,X,O,X,X
LTSJIOZ,O,O,X,X,O,O,O,O,X,O,X,O,X,X
LTSJZIO,O,X,X,X,O,X,O,X,O,O,X,X,X,X
LTSJZOI,O,X,O,X,O,X,O,O,O,X,X,X,X,X
LTSJOIZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X
LTSJOZI,O,X,O,X,O,X,O,O,X,X,X,X,X,X
LTSZIJO,O,O,X,X,X,O,O,X,O,O,O,X,X,X
LTSZIOJ,O,O,X,O,X,O,O,X,O,O,O,X,X,X
LTSZJIO,O,X,X,X,O,X,O,X,O,O,X,X,X,X
LTSZJOI,O,X,X,O,O,X,O,O,O,X,X,X,X,X
LTSZOIJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X
LTSZOJI,O,X,X,O,O,X,O,O,O,X,X,X,X,X
LTSOIJZ,O,O,O,X,O,O,O,O,O,O,X,X,X,X
LTSOIZJ,O,O,X,O,X,O,O,X,X,O,X,X,X,X
LTSOJIZ,O,X,O,X,O,X,O,O,O,X,X,X,X,X
LTSOJZI,O,X,O,X,O,X,O,O,O,X,X,X,X,X
LTSOZIJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X
LTSOZJI,O,X,X,O,O,X,O,O,O,X,X,X,X,X
LTZIJSO,X,O,X,X,X,O,X,X,X,O,X,O,O,X
LTZIJOS,X,O,X,X,X,O,X,X,X,O,X,O,O,X
LTZISJO,X,O,X,X,X,O,X,X,X,O,O,X,X,X
LTZISOJ,X,O,X,X,X,O,X,X,X,O,O,X,X,X
LTZIOJS,X,O,X,X,X,O,O,X,X,O,X,O,O,X
LTZIOSJ,X,O,X,X,X,O,O,X,X,O,X,X,X,X
LTZJISO,O,X,X,X,O,O,X,X,X,O,X,O,O,X
LTZJIOS,O,X,O,X,O,O,O,X,X,O,X,O,O,X
LTZJSIO,O,X,X,X,O,X,O,X,O,O,X,X,X,X
LTZJSOI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTZJOIS,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTZJOSI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTZSIJO,O,O,X,X,X,X,O,X,O,O,O,X,X,X
LTZSIOJ,O,O,X,O,X,X,O,X,O,O,O,X,X,X
LTZSJIO,O,X,X,X,O,X,O,X,O,O,X,X,X,X
LTZSJOI,O,X,X,O,O,X,O,X,O,X,X,X,X,X
LTZSOIJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X
LTZSOJI,O,X,X,O,O,X,O,X,O,X,X,X,X,X
LTZOIJS,O,X,O,X,X,X,O,X,O,X,X,X,X,X
LTZOISJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTZOJIS,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTZOJSI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTZOSIJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X
LTZOSJI,O,X,X,O,O,X,O,X,O,X,X,X,X,X
LTOIJSZ,O,O,O,X,O,X,O,X,O,X,X,O,X,X
LTOIJZS,O,O,O,X,O,X,X,X,O,X,X,O,X,X
LTOISJZ,O,O,O,X,O,X,X,X,X,X,X,O,X,X
LTOISZJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOIZJS,O,O,O,X,X,X,X,X,X,X,X,O,X,X
LTOIZSJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOJISZ,O,X,O,X,O,X,O,X,O,X,X,O,X,X
LTOJIZS,O,X,O,X,O,X,O,X,O,X,X,O,X,X
LTOJSIZ,O,X,O,X,O,X,O,O,O,X,X,X,X,X
LTOJSZI,O,X,O,X,O,X,O,O,O,X,X,X,X,X
LTOJZIS,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTOJZSI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTOSIJZ,O,O,O,X,O,X,O,O,O,O,X,X,X,X
LTOSIZJ,O,O,X,O,X,X,O,X,X,O,X,X,X,X
LTOSJIZ,O,X,O,X,O,X,O,O,O,X,X,X,X,X
LTOSJZI,O,X,O,X,O,X,O,O,O,X,X,X,X,X
LTOSZIJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X
LTOSZJI,O,X,X,O,O,X,O,O,O,X,X,X,X,X
LTOZIJS,O,X,O,X,X,X,O,X,O,X,X,X,X,X
LTOZISJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTOZJIS,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTOZJSI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
LTOZSIJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X
LTOZSJI,O,X,X,O,O,X,O,X,O,X,X,X,X,X
LITJSZO,O,O,X,X,O,X,O,X,X,X,X,O,X,X
LITJSOZ,O,O,X,X,O,X,O,X,X,X,X,O,X,X
LITJZSO,O,O,X,X,O,X,X,X,X,X,X,O,X,X
LITJZOS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
LITJOSZ,O,O,O,X,O,X,O,X,X,X,X,O,X,X
LITJOZS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
LITSJZO,O,O,X,X,O,X,X,X,X,O,X,O,X,X
LITSJOZ,O,O,X,X,O,X,X,X,X,O,X,O,X,X
LITSZJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LITSZOJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LITSOJZ,O,O,X,X,O,X,X,X,X,O,X,O,X,X
LITSOZJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LITZJSO,X,O,X,X,X,X,X,X,X,X,X,O,O,X
LITZJOS,X,O,X,X,X,X,X,X,X,X,X,O,O,X
LITZSJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITZSOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITZOJS,X,O,X,X,X,X,X,X,X,X,X,O,O,X
LITZOSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITOJSZ,O,O,O,X,O,X,O,X,X,X,X,O,X,X
LITOJZS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
LITOSJZ,O,O,O,X,O,X,X,X,X,X,X,O,X,X
LITOSZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITOZJS,O,O,O,X,X,X,X,X,X,X,X,O,O,X
LITOZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJTSZO,O,O,X,X,O,X,O,X,X,X,X,O,X,X
LIJTSOZ,O,O,X,X,O,X,O,X,X,X,X,O,X,X
LIJTZSO,O,O,X,X,O,X,X,X,X,X,X,O,X,X
LIJTZOS,O,O,X,X,O,X,O,X,X,X,X,O,X,X
LIJTOSZ,O,O,X,X,O,X,O,X,X,X,X,O,X,X
LIJTOZS,O,O,X,X,O,X,O,X,X,X,X,O,X,X
LIJSTZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X
LIJSTOZ,O,O,X,X,O,X,O,X,X,X,X,X,X,X
LIJSZTO,O,X,X,X,O,X,O,X,O,O,X,X,X,X
LIJSZOT,O,O,X,X,O,X,O,X,X,O,X,X,X,X
LIJSOTZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LIJSOZT,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LIJZTSO,O,X,X,X,O,X,X,X,X,X,X,X,O,X
LIJZTOS,O,X,X,X,O,X,O,X,X,X,X,X,O,X
LIJZSTO,O,X,X,X,O,X,X,X,O,O,X,X,O,X
LIJZSOT,O,O,X,X,O,X,O,X,X,O,X,X,O,X
LIJZOTS,X,X,O,X,X,X,O,X,O,X,X,X,O,X
LIJZOST,O,O,O,X,X,X,O,X,O,X,X,X,O,X
LIJOTSZ,X,O,X,X,X,X,O,X,O,X,X,O,X,X
