sequence,v115@9gA8IeA8IeB8HeG8AeA8KeCAJvhFXhB8mBziB5oB2q?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KeGAJvhFihBziB5oBUlB3m?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KefFJvhF6lBOmB8mBziB5o?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KefFJvhF0gBmhBziB5oBSr?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFWnBxiBUmB6tB3l?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFWnBxiB3lB6tBUm?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhF+lBihB3iB5oB1r?B8sB,v115@9gA8IeA8IeB8HeG8AeA8KeCAJvhFlhB3iB5oBTlB2r?B8sB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFGhBliB5oB3lByr?B8sB
TILJSZO,X,X,X,O,X,X,X,X,X
TILJSOZ,X,X,X,O,X,X,X,X,X
TILJZSO,O,X,X,X,X,X,O,X,X
TILJZOS,O,X,X,X,X,X,O,X,X
TILJOSZ,X,X,X,O,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,O,X,X
TILSJZO,X,X,X,O,X,X,X,X,X
TILSJOZ,X,X,X,O,X,X,X,X,X
TILSZJO,X,X,X,O,X,X,X,X,X
TILSZOJ,X,X,X,O,X,X,X,X,X
TILSOJZ,X,X,X,O,X,X,X,X,X
TILSOZJ,X,X,X,O,X,X,X,X,X
TILZJSO,O,X,X,X,X,X,O,X,X
TILZJOS,O,X,X,X,X,X,O,X,X
TILZSJO,X,X,X,X,X,X,O,X,X
TILZSOJ,O,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,O,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,O,X,X,X,X,X
TILOSZJ,X,X,X,O,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,O,X,X,X,X,X
TIJLSOZ,X,X,X,O,X,X,X,X,X
TIJLZSO,O,X,X,X,X,X,O,X,X
TIJLZOS,O,X,X,X,X,X,O,X,X
TIJLOSZ,X,X,X,O,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,O,X,X
TIJSLZO,X,X,X,O,X,X,X,X,X
TIJSLOZ,X,X,X,O,X,X,X,X,X
TIJSZLO,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,O,X,X,X,X,X
TIJSOLZ,X,X,X,O,X,X,X,X,X
TIJSOZL,X,X,X,O,X,X,X,X,X
TIJZLSO,O,X,X,X,X,X,O,X,X
TIJZLOS,O,X,X,X,X,X,O,X,X
TIJZSLO,O,X,X,X,X,X,O,X,X
TIJZSOL,O,X,X,X,X,X,O,X,X
TIJZOLS,O,X,X,X,X,X,O,X,X
TIJZOSL,O,X,X,X,X,X,O,X,X
TIJOLSZ,X,X,X,O,X,X,X,X,X
TIJOLZS,O,X,X,X,X,X,O,X,X
TIJOSLZ,X,X,X,O,X,X,X,X,X
TIJOSZL,X,X,X,O,X,X,X,X,X
TIJOZLS,O,X,X,X,X,X,O,X,X
TIJOZSL,O,X,X,X,X,X,O,X,X
TISLJZO,X,X,X,O,X,X,X,X,X
TISLJOZ,X,X,X,O,X,X,X,X,X
TISLZJO,X,O,O,O,X,X,X,X,X
TISLZOJ,X,O,O,O,X,X,X,X,X
TISLOJZ,X,X,X,O,X,X,X,X,X
TISLOZJ,X,O,O,O,X,X,X,X,X
TISJLZO,X,X,X,O,X,X,X,X,X
TISJLOZ,X,X,X,O,X,X,X,X,X
TISJZLO,X,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,O,X,X,X,X,X
TISJOLZ,X,X,X,O,X,X,X,X,X
TISJOZL,X,X,X,O,X,X,X,X,X
TISZLJO,X,O,O,O,X,X,X,X,X
TISZLOJ,X,O,O,O,X,X,X,X,X
TISZJLO,X,O,O,X,X,X,X,X,X
TISZJOL,X,O,O,O,X,X,X,X,X
TISZOLJ,X,O,O,O,X,X,X,X,X
TISZOJL,X,O,O,O,X,X,X,X,X
TISOLJZ,X,X,X,O,X,X,X,X,X
TISOLZJ,X,O,O,O,X,X,X,X,X
TISOJLZ,X,X,X,O,X,X,X,X,X
TISOJZL,X,X,X,O,X,X,X,X,X
TISOZLJ,X,O,O,O,X,X,X,X,X
TISOZJL,X,O,O,O,X,X,X,X,X
TIZLJSO,O,X,X,X,X,X,O,X,X
TIZLJOS,O,X,X,X,X,X,O,X,X
TIZLSJO,X,X,X,X,X,X,O,X,X
TIZLSOJ,O,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,X,X
TIZJLSO,O,X,X,X,X,X,O,X,X
TIZJLOS,O,X,X,X,X,X,O,X,X
TIZJSLO,O,O,O,X,X,X,O,X,X
TIZJSOL,O,O,O,X,X,X,O,X,X
TIZJOLS,O,X,X,X,X,X,O,X,X
TIZJOSL,O,O,O,X,X,X,O,X,X
TIZSLJO,X,O,O,X,X,X,O,X,X
TIZSLOJ,O,O,O,X,X,X,X,X,X
TIZSJLO,O,O,O,X,X,X,O,X,X
TIZSJOL,O,O,O,X,X,X,O,X,X
TIZSOLJ,O,O,O,X,X,X,X,X,X
TIZSOJL,O,O,O,X,X,X,O,X,X
TIZOLJS,O,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,X,X,X,O,X,X
TIZOJSL,O,O,O,X,X,X,O,X,X
TIZOSLJ,O,O,O,X,X,X,X,X,X
TIZOSJL,O,O,O,X,X,X,O,X,X
TIOLJSZ,X,X,X,O,X,X,X,X,X
TIOLJZS,O,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,O,X,X,X,X,X
TIOLSZJ,X,X,X,O,X,X,X,X,X
TIOLZJS,O,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,O,X,X,X,X,X
TIOJLZS,O,X,X,X,X,X,O,X,X
TIOJSLZ,X,X,X,O,X,X,X,X,X
TIOJSZL,X,X,X,O,X,X,X,X,X
TIOJZLS,O,X,X,X,X,X,O,X,X
TIOJZSL,O,X,X,X,X,X,O,X,X
TIOSLJZ,X,X,X,O,X,X,X,X,X
TIOSLZJ,X,O,O,O,X,X,X,X,X
TIOSJLZ,X,X,X,O,X,X,X,X,X
TIOSJZL,X,X,X,O,X,X,X,X,X
TIOSZLJ,X,O,O,O,X,X,X,X,X
TIOSZJL,X,O,O,O,X,X,X,X,X
TIOZLJS,O,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,X,X,X,O,X,X
TIOZJSL,O,O,O,X,X,X,O,X,X
TIOZSLJ,O,O,O,X,X,X,X,X,X
TIOZSJL,O,O,O,X,X,X,O,X,X
TLIJSZO,X,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,X,O,X,O,X,X,X
TLIJZSO,O,X,X,X,X,X,O,X,X
TLIJZOS,O,X,X,X,O,X,O,X,X
TLIJOSZ,X,X,X,O,X,O,X,X,X
TLIJOZS,O,X,X,X,O,X,O,X,X
TLISJZO,X,X,X,O,X,X,X,X,X
TLISJOZ,X,X,X,O,X,O,X,X,X
TLISZJO,X,X,X,O,X,X,X,X,X
TLISZOJ,X,X,X,O,X,X,X,X,X
TLISOJZ,X,X,X,O,X,O,X,X,X
TLISOZJ,X,X,X,O,X,X,X,X,X
TLIZJSO,O,X,X,X,X,X,O,X,X
TLIZJOS,O,X,X,X,O,X,O,X,X
TLIZSJO,X,X,X,X,X,X,O,X,X
TLIZSOJ,O,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,O,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,O,X,O,X,X,X
TLIOJZS,O,X,X,X,O,X,X,X,X
TLIOSJZ,X,X,X,O,X,O,X,X,X
TLIOSZJ,X,X,X,O,X,X,X,X,X
TLIOZJS,O,X,X,X,O,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,O,X,X,X,X,X
TLJISOZ,X,X,X,O,X,O,X,X,X
TLJIZSO,O,X,X,X,X,X,O,X,X
TLJIZOS,O,X,X,X,O,X,O,X,X
TLJIOSZ,X,X,X,O,X,O,X,X,X
TLJIOZS,O,X,X,X,O,X,O,X,X
TLJSIZO,X,X,X,O,X,X,X,X,X
TLJSIOZ,X,X,X,O,X,O,X,X,X
TLJSZIO,X,X,X,O,X,X,X,X,X
TLJSZOI,X,X,X,O,X,X,X,X,X
TLJSOIZ,X,X,X,O,X,O,X,X,X
TLJSOZI,X,X,X,O,X,O,X,X,X
TLJZISO,O,X,X,X,X,X,O,X,X
TLJZIOS,O,X,X,X,O,X,O,X,X
TLJZSIO,O,X,X,X,X,X,O,X,X
TLJZSOI,O,X,X,X,X,X,O,X,X
TLJZOIS,O,X,X,X,O,X,O,X,X
TLJZOSI,O,X,X,X,O,X,O,X,X
TLJOISZ,X,X,X,O,X,O,X,X,X
TLJOIZS,O,X,X,X,O,X,O,X,X
TLJOSIZ,X,X,X,O,X,O,X,X,X
TLJOSZI,X,X,X,O,X,O,X,X,X
TLJOZIS,O,X,X,X,O,X,O,X,X
TLJOZSI,O,X,X,X,O,X,O,X,X
TLSIJZO,X,X,X,O,X,X,X,X,X
TLSIJOZ,X,X,X,O,X,O,X,X,X
TLSIZJO,X,X,X,O,X,X,X,X,X
TLSIZOJ,X,X,X,O,X,X,X,X,X
TLSIOJZ,X,X,X,O,X,O,X,X,X
TLSIOZJ,X,X,X,O,X,X,X,X,X
TLSJIZO,X,X,X,O,X,X,X,X,X
TLSJIOZ,X,X,X,O,X,O,X,X,X
TLSJZIO,X,X,X,O,X,X,X,X,X
TLSJZOI,X,X,X,O,X,X,X,X,X
TLSJOIZ,X,X,X,O,X,O,X,X,X
TLSJOZI,X,X,X,O,X,O,X,X,X
TLSZIJO,X,X,X,O,X,X,X,X,X
TLSZIOJ,X,X,X,O,X,X,X,X,X
TLSZJIO,X,X,X,O,X,X,X,X,X
TLSZJOI,X,X,X,O,X,X,X,X,X
TLSZOIJ,X,X,X,O,X,X,X,X,X
TLSZOJI,X,X,X,O,X,X,X,X,X
TLSOIJZ,X,X,X,O,X,O,X,X,X
TLSOIZJ,X,X,X,O,X,X,X,X,X
TLSOJIZ,X,X,X,O,X,O,X,X,X
TLSOJZI,X,X,X,O,X,O,X,X,X
TLSOZIJ,X,X,X,O,X,X,X,X,X
TLSOZJI,X,X,X,O,X,X,X,X,X
TLZIJSO,O,X,X,X,X,X,O,X,X
TLZIJOS,O,X,X,X,O,X,O,X,X
TLZISJO,X,X,X,X,X,X,O,X,X
TLZISOJ,O,X,X,X,X,X,X,X,X
TLZIOJS,O,X,X,X,O,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X,X
TLZJISO,O,X,X,X,X,X,O,X,X
TLZJIOS,O,X,X,X,O,X,O,X,X
TLZJSIO,O,X,X,X,X,X,O,X,X
TLZJSOI,O,X,X,X,X,X,O,X,X
TLZJOIS,O,X,X,X,O,X,O,X,X
TLZJOSI,O,X,X,X,O,X,O,X,X
TLZSIJO,X,X,X,X,X,X,O,X,X
TLZSIOJ,O,X,X,X,X,X,X,X,X
TLZSJIO,X,X,X,X,X,X,O,X,X
TLZSJOI,X,X,X,X,X,X,O,X,X
TLZSOIJ,O,X,X,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,O,X,X,X,X
TLZOISJ,O,X,X,X,X,X,X,X,X
TLZOJIS,O,X,X,X,O,X,X,X,X
TLZOJSI,O,X,X,X,O,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,O,X,O,X,X,X
TLOIJZS,O,X,X,X,O,X,X,X,X
TLOISJZ,X,X,X,O,X,O,X,X,X
TLOISZJ,X,X,X,O,X,X,X,X,X
TLOIZJS,O,X,X,X,O,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,O,X,O,X,X,X
TLOJIZS,O,X,X,X,O,X,X,X,X
TLOJSIZ,X,X,X,O,X,O,X,X,X
TLOJSZI,X,X,X,O,X,O,X,X,X
TLOJZIS,O,X,X,X,O,X,X,X,X
TLOJZSI,O,X,X,X,O,X,X,X,X
TLOSIJZ,X,X,X,O,X,O,X,X,X
TLOSIZJ,X,X,X,O,X,X,X,X,X
TLOSJIZ,X,X,X,O,X,O,X,X,X
TLOSJZI,X,X,X,O,X,O,X,X,X
TLOSZIJ,X,X,X,O,X,X,X,X,X
TLOSZJI,X,X,X,O,X,X,X,X,X
TLOZIJS,O,X,X,X,O,X,X,X,X
TLOZISJ,O,X,X,X,X,X,X,X,X
TLOZJIS,O,X,X,X,O,X,X,X,X
TLOZJSI,O,X,X,X,O,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,O,X,X,X,X,X
