sequence,v115@zgA8IeB8HeB8FeF8AeB8BeG8BeB8JeR7IvhFGdBTeB?igBUiBFmB3sB,v115@zgA8IeB8HeB8FeF8AeB8BeG8BeB8JeaAJvhFzbBGeB?RiBUiBFmB3sB,v115@zgA8IeB8HeB8FeF8AeB8BeG8BeB8JeU7IvhFFcBxdB?zhBCjBmlB3sB,v115@zgA8IeB8HeB8FeF8AeB8BeG8BeB8JeR7IvhFzcBGeB?igBFmB0nB3sB,v115@zgA8IeB8HeB8FeF8AeB8BeG8BeB8JeU7IvhFyhB+iB?TeBxlBFmB3sB
TILJSZO,O,O,X,X,X
TILJSOZ,O,O,X,O,X
TILJZSO,O,X,X,O,X
TILJZOS,O,O,X,O,O
TILJOSZ,O,O,X,O,X
TILJOZS,O,O,X,O,O
TILSJZO,O,O,X,X,X
TILSJOZ,O,O,X,O,X
TILSZJO,O,O,X,O,X
TILSZOJ,O,O,X,O,X
TILSOJZ,O,O,X,O,X
TILSOZJ,O,O,X,O,X
TILZJSO,O,X,X,O,X
TILZJOS,O,O,X,O,O
TILZSJO,O,X,X,O,X
TILZSOJ,O,X,X,O,X
TILZOJS,O,O,X,O,X
TILZOSJ,O,X,X,O,X
TILOJSZ,O,O,X,O,X
TILOJZS,O,O,X,O,X
TILOSJZ,O,O,X,O,X
TILOSZJ,O,O,X,O,X
TILOZJS,O,O,X,O,X
TILOZSJ,O,X,X,O,X
TIJLSZO,O,O,X,X,X
TIJLSOZ,O,O,X,O,X
TIJLZSO,O,X,X,O,X
TIJLZOS,O,O,X,O,O
TIJLOSZ,O,O,X,O,X
TIJLOZS,O,O,X,O,O
TIJSLZO,O,O,X,X,X
TIJSLOZ,O,O,X,O,X
TIJSZLO,O,O,X,X,X
TIJSZOL,O,O,X,X,X
TIJSOLZ,O,O,X,O,X
TIJSOZL,O,O,X,O,X
TIJZLSO,X,X,X,O,X
TIJZLOS,O,O,X,O,O
TIJZSLO,X,X,X,O,X
TIJZSOL,O,X,X,O,X
TIJZOLS,O,O,X,O,O
TIJZOSL,O,X,X,O,X
TIJOLSZ,O,O,X,O,X
TIJOLZS,O,O,X,O,O
TIJOSLZ,O,O,X,O,X
TIJOSZL,O,O,X,O,X
TIJOZLS,O,O,X,O,O
TIJOZSL,O,X,X,O,X
TISLJZO,O,O,X,X,O
TISLJOZ,O,O,X,O,O
TISLZJO,O,O,X,O,O
