sequence,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFTdB3gBcmBy?nBWwBFsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFTdB8nBllBa?sBXrBGrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhF3gBFiB8nB6?rBOsBzqB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFOiBFhBziB6?qBcrBXsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je07IvhFOiBziBllBx?rBqrBXrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFTdB8nBllBm?rB3rBCrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFOiBziBllBc?rBXsBCrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhF0dB1lBmhBq?rB3nBzqB,v115@zgB8FeE8FeC8GeD8EeE8DeC8JeX8IvhFFiB8nBxlB6?qBOsBTrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhF5hB1lBiiB0?iBzqBXsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je07IvhFmiBllBxrBq?rBTnBXrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jel7IvhFCdB/mBmiB0?lBTnBRwB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFeiBfjBllBc?sBTrBCrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je07IvhFxcBmiBllBT?nBXrBqrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8JeX8IvhFmiBllBxrBq?rBTnB0qB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhF0dB1lBRnBz?qBCsBfsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex8IvhFmiBllB3mBc?sB6qBTrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFmiBllBcrBT?nBCrBXsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhFXdB1lBziBU?nBSrBRwB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je07IvhFzcBfjBylBW?wBxrBFsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je/BJvhFGdBZnB8nBl?lBTrB6qB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhFaiBfjB1lB5?mBcsBzqB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhFTdB1lBfnB8?nBSrBRwB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFfjBWnBllBK?nB0rBzqB,v115@zgB8FeE8FeC8GeD8EeE8DeC8JeC9IvhF3gB8qBRnBl?nBzrBmqB
TILJSZO,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TILJSOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TILJZOS,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILSJZO,X,O,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TILSJOZ,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,O,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TILSZOJ,X,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILSOJZ,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TILZJOS,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TILZSOJ,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILZOJS,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILOJSZ,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILOSJZ,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOZJS,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
