sequence,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFUcBRdBFgBT?iBfqBuqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFUcBRdBFgBT?iBWqB3qB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jex6IvhFXcBldB6kB2?lBUiBTqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFUcBRdBTiBf?qBllBGqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Je2/IvhFRbB3dBFhBU?iBClBTqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFRdBUgBFhBT?iBfqBuqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Je2/IvhFXcBldBUiBR?lBClBTqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jem6IvhFRdB0fBFhBT?iBSqB3qB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Je2/IvhFRdBFhBTiBC?lB3lBUqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFRdBUgBFhBT?iBWqB3qB
TILJSZO,X,O,O,X,O,X,X,X,X,X
TILJSOZ,X,O,O,X,O,X,X,X,X,X
TILJZSO,O,O,O,X,O,X,X,X,X,X
TILJZOS,O,O,X,X,X,X,X,X,X,X
TILJOSZ,X,X,O,X,O,X,X,X,O,X
TILJOZS,X,O,X,X,X,X,X,X,O,X
TILSJZO,O,X,O,O,O,X,X,X,X,X
TILSJOZ,O,X,O,X,O,X,X,X,X,X
TILSZJO,O,X,X,O,O,X,X,X,X,X
TILSZOJ,O,X,X,O,X,X,X,X,X,X
TILSOJZ,X,X,X,X,O,X,X,X,X,X
TILSOZJ,O,X,X,O,X,X,X,X,X,X
TILZJSO,O,O,O,X,O,X,X,X,X,X
TILZJOS,O,O,X,X,X,X,X,O,X,X
TILZSJO,O,X,X,O,O,X,X,X,X,X
TILZSOJ,O,X,X,O,X,X,X,X,X,X
TILZOJS,O,O,X,X,X,X,X,O,X,X
TILZOSJ,O,X,X,O,X,X,X,O,X,X
TILOJSZ,X,X,O,X,O,X,X,X,O,X
TILOJZS,X,X,O,X,X,X,X,O,O,X
TILOSJZ,X,X,O,X,O,X,X,X,O,X
TILOSZJ,X,X,X,X,X,X,X,O,X,X
TILOZJS,X,X,O,X,X,X,X,O,O,X
TILOZSJ,X,X,X,X,X,X,X,O,X,X
TIJLSZO,X,O,O,X,O,X,X,X,X,X
TIJLSOZ,X,O,O,X,X,X,X,X,X,X
TIJLZSO,O,O,O,X,X,X,X,X,X,X
TIJLZOS,O,O,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,X,X,X,X
TIJLOZS,X,O,X,X,X,X,X,X,X,X
TIJSLZO,O,O,O,X,O,X,X,X,X,X
TIJSLOZ,O,O,O,X,O,X,X,X,X,X
TIJSZLO,O,O,O,X,O,X,O,X,X,X
TIJSZOL,O,O,O,X,O,X,O,X,X,X
TIJSOLZ,O,O,O,X,O,X,X,X,X,X
TIJSOZL,O,O,O,X,O,X,X,X,X,X
TIJZLSO,O,O,X,X,X,X,O,X,X,X
TIJZLOS,O,O,X,X,X,X,X,X,X,O
TIJZSLO,O,O,O,X,O,X,O,X,X,X
TIJZSOL,O,O,O,X,O,X,O,X,X,X
TIJZOLS,X,O,X,X,X,X,X,X,X,O
TIJZOSL,X,X,X,X,X,X,O,X,X,O
TIJOLSZ,X,X,X,X,X,X,X,X,O,X
TIJOLZS,X,O,X,X,X,X,X,X,O,O
TIJOSLZ,X,X,O,X,X,X,X,X,O,X
TIJOSZL,X,X,O,X,O,X,X,X,X,O
TIJOZLS,X,O,X,X,X,X,X,X,O,O
TIJOZSL,X,X,X,X,X,X,X,X,X,O
TISLJZO,O,X,X,O,O,X,X,X,X,X
TISLJOZ,O,X,X,X,O,X,X,X,X,X
TISLZJO,O,X,X,O,O,X,X,X,X,X
TISLZOJ,O,X,X,O,X,X,X,X,X,X
TISLOJZ,X,X,X,X,O,X,X,X,X,X
TISLOZJ,O,X,X,O,X,X,X,X,X,X
TISJLZO,O,X,X,O,O,X,X,X,X,X
TISJLOZ,O,X,X,X,O,X,X,X,X,X
TISJZLO,O,X,X,O,O,X,O,X,X,X
TISJZOL,O,X,X,X,O,X,O,X,X,X
TISJOLZ,O,X,X,X,O,X,X,X,X,X
TISJOZL,O,X,X,X,O,X,X,X,X,X
TISZLJO,O,X,X,O,X,X,O,X,X,X
TISZLOJ,O,X,X,O,X,O,X,X,X,X
TISZJLO,O,X,X,O,O,X,O,X,X,X
TISZJOL,X,X,X,X,O,X,O,X,X,X
TISZOLJ,O,X,X,O,X,O,X,X,X,X
TISZOJL,X,X,X,X,X,O,O,X,X,X
TISOLJZ,X,X,X,X,O,X,X,X,X,X
TISOLZJ,O,X,X,O,O,O,X,X,X,X
TISOJLZ,X,X,X,X,O,X,X,X,X,X
