sequence,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFRdBSjBTfB3?hBlnBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFRdBSjBTfBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeK/IvhFzaBGeBRiBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jei6IvhFRdBcjB3fBG?iBlmBTsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeO/IvhF8fBCdBxiBX?jBlmBTsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhFGeBRiBTfBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jei6IvhFzcBcjB3fBx?mBFsBusB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFcjBTfB5nBl?mBfnBisB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Je2/IvhFzcBFjB3fBx?mBCoBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeK/IvhFzaBfiBxdBF?jB0mB+sB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhF1mBxiBTfBX?jBGnBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhF+hBxiBTfB/?nBFjBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFcjBTfBxmBS?sBfsBlsB
TILJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TILJZSO,O,X,X,X,O,X,X,X,X,O,X,O,X
TILJZOS,O,X,X,X,O,X,X,X,X,O,X,O,X
TILJOSZ,O,X,X,X,X,X,X,X,O,X,O,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
TILSJZO,O,X,O,X,X,O,O,X,X,X,X,X,X
TILSJOZ,O,X,O,X,X,O,O,X,X,X,O,X,X
TILSZJO,O,X,O,X,O,O,O,X,X,X,X,X,X
TILSZOJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TILSOJZ,O,X,O,X,X,O,O,X,X,X,O,X,X
TILSOZJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TILZJSO,O,X,X,X,O,X,X,X,X,X,O,X,X
TILZJOS,O,X,X,X,O,X,X,X,X,X,O,X,X
TILZSJO,X,X,X,X,O,X,O,X,X,X,O,X,X
TILZSOJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TILZOJS,O,X,X,X,O,X,X,O,X,X,O,X,X
TILZOSJ,X,X,X,X,X,X,O,O,X,X,O,X,X
TILOJSZ,O,X,X,X,X,X,X,X,O,X,O,X,X
TILOJZS,O,X,X,X,X,X,X,O,X,O,X,X,X
TILOSJZ,O,X,O,X,X,X,O,X,X,X,O,X,X
TILOSZJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TILOZJS,O,X,X,X,O,X,X,O,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,O,O,X,X,O,X,X
TIJLSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TIJLZSO,O,X,X,X,O,X,X,X,X,O,X,O,X
TIJLZOS,O,X,X,X,O,X,X,X,X,O,X,O,X
TIJLOSZ,O,X,X,X,X,X,X,X,O,X,O,X,X
TIJLOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
TIJSLZO,X,O,X,O,X,X,O,X,X,X,X,X,X
TIJSLOZ,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJSZLO,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJSZOL,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,O,X,O,X,X,X,X
TIJSOZL,X,X,X,X,X,X,O,X,O,X,X,X,X
TIJZLSO,X,X,X,O,O,X,X,X,X,O,X,X,X
TIJZLOS,X,X,X,X,O,X,X,X,X,O,X,X,X
TIJZSLO,X,X,X,O,O,X,O,X,X,O,X,X,X
TIJZSOL,X,X,X,O,X,X,O,X,X,O,X,X,X
TIJZOLS,X,X,X,X,O,X,X,O,X,X,X,X,X
TIJZOSL,X,X,X,O,X,X,O,O,O,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJOLZS,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,O,X,O,X,X,X,X
TIJOSZL,X,X,X,X,X,X,O,O,O,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X,O,O,O,X,X,X,X
TISLJZO,X,O,O,O,X,O,O,X,X,X,X,X,X
TISLJOZ,X,O,O,X,X,O,O,X,X,X,O,X,X
TISLZJO,X,O,O,O,O,O,O,X,X,X,X,X,X
TISLZOJ,X,O,O,O,X,X,O,X,X,X,O,X,X
TISLOJZ,X,O,O,X,X,O,O,X,X,X,O,X,X
TISLOZJ,X,O,O,X,X,X,O,X,X,X,O,X,X
TISJLZO,X,O,O,O,X,O,O,X,X,X,X,X,X
TISJLOZ,X,O,O,X,X,O,O,X,X,X,X,X,X
TISJZLO,X,X,O,O,X,O,O,X,X,X,X,X,X
TISJZOL,X,X,X,O,X,X,O,X,X,X,X,X,X
TISJOLZ,X,X,O,X,X,O,O,X,O,X,X,X,X
TISJOZL,X,X,X,X,X,X,O,X,O,X,X,X,X
TISZLJO,X,X,O,O,O,O,O,X,X,X,X,X,X
TISZLOJ,X,X,O,O,X,X,O,X,X,X,X,X,X
TISZJLO,X,X,O,O,O,O,O,X,X,X,X,X,X
TISZJOL,X,X,X,O,X,X,O,X,X,X,X,X,X
TISZOLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
TISZOJL,X,X,X,X,X,X,O,O,X,X,X,X,X
TISOLJZ,X,O,O,X,X,O,O,X,X,X,X,X,X
TISOLZJ,X,O,O,X,X,X,O,X,X,X,X,X,X
TISOJLZ,X,O,O,X,X,O,O,X,O,X,X,X,X
TISOJZL,X,O,X,X,X,X,O,O,O,X,X,X,X
TISOZLJ,X,O,X,X,X,X,O,O,X,X,X,X,X
TISOZJL,X,O,X,X,X,X,O,O,X,X,X,X,X
TIZLJSO,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZLJOS,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZLSJO,X,X,X,O,O,X,O,X,X,X,O,X,X
TIZLSOJ,X,X,X,O,X,X,O,X,X,X,O,X,X
TIZLOJS,X,X,X,X,O,X,X,O,X,X,O,X,X
TIZLOSJ,X,X,X,X,X,X,O,O,X,X,O,X,X
TIZJLSO,X,X,X,O,O,X,X,X,X,X,O,X,X
TIZJLOS,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZJSLO,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZJSOL,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZJOLS,X,X,X,X,O,X,X,O,X,X,X,X,X
TIZJOSL,X,X,X,O,X,X,O,O,O,X,X,X,X
TIZSLJO,X,X,X,O,O,X,O,X,X,X,O,X,X
TIZSLOJ,X,X,X,O,X,X,O,X,X,X,O,X,X
TIZSJLO,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZSJOL,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZSOLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,O,O,X,X,X,X,X
TIZOLJS,X,X,X,X,O,X,X,O,X,X,O,X,O
TIZOLSJ,X,X,X,X,X,X,O,O,X,X,O,X,O
TIZOJLS,X,X,X,X,O,X,X,O,X,X,X,X,O
TIZOJSL,X,X,X,X,X,X,O,O,O,X,X,X,X
TIZOSLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
TIZOSJL,X,X,X,X,X,X,O,O,X,X,X,X,X
TIOLJSZ,O,X,X,X,X,X,X,X,O,X,O,X,X
TIOLJZS,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOLSJZ,O,X,X,X,X,X,O,X,X,X,O,X,X
TIOLSZJ,O,X,X,X,X,X,O,X,X,X,O,X,X
TIOLZJS,O,X,X,X,O,X,X,O,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,O,O,X,X,O,X,X
TIOJLSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TIOJLZS,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOJSLZ,X,O,X,X,X,X,O,X,O,X,X,X,X
TIOJSZL,X,O,X,X,X,X,O,O,O,X,X,X,X
TIOJZLS,X,X,X,X,X,X,X,O,X,X,X,X,O
TIOJZSL,X,X,X,X,X,X,O,O,O,X,X,X,X
