sequence,v115@4gA8IeE8FeD8EeG8CeE8Jei6IvhFzbBxdBckBelB3q?BFrB,v115@4gA8IeE8FeD8EeG8CeE8Jez7IvhFxdBifB3kBFmB0q?BmpB,v115@4gA8IeE8FeD8EeG8CeE8JeO/IvhFXbBKhBxdB1pBzq?BcqB,v115@4gA8IeE8FeD8EeG8CeE8Jem6IvhFzbBxdBKkBFmB0q?BfqB,v115@4gA8IeE8FeD8EeG8CeE8Je37IvhFxdB0fBVmBifBmp?BzqB,v115@4gA8IeE8FeD8EeG8CeE8JeK/IvhFfgBxdBUhBlgBmp?BzqB,v115@4gA8IeE8FeD8EeG8CeE8JeO/IvhF8fBzbBxiBypB3q?BFrB,v115@4gA8IeE8FeD8EeG8CeE8Jey/IvhFzbB0fBxiB2pB3q?BFrB,v115@4gA8IeE8FeD8EeG8CeE8Je06IvhFzbBxdBKkBFlBXm?B2vB,v115@4gA8IeE8FeD8EeG8CeE8Jez7IvhFxdBKkBUgBlfBXm?B2vB,v115@4gA8IeE8FeD8EeG8CeE8JeT6IvhFxdBlgBikBXmBUq?BmqB
TILJSZO,X,X,X,X,O,X,X,X,X,O,X
TILJSOZ,X,X,X,X,X,X,X,X,X,O,X
TILJZSO,X,X,X,X,O,X,X,X,X,O,X
TILJZOS,X,X,X,X,X,X,X,X,X,O,X
TILJOSZ,X,X,O,X,X,X,X,X,X,X,O
TILJOZS,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,X,O,X,O,X,X,O,X
TILSJOZ,X,X,X,X,X,X,O,X,X,O,O
TILSZJO,X,O,X,X,X,X,O,X,X,X,X
TILSZOJ,X,O,X,X,X,X,O,X,X,O,O
TILSOJZ,X,X,X,X,X,X,O,X,O,X,O
TILSOZJ,X,O,X,X,X,X,O,X,O,O,O
TILZJSO,X,X,X,O,X,X,O,X,X,X,X
TILZJOS,X,X,X,O,X,X,X,X,X,X,O
TILZSJO,X,O,X,O,X,X,O,X,X,X,O
TILZSOJ,X,O,X,O,X,X,O,X,X,X,O
TILZOJS,X,X,X,O,X,X,X,X,X,X,O
TILZOSJ,X,O,X,O,X,X,X,X,X,X,O
TILOJSZ,X,X,O,X,X,X,X,X,X,X,O
TILOJZS,X,X,O,X,X,X,X,X,X,X,X
TILOSJZ,X,X,O,X,X,X,X,X,X,X,O
TILOSZJ,X,X,O,X,X,X,X,X,X,X,O
TILOZJS,X,X,O,O,X,X,X,X,X,X,O
TILOZSJ,X,O,O,O,X,X,X,X,X,X,O
TIJLSZO,X,X,X,X,O,O,X,O,X,O,X
TIJLSOZ,X,X,X,X,X,O,X,O,X,O,X
TIJLZSO,X,X,X,X,O,O,X,X,X,O,X
TIJLZOS,X,X,X,X,X,X,X,X,X,O,X
TIJLOSZ,X,X,O,X,X,O,X,X,X,X,X
TIJLOZS,X,X,O,X,X,O,X,X,X,X,X
TIJSLZO,X,O,X,X,O,X,X,O,X,O,X
TIJSLOZ,X,X,X,X,X,X,X,O,X,O,X
TIJSZLO,O,X,X,X,O,X,X,O,X,X,X
TIJSZOL,O,X,X,X,O,X,X,O,X,X,X
TIJSOLZ,X,X,O,X,X,X,X,O,X,O,X
TIJSOZL,X,X,O,X,O,X,X,O,X,X,X
TIJZLSO,O,X,X,O,O,O,X,X,X,X,X
TIJZLOS,X,X,X,O,X,X,X,X,X,X,X
TIJZSLO,O,O,X,X,O,X,X,X,X,X,X
TIJZSOL,O,O,X,X,O,X,X,X,X,X,X
TIJZOLS,X,X,O,O,X,X,X,X,X,X,X
TIJZOSL,X,O,O,X,O,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,O,O,X,X,X,X,X
TIJOLZS,X,X,O,X,O,O,X,X,X,X,X
TIJOSLZ,X,X,O,X,O,X,X,X,X,X,X
TIJOSZL,X,X,O,X,O,X,X,X,X,X,X
TIJOZLS,X,X,O,O,O,O,X,X,X,X,X
TIJOZSL,X,O,O,X,O,X,X,X,X,X,X
TISLJZO,X,O,X,X,O,X,O,X,X,O,X
TISLJOZ,X,X,X,X,X,X,O,X,X,O,O
TISLZJO,X,O,X,X,X,X,O,X,X,X,X
TISLZOJ,X,O,X,X,X,X,O,X,X,O,O
TISLOJZ,X,X,X,X,X,X,O,X,O,X,O
TISLOZJ,X,O,X,X,X,X,O,X,O,O,O
TISJLZO,X,O,X,X,O,X,X,O,X,O,X
TISJLOZ,X,X,X,X,X,X,X,O,X,O,O
TISJZLO,O,X,X,X,O,X,X,O,X,X,X
TISJZOL,O,X,X,X,O,X,X,O,X,X,X
TISJOLZ,X,X,O,X,X,X,X,O,X,O,X
TISJOZL,X,X,O,X,O,X,X,O,X,X,X
TISZLJO,O,O,X,O,X,X,X,X,X,X,O
TISZLOJ,X,O,X,O,X,X,X,X,X,X,O
TISZJLO,O,O,X,X,O,X,X,X,X,X,O
TISZJOL,O,O,X,X,O,X,X,X,X,X,X
TISZOLJ,X,O,X,O,X,X,X,X,X,X,O
TISZOJL,X,O,X,X,X,X,X,X,X,X,X
TISOLJZ,X,X,O,X,X,X,X,X,O,X,O
TISOLZJ,X,O,O,X,X,X,X,X,O,O,O
TISOJLZ,X,X,O,X,X,X,X,X,X,X,X
TISOJZL,X,X,O,X,O,X,X,X,X,X,X
TISOZLJ,X,O,O,O,X,X,X,X,X,X,X
TISOZJL,X,O,O,X,X,X,X,X,X,X,X
TIZLJSO,O,X,X,O,X,X,X,X,X,X,X
TIZLJOS,X,X,X,O,X,X,X,X,X,X,O
TIZLSJO,O,O,X,O,X,X,X,X,X,X,O
TIZLSOJ,X,O,X,O,X,X,X,X,X,X,O
TIZLOJS,X,X,X,O,X,X,X,X,X,X,O
TIZLOSJ,X,O,X,O,X,X,X,X,X,X,O
TIZJLSO,O,X,X,O,O,O,X,X,X,X,X
TIZJLOS,X,X,X,O,X,X,X,X,X,X,X
TIZJSLO,O,O,X,X,O,X,X,X,X,X,X
TIZJSOL,O,O,X,X,O,X,X,X,X,X,X
TIZJOLS,X,X,O,O,X,X,X,X,X,X,X
TIZJOSL,X,O,O,X,O,X,X,X,X,X,X
TIZSLJO,O,O,X,O,X,X,X,X,X,X,O
TIZSLOJ,X,O,X,O,X,X,X,X,X,X,O
TIZSJLO,O,O,X,X,O,X,X,X,X,X,O
TIZSJOL,O,O,X,X,O,X,X,X,X,X,X
TIZSOLJ,X,O,X,O,X,X,X,X,X,X,O
TIZSOJL,X,O,X,X,X,X,X,X,X,X,X
TIZOLJS,X,X,O,O,X,X,X,X,X,X,X
TIZOLSJ,X,O,O,O,X,X,X,X,X,X,X
TIZOJLS,X,X,O,O,X,O,X,X,X,X,X
TIZOJSL,X,O,O,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,O,O,X,X,X,X,X,X,X
TIZOSJL,X,O,O,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,O,X,X,X,X,X,X
TIOLJZS,X,X,O,X,O,X,X,X,X,X,X
TIOLSJZ,X,X,O,X,O,X,X,X,X,X,X
TIOLSZJ,X,X,O,X,X,X,X,X,X,X,X
TIOLZJS,X,X,O,O,X,X,X,X,X,X,X
