sequence,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeWAJvhFxbBXdB?ylBFnBTqB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Jez6IvhF5gBOhB?XdBKqBFnB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhFxcBOlB?VmBUiB3qBzrB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeX9IvhFRgBUgB?6rBOsBFmBTqB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhFxcBUiB?OqBXmBzrBlqB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Jez6IvhFXdBKmB?OqBFnB5lB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Jez6IvhFXdBylB?FnBxqB+qB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeU8IvhFFdBGgB?alBxmB3qBzrB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeR7IvhFShBUgB?/rBFnBTqBOsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeWAJvhFXdBylB?FnBxqBTqB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeWAJvhF0cBylB?FnBxqBTqBXsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhFXdBmgB?FnBxqBTqB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JefBJvhFxcBalB?WrBFnBzrBUqB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeF9IvhFRgBWnB?3gB8qBaqBzrB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhF0cBmgB?FnBxqBTqBXsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Je08IvhFzgBFnB?xqBaqBGqBXsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeT8IvhFUgBVnB?2rB5lBaqBXsB
TILJSZO,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TILJSOZ,X,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X
TILJZSO,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TILJOSZ,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X
TILSJZO,X,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TILSJOZ,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TILSZJO,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TILSZOJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X
TILSOZJ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TILZJSO,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TILZSJO,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TILZSOJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X
TILZOSJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TILOJSZ,X,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X
TILOJZS,X,X,O,X,O,O,O,X,X,X,O,O,X,X,O,O,X
TILOSJZ,X,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X
TILOSZJ,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TILOZJS,X,X,O,X,O,X,O,X,X,X,O,O,X,X,O,O,X
TILOZSJ,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TIJLSZO,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X
TIJLSOZ,X,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X
TIJLZSO,X,X,X,X,X,O,O,O,X,O,O,X,X,O,X,X,X
TIJLZOS,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
