sequence,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFzbBfiBxdBGjBFm?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFXcB8hBCeBmlBxs?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFXcBxdBzhBSoBml?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFRcBGeBfmB0mBln?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeU7IvhFFcBxdBzhBmlBft?B6tB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhF3cBTgBliBimBct?BGtB,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFUcBFdBfmBGoBRs?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFfiBigBGjB0iBFm?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhF3cB+jBTgBliBim?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFxcB3gBcmBTnB6t?BOtB,v115@zgA8IeB8HeB8HeD8AeM8LeU7IvhF1hBziBimB5oB3l?BmsB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFzcB+jBigB3iBFm?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFzcBigB3iBFmBct?BGtB
TILJSZO,X,O,X,O,X,X,O,O,X,X,X,X,X
TILJSOZ,X,X,X,O,X,X,O,O,X,X,X,X,X
TILJZSO,X,O,X,O,X,X,O,O,X,X,X,X,O
TILJZOS,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,O,O,X,X,O,O,X,X,X,X,X
TILJOZS,X,O,O,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,O,X,X,O,X,X,X,X,X,X
TILSJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TILSZJO,O,O,X,O,X,X,O,X,X,X,X,X,O
TILSZOJ,O,X,X,O,X,X,O,X,X,X,X,X,O
TILSOJZ,O,X,O,O,X,X,O,X,X,X,X,X,X
TILSOZJ,O,X,X,X,X,X,O,X,X,X,X,X,X
TILZJSO,O,O,X,O,X,X,O,X,X,X,X,X,O
TILZJOS,O,O,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,X,X,O,X,X,X,X,X,O
TILZSOJ,O,X,X,X,X,X,O,X,X,X,X,X,O
TILZOJS,O,O,O,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,O
TILOJSZ,X,X,O,O,X,X,O,X,X,X,X,X,X
TILOJZS,X,X,O,X,X,X,X,X,X,X,X,X,X
