sequence,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBfmB0hBmiBSs?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBGhBiiBUmB3n?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBfmB6mBOnB8n?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBChBXiB8nB2r?BFqB,v115@GhA8IeA8HeB8AeA8AeG8Jex/IvhFylBziBOpB3mBUn?BFqB,v115@GhA8IeA8HeB8AeA8AeG8Jex/IvhFylBziBOpBUnB3m?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFUgBGhBKnBziBfq?BVwB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFUgBFhBmiBfqBSw?BTsB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFFgB6mBOnB8nBfq?BzqB
TILJSZO,O,X,X,X,X,X,O,X,X
TILJSOZ,O,X,X,X,X,X,O,X,X
TILJZSO,X,X,X,O,X,X,X,X,X
TILJZOS,X,X,X,O,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,O,X,X
TILJOZS,X,X,X,O,X,X,X,X,X
TILSJZO,O,X,X,X,X,X,O,X,X
TILSJOZ,O,X,X,X,X,X,O,X,X
TILSZJO,O,X,X,X,X,X,O,X,X
TILSZOJ,O,X,X,X,X,X,O,X,X
TILSOJZ,O,X,X,X,X,X,O,X,X
TILSOZJ,O,X,X,X,X,X,O,X,X
TILZJSO,X,X,X,O,X,X,X,X,X
TILZJOS,X,X,X,O,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,O,X,X,X,X,X
TILZOJS,X,X,X,O,X,X,X,X,X
TILZOSJ,X,X,X,O,X,X,X,X,X
TILOJSZ,O,X,X,X,X,X,O,X,X
TILOJZS,X,X,X,O,X,X,X,X,X
TILOSJZ,O,X,X,X,X,X,O,X,X
TILOSZJ,O,X,X,X,X,X,O,X,X
TILOZJS,X,X,X,O,X,X,X,X,X
TILOZSJ,X,X,X,O,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X,O,X,X
TIJLSOZ,O,X,X,X,X,X,O,X,X
TIJLZSO,X,X,X,O,X,X,X,X,X
TIJLZOS,X,X,X,O,X,X,X,X,X
TIJLOSZ,O,X,X,X,X,X,O,X,X
TIJLOZS,X,X,X,O,X,X,X,X,X
TIJSLZO,O,X,X,X,X,X,O,X,X
TIJSLOZ,O,X,X,X,X,X,O,X,X
TIJSZLO,X,X,X,X,X,X,O,X,X
TIJSZOL,O,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,O,X,X,X,X,X
TIJZLOS,X,X,X,O,X,X,X,X,X
TIJZSLO,X,X,X,O,X,X,X,X,X
TIJZSOL,X,X,X,O,X,X,X,X,X
TIJZOLS,X,X,X,O,X,X,X,X,X
TIJZOSL,X,X,X,O,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,O,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,O,X,X,X,X,X
TIJOZSL,X,X,X,O,X,X,X,X,X
