sequence,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFOgB/hBUdBtlByr?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhF2gBNiBxlBqmB3q?BUrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhF2gBNiBxlBqmBUr?B3qB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFKgBWhBNiB0mBXm?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFxbBNiB/lB0mByv?BGrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhF0bB6hBNiB/lB2r?BxvB,v115@6gC8HeD8EeF8DeE8DeD8Je2/IvhFTcBNiBxlBqlB3r?BUqB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBRcBXiB+qBKr?B0rB,v115@6gC8HeD8EeF8DeE8DeD8Jei6IvhFGcBNiBxlBzlB3r?BUqB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBRcB0hB+qBKr?BXsB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBRcB6mBOnBUr?B3qB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNiB/lBUhBqmBml?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFOgBNiBChB0mBXm?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFZhBUdB9lBfnBSw?BOqB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBUcBOnBCmB3m?BxvB,v115@6gC8HeD8EeF8DeE8DeD8Jex6IvhFNiBmfBChB0mB3q?BTrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFKgBWhBNiBXmB0m?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFRcBOnB0lB6rBNq?BXrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBahBUdBfnBWr?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFRcB/mBOnB0lBNq?BSwB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFOgBNiBChBXmB0m?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFahBXiBRrB0qBNq?BurB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNiBfrB0mBZlBGr?BCrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNiBxgB/lB0mByv?BGrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFxbBNiBfrB0mBKq?BGrB
TILJSZO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TILJSOZ,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TILJZSO,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TILJZOS,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TILJOSZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TILJOZS,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TILSJZO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TILSJOZ,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TILSZJO,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TILSZOJ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TILSOJZ,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TILSOZJ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TILZJSO,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TILZJOS,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TILZSJO,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TILZSOJ,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TILZOJS,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TILZOSJ,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TILOJSZ,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TILOJZS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TILOSJZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TILOSZJ,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
