sequence,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jei6IvhFRcBukB3gBF?iB0mBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jem6IvhFRcB6kB3gBF?iB0mBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFOgBicB5lBF?iBfqB0rB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUdBfqBl?lBzmBCrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhF2gBRcBFiBf?qB6qB0rB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUdBFhBf?qB6qBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je//IvhFygBFiBxlBG?lBzmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jei6IvhF5gBzfB/mBF?iBmmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je//IvhFRcBigBFiB+?qB0rBzpB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFegBRcBFiBS?qB0mB3qB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFKgBRcBFiBf?qB0mBuqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUhBFiBf?qB6qBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex/IvhF/mBFiB0fBS?qBmmBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeKBJvhFxfBFiB0fB+?qBXqBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeKBJvhFxfBFiBXgB+?qB0pBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFKhB0fBFiB+?qBXqBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhF6lBxhBXgBm?mBlmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFKgBRcBFiBW?qB0mB3qB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFKhBXgBFiB+?qB0pBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFXgBxhBanBG?mBllBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFlcB0fB/mBO?nBSqBTqB
IOTLZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTJSZL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTJZSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZJLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZJSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTZSJL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTSJZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLJSZT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLJZTS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLJZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLSTJZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLSJTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLZTSJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZJTS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLZJST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZSTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOLZSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOJTLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJTSZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJTZSL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJLSZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJLZTS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IOJLZST,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJSTLZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJSTZL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJSLZT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJSZTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOJZTLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJZTSL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJZLST,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJZSTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJZSLT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOSTLJZ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSTJLZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSTZJL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSLZJT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSJTZL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSJLZT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSJZTL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOSZTLJ,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSZTJL,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSZLTJ,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
IOSZLJT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOSZJTL,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSZJLT,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOZTLJS,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZTLSJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZTJLS,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZTJSL,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZTSJL,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZLTJS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZLTSJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZLJTS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZLJST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZLSTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOZLSJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOZJTLS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZJTSL,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZJLST,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZJSTL,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZJSLT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOZSTLJ,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZSTJL,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZSLTJ,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
IOZSLJT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOZSJTL,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZSJLT,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
LTIJSZO,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
LTIJSOZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJZSO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTIJZOS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTISJZO,X,X,O,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
LTISJOZ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTISZJO,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISZOJ,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISOJZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISOZJ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIZJSO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LTIZJOS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIZSJO,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIOJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIOSJZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISZO,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X
LTJISOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJIZSO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTJIZOS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSIZO,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O,X,O
LTJSIOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSZIO,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
LTJSZOI,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
LTJSOIZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOZI,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
LTJZISO,O,O,X,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X,O
LTJZIOS,O,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTJZSIO,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O
LTJZSOI,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O
LTJZOIS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTJOISZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOIZS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOSIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSZI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTJOZIS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOZSI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTSIJZO,X,X,O,X,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
LTSIJOZ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSIZJO,X,X,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
LTSIZOJ,X,X,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
LTSIOJZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSJIZO,X,X,O,X,O,O,X,X,O,X,X,O,O,O,O,X,X,X,O,X,X
LTSJIOZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSJZIO,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
LTSJZOI,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X
LTSJOIZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X
LTSZIJO,X,X,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
LTSZIOJ,X,X,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
LTSZJIO,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
LTSZJOI,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSZOIJ,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
LTSZOJI,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSOJIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOJZI,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSOZIJ,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
LTSOZJI,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZIJSO,O,O,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,O
LTZIJOS,O,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTZISJO,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
LTZISOJ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
LTZIOJS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJISO,O,O,X,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X,O
LTZJIOS,O,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTZJSIO,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,O,X,O
LTZJSOI,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,O,X,O
LTZJOIS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZJOSI,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTZSIJO,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
LTZSIOJ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
LTZSJIO,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
LTZSJOI,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
LTZSOJI,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZOIJS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOJIS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZOJSI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZOSJI,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOIJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOIJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOISJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOISZJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJISZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOJIZS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJSIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTOJZIS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOJZSI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTOSIJZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJZI,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSZIJ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSZJI,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZIJS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOZISJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZJIS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOZJSI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOZSJI,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LITJSZO,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
LITJSOZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LITJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITJOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITSJZO,X,X,O,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
LITSJOZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITSZJO,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITSZOJ,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITSOJZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSOZJ,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITZJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LITZJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITZSJO,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITZSOJ,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITOJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITOJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
