sequence,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhFzbBUdBajB2lBfnBFrB,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhFUcBajBTgBOnB3hBFrB,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhF3bBUdBajBllBzmBOrB,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhFcgBajBThBOnBfrBlrB
TILJSZO,O,X,X,X
TILJSOZ,O,O,O,X
TILJZSO,O,X,X,O
TILJZOS,O,O,X,X
TILJOSZ,O,O,O,X
TILJOZS,O,O,O,X
TILSJZO,O,X,X,X
TILSJOZ,O,X,O,X
TILSZJO,O,X,X,X
TILSZOJ,O,X,O,X
TILSOJZ,O,X,O,X
TILSOZJ,O,X,O,X
TILZJSO,O,X,X,O
TILZJOS,O,X,X,X
TILZSJO,O,X,X,O
TILZSOJ,O,X,O,X
TILZOJS,X,X,O,X
TILZOSJ,X,X,O,X
TILOJSZ,O,O,O,X
TILOJZS,O,O,O,X
TILOSJZ,O,X,O,X
TILOSZJ,O,X,O,X
TILOZJS,X,O,O,X
TILOZSJ,X,X,O,X
TIJLSZO,O,X,X,X
TIJLSOZ,O,O,O,X
TIJLZSO,O,X,X,O
TIJLZOS,O,O,X,X
TIJLOSZ,O,O,O,X
TIJLOZS,O,O,O,X
TIJSLZO,O,X,X,X
TIJSLOZ,O,O,O,X
TIJSZLO,O,X,X,X
TIJSZOL,O,X,X,X
TIJSOLZ,O,O,O,X
TIJSOZL,O,O,O,X
TIJZLSO,O,X,X,O
TIJZLOS,O,O,X,X
TIJZSLO,O,X,X,O
TIJZSOL,O,X,X,O
TIJZOLS,O,O,X,X
TIJZOSL,O,O,X,X
TIJOLSZ,O,O,O,X
TIJOLZS,O,O,O,X
TIJOSLZ,O,O,O,X
TIJOSZL,O,O,O,X
TIJOZLS,O,O,O,X
TIJOZSL,O,O,O,X
TISLJZO,O,X,X,X
TISLJOZ,O,X,O,X
TISLZJO,O,X,X,X
TISLZOJ,O,X,O,X
TISLOJZ,O,X,O,X
TISLOZJ,O,X,O,X
TISJLZO,O,X,X,X
TISJLOZ,O,O,O,X
TISJZLO,O,X,X,X
TISJZOL,O,X,X,X
TISJOLZ,O,O,O,X
TISJOZL,O,O,O,X
TISZLJO,O,X,X,X
