sequence,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jem6IvhFzb?BfjB6jBUlBFmBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jem6IvhFzb?BSjBUjBFlBXmBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jex6IvhFKh?BGeBUjBFlBzqBXqB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jex6IvhFCe?BTjBUlBFmBerBXqB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jem6IvhFfj?B6jBUhBFlBzlBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jex6IvhFCe?BVlBTjBOrBXqB8qB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jez9IvhF+j?BlgB0fBXmBilBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jez7IvhFSj?BVlBUjBXmBmkBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Je37IvhFCe?BVmBTjB0fB2qBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8JeZAJvhFzb?BGeBUjB3qB6pBFrB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Je37IvhFGe?BVmBUjBZlBzqB6pB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jez9IvhF+j?BZlBUhBfrB6pBlqB
TILJSZO,O,O,X,X,O,X,X,X,X,X,X,X
TILJSOZ,O,O,X,X,O,X,X,O,X,X,X,X
TILJZSO,X,O,X,X,O,X,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,O,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,O,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,O,X,X,O,X,X,X,X,X,X,X
TILSJOZ,O,O,X,X,O,X,X,O,X,X,X,X
TILSZJO,O,O,X,X,O,X,X,X,X,X,X,X
TILSZOJ,O,O,X,X,X,X,X,O,X,X,X,X
TILSOJZ,O,O,X,X,O,X,X,O,O,X,X,X
TILSOZJ,O,O,X,X,X,X,X,O,O,X,X,X
TILZJSO,O,O,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,O,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,X,X,O,X,X,X,X
TILZOJS,O,O,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,O,X,X,X,X,X,X,O,X,X,X
TILOJZS,X,O,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,O,X,X,X,X,X,O,O,X,X,X
TILOSZJ,O,O,X,X,X,X,X,O,O,X,X,X
TILOZJS,X,O,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X,O,X,X,X
TIJLSZO,O,O,X,X,O,X,X,X,X,X,X,X
TIJLSOZ,O,O,X,X,O,X,X,O,X,X,X,X
TIJLZSO,X,O,X,X,O,X,X,X,X,X,X,X
TIJLZOS,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,O,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,O,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,O,X,X,O,X,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,O,X,O,O,X,X,X,X
TIJSZLO,O,O,X,X,O,X,X,X,X,X,X,X
TIJSZOL,O,O,X,X,O,X,O,X,X,X,X,X
TIJSOLZ,O,O,X,X,O,X,O,O,O,X,X,X
TIJSOZL,O,O,X,X,O,X,O,X,X,X,X,X
TIJZLSO,O,O,X,X,O,X,X,X,X,X,X,X
TIJZLOS,O,O,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,O,X,X,O,X,X,X,X,X,X,X
TIJZSOL,O,O,X,X,O,X,X,X,X,X,X,X
TIJZOLS,O,O,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,X,X,X,O,X,X,X,X,X,X,O
TIJOLSZ,O,O,X,X,X,X,X,X,O,X,X,X
TIJOLZS,X,O,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,O,X,X,O,X,O,X,O,X,X,X
