sequence,v115@7gB8FeD8FeD8EeF8CeF8JeT6IvhFxcBlgBcmBikBGq?BXqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFXbBxcBSlBThB0p?BlqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhF8fBzbBCdBxlBlp?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTkB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTfB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzaBCdBUhBupB1q?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfB0fB/pBFm?BTqB,v115@7gB8FeD8FeD8EeF8CeF8Jex6IvhFCdBmfBTkBFmBXq?B8qB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhF8gBCdBzfBXmBFl?BWvB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzbBCdBVlBXmBUq?BupB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFCdBzfBFmBxpB8q?BXqB,v115@7gB8FeD8FeD8EeF8CeF8Jez7IvhFCdBmfBFmBxpB/p?BUqB
TJSZLIO,X,X,O,O,O,O,O,X,O,X,X,X
TJSZLOI,X,X,X,O,O,O,X,X,O,X,X,X
TJSZOIL,X,X,X,O,O,O,X,X,O,X,X,X
TJSZOLI,X,X,X,O,O,O,X,X,O,X,X,X
TJSOILZ,X,X,X,O,O,O,O,O,O,X,X,X
TJSOIZL,X,X,X,O,X,O,O,O,O,X,X,X
TJSOLIZ,X,X,X,O,O,O,O,O,O,X,X,X
TJSOLZI,X,X,X,O,O,O,O,O,O,X,X,X
TJSOZIL,X,X,X,O,O,O,O,O,O,X,X,X
TJSOZLI,X,X,X,O,O,O,O,O,O,X,X,X
TJZILSO,O,O,O,O,O,O,O,X,X,X,X,X
TJZILOS,O,O,O,X,X,O,O,X,X,X,X,X
TJZISLO,O,O,O,X,X,O,X,X,X,X,X,X
TJZISOL,X,O,X,X,X,O,X,X,X,X,X,X
TJZIOLS,O,O,O,X,X,O,X,X,X,X,X,X
TJZIOSL,X,O,O,X,X,O,X,X,X,X,X,X
TJZLISO,O,O,O,O,O,O,O,X,X,X,X,X
TJZLIOS,O,O,O,X,X,O,O,X,X,X,X,X
TJZLSIO,O,O,O,O,O,O,O,X,X,X,X,X
TJZLSOI,O,O,X,O,O,O,X,X,X,X,X,X
TJZLOIS,O,O,O,X,X,O,O,X,X,X,X,X
TJZLOSI,O,O,X,X,X,O,O,X,X,X,X,X
TJZSILO,O,O,O,O,O,O,O,X,X,X,X,X
TJZSIOL,X,O,X,X,O,O,X,X,X,X,X,X
TJZSLIO,O,O,O,O,O,O,O,X,X,X,X,X
TJZSLOI,O,O,X,O,O,O,X,X,X,X,X,X
TJZSOIL,X,O,X,O,O,O,X,X,X,X,X,X
TJZSOLI,X,O,X,O,O,O,X,X,X,X,X,X
TJZOILS,O,O,O,X,X,O,O,X,X,X,X,X
TJZOISL,X,O,X,X,X,O,X,X,X,X,X,X
TJZOLIS,O,O,O,X,X,O,O,X,X,X,X,X
TJZOLSI,O,O,X,X,X,O,O,X,X,X,X,X
TJZOSIL,X,O,X,X,X,O,O,X,X,X,X,X
TJZOSLI,X,O,X,X,X,O,O,X,X,X,X,X
TJOILSZ,X,O,X,O,O,O,O,X,O,X,X,X
TJOILZS,X,X,X,X,X,O,O,X,X,X,X,X
TJOISLZ,X,X,X,X,X,O,O,X,O,X,X,X
TJOISZL,X,X,X,X,X,O,O,X,O,X,X,X
TJOIZLS,X,O,X,X,X,O,O,X,X,X,X,X
TJOIZSL,X,O,X,X,X,O,X,X,X,X,X,X
TJOLISZ,X,O,X,O,O,O,O,X,O,X,X,X
TJOLIZS,X,X,X,X,X,O,O,X,X,X,X,X
TJOLSIZ,X,O,X,O,O,O,O,X,O,X,X,X
TJOLSZI,X,O,X,O,O,O,O,X,O,X,X,X
TJOLZIS,X,X,O,X,X,O,O,X,X,X,X,X
TJOLZSI,X,X,X,X,X,O,O,X,X,X,X,X
TJOSILZ,X,X,X,O,O,O,O,X,O,X,X,X
TJOSIZL,X,X,X,O,X,O,O,X,O,X,X,X
TJOSLIZ,X,X,X,O,O,O,O,X,O,X,X,X
TJOSLZI,X,X,X,O,O,O,O,X,O,X,X,X
TJOSZIL,X,X,X,O,O,O,O,X,O,X,X,X
TJOSZLI,X,X,X,O,O,O,O,X,O,X,X,X
TJOZILS,X,O,O,X,X,O,O,X,X,X,X,X
TJOZISL,X,O,X,X,X,O,X,X,X,X,X,X
TJOZLIS,X,O,O,X,X,O,O,X,X,X,X,X
TJOZLSI,X,O,X,X,X,O,O,X,X,X,X,X
TJOZSIL,X,O,X,X,X,O,O,X,X,X,X,X
TJOZSLI,X,O,X,X,X,O,O,X,X,X,X,X
TSILJZO,X,O,O,O,O,X,O,X,O,X,X,X
TSILJOZ,X,O,O,O,O,O,O,X,O,X,X,X
TSILZJO,X,O,O,O,O,X,O,X,O,O,X,X
TSILZOJ,X,X,O,X,O,X,X,X,X,O,X,X
TSILOJZ,X,O,O,O,O,X,O,O,X,X,X,X
TSILOZJ,X,X,O,O,X,X,X,X,X,O,X,X
TSIJLZO,X,X,O,O,O,X,O,X,O,X,X,X
TSIJLOZ,X,X,O,O,O,O,O,X,O,X,X,X
TSIJZLO,X,X,O,O,O,O,O,X,O,X,X,X
TSIJZOL,X,X,O,X,O,O,X,X,O,X,X,X
TSIJOLZ,X,X,O,O,O,O,O,X,O,X,X,X
TSIJOZL,X,X,O,O,X,O,X,X,O,X,X,X
TSIZLJO,X,O,O,O,O,O,O,X,O,O,X,X
TSIZLOJ,X,O,O,X,O,X,X,X,X,O,X,X
TSIZJLO,X,O,O,O,O,O,O,X,O,O,X,X
TSIZJOL,X,O,O,X,O,O,X,X,O,O,X,X
TSIZOLJ,X,O,O,X,O,X,X,X,X,O,X,X
TSIZOJL,X,O,O,X,O,X,X,X,X,O,X,X
TSIOLJZ,X,O,O,O,O,X,O,O,X,X,X,X
TSIOLZJ,X,O,O,O,X,X,X,X,X,O,X,X
TSIOJLZ,X,X,O,O,O,X,O,O,X,X,X,X
TSIOJZL,X,X,O,O,X,X,X,O,X,X,X,X
TSIOZLJ,X,O,O,O,X,X,X,X,X,O,X,X
TSIOZJL,X,O,O,O,X,X,X,X,X,O,X,X
TSLIJZO,X,O,O,O,O,X,O,X,O,X,X,X
TSLIJOZ,X,O,O,O,O,O,O,X,O,X,X,X
TSLIZJO,X,O,O,O,O,X,O,X,O,O,X,X
TSLIZOJ,X,X,O,X,O,X,X,X,X,O,X,X
TSLIOJZ,X,O,O,O,O,X,O,O,X,X,X,X
TSLIOZJ,X,O,O,O,X,X,X,X,X,O,X,X
TSLJIZO,X,O,O,O,O,X,O,X,X,X,X,X
TSLJIOZ,X,O,O,O,O,O,O,X,X,X,X,X
TSLJZIO,X,O,O,O,O,X,O,X,X,X,X,X
TSLJZOI,X,O,X,O,O,X,X,X,X,X,X,X
TSLJOIZ,X,O,X,O,O,O,O,O,X,X,X,X
TSLJOZI,X,O,X,O,O,O,O,O,X,X,X,X
TSLZIJO,X,O,O,O,O,X,O,X,O,O,X,X
TSLZIOJ,X,X,O,X,O,X,X,X,X,O,X,X
TSLZJIO,X,O,O,O,O,X,O,X,X,O,X,X
TSLZJOI,X,O,X,O,O,X,X,X,X,O,X,X
TSLZOIJ,X,O,X,O,O,X,X,X,X,O,X,X
TSLZOJI,X,O,X,O,O,X,X,O,X,O,X,X
TSLOIJZ,X,O,O,O,O,X,O,O,X,X,X,X
TSLOIZJ,X,O,O,O,X,X,O,X,X,O,X,X
TSLOJIZ,X,O,X,O,O,X,O,O,X,X,X,X
TSLOJZI,X,O,X,O,O,X,O,O,X,X,X,X
TSLOZIJ,X,O,X,O,O,X,O,X,X,O,X,X
TSLOZJI,X,O,X,O,O,X,O,O,X,O,X,X
TSJILZO,X,X,O,O,O,X,O,X,X,X,X,X
TSJILOZ,X,X,O,O,O,O,O,X,X,X,X,X
TSJIZLO,X,X,O,O,O,O,O,X,X,X,X,X
TSJIZOL,X,X,O,X,O,O,X,X,X,X,X,X
TSJIOLZ,X,X,O,O,O,O,O,X,X,X,X,X
TSJIOZL,X,X,O,O,X,O,X,X,X,X,X,X
TSJLIZO,X,X,O,O,O,X,O,X,X,X,X,X
TSJLIOZ,X,X,O,O,O,O,O,X,X,X,X,X
TSJLZIO,X,X,O,O,O,X,O,X,X,X,X,X
TSJLZOI,X,X,X,O,O,X,X,X,X,X,X,X
TSJLOIZ,X,X,X,O,O,O,O,O,X,X,X,X
TSJLOZI,X,X,X,O,O,O,O,O,X,X,X,X
TSJZILO,X,X,O,O,O,O,O,X,X,X,X,X
TSJZIOL,X,X,X,X,O,O,X,X,X,X,X,X
TSJZLIO,X,X,O,O,O,O,O,X,X,X,X,X
TSJZLOI,X,X,X,O,O,O,X,X,X,X,X,X
TSJZOIL,X,X,X,O,O,O,X,X,X,X,X,X
TSJZOLI,X,X,X,O,O,O,X,X,X,X,X,X
TSJOILZ,X,X,X,O,O,O,O,O,X,X,X,X
TSJOIZL,X,X,X,O,X,O,O,O,X,X,X,X
TSJOLIZ,X,X,X,O,O,O,O,O,X,X,X,X
TSJOLZI,X,X,X,O,O,O,O,O,X,X,X,X
TSJOZIL,X,X,X,O,O,O,O,O,X,X,X,X
TSJOZLI,X,X,X,O,O,O,O,O,X,X,X,X
TSZILJO,X,O,O,O,O,O,O,X,O,O,X,X
TSZILOJ,X,O,O,X,O,X,X,X,X,O,X,X
TSZIJLO,X,O,O,O,O,O,O,X,O,O,X,X
TSZIJOL,X,O,O,X,O,O,X,X,O,O,X,X
TSZIOLJ,X,O,O,X,O,X,X,X,X,O,X,X
TSZIOJL,X,O,O,X,O,X,X,X,X,O,X,X
TSZLIJO,X,O,O,O,O,O,O,X,O,O,X,X
TSZLIOJ,X,O,O,X,O,X,X,X,X,O,X,X
TSZLJIO,X,O,O,O,O,O,O,X,X,O,X,X
TSZLJOI,X,O,X,O,O,O,X,X,X,O,X,X
TSZLOIJ,X,O,X,O,O,X,X,X,X,O,X,X
TSZLOJI,X,O,X,O,O,X,X,O,X,O,X,X
TSZJILO,X,O,O,O,O,O,O,X,X,O,X,X
TSZJIOL,X,O,X,X,O,O,X,X,X,O,X,X
TSZJLIO,X,O,O,O,O,O,O,X,X,O,X,X
TSZJLOI,X,O,X,O,O,O,X,X,X,O,X,X
TSZJOIL,X,O,X,O,O,O,X,X,X,O,X,X
TSZJOLI,X,O,X,O,O,O,X,X,X,O,X,X
TSZOILJ,X,O,X,O,O,X,X,X,X,O,X,X
TSZOIJL,X,O,X,O,O,X,X,X,X,O,X,X
TSZOLIJ,X,O,X,O,O,X,X,X,X,O,X,X
TSZOLJI,X,O,X,O,O,X,X,O,X,O,X,X
TSZOJIL,X,O,X,O,O,X,X,O,X,O,X,X
TSZOJLI,X,O,X,O,O,X,X,O,X,O,X,X
TSOILJZ,X,O,O,O,O,X,O,O,X,X,X,X
TSOILZJ,X,O,O,O,X,X,O,X,X,O,X,X
TSOIJLZ,X,X,O,O,O,X,O,O,X,X,X,X
TSOIJZL,X,X,O,O,X,X,O,O,X,X,X,X
TSOIZLJ,X,O,O,O,X,X,O,X,X,O,X,X
TSOIZJL,X,O,O,O,X,X,O,X,X,O,X,X
TSOLIJZ,X,O,O,O,O,X,O,O,X,X,X,X
TSOLIZJ,X,O,O,O,X,X,O,X,X,O,X,X
TSOLJIZ,X,O,X,O,O,X,O,O,X,X,X,X
TSOLJZI,X,O,X,O,O,X,O,O,X,X,X,X
TSOLZIJ,X,O,X,O,O,X,O,X,X,O,X,X
TSOLZJI,X,O,X,O,O,X,O,O,X,O,X,X
TSOJILZ,X,X,X,O,O,X,O,O,X,X,X,X
TSOJIZL,X,X,X,O,X,X,O,O,X,X,X,X
TSOJLIZ,X,X,X,O,O,X,O,O,X,X,X,X
TSOJLZI,X,X,X,O,O,X,O,O,X,X,X,X
TSOJZIL,X,X,X,O,O,X,O,O,X,X,X,X
TSOJZLI,X,X,X,O,O,X,O,O,X,X,X,X
TSOZILJ,X,O,X,O,O,X,O,X,X,O,X,X
TSOZIJL,X,O,X,O,O,X,O,X,X,O,X,X
TSOZLIJ,X,O,X,O,O,X,O,X,X,O,X,X
TSOZLJI,X,O,X,O,O,X,O,O,X,O,X,X
TSOZJIL,X,O,X,O,O,X,O,O,X,O,X,X
TSOZJLI,X,O,X,O,O,X,O,O,X,O,X,X
TZILJSO,O,O,O,O,O,O,O,X,X,O,X,X
TZILJOS,O,O,O,X,X,O,O,X,X,X,X,X
TZILSJO,O,O,O,X,X,O,X,X,X,O,X,X
TZILSOJ,O,O,O,X,X,X,X,X,X,O,X,X
TZILOJS,O,O,O,X,X,O,X,X,X,X,X,X
TZILOSJ,O,O,O,X,X,X,X,X,X,O,X,X
TZIJLSO,O,O,O,O,O,O,O,X,X,O,X,X
TZIJLOS,O,O,O,X,X,O,O,X,X,X,X,X
TZIJSLO,O,O,O,X,X,O,X,X,X,O,X,X
TZIJSOL,X,O,X,X,X,O,X,X,X,O,X,X
TZIJOLS,O,O,O,X,X,O,X,X,X,X,X,X
TZIJOSL,X,O,O,X,X,O,X,X,X,X,X,X
TZISLJO,O,O,O,X,X,O,X,X,X,O,X,X
TZISLOJ,O,O,O,X,X,X,X,X,X,O,X,X
TZISJLO,O,O,O,X,X,O,X,X,X,O,X,X
TZISJOL,X,O,X,X,X,O,X,X,X,O,X,X
TZISOLJ,X,O,O,X,X,X,X,X,X,O,X,X
TZISOJL,X,O,O,X,X,X,X,X,X,O,X,X
TZIOLJS,O,O,O,X,X,O,X,X,X,X,X,X
TZIOLSJ,O,O,O,X,X,X,X,X,X,O,X,X
TZIOJLS,O,O,O,X,X,O,X,X,X,X,X,X
TZIOJSL,X,O,O,X,X,O,X,X,X,X,X,X
TZIOSLJ,X,O,O,X,X,X,X,X,X,O,X,X
TZIOSJL,X,O,O,X,X,X,X,X,X,O,X,X
TZLIJSO,O,O,O,O,O,O,O,X,X,O,X,X
TZLIJOS,O,O,O,X,X,O,O,X,X,X,X,X
TZLISJO,O,O,O,X,X,O,X,X,X,O,X,X
TZLISOJ,O,O,O,X,X,X,X,X,X,O,X,X
TZLIOJS,O,O,O,X,X,O,X,X,X,X,X,X
TZLIOSJ,O,O,O,X,X,X,X,X,X,O,X,X
TZLJISO,O,O,O,O,O,O,O,X,X,O,X,X
TZLJIOS,O,O,O,X,X,O,O,X,X,X,X,X
TZLJSIO,O,O,O,O,O,O,O,X,X,O,X,X
TZLJSOI,O,O,X,O,O,O,X,X,X,O,X,X
TZLJOIS,O,O,O,X,X,O,O,X,X,X,X,X
TZLJOSI,O,O,X,X,X,O,O,X,X,X,X,X
TZLSIJO,O,O,O,O,O,O,O,X,X,O,X,X
TZLSIOJ,O,O,O,X,O,X,X,X,X,O,X,X
TZLSJIO,O,O,O,O,O,O,O,X,X,O,X,X
TZLSJOI,O,O,X,O,O,O,X,X,X,O,X,X
TZLSOIJ,O,O,X,O,O,X,X,X,X,O,X,X
TZLSOJI,O,O,X,O,O,X,X,O,X,O,X,X
TZLOIJS,O,O,O,X,X,O,O,X,X,X,X,X
TZLOISJ,O,O,O,X,X,X,X,X,X,O,X,X
TZLOJIS,O,O,O,X,X,O,O,X,X,X,X,X
TZLOJSI,O,O,X,X,X,O,O,X,X,X,X,X
TZLOSIJ,O,O,X,X,X,X,O,X,X,O,X,X
TZLOSJI,O,O,X,X,X,X,O,X,X,O,X,X
TZJILSO,O,O,O,O,O,O,O,X,X,O,X,X
TZJILOS,O,O,O,X,X,O,O,X,X,X,X,X
TZJISLO,O,O,O,X,X,O,X,X,X,O,X,X
TZJISOL,X,O,X,X,X,O,X,X,X,O,X,X
TZJIOLS,O,O,O,X,X,O,X,X,X,X,X,X
TZJIOSL,X,O,O,X,X,O,X,X,X,X,X,X
TZJLISO,O,O,O,O,O,O,O,X,X,O,X,X
TZJLIOS,O,O,O,X,X,O,O,X,X,X,X,X
TZJLSIO,O,O,O,O,O,O,O,X,X,O,X,X
TZJLSOI,O,O,X,O,O,O,X,X,X,O,X,X
TZJLOIS,O,O,O,X,X,O,O,X,X,X,X,X
TZJLOSI,O,O,X,X,X,O,O,X,X,X,X,X
TZJSILO,O,O,O,O,O,O,O,X,X,O,X,X
TZJSIOL,X,O,X,X,O,O,X,X,X,O,X,X
TZJSLIO,O,O,O,O,O,O,O,X,X,O,X,X
TZJSLOI,O,O,X,O,O,O,X,X,X,O,X,X
TZJSOIL,X,O,X,O,O,O,X,X,X,O,X,X
TZJSOLI,X,O,X,O,O,O,X,X,X,O,X,X
TZJOILS,O,O,O,X,X,O,O,X,X,X,X,X
TZJOISL,X,O,X,X,X,O,X,X,X,X,X,X
TZJOLIS,O,O,O,X,X,O,O,X,X,X,X,X
TZJOLSI,O,O,X,X,X,O,O,X,X,X,X,X
TZJOSIL,X,O,X,X,X,O,O,X,X,X,X,X
TZJOSLI,X,O,X,X,X,O,O,X,X,X,X,X
TZSILJO,O,O,O,O,O,O,O,X,X,O,X,X
TZSILOJ,O,O,O,X,O,X,X,X,X,O,X,X
TZSIJLO,O,O,O,O,O,O,O,X,X,O,X,X
TZSIJOL,X,O,O,X,O,O,X,X,X,O,X,X
TZSIOLJ,X,O,O,X,O,X,X,X,X,O,X,X
TZSIOJL,X,O,O,X,O,X,X,X,X,O,X,X
TZSLIJO,O,O,O,O,O,O,O,X,X,O,X,X
TZSLIOJ,O,O,O,X,O,X,X,X,X,O,X,X
TZSLJIO,O,O,O,O,O,O,O,X,X,O,X,X
TZSLJOI,O,O,X,O,O,O,X,X,X,O,X,X
TZSLOIJ,O,O,X,O,O,X,X,X,X,O,X,X
TZSLOJI,O,O,X,O,O,X,X,O,X,O,X,X
TZSJILO,O,O,O,O,O,O,O,X,X,O,X,X
TZSJIOL,X,O,X,X,O,O,X,X,X,O,X,X
TZSJLIO,O,O,O,O,O,O,O,X,X,O,X,X
TZSJLOI,O,O,X,O,O,O,X,X,X,O,X,X
TZSJOIL,X,O,X,O,O,O,X,X,X,O,X,X
TZSJOLI,X,O,X,O,O,O,X,X,X,O,X,X
TZSOILJ,X,O,X,O,O,X,X,X,X,O,X,X
TZSOIJL,X,O,X,O,O,X,X,X,X,O,X,X
TZSOLIJ,X,O,X,O,O,X,X,X,X,O,X,X
TZSOLJI,X,O,X,O,O,X,X,O,X,O,X,X
TZSOJIL,X,O,X,O,O,X,X,O,X,O,X,X
TZSOJLI,X,O,X,O,O,X,X,O,X,O,X,X
TZOILJS,O,O,O,X,X,O,O,X,X,X,X,X
TZOILSJ,O,O,O,X,X,X,X,X,X,O,X,X
TZOIJLS,O,O,O,X,X,O,O,X,X,X,X,X
TZOIJSL,X,O,O,X,X,O,X,X,X,X,X,X
TZOISLJ,X,O,O,X,X,X,X,X,X,O,X,X
TZOISJL,X,O,O,X,X,X,X,X,X,O,X,X
TZOLIJS,O,O,O,X,X,O,O,X,X,X,X,X
TZOLISJ,O,O,O,X,X,X,X,X,X,O,X,X
TZOLJIS,O,O,O,X,X,O,O,X,X,X,X,X
TZOLJSI,O,O,X,X,X,O,O,X,X,X,X,X
TZOLSIJ,O,O,X,X,X,X,O,X,X,O,X,X
TZOLSJI,O,O,X,X,X,X,O,X,X,O,X,X
TZOJILS,O,O,O,X,X,O,O,X,X,X,X,X
TZOJISL,X,O,X,X,X,O,X,X,X,X,X,X
TZOJLIS,O,O,O,X,X,O,O,X,X,X,X,X
TZOJLSI,O,O,X,X,X,O,O,X,X,X,X,X
TZOJSIL,X,O,X,X,X,O,O,X,X,X,X,X
TZOJSLI,X,O,X,X,X,O,O,X,X,X,X,X
TZOSILJ,X,O,X,X,X,X,O,X,X,O,X,X
TZOSIJL,X,O,X,X,X,X,O,X,X,O,X,X
TZOSLIJ,X,O,X,X,X,X,O,X,X,O,X,X
TZOSLJI,X,O,X,X,X,X,O,X,X,O,X,X
TZOSJIL,X,O,X,X,X,X,O,X,X,O,X,X
TZOSJLI,X,O,X,X,X,X,O,X,X,O,X,X
TOILJSZ,X,O,X,O,O,O,O,X,X,X,X,X
TOILJZS,X,X,O,X,X,O,O,X,X,X,X,X
TOILSJZ,X,O,X,X,X,X,O,X,X,X,X,X
TOILSZJ,X,O,O,X,X,X,O,X,X,X,X,X
TOILZJS,X,O,O,X,X,X,O,X,X,X,X,X
TOILZSJ,X,O,O,X,X,X,X,X,X,X,X,X
TOIJLSZ,X,O,X,O,O,O,O,X,X,X,X,X
TOIJLZS,X,X,O,X,X,O,O,X,X,X,X,X
TOIJSLZ,X,X,X,X,X,O,O,X,X,X,X,X
TOIJSZL,X,X,X,X,X,O,O,X,X,X,X,X
TOIJZLS,X,O,O,X,X,O,O,X,X,X,X,X
TOIJZSL,X,O,O,X,X,O,X,X,X,X,X,X
TOISLJZ,X,O,X,O,X,X,O,X,X,X,X,X
TOISLZJ,X,O,O,O,X,X,O,X,X,X,X,X
TOISJLZ,X,X,X,O,X,X,O,X,X,X,X,X
TOISJZL,X,X,X,O,X,X,O,X,X,X,X,X
TOISZLJ,X,O,O,O,X,X,O,X,X,X,X,X
TOISZJL,X,O,O,O,X,X,O,X,X,X,X,X
TOIZLJS,X,O,O,X,X,O,O,X,X,X,X,X
TOIZLSJ,X,O,O,X,X,X,X,X,X,X,X,X
TOIZJLS,X,O,O,X,X,O,O,X,X,X,X,X
TOIZJSL,X,O,O,X,X,O,X,X,X,X,X,X
TOIZSLJ,X,O,O,X,X,X,X,X,X,X,X,X
TOIZSJL,X,O,O,X,X,X,X,X,X,X,X,X
TOLIJSZ,X,O,X,O,O,O,O,X,X,X,X,X
TOLIJZS,X,X,O,X,X,O,O,X,X,X,X,X
TOLISJZ,X,O,X,X,X,X,O,X,X,X,X,X
TOLISZJ,X,O,O,X,X,X,O,X,X,X,X,X
TOLIZJS,X,O,O,X,X,X,O,X,X,X,X,X
TOLIZSJ,X,O,O,X,X,X,X,X,X,X,X,X
TOLJISZ,X,O,X,O,O,O,O,X,X,X,X,X
TOLJIZS,X,X,X,X,X,O,O,X,X,X,X,X
TOLJSIZ,X,O,X,O,O,O,O,O,X,X,X,X
TOLJSZI,X,O,X,O,O,O,O,O,X,X,X,X
TOLJZIS,X,X,O,X,X,O,O,X,X,X,X,X
TOLJZSI,X,X,X,X,X,O,O,X,X,X,X,X
TOLSIJZ,X,O,O,O,O,X,O,O,X,X,X,X
TOLSIZJ,X,O,O,O,X,X,O,X,X,X,X,X
TOLSJIZ,X,O,X,O,O,X,O,O,X,X,X,X
TOLSJZI,X,O,X,O,O,X,O,O,X,X,X,X
TOLSZIJ,X,O,X,O,O,X,O,X,X,X,X,X
TOLSZJI,X,O,X,O,O,X,O,O,X,X,X,X
TOLZIJS,X,O,O,X,X,X,O,X,X,X,X,X
TOLZISJ,X,O,O,X,X,X,X,X,X,X,X,X
TOLZJIS,X,O,O,X,X,X,O,X,X,X,X,X
TOLZJSI,X,O,X,X,X,X,O,X,X,X,X,X
TOLZSIJ,X,O,X,X,X,X,O,X,X,X,X,X
TOLZSJI,X,O,X,X,X,X,O,X,X,X,X,X
TOJILSZ,X,O,X,O,O,O,O,X,X,X,X,X
TOJILZS,X,X,X,X,X,O,O,X,X,X,X,X
TOJISLZ,X,X,X,X,X,O,O,X,X,X,X,X
TOJISZL,X,X,X,X,X,O,O,X,X,X,X,X
TOJIZLS,X,O,X,X,X,O,O,X,X,X,X,X
TOJIZSL,X,O,X,X,X,O,X,X,X,X,X,X
TOJLISZ,X,O,X,O,O,O,O,X,X,X,X,X
TOJLIZS,X,X,X,X,X,O,O,X,X,X,X,X
TOJLSIZ,X,O,X,O,O,O,O,O,X,X,X,X
TOJLSZI,X,O,X,O,O,O,O,O,X,X,X,X
TOJLZIS,X,X,O,X,X,O,O,X,X,X,X,X
TOJLZSI,X,X,X,X,X,O,O,X,X,X,X,X
TOJSILZ,X,X,X,O,O,O,O,O,X,X,X,X
TOJSIZL,X,X,X,O,X,O,O,O,X,X,X,X
TOJSLIZ,X,X,X,O,O,O,O,O,X,X,X,X
TOJSLZI,X,X,X,O,O,O,O,O,X,X,X,X
TOJSZIL,X,X,X,O,O,O,O,O,X,X,X,X
TOJSZLI,X,X,X,O,O,O,O,O,X,X,X,X
TOJZILS,X,O,O,X,X,O,O,X,X,X,X,X
TOJZISL,X,O,X,X,X,O,X,X,X,X,X,X
TOJZLIS,X,O,O,X,X,O,O,X,X,X,X,X
TOJZLSI,X,O,X,X,X,O,O,X,X,X,X,X
TOJZSIL,X,O,X,X,X,O,O,X,X,X,X,X
TOJZSLI,X,O,X,X,X,O,O,X,X,X,X,X
TOSILJZ,X,O,O,O,O,X,O,O,X,X,X,X
TOSILZJ,X,O,O,O,X,X,O,X,X,X,X,X
TOSIJLZ,X,X,O,O,O,X,O,O,X,X,X,X
TOSIJZL,X,X,O,O,X,X,O,O,X,X,X,X
TOSIZLJ,X,O,O,O,X,X,O,X,X,X,X,X
TOSIZJL,X,O,O,O,X,X,O,X,X,X,X,X
TOSLIJZ,X,O,O,O,O,X,O,O,X,X,X,X
TOSLIZJ,X,O,O,O,X,X,O,X,X,X,X,X
TOSLJIZ,X,O,X,O,O,X,O,O,X,X,X,X
TOSLJZI,X,O,X,O,O,X,O,O,X,X,X,X
TOSLZIJ,X,O,X,O,O,X,O,X,X,X,X,X
TOSLZJI,X,O,X,O,O,X,O,O,X,X,X,X
TOSJILZ,X,X,X,O,O,X,O,O,X,X,X,X
TOSJIZL,X,X,X,O,X,X,O,O,X,X,X,X
TOSJLIZ,X,X,X,O,O,X,O,O,X,X,X,X
TOSJLZI,X,X,X,O,O,X,O,O,X,X,X,X
TOSJZIL,X,X,X,O,O,X,O,O,X,X,X,X
TOSJZLI,X,X,X,O,O,X,O,O,X,X,X,X
TOSZILJ,X,O,X,O,O,X,O,X,X,X,X,X
TOSZIJL,X,O,X,O,O,X,O,X,X,X,X,X
TOSZLIJ,X,O,X,O,O,X,O,X,X,X,X,X
TOSZLJI,X,O,X,O,O,X,O,O,X,X,X,X
TOSZJIL,X,O,X,O,O,X,O,O,X,X,X,X
TOSZJLI,X,O,X,O,O,X,O,O,X,X,X,X
TOZILJS,X,O,O,X,X,O,O,X,X,X,X,X
TOZILSJ,X,O,O,X,X,X,X,X,X,X,X,X
TOZIJLS,X,O,O,X,X,O,O,X,X,X,X,X
TOZIJSL,X,O,O,X,X,O,X,X,X,X,X,X
TOZISLJ,X,O,O,X,X,X,X,X,X,X,X,X
TOZISJL,X,O,O,X,X,X,X,X,X,X,X,X
TOZLIJS,X,O,O,X,X,O,O,X,X,X,X,X
TOZLISJ,X,O,O,X,X,X,X,X,X,X,X,X
TOZLJIS,X,O,O,X,X,O,O,X,X,X,X,X
TOZLJSI,X,O,X,X,X,O,O,X,X,X,X,X
TOZLSIJ,X,O,X,X,X,X,O,X,X,X,X,X
TOZLSJI,X,O,X,X,X,X,O,X,X,X,X,X
TOZJILS,X,O,O,X,X,O,O,X,X,X,X,X
TOZJISL,X,O,X,X,X,O,X,X,X,X,X,X
TOZJLIS,X,O,O,X,X,O,O,X,X,X,X,X
TOZJLSI,X,O,X,X,X,O,O,X,X,X,X,X
TOZJSIL,X,O,X,X,X,O,O,X,X,X,X,X
TOZJSLI,X,O,X,X,X,O,O,X,X,X,X,X
TOZSILJ,X,O,X,X,X,X,O,X,X,X,X,X
TOZSIJL,X,O,X,X,X,X,O,X,X,X,X,X
TOZSLIJ,X,O,X,X,X,X,O,X,X,X,X,X
TOZSLJI,X,O,X,X,X,X,O,X,X,X,X,X
TOZSJIL,X,O,X,X,X,X,O,X,X,X,X,X
