sequence,v115@7gB8FeD8FeD8EeF8CeF8JeT6IvhFxcBlgBcmBikBGq?BXqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFXbBxcBSlBThB0p?BlqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhF8fBzbBCdBxlBlp?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTkB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTfB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzaBCdBUhBupB1q?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfB0fB/pBFm?BTqB,v115@7gB8FeD8FeD8EeF8CeF8Jex6IvhFCdBmfBTkBFmBXq?B8qB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhF8gBCdBzfBXmBFl?BWvB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzbBCdBVlBXmBUq?BupB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFCdBzfBFmBxpB8q?BXqB,v115@7gB8FeD8FeD8EeF8CeF8Jez7IvhFCdBmfBFmBxpB/p?BUqB
TILOJZS,O,X,O,X,X,O,O,X,X,X,O,X
TILOSJZ,X,O,O,X,X,X,O,X,X,X,O,X
TILOSZJ,X,O,O,X,X,X,O,X,X,X,X,X
TILOZJS,O,O,O,X,X,X,O,X,X,X,O,X
TILOZSJ,O,O,O,X,X,X,X,X,X,X,X,X
TIJLSZO,X,O,X,O,O,X,O,X,O,X,X,X
TIJLSOZ,X,O,X,O,O,O,O,X,O,X,X,O
TIJLZSO,O,X,O,O,O,O,O,X,X,X,X,X
TIJLZOS,O,X,O,X,X,O,O,X,X,X,X,O
TIJLOSZ,X,X,X,O,O,O,O,X,O,X,O,O
TIJLOZS,O,X,O,X,X,O,O,X,X,X,O,O
TIJSLZO,X,X,X,O,O,X,O,X,O,X,X,X
TIJSLOZ,X,X,X,O,O,O,O,X,O,X,X,O
TIJSZLO,X,X,X,O,O,O,O,X,O,X,X,X
TIJSZOL,X,X,X,X,O,O,X,X,O,X,X,X
TIJSOLZ,X,X,X,O,O,O,O,X,O,X,X,O
TIJSOZL,X,X,X,O,X,O,X,X,O,X,X,X
TIJZLSO,O,O,O,O,O,O,O,X,X,X,X,X
TIJZLOS,O,O,O,X,X,O,O,X,X,X,X,O
TIJZSLO,O,O,O,X,X,O,X,X,X,X,X,X
TIJZSOL,X,O,X,X,X,O,X,X,X,X,X,X
TIJZOLS,O,O,O,X,X,O,X,X,X,X,X,O
TIJZOSL,X,O,O,X,X,O,X,X,X,X,X,X
TIJOLSZ,X,O,X,O,O,O,O,X,O,X,O,O
TIJOLZS,X,X,O,X,X,O,O,X,X,X,O,O
TIJOSLZ,X,X,X,X,X,O,O,X,O,X,O,O
TIJOSZL,X,X,X,X,X,O,O,X,O,X,O,X
TIJOZLS,X,O,O,X,X,O,O,X,X,X,O,O
TIJOZSL,X,O,O,X,X,O,X,X,X,X,O,X
TISLJZO,X,O,O,O,O,X,O,X,O,X,X,X
TISLJOZ,X,O,O,O,O,O,O,X,O,X,X,X
TISLZJO,X,O,O,O,O,X,O,X,O,O,X,X
TISLZOJ,X,X,O,X,O,X,X,X,X,O,X,X
TISLOJZ,X,O,O,O,O,X,O,O,X,X,X,X
TISLOZJ,X,X,O,O,X,X,X,X,X,O,X,X
TISJLZO,X,X,O,O,O,X,O,X,O,X,X,X
TISJLOZ,X,X,O,O,O,O,O,X,O,X,X,X
TISJZLO,X,X,O,O,O,O,O,X,O,X,X,X
TISJZOL,X,X,O,X,O,O,X,X,O,X,X,X
TISJOLZ,X,X,O,O,O,O,O,X,O,X,X,X
TISJOZL,X,X,O,O,X,O,X,X,O,X,X,X
TISZLJO,X,O,O,O,O,O,O,X,O,O,X,X
TISZLOJ,X,O,O,X,O,X,X,X,X,O,X,X
TISZJLO,X,O,O,O,O,O,O,X,O,O,X,X
TISZJOL,X,O,O,X,O,O,X,X,O,O,X,X
TISZOLJ,X,O,O,X,O,X,X,X,X,O,X,X
TISZOJL,X,O,O,X,O,X,X,X,X,O,X,X
TISOLJZ,X,O,O,O,O,X,O,O,X,X,X,X
TISOLZJ,X,O,O,O,X,X,X,X,X,O,X,X
TISOJLZ,X,X,O,O,O,X,O,O,X,X,X,X
TISOJZL,X,X,O,O,X,X,X,O,X,X,X,X
