sequence,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFWhBxcBTeBXiBFo?B0sB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFWhBxcBTeBFnBXo?B0sB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBWiBxdBUnBFo?BXtB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBuhB3dBxnBls?BctB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBFdBfnB5nBco?BOtB
TOZSJIL,O,X,O,X,X
TOZSJLI,O,X,O,X,X
ITLJSZO,O,O,X,O,X
ITLJSOZ,O,O,X,O,X
ITLJZSO,X,O,X,O,X
ITLJZOS,O,X,X,O,X
ITLJOSZ,O,O,X,O,X
ITLJOZS,O,X,X,O,X
ITLSJZO,O,O,X,O,O
ITLSJOZ,O,O,X,O,O
ITLSZJO,O,O,X,X,O
ITLSZOJ,O,O,X,X,O
ITLSOJZ,O,O,X,O,O
ITLSOZJ,O,X,X,X,O
ITLZJSO,X,X,O,O,X
ITLZJOS,X,X,O,O,X
ITLZSJO,X,X,O,X,O
ITLZSOJ,X,X,O,X,O
ITLZOJS,X,X,O,O,X
ITLZOSJ,X,X,O,X,O
ITLOJSZ,O,X,X,O,X
ITLOJZS,O,X,X,O,X
ITLOSJZ,O,X,X,O,O
ITLOSZJ,O,X,X,X,O
ITLOZJS,X,X,O,O,X
ITLOZSJ,X,X,O,X,O
ITJLSZO,O,O,X,O,X
ITJLSOZ,O,O,X,O,X
ITJLZSO,X,O,X,O,X
ITJLZOS,O,X,X,O,X
ITJLOSZ,O,O,X,O,X
ITJLOZS,O,X,X,O,X
ITJSLZO,O,O,X,O,X
ITJSLOZ,O,O,X,O,X
ITJSZLO,O,O,X,O,X
ITJSZOL,O,O,X,O,X
ITJSOLZ,O,O,X,O,X
ITJSOZL,O,O,X,O,X
ITJZLSO,X,O,X,O,X
ITJZLOS,O,X,X,O,X
ITJZSLO,X,O,X,O,X
ITJZSOL,X,O,X,O,X
ITJZOLS,O,X,X,O,X
ITJZOSL,X,X,X,O,X
ITJOLSZ,O,O,X,O,X
ITJOLZS,O,X,X,O,X
ITJOSLZ,O,O,X,O,X
ITJOSZL,O,O,X,O,X
ITJOZLS,O,X,X,O,X
ITJOZSL,X,X,X,O,X
ITSLJZO,O,O,X,O,O
ITSLJOZ,O,O,X,O,O
ITSLZJO,O,O,X,X,O
ITSLZOJ,O,O,X,X,O
ITSLOJZ,O,O,X,O,O
ITSLOZJ,O,X,X,X,O
ITSJLZO,O,O,X,O,O
ITSJLOZ,O,O,X,O,O
ITSJZLO,O,O,X,O,O
ITSJZOL,O,O,X,O,O
ITSJOLZ,O,O,X,O,O
ITSJOZL,O,O,X,O,O
ITSZLJO,O,O,X,X,O
ITSZLOJ,O,O,X,X,O
ITSZJLO,O,O,X,X,O
ITSZJOL,O,O,X,X,O
ITSZOLJ,O,O,X,X,O
ITSZOJL,O,O,X,X,O
ITSOLJZ,O,O,X,O,O
ITSOLZJ,O,X,X,X,O
ITSOJLZ,O,O,X,O,O
ITSOJZL,O,O,X,O,O
ITSOZLJ,O,X,X,X,O
ITSOZJL,O,X,X,X,O
ITZLJSO,X,X,O,O,X
ITZLJOS,X,X,O,O,X
ITZLSJO,X,X,O,X,O
ITZLSOJ,X,X,O,X,O
ITZLOJS,X,X,O,O,X
ITZLOSJ,X,X,O,X,O
ITZJLSO,X,X,O,O,X
ITZJLOS,X,X,O,O,X
ITZJSLO,X,X,O,O,X
ITZJSOL,X,X,O,O,X
ITZJOLS,X,X,O,O,X
ITZJOSL,X,X,O,O,X
ITZSLJO,X,X,O,X,O
ITZSLOJ,X,X,O,X,O
ITZSJLO,X,X,O,X,O
ITZSJOL,X,X,O,X,O
ITZSOLJ,X,X,O,X,O
ITZSOJL,X,X,O,X,O
ITZOLJS,X,X,O,O,X
ITZOLSJ,X,X,O,X,O
ITZOJLS,X,X,O,O,X
ITZOJSL,X,X,O,O,X
ITZOSLJ,X,X,O,X,O
ITZOSJL,X,X,O,X,O
ITOLJSZ,O,X,X,O,X
ITOLJZS,O,X,X,O,X
ITOLSJZ,O,X,X,O,O
ITOLSZJ,O,X,X,X,O
ITOLZJS,X,X,O,O,X
ITOLZSJ,X,X,O,X,O
ITOJLSZ,O,X,X,O,X
ITOJLZS,O,X,X,O,X
ITOJSLZ,O,X,X,O,X
ITOJSZL,O,X,X,O,X
ITOJZLS,O,X,X,O,X
ITOJZSL,X,X,X,O,X
ITOSLJZ,O,X,X,O,O
ITOSLZJ,O,X,X,X,O
ITOSJLZ,O,X,X,O,O
ITOSJZL,O,X,X,O,O
ITOSZLJ,O,X,X,X,O
ITOSZJL,O,X,X,X,O
ITOZLJS,X,X,O,O,X
ITOZLSJ,X,X,O,X,O
ITOZJLS,X,X,O,O,X
ITOZJSL,X,X,O,O,X
ITOZSLJ,X,X,O,X,O
ITOZSJL,X,X,O,X,O
ILTJSZO,O,O,X,O,X
ILTJSOZ,O,O,X,O,X
ILTJZSO,X,O,X,O,X
ILTJZOS,O,X,X,O,X
ILTJOSZ,O,O,X,O,X
ILTJOZS,O,X,X,O,X
ILTSJZO,O,O,X,O,O
ILTSJOZ,O,O,X,O,O
ILTSZJO,O,O,X,X,O
ILTSZOJ,O,O,X,X,O
ILTSOJZ,O,O,X,O,O
ILTSOZJ,O,X,X,X,O
ILTZJSO,X,X,O,O,X
ILTZJOS,X,X,O,O,X
ILTZSJO,X,X,O,X,O
ILTZSOJ,X,X,O,X,O
ILTZOJS,X,X,O,O,X
ILTZOSJ,X,X,O,X,O
ILTOJSZ,O,X,X,O,X
ILTOJZS,O,X,X,O,X
ILTOSJZ,O,X,X,O,O
ILTOSZJ,O,X,X,X,O
ILTOZJS,X,X,O,O,X
ILTOZSJ,X,X,O,X,O
ILJTSZO,O,O,X,O,X
ILJTSOZ,O,O,X,O,X
ILJTZSO,O,O,X,O,X
ILJTZOS,O,X,X,O,X
ILJTOSZ,O,O,X,O,X
ILJTOZS,O,X,X,O,X
ILJSTZO,O,O,X,O,O
ILJSTOZ,O,O,X,O,O
ILJSZTO,O,O,X,X,O
ILJSZOT,O,O,X,X,O
ILJSOTZ,O,O,X,O,O
ILJSOZT,O,O,X,X,O
ILJZTSO,O,O,X,O,X
ILJZTOS,O,X,X,O,X
ILJZSTO,O,O,X,X,O
ILJZSOT,O,O,X,X,O
ILJZOTS,O,X,X,O,X
ILJZOST,O,X,X,X,O
ILJOTSZ,O,O,X,O,X
ILJOTZS,O,X,X,O,X
ILJOSTZ,O,O,X,O,O
ILJOSZT,O,O,X,X,O
ILJOZTS,O,X,X,O,X
ILJOZST,O,X,X,X,O
ILSTJZO,O,O,X,X,O
ILSTJOZ,O,O,X,X,O
ILSTZJO,O,O,X,X,O
ILSTZOJ,O,O,X,X,O
ILSTOJZ,O,O,X,X,O
ILSTOZJ,O,X,X,X,O
ILSJTZO,O,O,X,O,O
ILSJTOZ,O,O,X,O,O
ILSJZTO,O,O,X,X,O
ILSJZOT,O,O,X,X,O
ILSJOTZ,O,O,X,O,O
ILSJOZT,O,O,X,X,O
ILSZTJO,O,X,X,X,O
ILSZTOJ,O,X,X,X,O
ILSZJTO,O,X,X,X,O
ILSZJOT,O,X,X,X,O
ILSZOTJ,O,X,X,X,O
ILSZOJT,O,X,X,X,O
ILSOTJZ,O,O,X,X,O
ILSOTZJ,O,X,X,X,O
ILSOJTZ,O,O,X,O,O
ILSOJZT,O,O,X,X,O
ILSOZTJ,O,X,X,X,O
ILSOZJT,O,X,X,X,O
ILZTJSO,O,X,O,X,X
ILZTJOS,O,X,O,X,X
ILZTSJO,O,X,O,X,O
ILZTSOJ,O,X,O,X,O
ILZTOJS,O,X,O,X,X
ILZTOSJ,O,X,O,X,O
ILZJTSO,O,X,O,O,X
ILZJTOS,O,X,O,O,X
ILZJSTO,O,X,X,X,O
ILZJSOT,O,X,O,X,O
ILZJOTS,O,X,O,O,X
ILZJOST,O,X,O,X,O
ILZSTJO,O,X,X,X,O
ILZSTOJ,O,X,X,X,O
ILZSJTO,O,X,X,X,O
ILZSJOT,O,X,X,X,O
ILZSOTJ,O,X,X,X,O
ILZSOJT,O,X,X,X,O
ILZOTJS,X,X,O,X,X
ILZOTSJ,X,X,O,X,O
ILZOJTS,X,X,O,O,X
ILZOJST,X,X,O,X,O
ILZOSTJ,X,X,X,X,O
ILZOSJT,X,X,X,X,O
ILOTJSZ,X,X,X,O,X
ILOTJZS,X,X,X,O,X
ILOTSJZ,X,X,X,O,O
ILOTSZJ,X,X,X,X,O
ILOTZJS,X,X,O,O,X
ILOTZSJ,X,X,O,X,O
ILOJTSZ,X,X,X,O,X
ILOJTZS,X,X,X,O,X
ILOJSTZ,X,X,X,O,O
ILOJSZT,X,X,X,X,O
ILOJZTS,X,X,X,O,X
ILOJZST,X,X,X,X,O
ILOSTJZ,X,X,X,X,O
ILOSTZJ,X,X,X,X,O
ILOSJTZ,X,X,X,O,O
ILOSJZT,X,X,X,X,O
ILOSZTJ,X,X,X,X,O
ILOSZJT,X,X,X,X,O
ILOZTJS,X,X,O,X,X
ILOZTSJ,X,X,O,X,O
ILOZJTS,X,X,O,O,X
ILOZJST,X,X,O,X,O
ILOZSTJ,X,X,X,X,O
ILOZSJT,X,X,X,X,O
IJTLSZO,O,O,X,O,X
IJTLSOZ,O,O,X,O,X
IJTLZSO,O,O,X,O,X
IJTLZOS,O,X,X,O,X
IJTLOSZ,O,O,X,O,X
IJTLOZS,O,X,X,O,X
IJTSLZO,O,O,X,O,X
IJTSLOZ,O,O,X,O,X
IJTSZLO,O,O,X,O,X
IJTSZOL,O,O,X,O,X
IJTSOLZ,O,O,X,O,X
IJTSOZL,O,O,X,O,X
IJTZLSO,O,O,X,O,X
IJTZLOS,O,X,X,O,X
IJTZSLO,O,O,X,O,X
IJTZSOL,O,O,X,O,X
IJTZOLS,O,X,X,O,X
IJTZOSL,O,X,X,O,X
IJTOLSZ,O,O,X,O,X
IJTOLZS,O,X,X,O,X
IJTOSLZ,O,O,X,O,X
IJTOSZL,O,O,X,O,X
IJTOZLS,O,X,X,O,X
IJTOZSL,X,X,X,O,X
IJLTSZO,O,O,X,O,X
IJLTSOZ,O,O,X,O,X
IJLTZSO,O,O,X,O,X
IJLTZOS,O,X,X,O,X
IJLTOSZ,O,O,X,O,X
IJLTOZS,O,X,X,O,X
IJLSTZO,O,O,X,O,O
IJLSTOZ,O,O,X,O,O
IJLSZTO,O,O,X,X,O
IJLSZOT,O,O,X,X,O
IJLSOTZ,O,O,X,O,O
IJLSOZT,O,O,X,X,O
IJLZTSO,O,O,X,O,X
IJLZTOS,O,X,X,O,X
IJLZSTO,O,O,X,X,O
IJLZSOT,O,O,X,X,O
IJLZOTS,O,X,X,O,X
IJLZOST,O,X,X,X,O
IJLOTSZ,O,O,X,O,X
IJLOTZS,O,X,X,O,X
IJLOSTZ,O,O,X,O,O
IJLOSZT,O,O,X,X,O
IJLOZTS,O,X,X,O,X
IJLOZST,O,X,X,X,O
IJSTLZO,O,O,X,O,O
IJSTLOZ,O,O,X,O,O
IJSTZLO,O,O,X,O,O
IJSTZOL,O,O,X,O,O
IJSTOLZ,O,O,X,O,O
IJSTOZL,O,O,X,O,O
IJSLTZO,O,O,X,O,O
IJSLTOZ,O,O,X,O,O
IJSLZTO,O,O,X,X,O
IJSLZOT,O,O,X,X,O
IJSLOTZ,O,O,X,O,O
IJSLOZT,O,O,X,X,O
IJSZTLO,O,O,X,X,O
IJSZTOL,O,O,X,X,O
IJSZLTO,O,O,X,X,O
IJSZLOT,O,O,X,X,O
IJSZOTL,O,X,X,X,O
IJSZOLT,O,O,X,X,O
IJSOTLZ,O,O,X,O,O
IJSOTZL,O,O,X,O,O
IJSOLTZ,O,O,X,O,O
IJSOLZT,O,O,X,X,O
IJSOZTL,O,X,X,X,O
IJSOZLT,O,O,X,X,O
IJZTLSO,O,O,X,O,X
IJZTLOS,O,X,X,O,X
IJZTSLO,O,O,X,O,X
IJZTSOL,O,O,X,O,X
IJZTOLS,O,X,X,O,X
IJZTOSL,O,X,X,O,X
IJZLTSO,O,O,X,O,X
IJZLTOS,O,X,X,O,X
IJZLSTO,O,O,X,X,O
IJZLSOT,O,O,X,X,O
IJZLOTS,O,X,X,O,X
IJZLOST,O,X,X,X,O
IJZSTLO,O,O,X,X,O
IJZSTOL,O,O,X,X,O
IJZSLTO,O,O,X,X,O
IJZSLOT,O,O,X,X,O
IJZSOTL,O,X,X,X,O
IJZSOLT,O,O,X,X,O
IJZOTLS,O,X,X,O,X
IJZOTSL,O,X,X,O,X
IJZOLTS,O,X,X,O,X
IJZOLST,O,X,X,X,O
IJZOSTL,O,X,X,X,O
IJZOSLT,O,X,X,X,O
IJOTLSZ,O,O,X,O,X
IJOTLZS,O,X,X,O,X
IJOTSLZ,O,O,X,O,X
IJOTSZL,X,O,X,O,X
IJOTZLS,O,X,X,O,X
IJOTZSL,X,X,X,O,X
IJOLTSZ,O,O,X,O,X
IJOLTZS,O,X,X,O,X
IJOLSTZ,O,O,X,O,O
IJOLSZT,O,O,X,X,O
IJOLZTS,O,X,X,O,X
IJOLZST,O,X,X,X,O
IJOSTLZ,O,O,X,O,O
IJOSTZL,O,O,X,O,O
IJOSLTZ,O,O,X,O,O
IJOSLZT,O,O,X,X,O
IJOSZTL,O,X,X,X,O
IJOSZLT,O,O,X,X,O
IJOZTLS,O,X,X,O,X
IJOZTSL,O,X,X,O,X
IJOZLTS,O,X,X,O,X
IJOZLST,O,X,X,X,O
IJOZSTL,O,X,X,X,O
IJOZSLT,O,X,X,X,O
ISTLJZO,O,O,X,X,O
ISTLJOZ,O,O,X,X,O
ISTLZJO,O,O,X,X,O
ISTLZOJ,O,O,X,X,O
ISTLOJZ,O,O,X,X,O
ISTLOZJ,O,X,X,X,O
ISTJLZO,O,O,X,X,O
ISTJLOZ,O,O,X,X,O
ISTJZLO,O,O,X,X,O
ISTJZOL,O,O,X,X,O
ISTJOLZ,O,O,X,X,O
ISTJOZL,O,O,X,X,O
ISTZLJO,O,O,X,X,O
ISTZLOJ,O,O,X,X,O
ISTZJLO,O,O,X,X,O
ISTZJOL,O,O,X,X,O
ISTZOLJ,O,O,X,X,O
ISTZOJL,O,O,X,X,O
ISTOLJZ,O,O,X,X,O
ISTOLZJ,O,X,X,X,O
ISTOJLZ,O,O,X,X,O
ISTOJZL,O,O,X,X,O
ISTOZLJ,O,X,X,X,O
ISTOZJL,O,X,X,X,O
ISLTJZO,O,O,X,X,O
ISLTJOZ,O,O,X,X,O
ISLTZJO,O,O,X,X,O
ISLTZOJ,O,O,X,X,O
ISLTOJZ,O,O,X,X,O
ISLTOZJ,O,X,X,X,O
ISLJTZO,O,O,X,O,O
ISLJTOZ,O,O,X,O,O
ISLJZTO,O,O,X,X,O
ISLJZOT,O,O,X,X,O
ISLJOTZ,O,O,X,O,O
ISLJOZT,O,O,X,X,O
ISLZTJO,O,X,X,X,O
ISLZTOJ,O,X,X,X,O
ISLZJTO,O,X,X,X,O
ISLZJOT,O,X,X,X,O
ISLZOTJ,O,X,X,X,O
ISLZOJT,O,X,X,X,O
ISLOTJZ,O,O,X,X,O
ISLOTZJ,O,X,X,X,O
ISLOJTZ,O,O,X,O,O
ISLOJZT,O,O,X,X,O
ISLOZTJ,O,X,X,X,O
ISLOZJT,O,X,X,X,O
ISJTLZO,O,O,X,O,O
ISJTLOZ,O,O,X,O,O
ISJTZLO,O,O,X,O,O
ISJTZOL,O,O,X,O,O
ISJTOLZ,O,O,X,O,O
ISJTOZL,O,O,X,O,O
ISJLTZO,O,O,X,O,O
ISJLTOZ,O,O,X,O,O
ISJLZTO,O,O,X,X,O
ISJLZOT,O,O,X,X,O
ISJLOTZ,O,O,X,O,O
ISJLOZT,O,O,X,X,O
ISJZTLO,O,O,X,X,O
ISJZTOL,O,O,X,X,O
ISJZLTO,O,O,X,X,O
ISJZLOT,O,O,X,X,O
ISJZOTL,O,X,X,X,O
ISJZOLT,O,O,X,X,O
ISJOTLZ,O,O,X,O,O
ISJOTZL,O,O,X,O,O
ISJOLTZ,O,O,X,O,O
ISJOLZT,O,O,X,X,O
ISJOZTL,O,X,X,X,O
ISJOZLT,O,O,X,X,O
ISZTLJO,O,X,X,X,O
ISZTLOJ,O,X,X,X,O
ISZTJLO,O,X,X,X,O
ISZTJOL,O,X,X,X,O
ISZTOLJ,O,X,X,X,O
ISZTOJL,O,X,X,X,O
ISZLTJO,O,X,X,X,O
ISZLTOJ,O,X,X,X,O
ISZLJTO,O,X,X,X,O
ISZLJOT,O,X,X,X,O
ISZLOTJ,O,X,X,X,O
ISZLOJT,O,X,X,X,O
ISZJTLO,O,X,X,X,O
ISZJTOL,O,X,X,X,O
ISZJLTO,O,X,X,X,O
ISZJLOT,O,X,X,X,O
ISZJOTL,O,X,X,X,O
ISZJOLT,O,X,X,X,O
ISZOTLJ,O,X,X,X,O
ISZOTJL,O,X,X,X,O
ISZOLTJ,O,X,X,X,O
ISZOLJT,O,X,X,X,O
ISZOJTL,O,X,X,X,O
ISZOJLT,O,X,X,X,O
ISOTLJZ,O,O,X,X,O
ISOTLZJ,O,X,X,X,O
ISOTJLZ,O,O,X,X,O
ISOTJZL,O,O,X,X,O
ISOTZLJ,O,X,X,X,O
ISOTZJL,O,X,X,X,O
ISOLTJZ,O,O,X,X,O
ISOLTZJ,O,X,X,X,O
ISOLJTZ,O,O,X,O,O
ISOLJZT,O,O,X,X,O
ISOLZTJ,O,X,X,X,O
ISOLZJT,O,X,X,X,O
ISOJTLZ,O,O,X,O,O
ISOJTZL,O,O,X,O,O
ISOJLTZ,O,O,X,O,O
ISOJLZT,O,O,X,X,O
ISOJZTL,O,X,X,X,O
ISOJZLT,O,O,X,X,O
ISOZTLJ,O,X,X,X,O
ISOZTJL,O,X,X,X,O
ISOZLTJ,O,X,X,X,O
ISOZLJT,O,X,X,X,O
ISOZJTL,O,X,X,X,O
ISOZJLT,O,X,X,X,O
IZTLJSO,O,X,O,X,X
IZTLJOS,O,X,O,X,X
IZTLSJO,O,X,O,X,O
IZTLSOJ,O,X,O,X,O
IZTLOJS,O,X,O,X,X
IZTLOSJ,O,X,O,X,O
IZTJLSO,O,X,O,X,X
IZTJLOS,O,X,O,X,X
IZTJSLO,O,X,O,X,X
IZTJSOL,O,X,O,X,X
IZTJOLS,O,X,O,X,X
IZTJOSL,O,X,O,X,X
IZTSLJO,O,X,O,X,O
IZTSLOJ,O,X,O,X,O
IZTSJLO,O,X,O,X,O
IZTSJOL,O,X,O,X,O
IZTSOLJ,O,X,O,X,O
IZTSOJL,O,X,O,X,O
IZTOLJS,O,X,O,X,X
IZTOLSJ,O,X,O,X,O
IZTOJLS,O,X,O,X,X
IZTOJSL,O,X,O,X,X
IZTOSLJ,O,X,O,X,O
IZTOSJL,O,X,O,X,O
IZLTJSO,O,X,O,X,X
IZLTJOS,O,X,O,X,X
IZLTSJO,O,X,O,X,O
IZLTSOJ,O,X,O,X,O
IZLTOJS,O,X,O,X,X
IZLTOSJ,O,X,O,X,O
IZLJTSO,O,X,O,O,X
IZLJTOS,O,X,O,O,X
IZLJSTO,O,X,X,X,O
IZLJSOT,O,X,O,X,O
IZLJOTS,O,X,O,O,X
IZLJOST,O,X,O,X,O
IZLSTJO,O,X,X,X,O
IZLSTOJ,O,X,X,X,O
IZLSJTO,O,X,X,X,O
IZLSJOT,O,X,X,X,O
IZLSOTJ,O,X,X,X,O
IZLSOJT,O,X,X,X,O
IZLOTJS,X,X,O,X,X
IZLOTSJ,X,X,O,X,O
IZLOJTS,X,X,O,O,X
IZLOJST,X,X,O,X,O
IZLOSTJ,X,X,X,X,O
IZLOSJT,X,X,X,X,O
IZJTLSO,O,X,O,O,X
IZJTLOS,O,X,O,O,X
IZJTSLO,O,X,O,O,X
IZJTSOL,O,X,O,O,X
IZJTOLS,O,X,O,O,X
IZJTOSL,O,X,O,O,X
IZJLTSO,O,X,O,O,X
IZJLTOS,O,X,O,O,X
IZJLSTO,O,X,X,X,O
IZJLSOT,O,X,O,X,O
IZJLOTS,O,X,O,O,X
IZJLOST,O,X,O,X,O
IZJSTLO,O,X,X,X,O
IZJSTOL,O,X,X,X,O
IZJSLTO,O,X,X,X,O
IZJSLOT,O,X,O,X,O
IZJSOTL,O,X,X,X,O
IZJSOLT,O,X,O,X,O
IZJOTLS,O,X,O,O,X
IZJOTSL,O,X,O,O,X
IZJOLTS,O,X,O,O,X
IZJOLST,O,X,O,X,O
IZJOSTL,O,X,X,X,O
IZJOSLT,O,X,O,X,O
IZSTLJO,O,X,X,X,O
IZSTLOJ,O,X,X,X,O
IZSTJLO,O,X,X,X,O
IZSTJOL,O,X,X,X,O
IZSTOLJ,O,X,X,X,O
IZSTOJL,O,X,X,X,O
IZSLTJO,O,X,X,X,O
IZSLTOJ,O,X,X,X,O
IZSLJTO,O,X,X,X,O
IZSLJOT,O,X,X,X,O
IZSLOTJ,O,X,X,X,O
IZSLOJT,O,X,X,X,O
IZSJTLO,O,X,X,X,O
IZSJTOL,O,X,X,X,O
IZSJLTO,O,X,X,X,O
IZSJLOT,O,X,X,X,O
IZSJOTL,O,X,X,X,O
IZSJOLT,O,X,X,X,O
IZSOTLJ,O,X,X,X,O
IZSOTJL,O,X,X,X,O
IZSOLTJ,O,X,X,X,O
IZSOLJT,O,X,X,X,O
IZSOJTL,O,X,X,X,O
IZSOJLT,O,X,X,X,O
IZOTLJS,X,X,O,X,X
IZOTLSJ,X,X,O,X,O
IZOTJLS,X,X,O,X,X
IZOTJSL,X,X,O,X,X
IZOTSLJ,X,X,O,X,O
IZOTSJL,X,X,O,X,O
IZOLTJS,X,X,O,X,X
IZOLTSJ,X,X,O,X,O
IZOLJTS,X,X,O,O,X
IZOLJST,X,X,O,X,O
IZOLSTJ,X,X,X,X,O
IZOLSJT,X,X,X,X,O
IZOJTLS,X,X,O,O,X
IZOJTSL,X,X,O,O,X
IZOJLTS,X,X,O,O,X
IZOJLST,X,X,O,X,O
IZOJSTL,X,X,X,X,O
IZOJSLT,X,X,O,X,O
IZOSTLJ,X,X,X,X,O
IZOSTJL,X,X,X,X,O
IZOSLTJ,X,X,X,X,O
IZOSLJT,X,X,X,X,O
IZOSJTL,X,X,X,X,O
IZOSJLT,X,X,X,X,O
IOTLJSZ,X,X,X,O,X
IOTLJZS,X,X,X,O,X
IOTLSJZ,X,X,X,O,O
IOTLSZJ,X,X,X,X,O
IOTLZJS,X,X,O,O,X
IOTLZSJ,X,X,O,X,O
IOTJLSZ,X,X,X,O,X
IOTJLZS,X,X,X,O,X
IOTJSLZ,X,X,X,O,X
IOTJSZL,X,X,X,O,X
IOTJZLS,X,X,X,O,X
IOTJZSL,X,X,X,O,X
IOTSLJZ,X,X,X,O,O
IOTSLZJ,X,X,X,X,O
IOTSJLZ,X,X,X,O,O
IOTSJZL,X,X,X,O,O
IOTSZLJ,X,X,X,X,O
IOTSZJL,X,X,X,X,O
IOTZLJS,X,X,O,O,X
IOTZLSJ,X,X,O,X,O
IOTZJLS,X,X,O,O,X
IOTZJSL,X,X,O,O,X
IOTZSLJ,X,X,O,X,O
IOTZSJL,X,X,O,X,O
IOLTJSZ,X,X,X,O,X
IOLTJZS,X,X,X,O,X
IOLTSJZ,X,X,X,O,O
IOLTSZJ,X,X,X,X,O
IOLTZJS,X,X,O,O,X
IOLTZSJ,X,X,O,X,O
IOLJTSZ,X,X,X,O,X
IOLJTZS,X,X,X,O,X
IOLJSTZ,X,X,X,O,O
IOLJSZT,X,X,X,X,O
IOLJZTS,X,X,X,O,X
IOLJZST,X,X,X,X,O
IOLSTJZ,X,X,X,X,O
IOLSTZJ,X,X,X,X,O
IOLSJTZ,X,X,X,O,O
IOLSJZT,X,X,X,X,O
IOLSZTJ,X,X,X,X,O
IOLSZJT,X,X,X,X,O
IOLZTJS,X,X,O,X,X
IOLZTSJ,X,X,O,X,O
IOLZJTS,X,X,O,O,X
IOLZJST,X,X,O,X,O
IOLZSTJ,X,X,X,X,O
IOLZSJT,X,X,X,X,O
IOJTLSZ,X,X,X,O,X
IOJTLZS,X,X,X,O,X
IOJTSLZ,X,X,X,O,X
IOJTSZL,X,X,X,O,X
IOJTZLS,X,X,X,O,X
IOJTZSL,X,X,X,O,X
IOJLTSZ,X,X,X,O,X
IOJLTZS,X,X,X,O,X
IOJLSTZ,X,X,X,O,O
IOJLSZT,X,X,X,X,O
IOJLZTS,X,X,X,O,X
IOJLZST,X,X,X,X,O
IOJSTLZ,X,X,X,O,O
IOJSTZL,X,X,X,O,O
IOJSLTZ,X,X,X,O,O
IOJSLZT,X,X,X,X,O
IOJSZTL,X,X,X,X,O
IOJSZLT,X,X,X,X,O
IOJZTLS,X,X,X,O,X
IOJZTSL,X,X,X,O,X
IOJZLTS,X,X,X,O,X
IOJZLST,X,X,X,X,O
IOJZSTL,X,X,X,X,O
IOJZSLT,X,X,X,X,O
IOSTLJZ,X,X,X,X,O
IOSTLZJ,X,X,X,X,O
IOSTJLZ,X,X,X,X,O
IOSTJZL,X,X,X,X,O
IOSTZLJ,X,X,X,X,O
IOSTZJL,X,X,X,X,O
IOSLTJZ,X,X,X,X,O
IOSLTZJ,X,X,X,X,O
IOSLJTZ,X,X,X,O,O
IOSLJZT,X,X,X,X,O
IOSLZTJ,X,X,X,X,O
IOSLZJT,X,X,X,X,O
IOSJTLZ,X,X,X,O,O
IOSJTZL,X,X,X,O,O
IOSJLTZ,X,X,X,O,O
IOSJLZT,X,X,X,X,O
IOSJZTL,X,X,X,X,O
IOSJZLT,X,X,X,X,O
IOSZTLJ,X,X,X,X,O
IOSZTJL,X,X,X,X,O
IOSZLTJ,X,X,X,X,O
IOSZLJT,X,X,X,X,O
IOSZJTL,X,X,X,X,O
IOSZJLT,X,X,X,X,O
IOZTLJS,X,X,O,X,X
IOZTLSJ,X,X,O,X,O
IOZTJLS,X,X,O,X,X
IOZTJSL,X,X,O,X,X
IOZTSLJ,X,X,O,X,O
IOZTSJL,X,X,O,X,O
IOZLTJS,X,X,O,X,X
IOZLTSJ,X,X,O,X,O
IOZLJTS,X,X,O,O,X
IOZLJST,X,X,O,X,O
IOZLSTJ,X,X,X,X,O
IOZLSJT,X,X,X,X,O
IOZJTLS,X,X,O,O,X
IOZJTSL,X,X,O,O,X
IOZJLTS,X,X,O,O,X
IOZJLST,X,X,O,X,O
IOZJSTL,X,X,X,X,O
IOZJSLT,X,X,O,X,O
IOZSTLJ,X,X,X,X,O
IOZSTJL,X,X,X,X,O
IOZSLTJ,X,X,X,X,O
IOZSLJT,X,X,X,X,O
IOZSJTL,X,X,X,X,O
IOZSJLT,X,X,X,X,O
LTIJSZO,O,O,X,O,X
LTIJSOZ,O,O,X,O,X
LTIJZSO,X,O,X,O,X
LTIJZOS,O,X,X,O,X
LTIJOSZ,O,O,X,O,X
LTIJOZS,O,X,X,O,X
LTISJZO,O,O,X,O,O
LTISJOZ,O,O,X,O,O
LTISZJO,O,O,X,X,O
LTISZOJ,O,O,X,X,O
LTISOJZ,O,O,X,O,O
LTISOZJ,O,X,X,X,O
LTIZJSO,X,X,O,O,X
LTIZJOS,X,X,O,O,X
LTIZSJO,X,X,O,X,O
LTIZSOJ,X,X,O,X,O
LTIZOJS,X,X,O,O,X
LTIZOSJ,X,X,O,X,O
LTIOJSZ,O,X,X,O,X
LTIOJZS,O,X,X,O,X
LTIOSJZ,O,X,X,O,O
LTIOSZJ,O,X,X,X,O
LTIOZJS,X,X,O,O,X
LTIOZSJ,X,X,O,X,O
LTJISZO,O,O,X,O,X
LTJISOZ,O,O,X,O,X
LTJIZSO,O,O,X,O,X
LTJIZOS,O,X,X,O,X
LTJIOSZ,O,O,X,O,X
