sequence,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFcmBxiBdsBCoBWw?BTtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFymBziB5oB0rBms?BXrB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFThBxiBesBStBXr?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFymBziB5oBXrBms?B0rB,v115@9gC8GeB8HeC8GeC8DeA8LeRBJvhF3iB9oB6qBOrBzr?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFtmB5oB8qBznByw?BmsB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFxiBmmBCoB0rBTt?BXrB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhF9mBSoBzqBxsBes?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFThBSoBXrBxsBes?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFmhBCjB0rBxsBXr?BTtB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFtmBziB5oB8qBms?BywB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFxiBmmBCoBXrBTt?B0rB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFcmBxnBdsBCoBWw?BTtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFzhB0rBxsBerBft?B6tB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFThBXjByrB+tB0n?BRwB,v115@9gC8GeB8HeC8GeC8DeA8Le9GJvhFxiB0lBesBftB6t?BzqB,v115@9gC8GeB8HeC8GeC8DeA8LemCJvhF5oB0lBdsBftBTr?BCrB
TILJSZO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X
TILJSOZ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TILJZSO,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X
TILJZOS,O,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
TILJOSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILJOZS,O,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
TILSJZO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,O
TILSJOZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
TILSZJO,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
TILSZOJ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TILSOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TILSOZJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILZJSO,O,O,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X
TILZJOS,O,O,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X
TILZSJO,O,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O
TILZSOJ,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O
TILZOJS,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
TILZOSJ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TILOJSZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TILOJZS,O,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
TILOSJZ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TILOSZJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
TILOZSJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X
TIJLSOZ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIJLZSO,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
TIJLZOS,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X
TIJLOSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJLOZS,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X
TIJSLZO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,O
TIJSLOZ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIJSZLO,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O
TIJSZOL,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
TIJSOLZ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIJSOZL,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
TIJZLSO,O,O,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X
TIJZLOS,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X
TIJZSLO,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,O
TIJZSOL,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,O
TIJZOLS,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TIJZOSL,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TIJOLSZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJOLZS,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X
TIJOSLZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJOSZL,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOZLS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOZSL,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISLJZO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,O
TISLJOZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
TISLZJO,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O
TISLZOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TISLOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TISLOZJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJLZO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,O
TISJLOZ,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
TISJZLO,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O
TISJZOL,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
TISJOLZ,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
TISJOZL,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
TISZLJO,O,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O
TISZLOJ,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O
TISZJLO,O,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,O
TISZJOL,O,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,O
TISZOLJ,O,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O
TISZOJL,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
TISOLJZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TISOLZJ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TISOJLZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TISOJZL,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
TISOZLJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TISOZJL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TIZLJSO,O,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
TIZLJOS,X,O,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X
TIZLSJO,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
TIZLSOJ,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O
TIZLOJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
TIZLOSJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZJLSO,O,O,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X
TIZJLOS,X,O,X,O,X,X,O,X,X,O,O,X,X,O,O,X,X
TIZJSLO,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,O
