sequence,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjB6mBO?nBzlBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhF3dBcjB6lBO?mBzmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBSjBThBN?nBWrB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFyhBTeBXmBm?nB5nB0rB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFicB+iBTeB3?hB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTeBxhBXmBm?nB0mB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjBzlBC?nBmmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBKiBcjBX?mBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFyhBTeB0mBm?nB5nBXrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JecDJvhFxgBXiBzlBt?sBGrBisB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBanBG?mBtsBzqB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBxdBenBC?jBXmB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBulBi?mBtsBzrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF0hBxiBOoBz?lB9sBCsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF9hBKiBcjBz?lBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFKhBzcBGeB3?iB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFthBTeB8lBm?nBxrB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFGeBXhBdoBz?mB0lB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeT+IvhF6lBxhBUhBm?nB3mB9sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFCdBTeBxmB8?sBerBXsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFTeB0gBmhBf?oBSrB9sB
TILJSZO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TILJZSO,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
TILJZOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILJOZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TILSJZO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TILSZJO,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TILSZOJ,O,O,X,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TILSOZJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TILZJSO,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
TILZJOS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TILZSJO,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
TILZSOJ,O,O,X,X,O,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X
TILZOJS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILZOSJ,O,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILOJZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X
TILOZJS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TIJLZSO,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
