sequence,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFCdBejB5jBlmB0sBXsB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFfiBldB5jB8nB6rB2xB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFCdBejB5jBlmBXsB0sB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFUdB5jBlmB3nBatBWxB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFRdB1mBGoBXnBSxBctB
ITLZOSJ,O,O,X,X,X
ITLOJSZ,O,O,O,X,O
ITLOJZS,O,O,O,X,X
ITLOSJZ,O,X,O,O,X
ITLOSZJ,X,O,X,O,X
ITLOZJS,O,X,O,X,X
ITLOZSJ,O,O,X,X,X
ITJLSZO,X,X,O,X,O
ITJLSOZ,O,X,O,X,O
ITJLZSO,O,X,X,X,X
ITJLZOS,O,X,O,X,X
ITJLOSZ,O,X,O,X,O
ITJLOZS,O,X,O,X,X
ITJSLZO,X,X,O,O,X
ITJSLOZ,O,X,O,O,X
ITJSZLO,O,O,O,O,X
ITJSZOL,O,O,O,O,X
ITJSOLZ,O,X,O,O,X
ITJSOZL,O,O,O,O,X
ITJZLSO,O,X,X,X,X
ITJZLOS,O,X,O,X,X
ITJZSLO,O,O,O,X,X
ITJZSOL,O,O,O,X,X
ITJZOLS,O,X,O,X,X
ITJZOSL,O,O,O,X,X
ITJOLSZ,O,X,O,X,O
ITJOLZS,O,X,O,X,X
ITJOSLZ,O,X,O,O,X
ITJOSZL,O,O,O,O,X
ITJOZLS,O,X,O,X,X
ITJOZSL,O,O,O,X,X
ITSLJZO,X,X,X,O,X
ITSLJOZ,O,X,O,O,X
ITSLZJO,X,X,X,O,X
ITSLZOJ,X,X,X,O,X
ITSLOJZ,O,X,O,O,X
ITSLOZJ,X,X,X,O,X
ITSJLZO,X,X,O,O,X
ITSJLOZ,O,X,O,O,X
ITSJZLO,O,X,O,O,X
ITSJZOL,O,X,O,O,X
ITSJOLZ,O,X,O,O,X
ITSJOZL,O,X,O,O,X
ITSZLJO,O,X,X,O,X
ITSZLOJ,O,X,X,O,X
ITSZJLO,O,X,X,O,X
ITSZJOL,O,X,X,O,X
ITSZOLJ,O,X,X,O,X
ITSZOJL,O,X,X,O,X
ITSOLJZ,O,X,O,O,X
ITSOLZJ,X,X,X,O,X
ITSOJLZ,O,X,O,O,X
ITSOJZL,O,X,O,O,X
ITSOZLJ,O,X,X,O,X
ITSOZJL,O,X,X,O,X
ITZLJSO,O,X,X,X,X
ITZLJOS,O,X,O,X,X
ITZLSJO,O,O,X,X,X
ITZLSOJ,O,O,X,X,X
ITZLOJS,O,X,O,X,X
ITZLOSJ,O,O,X,X,X
ITZJLSO,O,X,X,X,X
ITZJLOS,O,X,O,X,X
ITZJSLO,O,O,O,X,X
ITZJSOL,O,O,O,X,X
ITZJOLS,O,X,O,X,X
ITZJOSL,O,O,O,X,X
ITZSLJO,O,X,X,O,X
ITZSLOJ,O,X,X,O,X
ITZSJLO,O,X,X,O,X
ITZSJOL,O,X,X,O,X
ITZSOLJ,O,X,X,O,X
ITZSOJL,O,X,X,O,X
ITZOLJS,O,X,O,X,X
ITZOLSJ,O,O,X,X,X
ITZOJLS,O,X,O,X,X
ITZOJSL,O,O,O,X,X
ITZOSLJ,O,X,X,O,X
ITZOSJL,O,X,X,O,X
ITOLJSZ,O,O,O,X,O
ITOLJZS,O,O,O,X,X
ITOLSJZ,O,X,O,O,X
ITOLSZJ,X,O,X,O,X
ITOLZJS,O,X,O,X,X
ITOLZSJ,O,O,X,X,X
ITOJLSZ,O,X,O,X,O
ITOJLZS,O,X,O,X,X
ITOJSLZ,O,X,O,O,X
ITOJSZL,O,O,O,O,X
ITOJZLS,O,X,O,X,X
ITOJZSL,O,O,O,X,X
ITOSLJZ,O,X,O,O,X
ITOSLZJ,X,X,X,O,X
ITOSJLZ,O,X,O,O,X
ITOSJZL,O,X,O,O,X
ITOSZLJ,O,X,X,O,X
ITOSZJL,O,X,X,O,X
ITOZLJS,O,X,O,X,X
ITOZLSJ,O,O,X,X,X
ITOZJLS,O,X,O,X,X
ITOZJSL,O,O,O,X,X
ITOZSLJ,O,X,X,O,X
ITOZSJL,O,X,X,O,X
ILTJSZO,X,O,O,X,O
ILTJSOZ,O,O,O,X,O
ILTJZSO,O,O,X,X,X
ILTJZOS,O,O,O,X,X
ILTJOSZ,O,O,O,X,O
ILTJOZS,O,O,O,X,X
ILTSJZO,X,X,X,O,X
ILTSJOZ,O,X,O,O,X
ILTSZJO,X,O,X,O,X
ILTSZOJ,X,O,X,O,X
ILTSOJZ,O,X,O,O,X
ILTSOZJ,X,O,X,O,X
ILTZJSO,O,X,X,X,X
ILTZJOS,O,X,O,X,X
ILTZSJO,O,O,X,X,X
ILTZSOJ,O,O,X,X,X
ILTZOJS,O,X,O,X,X
ILTZOSJ,O,O,X,X,X
ILTOJSZ,O,O,O,X,O
ILTOJZS,O,O,O,X,X
ILTOSJZ,O,X,O,O,X
ILTOSZJ,X,O,X,O,X
ILTOZJS,O,X,O,X,X
ILTOZSJ,O,O,X,X,X
ILJTSZO,X,O,O,X,O
ILJTSOZ,O,O,O,X,O
ILJTZSO,O,O,X,X,X
ILJTZOS,O,O,O,X,X
ILJTOSZ,O,O,O,X,O
ILJTOZS,O,O,O,X,X
ILJSTZO,X,O,O,X,X
ILJSTOZ,X,O,O,X,X
ILJSZTO,X,O,X,X,X
ILJSZOT,X,O,X,X,X
ILJSOTZ,X,O,O,X,X
ILJSOZT,X,O,X,X,X
ILJZTSO,O,O,X,X,X
ILJZTOS,O,O,X,X,X
ILJZSTO,X,O,X,X,X
ILJZSOT,X,O,X,X,X
ILJZOTS,O,O,X,X,X
ILJZOST,X,O,X,X,X
ILJOTSZ,O,O,O,X,O
ILJOTZS,O,O,O,X,X
ILJOSTZ,X,O,O,X,X
ILJOSZT,X,O,X,X,X
ILJOZTS,O,O,X,X,X
ILJOZST,X,O,X,X,X
ILSTJZO,X,X,X,O,X
ILSTJOZ,X,X,X,O,X
ILSTZJO,X,O,X,O,X
ILSTZOJ,X,O,X,O,X
ILSTOJZ,X,X,X,O,X
ILSTOZJ,X,O,X,O,X
ILSJTZO,X,O,O,X,X
ILSJTOZ,X,O,O,X,X
ILSJZTO,X,O,X,X,X
ILSJZOT,X,O,X,X,X
ILSJOTZ,X,O,O,X,X
ILSJOZT,X,O,X,X,X
ILSZTJO,X,O,X,X,X
ILSZTOJ,X,O,X,X,X
ILSZJTO,X,O,X,X,X
ILSZJOT,X,O,X,X,X
ILSZOTJ,X,O,X,X,X
ILSZOJT,X,O,X,X,X
ILSOTJZ,X,X,X,O,X
ILSOTZJ,X,O,X,O,X
ILSOJTZ,X,O,O,X,X
ILSOJZT,X,O,X,X,X
ILSOZTJ,X,O,X,X,X
ILSOZJT,X,O,X,X,X
ILZTJSO,O,X,X,X,X
ILZTJOS,O,X,X,X,X
ILZTSJO,O,O,X,X,X
ILZTSOJ,O,O,X,X,X
ILZTOJS,O,X,X,X,X
ILZTOSJ,O,O,X,X,X
ILZJTSO,O,O,X,X,X
ILZJTOS,O,O,X,X,X
ILZJSTO,X,O,X,X,X
ILZJSOT,X,O,X,X,X
ILZJOTS,O,O,X,X,X
ILZJOST,X,O,X,X,X
ILZSTJO,X,O,X,X,X
ILZSTOJ,X,O,X,X,X
ILZSJTO,X,O,X,X,X
ILZSJOT,X,O,X,X,X
ILZSOTJ,X,O,X,X,X
ILZSOJT,X,O,X,X,X
ILZOTJS,O,X,X,X,X
ILZOTSJ,O,O,X,X,X
ILZOJTS,O,O,X,X,X
ILZOJST,X,O,X,X,X
ILZOSTJ,X,O,X,X,X
ILZOSJT,X,O,X,X,X
ILOTJSZ,O,O,O,X,O
ILOTJZS,O,O,O,X,X
ILOTSJZ,O,X,O,O,X
ILOTSZJ,X,O,X,O,X
ILOTZJS,O,X,O,X,X
ILOTZSJ,O,O,X,X,X
ILOJTSZ,O,O,O,X,O
ILOJTZS,O,O,O,X,X
ILOJSTZ,X,O,O,X,X
ILOJSZT,X,O,X,X,X
ILOJZTS,O,O,X,X,X
ILOJZST,X,O,X,X,X
ILOSTJZ,X,X,X,O,X
ILOSTZJ,X,O,X,O,X
ILOSJTZ,X,O,O,X,X
ILOSJZT,X,O,X,X,X
ILOSZTJ,X,O,X,X,X
ILOSZJT,X,O,X,X,X
ILOZTJS,O,X,X,X,X
ILOZTSJ,O,O,X,X,X
ILOZJTS,O,O,X,X,X
ILOZJST,X,O,X,X,X
ILOZSTJ,X,O,X,X,X
ILOZSJT,X,O,X,X,X
IJTLSZO,X,X,O,X,O
IJTLSOZ,O,X,O,X,O
IJTLZSO,O,X,X,X,X
IJTLZOS,O,X,O,X,X
IJTLOSZ,O,X,O,X,O
IJTLOZS,O,X,O,X,X
IJTSLZO,X,X,O,O,X
IJTSLOZ,O,X,O,O,X
IJTSZLO,O,O,O,O,X
IJTSZOL,O,O,O,O,X
IJTSOLZ,O,X,O,O,X
IJTSOZL,O,O,O,O,X
IJTZLSO,O,X,X,X,X
IJTZLOS,O,X,O,X,X
IJTZSLO,O,O,O,X,X
IJTZSOL,O,O,O,X,X
IJTZOLS,O,X,O,X,X
IJTZOSL,O,O,O,X,X
IJTOLSZ,O,X,O,X,O
IJTOLZS,O,X,O,X,X
IJTOSLZ,O,X,O,O,X
IJTOSZL,O,O,O,O,X
IJTOZLS,O,X,O,X,X
IJTOZSL,O,O,O,X,X
IJLTSZO,X,O,O,X,O
IJLTSOZ,O,O,O,X,O
IJLTZSO,O,O,X,X,X
IJLTZOS,O,O,O,X,X
IJLTOSZ,O,O,O,X,O
IJLTOZS,O,O,O,X,X
IJLSTZO,X,O,O,X,X
IJLSTOZ,X,O,O,X,X
IJLSZTO,X,O,X,X,X
IJLSZOT,X,O,X,X,X
IJLSOTZ,X,O,O,X,X
IJLSOZT,X,O,X,X,X
IJLZTSO,O,O,X,X,X
IJLZTOS,O,O,X,X,X
IJLZSTO,X,O,X,X,X
IJLZSOT,X,O,X,X,X
IJLZOTS,O,O,X,X,X
IJLZOST,X,O,X,X,X
IJLOTSZ,O,O,O,X,O
IJLOTZS,O,O,O,X,X
IJLOSTZ,X,O,O,X,X
IJLOSZT,X,O,X,X,X
IJLOZTS,O,O,X,X,X
IJLOZST,X,O,X,X,X
IJSTLZO,X,X,O,O,X
IJSTLOZ,O,X,O,O,X
IJSTZLO,O,O,O,O,X
IJSTZOL,O,O,O,O,X
IJSTOLZ,O,X,O,O,X
IJSTOZL,O,O,O,O,X
IJSLTZO,X,X,O,X,X
IJSLTOZ,X,X,O,X,X
IJSLZTO,X,O,X,X,X
IJSLZOT,X,O,X,X,X
IJSLOTZ,X,X,O,X,X
IJSLOZT,X,O,X,X,X
IJSZTLO,O,O,O,X,X
IJSZTOL,O,O,O,X,X
IJSZLTO,X,O,X,X,X
IJSZLOT,X,O,X,X,X
IJSZOTL,O,O,O,X,X
IJSZOLT,X,O,X,X,X
IJSOTLZ,O,X,O,O,X
IJSOTZL,O,O,O,O,X
IJSOLTZ,X,X,O,X,X
IJSOLZT,X,O,X,X,X
IJSOZTL,O,O,O,X,X
IJSOZLT,X,O,X,X,X
IJZTLSO,O,X,X,X,X
IJZTLOS,O,X,O,X,X
IJZTSLO,O,O,O,X,X
IJZTSOL,O,O,O,X,X
IJZTOLS,O,X,O,X,X
IJZTOSL,O,O,O,X,X
IJZLTSO,O,X,X,X,X
IJZLTOS,O,X,X,X,X
IJZLSTO,X,O,X,X,X
IJZLSOT,X,O,X,X,X
IJZLOTS,O,X,X,X,X
IJZLOST,X,O,X,X,X
IJZSTLO,O,O,O,X,X
IJZSTOL,O,O,O,X,X
IJZSLTO,X,O,X,X,X
IJZSLOT,X,O,X,X,X
IJZSOTL,O,O,O,X,X
IJZSOLT,X,O,X,X,X
IJZOTLS,O,X,O,X,X
IJZOTSL,O,O,O,X,X
IJZOLTS,O,X,X,X,X
IJZOLST,X,O,X,X,X
IJZOSTL,O,O,O,X,X
IJZOSLT,X,O,X,X,X
IJOTLSZ,O,X,O,X,O
IJOTLZS,O,X,O,X,X
IJOTSLZ,O,X,O,O,X
IJOTSZL,O,O,O,O,X
IJOTZLS,O,X,O,X,X
IJOTZSL,O,O,O,X,X
IJOLTSZ,O,O,O,X,O
IJOLTZS,O,O,O,X,X
IJOLSTZ,X,O,O,X,X
IJOLSZT,X,O,X,X,X
IJOLZTS,O,O,X,X,X
IJOLZST,X,O,X,X,X
IJOSTLZ,O,X,O,O,X
IJOSTZL,O,O,O,O,X
IJOSLTZ,X,X,O,X,X
IJOSLZT,X,O,X,X,X
IJOSZTL,O,O,O,X,X
IJOSZLT,X,O,X,X,X
IJOZTLS,O,X,O,X,X
IJOZTSL,O,O,O,X,X
IJOZLTS,O,X,X,X,X
IJOZLST,X,O,X,X,X
IJOZSTL,O,O,O,X,X
IJOZSLT,X,O,X,X,X
ISTLJZO,X,X,O,O,X
ISTLJOZ,O,X,O,O,X
ISTLZJO,X,X,X,O,X
ISTLZOJ,X,X,X,O,X
ISTLOJZ,O,X,O,O,X
ISTLOZJ,X,X,X,O,X
ISTJLZO,X,X,O,O,X
ISTJLOZ,O,X,O,O,X
ISTJZLO,O,X,O,O,X
ISTJZOL,O,X,O,O,X
ISTJOLZ,O,X,O,O,X
ISTJOZL,O,X,O,O,X
ISTZLJO,O,X,X,O,X
ISTZLOJ,O,X,X,O,X
ISTZJLO,O,X,X,O,X
ISTZJOL,O,X,X,O,X
ISTZOLJ,O,X,X,O,X
ISTZOJL,O,X,X,O,X
ISTOLJZ,O,X,O,O,X
ISTOLZJ,X,X,X,O,X
ISTOJLZ,O,X,O,O,X
ISTOJZL,O,X,O,O,X
ISTOZLJ,O,X,X,O,X
ISTOZJL,O,X,X,O,X
ISLTJZO,X,X,X,O,X
ISLTJOZ,X,X,X,O,X
ISLTZJO,X,O,X,O,X
ISLTZOJ,X,O,X,O,X
ISLTOJZ,X,X,X,O,X
ISLTOZJ,X,O,X,O,X
ISLJTZO,X,O,O,X,X
ISLJTOZ,X,O,O,X,X
ISLJZTO,X,O,X,X,X
ISLJZOT,X,O,X,X,X
ISLJOTZ,X,O,O,X,X
ISLJOZT,X,O,X,X,X
ISLZTJO,X,O,X,X,X
ISLZTOJ,X,O,X,X,X
ISLZJTO,X,O,X,X,X
ISLZJOT,X,O,X,X,X
ISLZOTJ,X,O,X,X,X
ISLZOJT,X,O,X,X,X
ISLOTJZ,X,X,X,O,X
ISLOTZJ,X,O,X,O,X
ISLOJTZ,X,O,O,X,X
ISLOJZT,X,O,X,X,X
ISLOZTJ,X,O,X,X,X
ISLOZJT,X,O,X,X,X
ISJTLZO,X,X,O,O,X
ISJTLOZ,O,X,O,O,X
ISJTZLO,O,O,O,O,X
ISJTZOL,O,O,O,O,X
ISJTOLZ,O,X,O,O,X
ISJTOZL,O,O,O,O,X
ISJLTZO,X,X,O,X,X
ISJLTOZ,X,X,O,X,X
ISJLZTO,X,O,X,X,X
ISJLZOT,X,O,X,X,X
ISJLOTZ,X,X,O,X,X
ISJLOZT,X,O,X,X,X
ISJZTLO,O,O,O,X,X
ISJZTOL,O,O,O,X,X
ISJZLTO,X,O,X,X,X
ISJZLOT,X,O,X,X,X
ISJZOTL,O,O,O,X,X
ISJZOLT,X,O,X,X,X
ISJOTLZ,O,X,O,O,X
ISJOTZL,O,O,O,O,X
ISJOLTZ,X,X,O,X,X
ISJOLZT,X,O,X,X,X
ISJOZTL,O,O,O,X,X
ISJOZLT,X,O,X,X,X
ISZTLJO,O,X,X,O,X
ISZTLOJ,O,X,X,O,X
ISZTJLO,O,X,X,O,X
ISZTJOL,O,X,X,O,X
ISZTOLJ,O,X,X,O,X
ISZTOJL,O,X,X,O,X
ISZLTJO,X,O,X,X,X
ISZLTOJ,X,O,X,X,X
ISZLJTO,X,O,X,X,X
ISZLJOT,X,O,X,X,X
ISZLOTJ,X,O,X,X,X
ISZLOJT,X,O,X,X,X
ISZJTLO,O,O,O,X,X
ISZJTOL,O,O,O,X,X
ISZJLTO,X,O,X,X,X
ISZJLOT,X,O,X,X,X
ISZJOTL,O,O,O,X,X
ISZJOLT,X,O,X,X,X
ISZOTLJ,O,X,X,O,X
ISZOTJL,O,X,X,O,X
ISZOLTJ,X,O,X,X,X
ISZOLJT,X,O,X,X,X
ISZOJTL,O,O,O,X,X
ISZOJLT,X,O,X,X,X
ISOTLJZ,O,X,O,O,X
ISOTLZJ,X,X,X,O,X
ISOTJLZ,O,X,O,O,X
ISOTJZL,O,X,O,O,X
ISOTZLJ,O,X,X,O,X
ISOTZJL,O,X,X,O,X
ISOLTJZ,X,X,X,O,X
ISOLTZJ,X,O,X,O,X
ISOLJTZ,X,O,O,X,X
ISOLJZT,X,O,X,X,X
ISOLZTJ,X,O,X,X,X
ISOLZJT,X,O,X,X,X
ISOJTLZ,O,X,O,O,X
ISOJTZL,O,O,O,O,X
ISOJLTZ,X,X,O,X,X
ISOJLZT,X,O,X,X,X
ISOJZTL,O,O,O,X,X
ISOJZLT,X,O,X,X,X
ISOZTLJ,O,X,X,O,X
ISOZTJL,O,X,X,O,X
ISOZLTJ,X,O,X,X,X
ISOZLJT,X,O,X,X,X
ISOZJTL,O,O,O,X,X
ISOZJLT,X,O,X,X,X
IZTLJSO,O,X,X,X,X
IZTLJOS,O,X,O,X,X
IZTLSJO,O,O,X,X,X
IZTLSOJ,O,O,X,X,X
IZTLOJS,O,X,O,X,X
IZTLOSJ,O,O,X,X,X
IZTJLSO,O,X,X,X,X
IZTJLOS,O,X,O,X,X
IZTJSLO,O,O,O,X,X
IZTJSOL,O,O,O,X,X
IZTJOLS,O,X,O,X,X
IZTJOSL,O,O,O,X,X
IZTSLJO,O,X,X,O,X
IZTSLOJ,O,X,X,O,X
IZTSJLO,O,X,X,O,X
IZTSJOL,O,X,X,O,X
IZTSOLJ,O,X,X,O,X
IZTSOJL,O,X,X,O,X
IZTOLJS,O,X,O,X,X
IZTOLSJ,O,O,X,X,X
IZTOJLS,O,X,O,X,X
IZTOJSL,O,O,O,X,X
IZTOSLJ,O,X,X,O,X
IZTOSJL,O,X,X,O,X
IZLTJSO,O,X,X,X,X
IZLTJOS,O,X,X,X,X
IZLTSJO,O,O,X,X,X
IZLTSOJ,O,O,X,X,X
IZLTOJS,O,X,X,X,X
IZLTOSJ,O,O,X,X,X
IZLJTSO,O,O,X,X,X
IZLJTOS,O,O,X,X,X
IZLJSTO,X,O,X,X,X
IZLJSOT,X,O,X,X,X
IZLJOTS,O,O,X,X,X
IZLJOST,X,O,X,X,X
IZLSTJO,X,O,X,X,X
IZLSTOJ,X,O,X,X,X
IZLSJTO,X,O,X,X,X
IZLSJOT,X,O,X,X,X
IZLSOTJ,X,O,X,X,X
IZLSOJT,X,O,X,X,X
IZLOTJS,O,X,X,X,X
IZLOTSJ,O,O,X,X,X
IZLOJTS,O,O,X,X,X
IZLOJST,X,O,X,X,X
IZLOSTJ,X,O,X,X,X
IZLOSJT,X,O,X,X,X
IZJTLSO,O,X,X,X,X
IZJTLOS,O,X,O,X,X
IZJTSLO,O,O,O,X,X
IZJTSOL,O,O,O,X,X
IZJTOLS,O,X,O,X,X
IZJTOSL,O,O,O,X,X
IZJLTSO,O,X,X,X,X
IZJLTOS,O,X,X,X,X
IZJLSTO,X,O,X,X,X
IZJLSOT,X,O,X,X,X
IZJLOTS,O,X,X,X,X
IZJLOST,X,O,X,X,X
IZJSTLO,O,O,O,X,X
IZJSTOL,O,O,O,X,X
IZJSLTO,X,O,X,X,X
IZJSLOT,X,O,X,X,X
IZJSOTL,O,O,O,X,X
IZJSOLT,X,O,X,X,X
IZJOTLS,O,X,O,X,X
IZJOTSL,O,O,O,X,X
IZJOLTS,O,X,X,X,X
IZJOLST,X,O,X,X,X
IZJOSTL,O,O,O,X,X
IZJOSLT,X,O,X,X,X
IZSTLJO,O,X,X,O,X
IZSTLOJ,O,X,X,O,X
IZSTJLO,O,X,X,O,X
IZSTJOL,O,X,X,O,X
IZSTOLJ,O,X,X,O,X
IZSTOJL,O,X,X,O,X
IZSLTJO,X,O,X,X,X
IZSLTOJ,X,O,X,X,X
IZSLJTO,X,O,X,X,X
IZSLJOT,X,O,X,X,X
IZSLOTJ,X,O,X,X,X
IZSLOJT,X,O,X,X,X
IZSJTLO,O,O,O,X,X
IZSJTOL,O,O,O,X,X
IZSJLTO,X,O,X,X,X
IZSJLOT,X,O,X,X,X
IZSJOTL,O,O,O,X,X
IZSJOLT,X,O,X,X,X
IZSOTLJ,O,X,X,O,X
IZSOTJL,O,X,X,O,X
IZSOLTJ,X,O,X,X,X
IZSOLJT,X,O,X,X,X
IZSOJTL,O,O,O,X,X
IZSOJLT,X,O,X,X,X
IZOTLJS,O,X,O,X,X
IZOTLSJ,O,O,X,X,X
IZOTJLS,O,X,O,X,X
IZOTJSL,O,O,O,X,X
IZOTSLJ,O,X,X,O,X
IZOTSJL,O,X,X,O,X
IZOLTJS,O,X,X,X,X
IZOLTSJ,O,O,X,X,X
IZOLJTS,O,O,X,X,X
IZOLJST,X,O,X,X,X
IZOLSTJ,X,O,X,X,X
IZOLSJT,X,O,X,X,X
IZOJTLS,O,X,O,X,X
IZOJTSL,O,O,O,X,X
IZOJLTS,O,X,X,X,X
IZOJLST,X,O,X,X,X
IZOJSTL,O,O,O,X,X
IZOJSLT,X,O,X,X,X
IZOSTLJ,O,X,X,O,X
IZOSTJL,O,X,X,O,X
IZOSLTJ,X,O,X,X,X
IZOSLJT,X,O,X,X,X
IZOSJTL,O,O,O,X,X
IZOSJLT,X,O,X,X,X
IOTLJSZ,O,O,O,X,O
IOTLJZS,O,O,O,X,X
IOTLSJZ,O,X,O,O,X
IOTLSZJ,X,O,X,O,X
IOTLZJS,O,X,O,X,X
IOTLZSJ,O,O,X,X,X
IOTJLSZ,O,X,O,X,O
IOTJLZS,O,X,O,X,X
IOTJSLZ,O,X,O,O,X
IOTJSZL,O,O,O,O,X
IOTJZLS,O,X,O,X,X
IOTJZSL,O,O,O,X,X
IOTSLJZ,O,X,O,O,X
IOTSLZJ,X,X,X,O,X
IOTSJLZ,O,X,O,O,X
IOTSJZL,O,X,O,O,X
IOTSZLJ,O,X,X,O,X
IOTSZJL,O,X,X,O,X
IOTZLJS,O,X,O,X,X
IOTZLSJ,O,O,X,X,X
IOTZJLS,O,X,O,X,X
IOTZJSL,O,O,O,X,X
IOTZSLJ,O,X,X,O,X
IOTZSJL,O,X,X,O,X
IOLTJSZ,O,O,O,X,O
IOLTJZS,O,O,O,X,X
IOLTSJZ,O,X,O,O,X
IOLTSZJ,X,O,X,O,X
IOLTZJS,O,X,O,X,X
IOLTZSJ,O,O,X,X,X
IOLJTSZ,O,O,O,X,O
IOLJTZS,O,O,O,X,X
IOLJSTZ,X,O,O,X,X
IOLJSZT,X,O,X,X,X
IOLJZTS,O,O,X,X,X
IOLJZST,X,O,X,X,X
IOLSTJZ,X,X,X,O,X
IOLSTZJ,X,O,X,O,X
IOLSJTZ,X,O,O,X,X
IOLSJZT,X,O,X,X,X
IOLSZTJ,X,O,X,X,X
IOLSZJT,X,O,X,X,X
IOLZTJS,O,X,X,X,X
IOLZTSJ,O,O,X,X,X
IOLZJTS,O,O,X,X,X
IOLZJST,X,O,X,X,X
IOLZSTJ,X,O,X,X,X
IOLZSJT,X,O,X,X,X
IOJTLSZ,O,X,O,X,O
IOJTLZS,O,X,O,X,X
IOJTSLZ,O,X,O,O,X
IOJTSZL,O,O,O,O,X
IOJTZLS,O,X,O,X,X
IOJTZSL,O,O,O,X,X
IOJLTSZ,O,O,O,X,O
IOJLTZS,O,O,O,X,X
IOJLSTZ,X,O,O,X,X
IOJLSZT,X,O,X,X,X
IOJLZTS,O,O,X,X,X
IOJLZST,X,O,X,X,X
IOJSTLZ,O,X,O,O,X
IOJSTZL,O,O,O,O,X
IOJSLTZ,X,X,O,X,X
IOJSLZT,X,O,X,X,X
IOJSZTL,O,O,O,X,X
IOJSZLT,X,O,X,X,X
IOJZTLS,O,X,O,X,X
IOJZTSL,O,O,O,X,X
IOJZLTS,O,X,X,X,X
IOJZLST,X,O,X,X,X
IOJZSTL,O,O,O,X,X
IOJZSLT,X,O,X,X,X
IOSTLJZ,O,X,O,O,X
IOSTLZJ,X,X,X,O,X
IOSTJLZ,O,X,O,O,X
IOSTJZL,O,X,O,O,X
IOSTZLJ,O,X,X,O,X
IOSTZJL,O,X,X,O,X
IOSLTJZ,X,X,X,O,X
IOSLTZJ,X,O,X,O,X
IOSLJTZ,X,O,O,X,X
IOSLJZT,X,O,X,X,X
IOSLZTJ,X,O,X,X,X
IOSLZJT,X,O,X,X,X
IOSJTLZ,O,X,O,O,X
IOSJTZL,O,O,O,O,X
IOSJLTZ,X,X,O,X,X
IOSJLZT,X,O,X,X,X
IOSJZTL,O,O,O,X,X
IOSJZLT,X,O,X,X,X
IOSZTLJ,O,X,X,O,X
IOSZTJL,O,X,X,O,X
IOSZLTJ,X,O,X,X,X
IOSZLJT,X,O,X,X,X
IOSZJTL,O,O,O,X,X
IOSZJLT,X,O,X,X,X
IOZTLJS,O,X,O,X,X
IOZTLSJ,O,O,X,X,X
IOZTJLS,O,X,O,X,X
IOZTJSL,O,O,O,X,X
IOZTSLJ,O,X,X,O,X
IOZTSJL,O,X,X,O,X
IOZLTJS,O,X,X,X,X
IOZLTSJ,O,O,X,X,X
IOZLJTS,O,O,X,X,X
IOZLJST,X,O,X,X,X
IOZLSTJ,X,O,X,X,X
IOZLSJT,X,O,X,X,X
IOZJTLS,O,X,O,X,X
IOZJTSL,O,O,O,X,X
IOZJLTS,O,X,X,X,X
IOZJLST,X,O,X,X,X
IOZJSTL,O,O,O,X,X
IOZJSLT,X,O,X,X,X
IOZSTLJ,O,X,X,O,X
IOZSTJL,O,X,X,O,X
IOZSLTJ,X,O,X,X,X
IOZSLJT,X,O,X,X,X
IOZSJTL,O,O,O,X,X
IOZSJLT,X,O,X,X,X
LTIJSZO,X,O,O,X,O
LTIJSOZ,O,O,O,X,O
LTIJZSO,O,O,X,X,X
LTIJZOS,O,O,O,X,X
LTIJOSZ,O,O,O,X,O
LTIJOZS,O,O,O,X,X
LTISJZO,X,X,X,O,X
LTISJOZ,O,X,O,O,X
LTISZJO,X,O,X,O,X
LTISZOJ,X,O,X,O,X
LTISOJZ,O,X,O,O,X
LTISOZJ,X,O,X,O,X
LTIZJSO,O,X,X,X,X
LTIZJOS,O,X,O,X,X
LTIZSJO,O,O,X,X,X
LTIZSOJ,O,O,X,X,X
LTIZOJS,O,X,O,X,X
LTIZOSJ,O,O,X,X,X
LTIOJSZ,O,O,O,X,O
LTIOJZS,O,O,O,X,X
LTIOSJZ,O,X,O,O,X
LTIOSZJ,X,O,X,O,X
LTIOZJS,O,X,O,X,X
LTIOZSJ,O,O,X,X,X
LTJISZO,X,O,O,X,O
LTJISOZ,O,O,O,X,O
LTJIZSO,O,O,X,X,X
LTJIZOS,O,O,O,X,X
LTJIOSZ,O,O,O,X,O
LTJIOZS,O,O,O,X,X
LTJSIZO,X,O,X,X,O
LTJSIOZ,O,O,O,X,O
LTJSZIO,X,O,X,X,O
LTJSZOI,X,O,X,X,O
LTJSOIZ,O,O,O,X,O
LTJSOZI,X,O,X,X,O
LTJZISO,O,O,X,X,X
LTJZIOS,O,O,O,X,X
LTJZSIO,O,O,X,X,O
LTJZSOI,O,O,X,X,O
LTJZOIS,O,O,O,X,X
LTJZOSI,O,O,X,X,O
LTJOISZ,O,O,O,X,O
