sequence,v115@RhA8GeF8AeE8JeT/IvhFmgBRiBSoBXlBUnBFrB,v115@RhA8GeF8AeE8Jem/IvhFzgBfnBxiB0kBCoBFrB,v115@RhA8GeF8AeE8Je/EJvhFRgBGiBTjBilBUnBFrB,v115@RhA8GeF8AeE8JemAJvhFfnB6nBTjBxkB0kBFrB,v115@RhA8GeF8AeE8Je/EJvhFalBzgBGjBRnBUnBFrB,v115@RhA8GeF8AeE8Jex/IvhFylBzhBGjB0kB3nBFrB,v115@RhA8GeF8AeE8JeT/IvhFylBGjBRnBXlBUnBFrB,v115@RhA8GeF8AeE8Jei/IvhFRhBGjBzkBfrB0rBlsB,v115@RhA8GeF8AeE8JemAJvhFzhBSoBxkB0kB3nBFrB,v115@RhA8GeF8AeE8Je/EJvhFUgBFhBxiBzmBCoBmqB,v115@RhA8GeF8AeE8Je6HJvhFTjBxkBmmBlkB3lBcrB
OILZTSJ,O,X,X,X,X,X,X,X,X,O,X
OILZJTS,O,X,X,X,X,X,X,X,X,O,O
OILZJST,O,X,O,X,X,X,X,X,X,O,O
OILZSTJ,O,X,O,X,X,X,X,X,X,O,X
OILZSJT,O,X,O,O,X,X,X,X,X,O,X
OIJTLSZ,X,X,X,O,O,X,O,O,X,O,O
OIJTLZS,X,X,X,X,X,X,O,O,X,O,O
OIJTSLZ,X,X,X,O,O,X,O,O,X,O,X
OIJTSZL,X,X,X,O,O,X,X,O,X,O,X
OIJTZLS,X,X,X,X,X,X,O,O,X,X,X
OIJTZSL,X,X,X,O,O,X,X,X,X,O,X
OIJLTSZ,X,X,X,X,X,X,O,O,O,O,O
OIJLTZS,X,X,X,X,X,X,O,O,O,O,O
OIJLSTZ,X,X,X,O,X,X,X,O,X,O,O
OIJLSZT,X,X,X,O,X,X,X,O,X,O,O
OIJLZTS,X,X,X,X,X,X,X,X,X,O,O
OIJLZST,X,X,X,X,X,X,X,X,X,O,O
OIJSTLZ,X,X,X,O,O,X,O,O,X,O,X
OIJSTZL,X,X,X,X,O,X,X,O,X,O,X
OIJSLTZ,X,X,X,O,O,X,X,O,X,O,O
OIJSLZT,X,X,X,O,X,X,X,O,X,O,O
OIJSZTL,X,X,X,X,X,X,X,O,X,O,X
OIJSZLT,X,X,X,O,X,X,X,O,X,O,X
OIJZTLS,X,X,X,X,X,X,O,X,X,X,X
OIJZTSL,X,X,X,X,X,X,X,X,X,O,X
