sequence,v115@RhA8GeF8AeE8JeT/IvhFmgBRiBSoBXlBUnBFrB,v115@RhA8GeF8AeE8Jem/IvhFzgBfnBxiB0kBCoBFrB,v115@RhA8GeF8AeE8Je/EJvhFRgBGiBTjBilBUnBFrB,v115@RhA8GeF8AeE8JemAJvhFfnB6nBTjBxkB0kBFrB,v115@RhA8GeF8AeE8Je/EJvhFalBzgBGjBRnBUnBFrB,v115@RhA8GeF8AeE8Jex/IvhFylBzhBGjB0kB3nBFrB,v115@RhA8GeF8AeE8JeT/IvhFylBGjBRnBXlBUnBFrB,v115@RhA8GeF8AeE8Jei/IvhFRhBGjBzkBfrB0rBlsB,v115@RhA8GeF8AeE8JemAJvhFzhBSoBxkB0kB3nBFrB,v115@RhA8GeF8AeE8Je/EJvhFUgBFhBxiBzmBCoBmqB,v115@RhA8GeF8AeE8Je6HJvhFTjBxkBmmBlkB3lBcrB
OJSITZL,X,X,O,X,O,O,X,O,X,O,X
OJSILTZ,O,X,X,O,O,X,X,O,X,O,O
OJSILZT,O,X,O,O,X,X,X,O,X,O,O
OJSIZTL,O,X,O,X,X,O,X,O,X,O,X
OJSIZLT,O,X,O,O,X,O,X,O,X,O,X
OJSLTIZ,O,X,X,O,O,O,X,O,X,O,X
OJSLTZI,O,X,X,O,O,O,X,O,X,O,X
OJSLITZ,O,X,X,O,O,X,X,O,X,O,O
OJSLIZT,O,X,O,O,X,X,X,O,X,O,O
OJSLZTI,O,X,O,X,X,O,X,O,X,O,X
OJSLZIT,O,X,O,X,X,O,X,O,X,O,X
OJSZTIL,O,X,O,X,X,O,X,O,X,O,X
OJSZTLI,O,X,O,X,X,O,X,O,X,O,X
OJSZITL,O,X,O,X,X,O,X,O,X,O,X
OJSZILT,O,X,O,X,X,O,X,O,X,O,X
OJSZLTI,O,X,O,X,X,O,X,O,X,O,X
OJSZLIT,O,X,O,X,X,O,X,O,X,O,X
OJZTILS,O,X,O,X,X,O,O,O,X,X,X
OJZTISL,O,X,O,X,X,O,X,X,X,O,X
OJZTLIS,O,X,O,X,X,O,O,O,X,O,X
OJZTLSI,O,X,O,X,X,O,X,O,X,O,X
OJZTSIL,O,X,O,X,X,O,X,O,X,O,X
OJZTSLI,O,X,O,X,X,O,X,O,X,O,X
OJZITLS,O,X,O,X,X,O,O,X,X,X,X
OJZITSL,O,X,O,X,X,O,X,X,X,O,X
OJZILTS,O,X,X,X,X,X,X,X,X,X,O
OJZILST,O,X,O,X,X,O,X,X,X,X,O
OJZISTL,O,X,O,X,X,O,X,X,X,O,X
OJZISLT,O,X,O,X,X,O,X,X,X,O,X
OJZLTIS,O,X,O,X,X,X,X,O,X,O,X
OJZLTSI,O,X,O,X,X,X,X,O,X,O,X
OJZLITS,O,X,X,X,X,X,X,X,X,O,O
OJZLIST,O,X,O,X,X,O,X,X,X,O,O
OJZLSTI,O,X,O,X,X,O,X,O,X,O,X
OJZLSIT,O,X,O,X,X,O,X,O,X,O,X
OJZSTIL,O,X,O,X,X,O,X,O,X,O,X
OJZSTLI,O,X,O,X,X,O,X,O,X,O,X
OJZSITL,O,X,O,X,X,O,X,O,X,O,X
OJZSILT,O,X,O,X,X,O,X,O,X,O,X
OJZSLTI,O,X,O,X,X,O,X,O,X,O,X
OJZSLIT,O,X,O,X,X,O,X,O,X,O,X
OSTILJZ,O,O,O,O,O,O,O,O,X,O,X
OSTILZJ,O,O,O,O,O,O,X,O,X,O,X
OSTIJLZ,O,X,O,O,O,O,O,O,X,O,X
OSTIJZL,O,O,O,O,O,O,X,O,X,O,X
OSTIZLJ,O,O,O,O,O,O,X,O,X,O,X
OSTIZJL,O,O,O,O,O,O,X,O,X,O,X
OSTLIJZ,O,O,O,O,O,O,O,O,X,O,X
OSTLIZJ,O,O,O,O,O,O,X,O,X,O,X
OSTLJIZ,O,O,O,O,O,O,O,O,X,O,X
OSTLJZI,O,O,O,O,O,O,X,O,X,O,X
OSTLZIJ,O,O,O,O,O,O,X,O,X,O,X
OSTLZJI,O,O,O,O,O,O,X,O,X,O,X
OSTJILZ,O,X,O,O,O,O,O,O,X,O,X
OSTJIZL,O,O,O,O,O,O,X,O,X,O,X
OSTJLIZ,O,O,O,O,O,O,O,O,X,O,X
OSTJLZI,O,O,O,O,O,O,X,O,X,O,X
OSTJZIL,O,O,O,O,O,O,X,O,X,O,X
OSTJZLI,O,O,O,O,O,O,X,O,X,O,X
OSTZILJ,O,O,O,O,O,O,X,O,X,O,X
OSTZIJL,O,O,O,O,O,O,X,O,X,O,X
OSTZLIJ,O,O,O,O,O,O,X,O,X,O,X
OSTZLJI,O,O,O,O,O,O,X,O,X,O,X
OSTZJIL,O,O,O,O,O,O,X,O,X,O,X
OSTZJLI,O,O,O,O,O,O,X,O,X,O,X
OSITLJZ,O,X,O,O,O,O,O,O,X,O,X
OSITLZJ,O,O,O,O,O,O,X,O,X,O,X
OSITJLZ,O,X,O,O,O,O,O,O,X,O,X
OSITJZL,O,O,O,O,O,O,X,O,X,O,X
OSITZLJ,O,O,O,O,O,O,X,O,X,O,X
OSITZJL,O,O,O,O,O,O,X,O,X,O,X
OSILTJZ,O,X,O,O,O,X,X,O,X,O,X
OSILTZJ,O,X,O,O,O,X,X,O,X,O,X
OSILJTZ,O,X,X,O,O,X,X,O,X,O,O
OSILJZT,O,X,O,O,X,X,X,O,X,O,O
OSILZTJ,O,X,O,X,X,X,X,O,X,O,X
OSILZJT,O,X,O,O,X,X,X,O,X,O,X
OSIJTLZ,X,X,O,O,O,O,O,O,X,O,X
OSIJTZL,X,X,O,X,O,O,X,O,X,O,X
OSIJLTZ,O,X,X,O,O,X,X,O,X,O,O
OSIJLZT,O,X,O,O,X,X,X,O,X,O,O
OSIJZTL,O,X,O,X,X,O,X,O,X,O,X
OSIJZLT,O,X,O,O,X,O,X,O,X,O,X
OSIZTLJ,O,O,O,X,X,O,X,O,X,O,X
OSIZTJL,O,O,O,X,X,O,X,O,X,O,X
OSIZLTJ,O,X,O,X,X,O,X,O,X,O,X
OSIZLJT,O,X,O,O,X,O,X,O,X,O,X
OSIZJTL,O,O,O,X,X,O,X,O,X,O,X
OSIZJLT,O,X,O,O,X,O,X,O,X,O,X
OSLTIJZ,O,O,O,O,O,O,X,O,X,O,X
OSLTIZJ,O,O,O,O,O,O,X,O,X,O,X
OSLTJIZ,O,O,O,O,O,O,X,O,X,O,X
OSLTJZI,O,O,O,O,O,O,X,O,X,O,X
OSLTZIJ,O,O,O,O,O,O,X,O,X,O,X
OSLTZJI,O,O,O,O,O,O,X,O,X,O,X
OSLITJZ,O,O,O,O,O,X,X,O,X,O,X
OSLITZJ,O,O,O,O,O,X,X,O,X,O,X
OSLIJTZ,O,X,X,O,O,X,X,O,X,O,O
OSLIJZT,O,X,O,O,X,X,X,O,X,O,O
OSLIZTJ,O,O,O,X,X,X,X,O,X,O,X
OSLIZJT,O,O,O,O,X,X,X,O,X,O,X
OSLJTIZ,O,X,X,O,O,O,X,O,X,O,X
OSLJTZI,O,X,X,O,O,O,X,O,X,O,X
OSLJITZ,O,X,X,O,O,X,X,O,X,O,O
OSLJIZT,O,X,O,O,X,X,X,O,X,O,O
OSLJZTI,O,X,O,X,X,O,X,O,X,O,X
OSLJZIT,O,X,O,X,X,O,X,O,X,O,X
OSLZTIJ,O,O,O,O,X,O,X,O,X,O,X
OSLZTJI,O,O,O,O,X,O,X,O,X,O,X
OSLZITJ,O,O,O,X,X,O,X,O,X,O,X
OSLZIJT,O,O,O,O,X,O,X,O,X,O,X
OSLZJTI,O,O,O,X,X,O,X,O,X,O,X
OSLZJIT,O,O,O,X,X,O,X,O,X,O,X
OSJTILZ,O,X,O,O,O,O,O,O,X,O,X
OSJTIZL,O,X,O,O,O,O,X,O,X,O,X
OSJTLIZ,O,X,O,O,O,O,O,O,X,O,X
OSJTLZI,O,X,O,O,O,O,X,O,X,O,X
OSJTZIL,O,X,O,O,O,O,X,O,X,O,X
OSJTZLI,O,X,O,O,O,O,X,O,X,O,X
OSJITLZ,X,X,O,O,O,O,O,O,X,O,X
OSJITZL,X,X,O,X,O,O,X,O,X,O,X
OSJILTZ,O,X,X,O,O,X,X,O,X,O,O
OSJILZT,O,X,O,O,X,X,X,O,X,O,O
OSJIZTL,O,X,O,X,X,O,X,O,X,O,X
OSJIZLT,O,X,O,O,X,O,X,O,X,O,X
OSJLTIZ,O,X,X,O,O,O,X,O,X,O,X
OSJLTZI,O,X,X,O,O,O,X,O,X,O,X
OSJLITZ,O,X,X,O,O,X,X,O,X,O,O
OSJLIZT,O,X,O,O,X,X,X,O,X,O,O
OSJLZTI,O,X,O,X,X,O,X,O,X,O,X
OSJLZIT,O,X,O,X,X,O,X,O,X,O,X
OSJZTIL,O,X,O,X,X,O,X,O,X,O,X
OSJZTLI,O,X,O,X,X,O,X,O,X,O,X
OSJZITL,O,X,O,X,X,O,X,O,X,O,X
OSJZILT,O,X,O,X,X,O,X,O,X,O,X
OSJZLTI,O,X,O,X,X,O,X,O,X,O,X
OSJZLIT,O,X,O,X,X,O,X,O,X,O,X
OSZTILJ,O,O,O,O,X,O,X,O,X,O,X
OSZTIJL,O,O,O,O,X,O,X,O,X,O,X
OSZTLIJ,O,O,O,O,X,O,X,O,X,O,X
OSZTLJI,O,O,O,O,X,O,X,O,X,O,X
OSZTJIL,O,O,O,O,X,O,X,O,X,O,X
OSZTJLI,O,O,O,O,X,O,X,O,X,O,X
OSZITLJ,O,O,O,X,X,O,X,O,X,O,X
OSZITJL,O,O,O,X,X,O,X,O,X,O,X
OSZILTJ,O,X,O,X,X,O,X,O,X,O,X
OSZILJT,O,X,O,O,X,O,X,O,X,O,X
OSZIJTL,O,O,O,X,X,O,X,O,X,O,X
OSZIJLT,O,X,O,O,X,O,X,O,X,O,X
OSZLTIJ,O,O,O,O,X,O,X,O,X,O,X
OSZLTJI,O,O,O,O,X,O,X,O,X,O,X
OSZLITJ,O,O,O,X,X,O,X,O,X,O,X
OSZLIJT,O,O,O,O,X,O,X,O,X,O,X
OSZLJTI,O,O,O,X,X,O,X,O,X,O,X
OSZLJIT,O,O,O,X,X,O,X,O,X,O,X
OSZJTIL,O,O,O,X,X,O,X,O,X,O,X
OSZJTLI,O,O,O,X,X,O,X,O,X,O,X
OSZJITL,O,O,O,X,X,O,X,O,X,O,X
OSZJILT,O,X,O,X,X,O,X,O,X,O,X
OSZJLTI,O,O,O,X,X,O,X,O,X,O,X
OSZJLIT,O,O,O,X,X,O,X,O,X,O,X
OZTILJS,O,O,O,X,X,O,O,O,X,X,X
OZTILSJ,O,O,O,X,X,O,X,X,X,X,X
OZTIJLS,O,O,O,X,X,O,O,O,X,X,X
OZTIJSL,O,O,O,O,X,O,X,X,X,O,X
OZTISLJ,O,O,O,O,X,O,X,X,X,O,X
OZTISJL,O,O,O,O,X,O,X,X,X,O,X
OZTLIJS,O,O,O,X,X,O,O,O,X,O,X
OZTLISJ,O,O,O,X,X,O,X,X,X,O,X
OZTLJIS,O,O,O,X,X,O,O,O,X,O,X
OZTLJSI,O,O,O,X,X,O,X,O,X,O,X
OZTLSIJ,O,O,O,X,X,O,X,O,X,O,X
OZTLSJI,O,O,O,X,X,O,X,O,X,O,X
OZTJILS,O,O,O,X,X,O,O,O,X,X,X
OZTJISL,O,O,O,O,X,O,X,X,X,O,X
OZTJLIS,O,O,O,X,X,O,O,O,X,O,X
OZTJLSI,O,O,O,X,X,O,X,O,X,O,X
OZTJSIL,O,O,O,O,X,O,X,O,X,O,X
OZTJSLI,O,O,O,O,X,O,X,O,X,O,X
OZTSILJ,O,O,O,O,X,O,X,O,X,O,X
OZTSIJL,O,O,O,O,X,O,X,O,X,O,X
OZTSLIJ,O,O,O,O,X,O,X,O,X,O,X
OZTSLJI,O,O,O,O,X,O,X,O,X,O,X
OZTSJIL,O,O,O,O,X,O,X,O,X,O,X
OZTSJLI,O,O,O,O,X,O,X,O,X,O,X
OZITLJS,O,X,O,X,X,O,O,X,X,X,X
OZITLSJ,O,X,O,X,X,O,X,X,X,X,X
OZITJLS,O,X,O,X,X,O,O,X,X,X,X
OZITJSL,O,X,O,O,X,O,X,X,X,O,X
OZITSLJ,O,X,O,O,X,O,X,X,X,O,X
OZITSJL,O,X,O,O,X,O,X,X,X,O,X
OZILTJS,O,X,X,X,X,X,X,X,X,X,X
OZILTSJ,O,X,X,X,X,X,X,X,X,X,X
OZILJTS,O,X,X,X,X,X,X,X,X,X,O
OZILJST,O,X,O,X,X,O,X,X,X,X,O
OZILSTJ,O,X,O,X,X,O,X,X,X,X,X
OZILSJT,O,X,O,O,X,O,X,X,X,X,X
OZIJTLS,O,X,O,X,X,O,O,X,X,X,X
OZIJTSL,O,X,O,X,X,O,X,X,X,O,X
OZIJLTS,O,X,X,X,X,X,X,X,X,X,O
OZIJLST,O,X,O,X,X,O,X,X,X,X,O
OZIJSTL,O,X,O,X,X,O,X,X,X,O,X
OZIJSLT,O,X,O,O,X,O,X,X,X,O,X
OZISTLJ,O,X,O,X,X,O,X,X,X,O,X
OZISTJL,O,X,O,X,X,O,X,X,X,O,X
OZISLTJ,O,X,O,X,X,O,X,X,X,O,X
OZISLJT,O,X,O,O,X,O,X,X,X,O,X
OZISJTL,O,X,O,X,X,O,X,X,X,O,X
OZISJLT,O,X,O,O,X,O,X,X,X,O,X
OZLTIJS,O,O,O,X,X,X,X,O,X,O,X
OZLTISJ,O,O,O,X,X,X,X,X,X,O,X
OZLTJIS,O,O,O,X,X,X,X,O,X,O,X
OZLTJSI,O,O,O,X,X,X,X,O,X,O,X
OZLTSIJ,O,O,O,X,X,X,X,O,X,O,X
OZLTSJI,O,O,O,X,X,X,X,O,X,O,X
OZLITJS,O,X,X,X,X,X,X,X,X,O,X
OZLITSJ,O,X,X,X,X,X,X,X,X,O,X
OZLIJTS,O,X,X,X,X,X,X,X,X,O,O
OZLIJST,O,O,O,X,X,O,X,X,X,O,O
OZLISTJ,O,O,O,X,X,O,X,X,X,O,X
OZLISJT,O,O,O,O,X,O,X,X,X,O,X
OZLJTIS,O,O,O,X,X,X,X,O,X,O,X
OZLJTSI,O,O,O,X,X,X,X,O,X,O,X
OZLJITS,O,X,X,X,X,X,X,X,X,O,O
OZLJIST,O,O,O,X,X,O,X,X,X,O,O
OZLJSTI,O,O,O,X,X,O,X,O,X,O,X
OZLJSIT,O,O,O,X,X,O,X,O,X,O,X
OZLSTIJ,O,O,O,O,X,O,X,O,X,O,X
OZLSTJI,O,O,O,O,X,O,X,O,X,O,X
OZLSITJ,O,O,O,X,X,O,X,O,X,O,X
OZLSIJT,O,O,O,O,X,O,X,O,X,O,X
OZLSJTI,O,O,O,X,X,O,X,O,X,O,X
OZLSJIT,O,O,O,X,X,O,X,O,X,O,X
OZJTILS,O,O,O,X,X,O,O,O,X,X,X
OZJTISL,O,O,O,X,X,O,X,X,X,O,X
OZJTLIS,O,O,O,X,X,O,O,O,X,O,X
OZJTLSI,O,O,O,X,X,O,X,O,X,O,X
OZJTSIL,O,O,O,X,X,O,X,O,X,O,X
OZJTSLI,O,O,O,X,X,O,X,O,X,O,X
OZJITLS,O,X,O,X,X,O,O,X,X,X,X
OZJITSL,O,X,O,X,X,O,X,X,X,O,X
OZJILTS,O,X,X,X,X,X,X,X,X,X,O
OZJILST,O,X,O,X,X,O,X,X,X,X,O
OZJISTL,O,X,O,X,X,O,X,X,X,O,X
OZJISLT,O,X,O,X,X,O,X,X,X,O,X
OZJLTIS,O,O,O,X,X,X,X,O,X,O,X
OZJLTSI,O,O,O,X,X,X,X,O,X,O,X
OZJLITS,O,X,X,X,X,X,X,X,X,O,O
OZJLIST,O,O,O,X,X,O,X,X,X,O,O
OZJLSTI,O,O,O,X,X,O,X,O,X,O,X
OZJLSIT,O,O,O,X,X,O,X,O,X,O,X
OZJSTIL,O,O,O,X,X,O,X,O,X,O,X
OZJSTLI,O,O,O,X,X,O,X,O,X,O,X
OZJSITL,O,O,O,X,X,O,X,O,X,O,X
OZJSILT,O,X,O,X,X,O,X,O,X,O,X
OZJSLTI,O,O,O,X,X,O,X,O,X,O,X
OZJSLIT,O,O,O,X,X,O,X,O,X,O,X
OZSTILJ,O,O,O,O,X,O,X,O,X,O,X
OZSTIJL,O,O,O,O,X,O,X,O,X,O,X
OZSTLIJ,O,O,O,O,X,O,X,O,X,O,X
OZSTLJI,O,O,O,O,X,O,X,O,X,O,X
OZSTJIL,O,O,O,O,X,O,X,O,X,O,X
OZSTJLI,O,O,O,O,X,O,X,O,X,O,X
OZSITLJ,O,O,O,X,X,O,X,O,X,O,X
OZSITJL,O,O,O,X,X,O,X,O,X,O,X
OZSILTJ,O,X,O,X,X,O,X,O,X,O,X
OZSILJT,O,X,O,O,X,O,X,O,X,O,X
OZSIJTL,O,O,O,X,X,O,X,O,X,O,X
OZSIJLT,O,X,O,O,X,O,X,O,X,O,X
OZSLTIJ,O,O,O,O,X,O,X,O,X,O,X
OZSLTJI,O,O,O,O,X,O,X,O,X,O,X
OZSLITJ,O,O,O,X,X,O,X,O,X,O,X
OZSLIJT,O,O,O,O,X,O,X,O,X,O,X
OZSLJTI,O,O,O,X,X,O,X,O,X,O,X
OZSLJIT,O,O,O,X,X,O,X,O,X,O,X
OZSJTIL,O,O,O,X,X,O,X,O,X,O,X
OZSJTLI,O,O,O,X,X,O,X,O,X,O,X
OZSJITL,O,O,O,X,X,O,X,O,X,O,X
OZSJILT,O,X,O,X,X,O,X,O,X,O,X
OZSJLTI,O,O,O,X,X,O,X,O,X,O,X
OZSJLIT,O,O,O,X,X,O,X,O,X,O,X
