sequence,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBiiB5oBcsBet?BzqB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBiiB5oBcsBet?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBOnB8nB5oBXr?ByxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBZnBGjBXrBCt?BUtB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBZnBunBcoBzq?BSyB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBmiB5oBzqBis?B0sB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBziB5oBXrBms?BUsB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFxhBTjB0nBmrBSy?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBxiB0nB6tBXr?B2xB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBKnBGjBUoBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThB0iB6oB2sBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBziB+oBUnBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBRnBctBXrBTs?BGtB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBZnBGoBXrBUt?BCtB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBxiB0nB6tBzq?B2xB,v115@9gC8GeB8HeC8GeC8BeA8Ne3CJvhFcoBxlBGmBNsBzq?BSyB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFTjBxmB0nBmrBSy?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mB5oBmnBzqB0s?BisB,v115@9gC8GeB8HeC8GeC8BeA8Ne9GJvhFmiB5oB0lBKsBft?BzqB
IZTSOLJ,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
IZTSOJL,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
IZTOLJS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZTOLSJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
IZTOJLS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZTOJSL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
IZTOSLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZTOSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZLTJSO,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZLTJOS,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZLTSJO,X,X,O,O,O,X,X,X,X,O,X,O,X,O,X,O,X,X,O
IZLTSOJ,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,O
IZLTOJS,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZLTOSJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZLJTSO,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZLJTOS,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZLJSTO,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,O
IZLJSOT,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,X,X,O
IZLJOTS,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X
IZLJOST,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZLSTJO,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,O
IZLSTOJ,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,O
IZLSJTO,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,O
IZLSJOT,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,X,X,O
IZLSOTJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
IZLSOJT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
IZLOTJS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZLOTSJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
IZLOJTS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZLOJST,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,O
IZLOSJT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
IZJTLSO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZJTLOS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZJTSLO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
IZJTOLS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
IZJTOSL,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X
IZJLTSO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZJLTOS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZJLSTO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZJLSOT,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
IZJLOTS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
IZJLOST,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZJSTLO,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
IZJSTOL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
IZJSLTO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZJSLOT,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
IZJSOTL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
IZJSOLT,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZJOTLS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
IZJOTSL,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X
IZJOLTS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
IZJOLST,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZJOSTL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
IZJOSLT,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZSTLJO,X,X,O,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,O
IZSTLOJ,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZSTJLO,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
IZSTOLJ,X,X,O,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
IZSTOJL,X,O,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
IZSLTJO,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZSLTOJ,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZSLJTO,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZSLJOT,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
IZSLOTJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZSLOJT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZSJTLO,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
IZSJLTO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
IZSJLOT,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
IZSJOTL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
IZSJOLT,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IZSOTJL,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IZSOLTJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
IZSOLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZSOJTL,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IZSOJLT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZOTLJS,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X
IZOTLSJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
IZOTJLS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZOTJSL,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
IZOTSLJ,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X
IZOTSJL,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
IZOLTJS,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZOLTSJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
IZOLJTS,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZOLJST,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O
IZOLSJT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZOJTLS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZOJTSL,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
IZOJLTS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZOJLST,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZOJSTL,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IZOJSLT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X,O,X
IZOSTJL,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IZOSLTJ,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O
IZOSLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZOSJTL,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IZOSJLT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOTLJSZ,O,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOTLJZS,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOTLSJZ,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O
IOTLSZJ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O,O
IOTLZJS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTLZSJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,O,X,O,O
IOTJLSZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOTJLZS,O,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X
IOTJSLZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOTJSZL,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOTJZLS,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOTJZSL,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOTSLJZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSLZJ,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X
IOTSJLZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X
IOTSZLJ,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTSZJL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTZLJS,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X
IOTZLSJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
IOTZJLS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IOTZJSL,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
IOTZSLJ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTZSJL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOLTJSZ,O,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLTJZS,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLTSJZ,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O
IOLTSZJ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O,O
IOLTZJS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOLTZSJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,O,X,O,O
IOLJTSZ,O,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLJTZS,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLJSTZ,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLJSZT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLJZTS,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLJZST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X
IOLSTJZ,O,X,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,O
IOLSTZJ,X,X,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,O,O
IOLSJTZ,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOLSJZT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOLSZTJ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,O
IOLSZJT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
IOLZTJS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOLZTSJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,O,X,O,O
IOLZJTS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X
IOLZJST,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLZSTJ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,O
IOLZSJT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
IOJTLSZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJTLZS,O,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X
IOJTSLZ,O,X,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X
IOJTSZL,O,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X
IOJTZLS,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOJTZSL,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOJLTSZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJLTZS,O,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X
IOJLSTZ,O,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X
IOJLSZT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLZTS,O,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X
IOJLZST,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
IOJSTLZ,O,O,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X
IOJSTZL,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X
IOJSLTZ,O,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X
IOJSLZT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSZTL,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X
IOJSZLT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJZTLS,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOJZTSL,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOJZLTS,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
IOJZLST,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IOJZSTL,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X
IOJZSLT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOSTLJZ,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X
IOSTLZJ,X,X,O,O,O,O,X,X,X,O,O,O,O,O,O,X,X,O,X
IOSTJLZ,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X
IOSTJZL,O,O,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,O,X
IOSTZLJ,X,X,O,O,O,O,X,X,X,O,O,O,O,O,X,X,X,O,X
IOSTZJL,O,O,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,O,X
IOSLTJZ,O,X,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,O
IOSLTZJ,X,X,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,O,O
IOSLJTZ,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOSLJZT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOSLZTJ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,O
IOSLZJT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
IOSJTLZ,O,O,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X
IOSJTZL,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X
IOSJLTZ,O,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,O
IOSJLZT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOSJZTL,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X
IOSJZLT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOSZTLJ,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X,O,X
IOSZTJL,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IOSZLTJ,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O
IOSZLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IOSZJTL,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IOSZJLT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZTLJS,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X
IOZTLSJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
IOZTJLS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IOZTJSL,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
IOZTSLJ,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X
IOZTSJL,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
IOZLTJS,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOZLTSJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,O
IOZLJTS,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOZLJST,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IOZLSTJ,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,O,O
IOZLSJT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
IOZJTLS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IOZJTSL,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
IOZJLTS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IOZJLST,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZJSTL,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IOZJSLT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZSTLJ,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X,O,X
IOZSTJL,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IOZSLTJ,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O
IOZSLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IOZSJTL,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
IOZSJLT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTIJSZO,O,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,O
LTIJSOZ,X,X,X,O,X,X,X,X,O,O,O,X,X,X,O,X,O,X,O
LTIJZSO,O,O,O,O,O,X,X,O,O,O,O,O,X,X,O,X,X,X,O
LTIJZOS,O,O,O,X,O,X,X,O,O,O,O,O,X,X,O,X,O,X,X
LTIJOSZ,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LTIJOZS,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X
LTISJZO,O,X,O,O,O,X,X,X,X,O,O,X,X,X,O,X,X,X,O
LTISJOZ,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,O
LTISZJO,X,X,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,O
LTISZOJ,X,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O
LTISOJZ,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O
LTISOZJ,X,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O
LTIZJSO,X,X,O,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O
LTIZJOS,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LTIZSJO,X,X,O,O,O,X,X,X,X,O,X,O,X,O,O,O,X,X,O
LTIZSOJ,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,O
LTIZOJS,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTIZOSJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
LTIOJSZ,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LTIOJZS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LTIOSJZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O
LTIOSZJ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O
LTIOZJS,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,O
LTJISZO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LTJISOZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
LTJIZSO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
LTJIZOS,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTJIOSZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LTJIOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LTJSIZO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LTJSIOZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
LTJSZIO,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
LTJSZOI,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
LTJSOIZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
LTJSOZI,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LTJZISO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
LTJZIOS,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTJZSIO,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
LTJZSOI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
LTJZOIS,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTJZOSI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTJOISZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LTJOIZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LTJOSIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LTJOSZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJOZIS,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X
LTJOZSI,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
LTSIJZO,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LTSIJOZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LTSIZJO,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
LTSIZOJ,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
LTSIOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LTSIOZJ,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
LTSJIZO,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LTSJIOZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
LTSJZIO,O,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
