sequence,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jex6IvhF8g?B6iBTeBmfBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Je2/IvhFRb?B0dB6jB3gBznBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8JeT6IvhFOg?B8gBxdBCjBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jei6IvhFzb?BxdBUgBWoBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8JeT6IvhFib?BxdB3gBunBcoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jex6IvhF8g?B6iBmfBTjBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Je2/IvhFzb?BxdBCjBUgBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jei6IvhFTe?BRgBWoB3gB0nBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Je2/IvhFxd?B3gBqnBTjBFlB8qB
TILJSZO,O,O,X,O,X,X,X,X,X
TILJSOZ,O,O,X,O,X,X,X,O,X
TILJZSO,O,O,X,O,X,O,X,X,X
TILJZOS,O,O,X,O,X,O,X,O,X
TILJOSZ,X,X,X,O,X,X,X,O,X
TILJOZS,X,O,X,O,X,O,X,O,X
TILSJZO,O,O,X,X,X,X,X,X,X
TILSJOZ,O,O,X,X,O,X,X,O,X
TILSZJO,O,O,X,X,X,X,X,X,X
TILSZOJ,O,O,X,O,O,X,X,X,X
TILSOJZ,O,O,X,O,O,X,X,X,X
TILSOZJ,O,O,X,O,O,X,X,X,X
TILZJSO,O,O,X,O,X,O,X,X,X
TILZJOS,O,O,O,O,X,O,X,O,X
TILZSJO,O,O,X,X,X,X,X,X,X
TILZSOJ,O,O,X,O,X,X,X,X,X
TILZOJS,X,X,O,O,X,O,X,X,X
TILZOSJ,O,X,X,O,X,X,X,X,X
TILOJSZ,X,X,X,O,X,X,X,O,X
TILOJZS,X,X,X,O,X,O,X,O,X
TILOSJZ,X,X,X,O,O,X,X,X,X
TILOSZJ,X,X,X,O,O,X,X,X,X
TILOZJS,X,X,O,O,X,O,X,X,X
TILOZSJ,X,X,X,O,X,X,X,X,X
TIJLSZO,O,O,X,O,X,X,X,X,X
TIJLSOZ,O,O,X,O,X,X,X,O,X
TIJLZSO,O,O,X,O,X,O,X,X,X
TIJLZOS,O,O,X,O,X,O,X,O,X
TIJLOSZ,X,O,X,O,X,X,X,O,X
TIJLOZS,X,O,X,O,X,O,X,O,X
TIJSLZO,O,O,X,O,X,X,O,X,X
TIJSLOZ,O,O,X,O,O,X,O,O,X
TIJSZLO,O,O,X,O,X,X,X,X,X
TIJSZOL,O,O,X,O,X,X,X,X,X
TIJSOLZ,O,O,X,O,O,X,O,O,X
TIJSOZL,O,O,X,X,X,X,X,X,X
TIJZLSO,O,O,X,O,X,O,X,X,X
TIJZLOS,O,O,O,O,X,O,X,O,X
TIJZSLO,O,O,X,O,X,O,X,X,X
TIJZSOL,O,O,O,O,X,O,X,X,X
TIJZOLS,O,O,O,O,X,O,X,O,X
TIJZOSL,O,O,O,O,X,O,X,X,X
TIJOLSZ,X,O,X,O,X,X,X,O,X
TIJOLZS,X,O,X,O,X,O,X,O,X
TIJOSLZ,X,O,X,O,O,X,O,O,X
TIJOSZL,X,O,X,X,X,X,X,X,X
TIJOZLS,X,O,O,O,X,O,X,O,X
TIJOZSL,X,O,O,O,X,O,X,X,X
TISLJZO,O,O,O,X,X,X,O,X,X
TISLJOZ,O,O,O,X,O,X,O,O,X
TISLZJO,O,O,O,X,O,X,O,X,X
TISLZOJ,O,O,O,O,O,X,O,X,X
TISLOJZ,O,O,O,O,O,X,O,X,X
TISLOZJ,O,O,O,O,O,X,O,X,X
TISJLZO,O,O,X,X,X,X,O,X,X
TISJLOZ,O,O,X,X,O,X,O,O,X
TISJZLO,O,O,O,X,X,X,X,X,X
TISJZOL,O,O,O,X,X,X,X,X,X
TISJOLZ,O,O,X,X,O,X,O,O,X
TISJOZL,O,O,O,X,X,X,X,X,X
TISZLJO,O,O,O,X,O,X,X,X,X
TISZLOJ,O,O,O,O,O,X,X,X,X
TISZJLO,O,O,O,X,O,X,X,X,X
TISZJOL,O,O,O,X,O,X,X,X,X
TISZOLJ,O,O,O,O,O,X,X,X,X
TISZOJL,O,O,O,X,O,X,X,X,X
TISOLJZ,O,O,O,O,O,X,O,X,X
TISOLZJ,O,O,O,O,O,X,O,X,X
TISOJLZ,O,O,X,X,O,X,O,X,X
TISOJZL,O,O,O,X,X,X,X,X,X
TISOZLJ,O,O,O,X,O,X,X,X,X
TISOZJL,O,O,O,X,O,X,X,X,X
TIZLJSO,O,O,X,O,X,O,X,X,X
TIZLJOS,O,O,O,O,X,O,X,O,X
TIZLSJO,O,O,X,X,O,X,X,X,X
TIZLSOJ,O,O,X,O,O,X,X,X,X
TIZLOJS,X,X,O,O,X,O,X,X,X
TIZLOSJ,O,X,X,O,O,X,X,X,X
TIZJLSO,O,O,X,O,O,O,X,X,X
TIZJLOS,O,O,O,O,O,O,X,O,X
TIZJSLO,O,O,O,O,O,O,X,X,X
TIZJSOL,O,O,O,O,O,O,X,X,X
TIZJOLS,O,O,O,O,O,O,X,O,X
TIZJOSL,O,X,O,O,O,O,X,X,X
TIZSLJO,O,O,O,X,O,X,X,X,X
TIZSLOJ,O,O,O,O,O,X,X,X,X
TIZSJLO,O,O,O,X,O,X,X,X,X
TIZSJOL,O,O,O,X,O,X,X,X,X
TIZSOLJ,O,O,O,O,O,X,X,X,X
TIZSOJL,O,O,O,X,O,X,X,X,X
TIZOLJS,X,X,O,O,X,O,X,X,X
TIZOLSJ,O,X,X,O,O,X,X,X,X
TIZOJLS,X,X,O,O,O,O,X,X,X
TIZOJSL,X,X,O,O,O,O,X,X,X
