sequence,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeqAJvhFTcBmdB5jB0?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFWiBxdB6oBF?mBXnB8sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFCdBejB5jBX?iBUmBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeuAJvhFchBidB5jBz?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeuAJvhF1hB5jB3iBT?mB8sBisB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeC8IvhFxdBlhBziB+?oBUmB/sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeG8IvhFyiB5jBzgB0?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFciBTeBfmB6?mBGoBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFFeBChB0iB+?oBTmB/sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFChBliBcoBT?mB/sBGtB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBSmBTiB/?oBUmBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jex9IvhFfmBlhBcnBT?jBGmBCtB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBfmB0hBS?sBToBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFfiBxdBSoBF?mBUoBGsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeSBJvhF/iBTjBRmBU?mBGoBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBSmBliB/?sBTtBUrB
TIZOLJS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TIZOJLS,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZOJSL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TIZOSJL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TIOLJZS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TIOLSZJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TIOLZJS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X
TIOJLSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIOJLZS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X
TIOJSZL,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TIOJZLS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
TIOSLZJ,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TIOSJLZ,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
