sequence,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeqAJvhFTcBmdB5jB0?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFWiBxdB6oBF?mBXnB8sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFCdBejB5jBX?iBUmBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeuAJvhFchBidB5jBz?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeuAJvhF1hB5jB3iBT?mB8sBisB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeC8IvhFxdBlhBziB+?oBUmB/sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeG8IvhFyiB5jBzgB0?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFciBTeBfmB6?mBGoBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFFeBChB0iB+?oBTmB/sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFChBliBcoBT?mB/sBGtB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBSmBTiB/?oBUmBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jex9IvhFfmBlhBcnBT?jBGmBCtB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBfmB0hBS?sBToBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFfiBxdBSoBF?mBUoBGsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeSBJvhF/iBTjBRmBU?mBGoBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBSmBliB/?sBTtBUrB
IZSLTOJ,O,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X
IZSLJTO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSLOJT,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X
IZSJTLO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSJTOL,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSJLTO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X
IZSOTJL,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSOLJT,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IZSOJTL,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZSOJLT,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZOTLJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZOLJTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZOLSTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZOLSJT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZOJTLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOJSLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOSTJL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IZOSLJT,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOSJTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSJLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTLJZS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTLSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTLZJS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IOTJLSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTJLZS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
IOTJSZL,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTJZLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJZSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IOTSLZJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IOTSJLZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IOTSJZL,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IOTSZJL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTZLJS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IOTZJLS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTZJSL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IOTZSJL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O
IOLTJZS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O
IOLTSZJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
IOLTZJS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
IOLJTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IOLJTZS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOLJSTZ,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOLJSZT,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,O
IOLJZTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOLJZST,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
IOLSTJZ,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O
IOLSTZJ,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
IOLSJTZ,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOLSJZT,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,O
IOLSZTJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
IOLSZJT,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,O
IOLZTJS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOLZJTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOLZJST,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
IOLZSTJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOLZSJT,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
IOJTLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJTLZS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOJTSZL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJTZLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJTZSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IOJLTZS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOJLSZT,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOJLZTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJLZST,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOJSTLZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IOJSTZL,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOJSLTZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOJSLZT,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOJSZTL,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
IOJSZLT,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
IOJZTLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJZSLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,O,X,X,O,X,X,X,X,X,O,X,O,O
IOSTLZJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O
IOSTJLZ,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,O
IOSTJZL,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,O
IOSTZLJ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IOSTZJL,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,O
IOSLTJZ,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O
IOSLTZJ,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
IOSLJTZ,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOSLJZT,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,O
IOSLZTJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
IOSLZJT,O,X,X,O,X,X,O,X,O,O,X,X,O,X,X,O
IOSJTLZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IOSJTZL,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOSJLTZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOSJLZT,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOSJZTL,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
IOSJZLT,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
IOSZTLJ,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IOSZTJL,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
IOSZLTJ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOSZLJT,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X
IOSZJTL,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
IOSZJLT,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
IOZTLJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTJLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOZLJTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLJST,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOZLSTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOZLSJT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOZJTLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZJSLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZSTJL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZSLTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOZSLJT,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZSJTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZSJLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LTIJSOZ,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X
LTIJZSO,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIJZOS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIJOSZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X
LTIJOZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTISJZO,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTISJOZ,O,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X
LTISZJO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTISZOJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
LTISOJZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,O
LTISOZJ,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O
LTIZJSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJOS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIZSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIZOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LTIOJSZ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
LTIOJZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIOSJZ,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
LTIOSZJ,O,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O
LTIOZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X
LTJISZO,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LTJISOZ,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LTJIZSO,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIZOS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIOSZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
LTJIOZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSIZO,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTJSIOZ,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTJSZIO,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTJSZOI,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJSOIZ,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTJSOZI,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LTJZISO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZIOS,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJZSIO,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJZSOI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJZOIS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJZOSI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJOISZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
LTJOIZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOSIZ,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
LTJOSZI,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
LTJOZIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJOZSI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSIJZO,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X
LTSIJOZ,O,O,O,X,X,X,O,O,O,X,O,X,X,X,O,X
LTSIZJO,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
LTSIZOJ,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
LTSIOJZ,O,O,X,O,X,X,O,X,X,X,O,X,O,O,O,O
LTSIOZJ,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O
LTSJIZO,O,X,O,O,X,X,X,O,O,X,O,X,X,O,X,X
LTSJIOZ,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,X
LTSJZIO,O,X,O,O,X,X,X,O,O,X,O,X,X,O,X,X
LTSJZOI,O,X,O,O,X,X,X,O,O,X,X,X,X,O,X,X
LTSJOIZ,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,X
LTSJOZI,O,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X
LTSZIJO,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
LTSZIOJ,O,O,O,O,X,X,O,O,X,O,X,O,O,X,X,X
LTSZJIO,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
LTSZJOI,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
LTSZOIJ,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X
LTSZOJI,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X
LTSOIJZ,O,O,X,O,X,X,O,X,X,X,O,X,O,O,O,O
LTSOIZJ,O,X,X,O,X,X,O,O,X,X,O,O,X,X,O,O
LTSOJIZ,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,O
LTSOJZI,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,O
LTSOZIJ,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,O
LTSOZJI,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,O
LTZIJSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJOS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZISJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTZISOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTZJISO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJIOS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZJSIO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZJSOI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZJOIS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZJOSI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZSIJO,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LTZSIOJ,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
LTZSJIO,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LTZSJOI,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
LTZSOIJ,O,O,O,X,X,X,X,O,X,O,O,O,X,X,X,X
LTZSOJI,O,O,O,X,X,X,X,O,X,O,O,O,X,X,X,X
LTZOIJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X
LTZOJIS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOJSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
LTZOSJI,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
LTOIJSZ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
LTOIJZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOISJZ,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
LTOISZJ,O,X,X,O,X,X,X,X,X,O,O,O,X,X,O,O
LTOIZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,O,O,X,O,X,X,X,X,X,O,O,O,X,X,O,X
LTOJISZ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,O
LTOJIZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJSIZ,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X
LTOJSZI,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X
LTOJZIS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJZSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,O,O,X,O,X,X,X,X,O,X,O,X,O,O,O,O
LTOSIZJ,O,X,X,O,X,X,X,X,X,O,O,O,X,X,O,O
LTOSJIZ,O,O,X,O,X,X,X,X,O,X,O,X,O,O,X,O
LTOSJZI,O,O,X,O,X,X,X,X,O,X,O,X,O,O,X,O
LTOSZIJ,O,O,X,O,X,X,X,X,X,O,O,O,O,X,X,O
LTOSZJI,O,O,X,O,X,X,X,X,X,O,O,O,O,X,X,O
LTOZIJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZISJ,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X
LTOZJIS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZJSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X
LTOZSJI,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X
LITJSZO,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LITJSOZ,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X
LITJZSO,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LITJZOS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LITJOSZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X
LITJOZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITSJZO,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LITSJOZ,O,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X
LITSZJO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LITSZOJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
LITSOJZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,O
LITSOZJ,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O
LITZJSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITZJOS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITZSJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LITZSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITZOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITZOSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LITOJSZ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
LITOJZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITOSJZ,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
LITOSZJ,O,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O
LITOZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITOZSJ,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X
LIJTSZO,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
LIJTSOZ,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X
LIJTZSO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJTZOS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJTOSZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X
LIJTOZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJSTZO,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
LIJSTOZ,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
LIJSZTO,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
LIJSZOT,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJSOTZ,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O
LIJSOZT,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
LIJZTSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJZTOS,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJZSTO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJZSOT,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJZOTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIJZOST,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIJOTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
LIJOTZS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIJOSTZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
